"""Thompson and Wallace, 1994, C1"""	
0.4064	-2.701404613
0.18034	-3.651544619
0.04318	-4.466013884
0.02794	-4.656397743
0.0381	-4.710666039
-0.09144	-5.742208489
-0.52832	-7.968543099
-0.99314	-11.00934698
-1.4224	-13.75167522
-1.81356	-15.59768694
-2.12852	-16.43929035
-1.76022	-13.12714499
-1.37922	-10.46621919
-0.98806	-7.50681776
-0.6096	-5.416598712
-0.14986	-3.135995805
0.29972	-0.963929491
0.65278	0.23086267
1.02108	1.968337793
1.38684	3.81479433
1.76022	5.660806045
1.59258	3.95046507
1.2065	1.751264608
0.85598	-0.095191929
0.48514	-1.669862163
0.08382	-3.271666546
-0.08636	-3.869062626
-0.36576	-5.44373286
-0.76454	-7.154073834
-1.2319	-10.60233475
-1.67386	-13.69740693
-2.11582	-16.35788791
-1.90246	-13.75167522
-1.4605	-10.6837372
-1.0414	-7.751469915
-0.60706	-5.416598712
-0.16002	-3.407337286
0.28194	-1.39807586
0.65024	0.040923633
1.01854	1.8598012
1.44018	4.140404107
1.83134	6.095397236
1.50368	3.597276323
1.09982	1.181002676
0.73152	-0.393667559
0.32004	-1.751264608
-0.06096	-3.651544619
-0.19558	-4.466013884
-0.78232	-7.452549463
-1.45034	-11.76954794
-2.07264	-15.81520494
-2.68732	-19.1816186
-3.22326	-21.27228247
-2.95656	-18.17721029
-2.68732	-15.92374154
-2.40284	-13.91448011
-2.11074	-11.95948698
-1.70942	-9.407542593
-1.20904	-6.638080198
-0.5715	-3.35306899
0.09652	-0.610740743
0.65278	1.26240512
1.2573	4.086135811
1.83896	6.93700065
2.28854	9.407542593
2.57048	11.03648112
2.90322	12.47548062
2.67462	10.54806646
2.38506	8.022811396
2.07518	6.312470421
1.73736	4.276074847
1.13538	1.615593867
0.5842	-0.66500904
0.03556	-2.75567291
-0.08382	-3.054593361
-0.24892	-3.95046507
-0.8509	-6.855598205
-1.48844	-10.11347527
-2.15646	-13.99588255
-2.73304	-17.60694836
-3.15976	-20.21316105
-2.6543	-15.19067472
-2.09296	-11.52534061
-1.46558	-8.131347988
-0.87376	-5.090544112
-0.20066	-1.886935348
0.36576	0.393667559
0.9906	2.918477798
1.58496	5.389464564
2.18694	8.783012365
2.794	12.0684684
2.45872	8.837280661
1.82626	5.199080705
1.23444	2.158276829
0.67056	-0.013789485
0.07112	-2.185410977
-0.09906	-3.027459213
-0.5207	-4.574995299
-1.37668	-8.864414809
-2.30886	-14.05015085
-3.07594	-19.77901468
-3.74396	-23.74282441
-4.27482	-24.66583027
-4.42468	-23.98703174
-4.2037	-21.5707581
-3.93446	-19.80614882
-3.69824	-17.52554592
-3.2639	-14.72894938
-2.64668	-10.41195089
-1.82626	-5.932147526
-0.889	-1.995471941
-0.05588	0.909661195
0.79756	4.248940699
1.64084	7.968543099
2.53238	12.01375528
3.30708	15.97800983
3.88112	18.52995422
3.8989	17.17235717
3.42138	13.42562062
2.90576	10.14060941
2.39522	7.018403094
1.77038	3.95046507
1.10744	1.181002676
0.4318	-1.235270972
-0.06604	-2.864209502
-0.04318	-2.918477798
-0.46736	-4.466013884
-1.37668	-7.398281167
-2.3622	-12.52974891
-3.175	-17.06382058
-3.95478	-21.95108099
-4.2164	-21.81496543
-3.49758	-15.57055279
-2.7559	-10.71087135
-1.91262	-6.231067977
-0.96266	-2.294392392
-0.07874	0.610740743
0.76708	3.95046507
1.62814	7.316878723
2.48158	11.17215186
3.34264	15.57055279
4.0259	18.44855178
3.35788	13.15427914
2.66446	9.109066964
1.95834	5.280927971
1.32842	2.32152654
0.73914	0.23086267
0.12446	-1.615593867
-0.02286	-2.565733873
-0.02032	-2.701404613
-0.02794	-2.620002169
-0.02794	-2.89134365
-0.4572	-4.303208995
-1.524	-8.267018729
-2.78892	-14.3490713
-3.9624	-21.19088002
-5.08508	-26.64795754
-5.86232	-28.63008482
-6.35254	-28.9014263
-6.3627	-26.89216488
-6.10108	-24.82907998
-5.83946	-22.62987952
-5.65404	-21.02763031
-5.5626	-20.4035449
-5.45338	-19.34442348
-5.36702	-18.71989326
-5.21462	-17.17235717
-4.23164	-9.977804525
-2.97942	-3.923330922
-1.61036	0.719277336
-0.30988	4.927739224
1.00838	9.000085549
2.3114	13.18141329
3.61442	17.90542399
4.86664	22.901221
5.61848	25.2360922
6.11886	26.2947688
5.7531	22.30382492
5.27558	19.29015519
4.82854	16.08654642
4.35102	12.93720596
3.88112	10.14060941
3.3782	7.615799174
2.8702	4.927739224
2.36982	3.135995805
1.89738	1.289539268
1.2065	-0.936795343
0.1905	-4.031867514
0.02032	-4.140404107
-0.44196	-5.823610933
-1.84912	-10.05920697
-3.22072	-14.45760789
-4.41198	-19.64334394
-5.36702	-23.87849515
-5.98424	-26.32190295
-6.50748	-28.16835948
-6.16204	-24.55729367
-5.90296	-22.7926844
-5.64134	-20.34927661
-5.36194	-18.58422252
-5.09524	-16.38502205
-4.8387	-14.4033396
-4.44754	-11.44393817
-3.38074	-5.986415822
-2.02946	-0.936795343
-0.73406	3.054593361
0.59944	7.479683612
1.88976	11.57960891
2.87782	14.3490713
3.66268	16.6839425
4.41706	19.53436252
5.06476	22.14102003
5.56006	23.95989759
6.02234	25.64354924
5.84962	22.81981855
5.36702	19.72474638
4.90728	16.27648546
4.46024	13.26281573
3.98018	10.57520061
3.48234	8.131347988
2.98196	5.5794036
2.25806	2.647136317
1.10744	-1.126734379
0.0762	-4.059001663
0	-3.923330922
-0.01524	-4.194672403
-0.03302	-3.977599218
-0.03302	-4.031867514
-1.1049	-7.371147019
-3.02514	-13.34421818
-4.73964	-20.34927661
-6.27126	-27.38102437
-7.9502	-30.82884046
-8.78586	-30.96495603
-9.14908	-30.44896239
-8.93064	-28.22262778
-8.7122	-26.2405005
-8.50138	-24.69296442
-8.23976	-22.71128196
-8.04418	-20.86482542
-7.7724	-18.99167956
-7.24916	-15.13640642
-5.98932	-7.344012871
-4.15798	-0.773990454
-2.44602	3.705812915
-0.53848	8.376000143
1.30048	12.85580351
2.9591	16.16794887
4.42468	19.91468542
5.83438	23.9056293
7.01802	25.86062243
7.76478	26.91929903
8.12038	27.51669511
8.40994	27.9512863
8.6614	27.97842045
8.80872	28.22262778
8.72236	26.64795754
8.61568	25.48029953
8.49122	24.53015953
8.36422	23.63428782
8.20928	22.68414781
8.02894	21.5707581
7.44982	17.55268007
6.75132	13.64313863
6.11886	10.08634112
5.45846	7.018403094
4.79552	4.764934335
3.95224	2.076874385
2.96418	-0.801124602
1.86182	-3.515873878
0.76962	-5.932147526
0.11684	-6.855598205
0.09144	-7.181207982
-0.48006	-8.864414809
-2.48158	-12.61115136
-4.33324	-16.6839425
-6.0706	-21.5707581
-7.71398	-26.64795754
-9.1313	-29.60735898
-9.09828	-28.71148727
-9.00684	-27.86988385
-8.97128	-27.5709634
-8.9535	-27.67949999
-8.93826	-27.43529266
-8.92556	-27.43529266
-8.93064	-27.16395118
-8.92556	-27.13681703
-8.88238	-26.91929903
-8.88492	-26.53942095
-8.85952	-26.1862322
-8.8392	-26.15909806
-8.8265	-25.83348828
-8.80872	-26.34948192
-8.80364	-26.21336635
-8.79348	-25.99629317
-8.77316	-25.96915902
-8.76046	-25.80635413
-8.76046	-25.53456783
-8.75538	-25.77921998
-8.74014	-25.31749464
-8.23468	-21.29941661
-6.78942	-11.47107231
-5.04952	-3.95046507
-3.26644	1.343807564
-1.41478	5.525135304
0.4572	10.11347527
2.28346	13.42562062
4.14782	16.90101569
5.95122	20.83769127
7.52094	24.61156197
8.29818	26.32190295
8.49376	26.70222584
8.62076	26.91929903
8.763	27.27248777
8.79348	26.59368925
8.6614	25.39889709
8.53948	24.44875708
8.42518	23.52575122
8.30072	22.68414781
8.16864	21.65216054
7.99338	20.43067905
7.85368	19.53436252
7.20344	15.62482108
6.4135	11.09074942
4.75488	3.923330922
3.0734	-0.556472447
1.27762	-4.629263595
0.11938	-7.208342131
0.08128	-6.93700065
0.06858	-7.045537242
0.0508	-6.93700065
-1.40462	-10.73800549
-3.75158	-15.19067472
-5.93598	-20.29456349
-7.99592	-26.32190295
-9.1059	-29.52595653
-10.4394	-31.64375455
-11.44524	-32.6210287
-11.41222	-30.44896239
-11.21664	-28.9556946
-11.02106	-27.51669511
-10.83564	-25.86062243
-10.62482	-24.47589123
-10.287	-21.97821514
-9.31418	-15.62482108
-8.11022	-8.864414809
-6.82752	-3.543008027
-5.45338	0.312265114
-4.11226	3.434471434
-2.74066	6.529543606
-1.27254	9.054798668
0.13716	11.82381624
1.89484	14.70181523
3.80746	17.52554592
5.82676	20.37641076
8.11022	24.80150101
10.34796	28.60295067
10.19556	22.4666298
9.93902	20.91909372
9.71296	19.50722837
9.4742	17.98682644
9.22782	16.65680836
8.98906	15.3534796
8.7503	14.05015085
8.51154	12.77395625
8.26008	11.66101135
8.01878	10.52048749
7.42696	7.53439673
5.30352	1.072466083
3.09118	-3.35306899
0.82804	-7.914274803
0.09906	-8.891548957
0.0889	-9.271871852
-1.3081	-11.79668209
-3.63728	-15.29921131
-5.9436	-19.04594786
-8.10768	-23.74282441
-10.29716	-29.14563364
-11.0617	-27.00070147
-9.62406	-17.14522302
-8.3947	-10.38481675
-7.112	-4.873470928
-5.30098	0.529338299
-3.52044	3.651544619
-1.63068	7.588665026
0.26162	11.19928601
2.08534	14.077285
3.96748	16.65680836
5.82676	19.1816186
7.66318	22.19528832
9.47674	25.96915902
11.049	28.33116437
9.58596	18.17721029
7.90448	9.760286518
6.17982	3.705812915
4.5085	-0.339399262
2.63652	-3.81479433
0.81026	-7.425415315
0.11684	-8.511670884
0.09398	-8.864414809
-1.78816	-12.31267573
-4.05384	-15.86947324
-6.26618	-19.31728934
-8.36422	-23.74282441
-10.48258	-29.06423119
-12.55268	-33.08230922
-13.77188	-32.02363262
-13.4112	-28.54823756
-13.06576	-25.75208584
-12.64666	-22.98262344
-12.23772	-20.37641076
-11.1252	-13.04574255
-8.95604	-4.167538255
-6.731	1.370941712
-4.11226	6.095397236
-1.19634	10.90081038
1.73482	15.00029086
4.7117	18.69275911
7.25932	21.4622215
8.95604	23.93276345
10.43178	26.48515266
11.72718	28.49396926
12.6619	29.66162727
13.46708	30.61176728
13.06068	25.91489072
12.39012	21.81496543
11.66622	17.30847273
10.86612	12.9643401
10.11174	10.00493867
9.33704	7.018403094
8.509	4.438879736
7.5692	1.588459719
5.39242	-2.239679274
2.71018	-6.855598205
0.28702	-10.46621919
0.08382	-10.14060941
0.06604	-10.54806646
-1.50368	-13.0186084
-4.33324	-16.35788791
-7.12216	-19.96895371
-9.87044	-24.63869612
-12.0396	-28.87429216
-13.59916	-32.18643751
-13.31214	-26.64795754
-12.15136	-18.39428348
-10.7696	-10.6294689
-9.12114	-4.629263595
-7.05866	0.583606595
-4.23164	5.633671897
-1.22936	10.38481675
1.70688	14.48474204
4.64058	18.17721029
7.6327	21.13661173
9.94156	24.06843419
12.14374	27.92415215
13.20038	26.07769561
11.64336	16.90101569
10.17778	10.00493867
8.04164	2.918477798
5.62864	-1.534191423
3.02514	-6.01354997
0.49276	-10.22201186
0.03556	-10.57520061
0.0127	-10.16774356
0.0381	-9.896402081
-2.6162	-14.13155329
-6.34238	-18.47568592
-10.03554	-23.95989759
-13.47216	-31.37196825
-16.12138	-34.43990627
-16.69034	-35.0101682
-17.11198	-35.44475939
-17.5387	-35.58043013
-17.9705	-36.0688448
-18.40992	-36.25922866
-18.38198	-34.03289405
-18.07464	-31.53477314
-17.77746	-29.28130438
-17.49806	-27.19108533
-16.87068	-22.62987952
-15.78356	-15.54341864
-14.56944	-8.945817253
-13.208	-3.896196774
-11.68146	-0.420801707
-10.11682	1.914069496
-6.95452	7.018403094
-3.14198	12.04133425
0.68072	16.4121562
4.43992	19.42582593
8.22452	22.68414781
11.81354	25.69781754
14.57452	28.71148727
16.64208	31.37196825
17.86636	31.99649848
18.50136	32.64816285
18.13052	29.03709704
17.85874	27.10968288
17.32026	23.87849515
16.06804	16.98241813
14.74724	11.09074942
13.35786	6.448141162
11.938	2.565733873
10.0838	-0.583606595
7.3152	-4.221806551
4.2291	-8.620207476
1.1303	-12.23127328
0.07874	-12.88293766
0.0635	-12.88293766
-3.20548	-16.7924791
-6.9723	-19.83328297
-10.78484	-23.41721463
-14.30274	-28.30403022
-17.64538	-34.0057599
-17.25676	-24.25881805
-15.5829	-14.32193715
-13.27912	-5.063409964
-10.20064	1.235270972
-6.92658	5.687940193
-3.1623	11.00934698
0.8636	15.48915034
4.79806	18.7470274
8.77316	21.95108099
12.71016	25.45316538
15.51432	28.68435312
18.0594	31.94223018
16.93164	21.86967855
14.67358	10.71087135
12.17676	3.217398249
9.56056	-0.963929491
5.842	-5.877879229
1.95326	-11.00934698
0.0635	-12.93720596
0.01778	-12.6925538
0.01016	-12.47548062
0.01778	-12.66541965
0	-12.52974891
-0.00762	-12.52974891
-0.00254	-12.28554158
-4.46278	-17.55268007
-10.04316	-23.58001952
-14.44244	-29.09136534
-18.59026	-35.85177162
-23.05812	-38.70263645
-26.48712	-40.00596521
-27.60472	-33.76110775
-25.31364	-19.88755127
-22.45106	-5.796476785
-18.95602	-0.013789485
-15.45336	5.171946557
-11.95578	9.353274297
-8.32358	12.55688306
-4.79552	15.59768694
-1.31572	18.42141763
2.76098	20.59348394
8.21436	23.47148293
13.97	26.86503073
19.70278	30.2861575
25.52954	34.27710138
28.76296	35.74323502
27.9781	28.60295067
26.543	21.35368491
24.92502	14.81035182
23.24608	9.109066964
21.46554	4.602129447
19.69262	1.479478305
16.72336	-1.696996312
11.82624	-6.47527531
6.07822	-12.14987084
0.75438	-17.33560688
0.07874	-16.98241813
-3.61696	-20.07749031
-9.4488	-23.25396492
-15.13078	-26.78362829
-20.54606	-31.20916336
-24.17826	-34.98303405
-27.41422	-37.80676475
-27.25674	-29.06423119
-24.7142	-15.97800983
-20.84832	-4.140404107
-16.17218	3.054593361
-11.28268	7.724335767
-5.01396	14.24008989
0.99822	18.69275911
6.9469	21.97821514
12.98702	24.74723271
18.87728	27.97842045
23.54072	31.12776091
27.2923	33.7339736
28.1432	27.78803659
25.22728	15.08213812
21.87194	5.416598712
18.39722	-0.013789485
14.58722	-3.027459213
10.0584	-7.561530878
5.17398	-12.33980988
0.61722	-15.78762597
-0.10668	-15.89660739
-0.11938	-15.43488205
-0.11938	-15.29921131
-0.12192	-15.24494301
-0.11684	-15.24494301
-0.13462	-15.24494301
-0.03048	-14.48474204
1.27254	-7.398281167
2.2987	-5.226214853
5.8674	0.610740743
8.27786	2.538599725
10.54862	5.335196267
11.18108	6.61094605
11.79068	7.588665026
13.13942	10.49335334
15.9385	16.08654642
20.15744	22.35809321
22.76094	25.58928095
23.15972	25.50743368
23.99792	26.81076243
25.49144	29.30843852
28.17876	32.40395552
28.59278	32.48535796
28.6258	32.10503507
30.7848	34.98303405
31.1785	34.27710138
31.1912	33.76110775
32.65678	36.23209451
34.8742	36.12355792
34.89452	35.82463747
36.2204	37.48071015
36.36518	36.53057014
22.01164	-2.076874385
7.7216	-14.26722404
0.60198	-18.0686737
-1.17348	-19.39869178
