"""Thompson and Wallace, 1994, C1"""	
714	
0.05588	-7.995677248
-0.02794	-8.212750432
-0.11176	-8.511670884
-0.20066	-9.136201112
-0.29972	-9.434676741
-0.33782	-9.109066964
-0.23368	-8.077079692
-0.16764	-7.697201618
-0.09398	-7.154073834
-0.05588	-6.47527531
0.03556	-5.796476785
0.13208	-5.362330416
0.20574	-4.819202631
0.2794	-4.493148032
0.3302	-4.031867514
0.3937	-3.570142175
0.33782	-4.248940699
0.25908	-5.063409964
0.1778	-5.660806045
0.0889	-6.176799681
0.00508	-6.448141162
-0.01524	-6.93700065
-0.0889	-7.778604063
-0.16256	-8.131347988
-0.24892	-8.755878216
-0.35306	-9.109066964
-0.3429	-9.217603556
-0.26162	-8.049945544
-0.18542	-7.452549463
-0.11684	-6.93700065
-0.04826	-6.285336273
0	-5.769342637
0.10414	-5.199080705
0.16002	-4.927739224
0.25908	-4.303208995
0.3302	-4.031867514
0.37338	-3.923330922
0.2921	-4.520727002
0.20066	-4.873470928
0.16256	-5.144812409
0.10922	-5.687940193
0.02794	-6.556677754
0	-6.61094605
-0.21336	-8.10421384
-0.45466	-9.814999637
-0.6477	-10.6837372
-0.87122	-11.36253572
-1.08966	-12.7468221
-0.94742	-10.90081038
-0.75946	-9.054798668
-0.5334	-7.425415315
-0.31496	-5.850745081
-0.07366	-4.710666039
0.1651	-3.570142175
0.41656	-2.32152654
0.62992	-1.181002676
0.81026	-0.203728522
0.99822	0.637874891
0.86868	-0.203728522
0.66802	-1.805532904
0.4445	-2.864209502
0.23368	-4.221806551
0.02286	-5.036275816
0.02286	-4.954873372
-0.10414	-5.633671897
-0.3175	-6.882732353
-0.56896	-8.70160992
-0.79502	-10.22201186
-1.02616	-11.7424138
-1.08712	-11.17215186
-0.85852	-9.299006001
-0.6223	-7.724335767
-0.41148	-6.529543606
-0.20574	-5.362330416
0.02794	-3.81479433
0.23622	-3.027459213
0.45974	-1.696996312
0.70612	-0.746411484
0.89408	0.149460226
0.9906	0.095191929
0.83312	-1.018197787
0.62484	-1.696996312
