Galeota 1996 Specimen AA3	
37.52	43.37982
37.88	43.12083
38.83	41.69642
39.82	40.85472
40.16	40.59574
41.13	39.43031
41.57	38.20014
41.24	36.32251
40.74	33.47368
40.4	32.04927
39.87	29.26519
39.64	27.84078
39.11	25.31569
38.79	24.47399
38.2	22.40212
37.98	21.62516
37.37	19.55329
37.11	18.51736
36.29	15.73328
36	14.89158
35.28	12.1075
34.97	11.58953
34.08	9.970884
33.84	9.193932
33.19	7.186806
33	6.539346
32.61	5.244426
32.27	3.690522
31.88	3.107808
31.16	1.877634
30.76	1.035936
30.41	0.388476
29.57	-1.100682
29.21	-1.683396
28.47	-2.848824
27.5	-4.078998
27.16	-4.53222
26.47	-5.114934
25.35	-5.697648
24.67	-6.086124
23.92	-6.409854
23.55	-6.539346
22.8	-6.992568
22.05	-6.992568
21.24	-6.79833
20.07	-6.927822
19.3	-6.927822
18.48	-6.927822
17.78	-6.927822
16.92	-6.927822
16.19	-6.992568
15.08	-7.186806
13.9	-7.575282
13.18	-7.963758
12.46	-8.352234
12.11	-8.546472
11.39	-8.870202
10.28	-10.03563
9.560001	-10.42411
8.890001	-11.20106
8.54	-11.52479
7.62	-13.46717
7.28	-13.92039
6.66	-15.3448
6.1	-16.57498
5.76	-17.15769
4.87	-19.4238
4.58	-20.20075
4	-21.8194
3.66	-22.6611
3.11	-24.3445
2.78	-25.12145
2.51	-25.96315
1.91	-27.5818
1.61	-28.48824
1.04	-30.43062
0.75	-31.33706
0.14	-33.27945
-0.13	-34.12114
-0.71	-36.12827
-0.98	-37.1642
-1.79	-39.49506
-2.17	-40.72523
-2.47	-41.76117
-3.04	-43.50931
-3.35	-44.41576
-3.93	-46.0344
-4.23	-46.8761
-4.52	-47.65306
-5.14	-49.20696
-5.43	-49.91917
-6.04	-51.27883
-6.34	-51.92629
-6.97	-53.09172
-7.6	-54.1924
-7.97	-54.64562
-8.62	-55.61681
-9.270001	-56.39376
-9.62	-56.84699
-10.32	-57.23546
-11.03	-57.62394
-11.72	-58.01242
-12.13	-57.88292
-12.47	-57.88292
-13.27	-58.01242
-14.43	-57.81818
-15.27	-56.97648
-16.05	-56.07004
-17.33	-54.96935
-18.18	-53.99817
-18.6	-53.54494
-19.51	-52.76799
-20.36	-51.53782
-21.25	-50.69612
-21.7	-50.1134
-22.56	-48.88323
-23.46	-47.78255
-23.92	-46.8761
-24.81	-45.84017
-25.7	-44.73949
-26.12	-44.22152
-27.02	-42.99134
-27.91	-41.76117
-28.34	-41.43744
-29.22	-40.33676
-30.07	-39.49506
-30.52	-39.04184
-30.92	-38.45913
-31.81	-37.55268
-32.73	-36.64624
-33.12	-36.25776
-33.6	-35.80454
-34.45	-34.7686
-35.32	-33.99165
-35.74	-33.53843
-36.17	-33.14995
-37.03	-32.373
-37.9	-31.33706
-38.77	-30.43062
-39.2	-30.23638
-40.03	-29.45943
-40.9	-28.81197
-41.77	-27.97027
-42.24	-27.4523
-43.56	-24.60348
-44.08	-23.56754
-44.98	-22.07839
-45.46	-21.23669
-46.38	-20.2655
-46.74	-19.68278
