"Atalay and Penzien, 1975, Spec. 4"	
1410	
0	0
-0.19482	1.6744
0	2.8337
0.24353	4.2505
0.73058	6.1827
1.0228	7.7284
1.2663	9.4026
1.656	11.206
1.8021	12.107
2.2405	14.04
1.656	10.691
2.143	13.138
2.6302	14.684
3.1171	16.873
3.4094	18.548
3.7015	20.222
4.0912	21.382
4.4808	22.669
4.7732	23.442
5.2116	24.988
5.6012	26.018
5.9421	26.534
6.3805	27.435
6.7213	28.079
7.111	28.98
7.1598	29.109
7.8415	30.398
8.2799	31.042
8.621	31.428
8.8158	31.814
9.1567	31.814
9.4976	32.072
9.5463	31.042
9.4976	29.238
9.254	27.95
8.9619	26.276
8.7183	24.988
8.3287	22.927
7.8415	21.51
7.4033	19.836
7.2085	19.063
6.9649	18.033
6.5265	16.487
5.8448	14.297
4.7244	10.691
4.0912	8.63
3.4094	6.5688
2.6302	3.9929
2.0943	1.932
1.656	0.38641
1.1202	-1.2881
0.68189	-2.7049
-0.14612	-7.3419
-0.87671	-9.6602
-1.4125	-12.494
-1.8508	-14.555
-2.2892	-16.744
-2.7762	-19.063
-3.0686	-20.351
-3.5067	-23.313
-3.8964	-25.374
-4.3835	-27.564
-4.968	-30.14
-5.4552	-32.587
-5.9421	-34.391
-6.5265	-36.838
-6.8674	-38.126
-7.257	-40.702
-7.6467	-42.119
-8.0851	-44.694
-8.3774	-46.241
-8.7671	-48.043
-9.0107	-49.591
-8.4747	-45.08
-8.0366	-41.603
-7.5982	-38.383
-7.4519	-37.095
-7.1598	-34.648
-6.8189	-32.845
-6.5753	-30.269
-6.2829	-28.594
-5.8933	-26.791
-5.6012	-24.988
-5.3089	-23.185
-4.968	-21.382
-4.8705	-20.866
-4.5296	-19.192
-4.1887	-17.26
-3.7015	-15.199
-3.2146	-13.267
-2.9223	-11.592
-2.4353	-9.4026
-2.143	-7.7284
-1.4125	-4.508
-0.97412	-2.7049
0.68189	3.0913
1.0228	5.1521
1.5099	7.0843
2.143	9.6602
2.6302	11.077
3.1171	13.138
3.7015	15.199
4.286	17.002
5.2116	20.479
5.7473	22.798
6.1857	24.215
6.6726	26.405
7.0622	27.821
7.7442	29.625
8.5722	32.072
8.9619	32.716
9.3028	32.845
9.4976	32.845
9.3515	32.329
8.9619	30.913
8.3287	28.079
7.9878	26.405
7.5006	24.215
6.9162	21.51
6.3317	18.676
5.6985	16.358
5.2601	14.684
4.6756	12.236
4.1399	10.175
3.4582	7.9859
3.0198	6.4403
2.6789	5.2811
2.143	2.8337
1.5099	0.77284
0.73058	-1.932
0.14612	-4.508
-0.19482	-6.1827
-0.68189	-8.63
-1.1689	-10.819
-1.5586	-12.881
-2.1918	-15.327
-2.6302	-18.033
-3.0686	-21.382
-3.5067	-23.957
-3.8964	-26.276
-4.4808	-28.723
-4.968	-31.814
-5.3089	-33.618
-5.3576	-34.004
-5.796	-35.936
-6.1369	-37.74
-6.4778	-39.414
-6.8189	-41.088
-7.111	-42.505
-7.6467	-44.822
-8.0851	-46.886
-8.4747	-48.172
-8.8158	-49.204
-8.3774	-45.467
-8.1338	-43.149
-7.939	-41.088
-7.6467	-39.414
-7.5006	-38.255
-7.2085	-35.807
-6.8189	-33.618
-6.5265	-31.814
-6.2344	-30.011
-6.0396	-28.079
-5.8448	-26.405
-5.5037	-24.472
-5.114	-22.541
-4.7244	-20.737
-4.4323	-19.449
-4.0912	-17.389
-3.7015	-15.456
-3.3119	-14.04
-3.0686	-12.752
-2.6302	-10.691
-2.2892	-9.4026
-1.9969	-7.8569
-1.6073	-6.4403
-1.2663	-4.7656
-1.0228	-3.8641
-0.63317	-1.8033
-0.097412	0.38641
0.29223	2.4472
0.68189	3.7353
0.9254	4.637
1.4125	6.9553
2.0456	8.7586
2.484	10.562
2.2892	9.6602
3.1171	11.85
3.6043	13.911
4.0912	16.229
4.4808	17.389
4.7732	18.548
5.1628	20.479
5.4552	22.025
5.7473	23.185
5.8933	24.344
6.1857	25.89
6.5265	27.306
6.8674	28.465
7.111	29.238
7.5006	30.011
7.7442	30.784
8.2799	31.686
8.6695	32.716
8.9131	33.36
8.8158	32.329
8.4262	29.367
8.1338	28.079
8.0851	27.306
7.5494	23.442
7.3058	22.283
6.8189	20.093
6.4778	18.29
6.0396	16.744
5.6012	14.684
5.2116	13.138
4.6271	11.206
4.0427	9.2736
3.653	7.9859
3.0198	5.6672
2.484	3.9929
1.8021	1.2881
1.2177	-1.0304
0.53576	-3.8641
0	-6.5688
-0.43835	-7.9859
-0.87671	-9.9177
-1.4612	-12.623
-1.9482	-14.684
-2.484	-17.646
-3.0198	-19.964
-3.3607	-21.639
-3.653	-24.344
-3.9451	-26.534
-4.5784	-30.011
-5.0653	-32.716
-5.5037	-34.648
-6.0881	-37.482
-6.5265	-39.414
-7.0137	-41.088
-7.3058	-42.119
-7.8903	-44.308
-8.3774	-46.112
-8.621	-47.011
-8.3774	-43.922
-8.1826	-42.248
-7.939	-39.8
-7.1598	-35.292
-6.8189	-33.489
-6.4292	-30.655
-5.9421	-27.821
-5.4552	-25.503
-5.0168	-22.541
-4.6271	-20.093
-4.286	-18.033
-3.7991	-15.714
-3.5555	-14.426
-3.3119	-13.396
-2.971	-11.979
-2.6302	-10.175
-2.1918	-8.501
-1.8508	-7.3419
-1.4612	-5.5386
-1.2177	-4.3793
-0.73058	-2.1897
-0.29223	-0.64403
0.097412	1.0304
0.53576	2.7049
1.5099	6.6978
1.9969	8.372
2.4353	10.175
3.0686	12.494
3.6043	14.941
4.1399	17.002
4.6271	18.805
5.114	20.866
5.6012	22.283
5.8448	23.442
6.1857	24.472
6.7213	26.018
7.1598	27.693
7.5006	28.723
7.9878	30.14
8.6695	31.557
8.8643	32.458
8.3774	29.109
7.8415	26.018
7.5006	24.086
6.9649	21.382
6.7213	19.192
6.2829	17.131
5.4552	14.426
4.5784	10.948
3.9939	9.1451
3.653	7.9859
2.3379	3.4777
1.3151	0
0.53576	-2.3185
-0.24353	-5.6672
-0.97412	-8.8875
-1.5099	-12.365
-2.143	-15.971
-2.825	-19.449
-3.6043	-23.442
-4.0912	-26.018
-5.1628	-31.943
-5.6012	-34.519
-5.9421	-36.194
-6.1857	-37.353
-6.7701	-39.671
-7.4033	-41.99
-7.6954	-43.02
-8.2314	-44.694
-8.5722	-45.983
-9.1079	-47.269
-8.9131	-43.922
-8.1338	-39.8
-7.7442	-37.868
-7.4033	-36.322
-6.9649	-33.747
-6.4778	-30.784
-6.0396	-28.208
-5.5524	-24.472
-5.0653	-21.768
-4.1887	-17.646
-3.4094	-14.684
-2.825	-11.85
-2.3866	-9.9177
-1.7047	-7.0843
-1.1689	-4.8946
-0.58448	-1.932
0.048705	0.77284
0.68189	3.3489
1.3638	6.0537
2.2892	9.4026
2.825	11.206
3.6043	13.911
4.3348	17.517
4.8705	19.578
5.5524	22.541
6.0881	24.73
6.7701	27.049
7.5494	29.754
8.3774	32.201
9.0107	34.004
9.6436	35.55
10.18	36.709
10.861	38.255
11.982	40.444
12.323	41.346
13.394	43.793
14.173	45.08
14.904	46.112
15.488	47.011
15.878	47.398
16.657	48.043
16.95	48.301
17.534	48.817
18.021	48.817
18.459	48.817
18.703	49.075
18.995	49.075
19.141	49.075
19.141	46.241
19.044	44.308
18.703	41.474
18.216	38.641
17.68	36.58
17.096	34.262
16.463	32.201
15.975	30.14
15.001	26.791
14.222	24.215
13.394	21.897
12.128	18.805
11.397	16.358
10.326	13.653
9.3515	10.819
7.939	6.5688
6.8674	3.6065
5.9421	1.0304
5.1628	-0.77284
4.0912	-3.9929
3.7991	-4.8946
3.4094	-6.8263
2.7275	-9.0161
2.143	-10.819
1.1689	-14.168
0.097412	-17.517
-0.53576	-19.964
-1.2177	-22.025
-2.3866	-25.761
-3.2146	-28.465
-3.7991	-30.269
-4.6271	-32.845
-5.4552	-35.421
-6.4778	-38.512
-7.3058	-41.088
-8.1826	-44.179
-8.6695	-45.596
-9.254	-48.172
-10.228	-52.037
-11.056	-55.129
-11.689	-56.93
-12.469	-59.763
-13.151	-61.956
-13.735	-63.629
-14.32	-64.79
-15.294	-66.591
-15.829	-67.623
-16.657	-68.392
-17.777	-69.682
-18.411	-70.069
-18.947	-70.327
-19.287	-70.327
-19.482	-70.069
-19.677	-69.682
-19.921	-68.779
-20.018	-68.392
-20.067	-67.236
