Saatcioglu and Grira 1999 Column BG-7	
9441	
0	0
0.25	15.23617629
0.5	23.37666261
0.75	34.82483891
1	43.4132462
1.25	51.1747234
1.5	57.35126444
1.75	65.80182371
2	73.59781155
2.25	77.6381155
2.507149	85.64297872
3.006744	91.03604863
3.50634	96.46352584
4.005935	99.34133739
4.50553	105.6990881
5.005125	110.7820061
5.504721	115.9683283
6.004315	118.846079
5.487493	40.57508207
4.987897	34.04503951
4.488302	21.31307599
3.988707	9.442486322
3.489112	-1.015440122
2.989517	-9.061507599
2.489922	-18.17568997
1.990326	-27.59996353
1.490731	-35.16365957
0.9911363	-46.8619696
0.4915411	-52.87519149
-0.008054018	-61.61033435
-0.5076491	-71.86158055
-1.007244	-71.60395137
-1.506839	-81.20048632
-2.006434	-87.73051672
-2.50603	-94.91519757
-3.005625	-96.03580547
-3.50522	-104.1163526
-4.022042	-112.0643769
-4.50441	-113.7309422
-5.004005	-119.3651064
-5.520828	-119.9398176
-6.003196	-120.1247416
-5.486373	-72.89781155
-4.986778	-51.96550152
-4.487183	-40.16382371
-3.987587	-32.32448024
-3.487992	-22.28001824
-2.988397	-11.5808997
-2.488802	-0.606146565
-1.989207	7.508832827
-1.489612	13.55650456
-0.9900167	19.19071733
-0.4904215	31.68149544
0.009173393	37.07451672
0.510793	50.90967781
1.010388	59.43812766
1.509983	66.45051672
2.009578	73.63525836
2.509173	80.99221884
3.008769	87.76340426
3.508364	94.9481459
4.007959	100.9268693
4.507554	108.387234
5.007149	112.126383
5.506744	119.2766565
6.00634	124.6007295
6.505935	130.2349544
7.00553	133.4572644
7.522352	139.2002432
8.004721	140.9356231
8.504315	141.3326444
7.987493	82.4943465
7.487897	73.38018237
6.988302	65.12735562
6.488707	56.77122188
5.989112	50.68908815
5.489517	45.60616413
4.989922	31.97836474
4.490326	23.86338602
3.990731	11.71715502
3.491136	5.876218237
2.991541	-2.652222492
2.491946	-13.24797568
1.992351	-18.53762918
1.492756	-28.06527052
0.9931607	-34.56086322
0.4935656	-43.22712462
-0.006029591	-51.23873556
-0.5056247	-58.87133739
-1.00522	-66.88297872
-1.504815	-70.86328267
-2.00441	-81.18340426
-2.504005	-85.956231
-3.003601	-89.07525836
-3.503196	-98.80960486
-4.002791	-104.4438298
-4.502386	-109.5956839
-5.001981	-115.781155
-5.501576	-121.4497872
-6.001172	-129.8059574
-6.500767	-133.2006079
-7.000362	-138.6969605
-7.517184	-141.6835258
-8.016779	-149.212766
-8.516374	-150.0232827
-9.015969	-152.039696
-9.515564	-155.0897264
-8.998742	-91.3243769
-8.499146	-83.4849848
-7.982324	-75.22680851
-7.499957	-68.18534954
-6.983134	-60.47846809
-6.483539	-52.98368389
-5.983944	-46.66036474
-5.484349	-38.54538602
-4.984754	-30.18922188
-4.485158	-22.10869909
-3.985563	-16.30221277
-3.485968	-7.256948328
-2.986373	1.616046201
-2.486778	7.146887538
-1.987183	15.60641945
-1.487588	21.75745897
-0.9879924	29.18333739
-0.4883973	34.81754407
0.01119782	41.8988693
0.510793	48.42891185
1.010388	56.85398784
1.509983	61.9368997
2.009578	68.08796353
2.509173	74.58352584
3.008769	81.4581155
3.508364	87.7125228
4.007959	93.48455927
4.507554	99.77343465
5.007149	105.4421277
5.506744	109.9048024
6.00634	115.2978116
6.505935	121.5866869
7.00553	126.979696
7.505125	132.2004255
8.004721	135.8707599
8.504315	139.5754407
7.987493	85.07848024
7.487897	74.9306383
6.988302	65.57531915
6.488707	62.04285714
5.989112	53.61777508
5.47229	45.39406079
4.989922	37.14663222
4.473099	29.78429787
3.990731	20.50321581
3.491136	12.66387842
2.991541	4.893451672
2.491946	-4.358546505
1.992351	-12.37015805
1.492756	-17.14299088
0.9931607	-26.1882614
0.4935656	-33.51077812
-0.006029591	-40.90219453
-0.5056247	-48.15579939
-1.00522	-55.68503951
-1.504815	-63.35209726
-2.021638	-69.23288754
-2.504005	-75.58522796
-3.003601	-75.77556231
-3.503196	-85.44103343
-4.002791	-90.24832827
-4.502386	-97.05398176
-5.001981	-102.6537386
-5.501576	-112.0435866
-6.001172	-116.2651064
-6.500767	-125.5515502
-7.000362	-125.6729483
-7.517184	-131.1747112
-8.016779	-139.2897264
-8.516374	-139.4455319
-9.015969	-145.0108207
-8.499146	-96.40571429
-7.999552	-77.5062614
-7.499957	-71.42413374
-6.983134	-67.09386018
-6.483539	-60.63271733
-5.983944	-51.07062614
-5.484349	-42.5766383
-4.984754	-36.32223708
-4.485158	-28.10389666
-3.985563	-21.67721581
-3.485968	-13.87233435
-2.986373	-3.965685714
-2.486778	4.390479027
-1.987183	9.990237082
-1.487588	16.65809726
-0.9879924	21.74102736
-0.4883973	28.82235258
0.02842525	27.12299088
0.5280204	28.17466869
1.027616	29.5708997
1.509983	31.61640122
2.026806	32.67344073
2.491946	30.26886322
3.008769	52.72254711
3.508364	71.00182371
4.007959	72.26018237
4.507554	84.92328267
5.007149	92.59033435
5.506744	99.223769
6.00634	105.926079
6.505935	110.5266261
7.00553	117.7801824
7.505125	122.4841337
8.004721	127.3258359
8.504315	131.6162918
9.003911	138.5942857
9.503506	141.9544073
10.0031	146.5894833
10.5027	150.1908207
11.00229	154.4812158
11.50189	159.5986018
12.00148	161.2704559
12.50108	164.5961702
13.00067	169.0244985
13.50027	170.3173252
14.01709	174.1307599
14.53391	177.2896049
15.01628	177.1299696
15.51587	179.2497264
16.01547	181.9896657
16.51506	184.9708207
17.01466	171.5168997
16.49784	118.1569605
15.99824	117.7254711
15.49865	108.1978723
14.99905	102.8048632
14.48223	95.40808511
13.99986	88.64224924
13.48304	85.38006079
12.98344	77.02389058
12.48385	69.59799392
11.98425	64.17051672
11.48466	58.19178723
10.98506	52.35085714
10.48547	47.1301155
9.985873	41.08244985
9.486279	33.62212158
8.986683	26.74753191
8.487088	24.45547112
7.987493	17.30524012
7.487897	11.94667477
6.988302	6.002368389
6.488707	-0.941133739
5.971885	-5.857158055
5.489517	-10.59015805
4.989922	-19.15305167
4.490326	-25.51082067
3.990731	-32.38541641
3.491136	-38.53644985
2.991541	-41.65543465
2.491946	-48.70231003
1.992351	-54.09533131
1.492756	-62.24474164
0.9931607	-67.81009119
0.4935656	-73.44425532
-0.006029591	-79.28522796
-0.5056247	-85.29841945
-1.00522	-90.14018237
-1.504815	-95.94662614
-2.021638	-95.9700304
-2.504005	-102.4947112
-3.003601	-107.818845
-3.503196	-116.657386
-4.002791	-117.2266869
-4.502386	-120.8969605
-5.019208	-129.6375076
-5.501576	-129.6846201
-6.001172	-129.8404255
-6.500767	-138.541155
-7.000362	-145.5190881
-7.517184	-145.7837082
-8.016779	-153.8297872
-8.516374	-155.4327052
-9.015969	-159.0341033
-9.515564	-163.9102736
-10.01516	-167.7183587
-10.51475	-169.0456535
-11.01435	-172.1990881
-11.51394	-174.4911246
-12.01354	-176.1629787
-12.51313	-179.9366565
-13.01273	-181.7807903
-13.51233	-183.1425532
-14.01192	-186.0548328
-14.51152	-188.8981155
-15.01111	-188.7093617
-15.51071	-191.001459
-16.0103	-192.3632219
-16.52712	-193.7992705
-15.99307	-139.986079
-15.49348	-131.5265046
-14.99388	-127.4083283
-14.49429	-124.5649848
-13.99469	-119.2064438
-13.4951	-112.9865046
-12.9955	-107.18
-12.49591	-101.7869909
-11.99631	-98.22012158
-11.49672	-91.6556231
-10.99712	-85.12559271
-10.49753	-80.83513678
-9.997932	-75.61440729
-9.498337	-70.87598784
-8.998742	-65.96534954
-8.499146	-56.36882067
-7.999552	-53.87003647
-7.499957	-48.23582979
-6.983134	-44.07781155
-6.483539	-38.82261398
-5.983944	-33.7741459
-5.484349	-30.10387842
-4.984754	-24.09066261
-4.485158	-18.9732766
-3.985563	-14.20044985
-3.485968	-6.946851064
-2.986373	-1.174820061
-2.469551	4.326943465
-1.969955	10.47798176
-1.487588	15.21097872
-0.9879924	20.84519149
-0.4883973	24.58437082
0.01119782	31.39004863
0.5280204	32.9294772
1.010388	38.14485106
1.509983	44.33033435
2.009578	46.93249848
2.509173	53.32471733
3.008769	57.99418845
3.508364	61.59556231
4.007959	68.19446809
4.507554	73.3118541
5.007149	78.80826748
5.506744	83.33993921
6.00634	87.4925228
6.505935	91.81744681
7.00553	96.28018237
7.505125	102.9480243
8.004721	106.3082067
8.504315	111.1499696
9.003911	113.7520973
9.503506	118.1459574
10.0031	121.1615805
10.5027	126.5201216
11.00229	131.6375076
11.50189	133.9640122
12.00148	135.3602432
12.50108	139.7540426
13.00067	144.1134347
13.50027	147.714772
14.03432	152.8428571
14.51668	155.9909422
15.01628	160.763769
15.51587	164.4340426
16.01547	168.2420669
16.51506	170.9475988
17.01466	174.5489362
16.49784	126.5640122
15.99824	118.9314286
15.49865	115.3300912
14.99905	105.1822492
14.49946	102.7868085
13.99986	95.49878419
13.48304	93.68370821
12.98344	86.15446809
12.48385	80.17574468
11.98425	74.50711246
11.48466	69.28638298
10.98506	63.06638298
10.48547	54.81360486
9.985873	53.14174468
9.486279	41.75353191
8.986683	41.18422492
8.487088	35.96348936
7.987493	30.94947112
7.487897	22.66221884
6.988302	17.54483891
6.488707	12.49637082
5.989112	7.103349544
5.489517	-0.150252888
4.989922	-6.094559271
4.490326	-11.96995137
3.990731	-13.74518541
3.491136	-20.13741033
2.991541	-24.42787234
2.491946	-30.68226748
1.992351	-36.4887538
1.492756	-43.36334954
0.9931607	-49.27319757
0.4935656	-52.77119149
-0.006029591	-57.95748936
-0.5056247	-63.48832827
-1.00522	-67.74431611
-1.504815	-72.68942249
-2.00441	-78.3581155
-2.504005	-81.68382979
-3.003601	-88.4206079
-3.503196	-91.22948328
-4.002791	-99.79240122
-4.502386	-101.2919757
-5.001981	-101.5167173
-5.501576	-108.150152
-6.001172	-113.3364134
-6.500767	-118.1437082
-7.000362	-121.0215198
-7.517184	-125.3517933
-8.016779	-128.2984802
-8.516374	-134.5184195
-9.015969	-136.8449848
-9.515564	-141.48
-10.01516	-142.2215198
-10.51475	-148.200304
-11.03158	-150.1187234
-11.51394	-153.4390881
-12.01354	-158.0396353
-12.51313	-159.6425532
-13.01273	-164.9322188
-13.51233	-166.8452888
-14.01192	-169.4818845
-14.51152	-175.0815805
-15.01111	-176.7879027
-15.51071	-181.4229179
-16.0103	-184.6108207
-16.5099	-184.7322188
-17.00949	-187.5410942
-16.49267	-142.4848024
-15.99307	-140.192766
-15.49348	-137.1082675
-14.97666	-129.9181763
-14.49429	-124.7717325
-13.99469	-119.9989058
-13.4951	-114.5025532
-12.9955	-109.7296657
-12.49591	-104.1643769
-11.99631	-100.425228
-11.49672	-95.27343465
-10.99712	-91.01738602
-10.49753	-86.03787234
-9.997932	-79.81793313
-9.498337	-76.28547112
-8.998742	-70.06553191
-8.499146	-63.08759878
-7.999552	-59.31395137
-7.499957	-53.78310638
-6.983134	-49.00490578
-6.483539	-43.61187842
-5.983944	-39.21805471
-5.484349	-33.85948936
-4.984754	-29.25893617
-4.485158	-23.90036474
-3.985563	-18.8863465
-3.485968	-14.0446079
-2.986373	-8.238121581
-2.486778	-1.604714286
-1.987183	3.305937994
-1.487588	9.353610942
-0.9879924	13.88525228
-0.4883973	18.62363526
0.01119782	22.60399392
0.510793	26.68772036
1.010388	33.66568389
1.509983	39.26543465
2.009578	44.00381763
2.509173	49.36238298
3.008769	55.09995137
3.508364	57.7021155
4.007959	62.47495441
4.507554	69.21173252
5.007149	74.46693009
5.506744	75.75975684
6.00634	79.77458967
6.505935	87.44170213
7.00553	91.24972644
7.505125	96.22930091
8.004721	101.1744073
8.504315	104.7413374
9.003911	109.445228
9.503506	114.803769
10.0031	118.0950152
10.5027	122.7989666
11.00229	127.3306383
11.50189	130.173921
12.00148	135.3257751
12.50108	138.6170213
13.00067	141.1158055
13.50027	144.7171429
14.01709	148.6684498
14.51668	153.2000608
15.01628	156.8013982
15.51587	160.1960486
