"Bayrak and Sheikh 1996, AS3-HT"	
2318	
0	0
0.010955329	25.02981092
0.066693755	25.00138655
0.042672839	25.05909664
0.006422767	24.85668067
0.051920261	24.40792017
0.036655224	24.1667437
0.050138706	24.13573529
0.056619211	24.14779412
0.036360739	24.1744958
0.048135029	26.69134454
0.23104417	30.34344538
0.335392629	34.10063025
0.515044984	37.67521008
0.599447112	41.37037815
0.785293764	45.01386555
0.904939649	48.67457983
1.041099302	52.275
1.201580321	55.79789916
1.349320158	59.24327731
1.41203797	62.32689076
1.632753452	65.75504202
1.785255672	69.3210084
1.890722059	72.07731092
2.087948792	75.68634454
2.221166308	78.925
2.30786835	81.36260504
2.49244212	84.3342437
2.603297384	87.78823529
2.768997249	90.51869748
2.977545651	93.97268908
3.121272357	96.7289916
3.299393452	99.39915966
3.498734791	102.3277311
3.646390902	106.0315126
3.798122597	108.7016807
4.092637678	111.1134454
4.294129818	114.1281513
4.44266994	117.0567227
4.683726088	119.8130252
4.864683824	121.9663866
5.067163205	124.8088235
5.350007497	127.6512605
5.515723293	126.789916
5.556949466	123.2584034
5.363833789	119.7268908
5.268725213	116.7121849
5.137879975	114.3865546
4.885078339	110.5966387
4.758923116	106.8067227
4.551879491	102.9306723
4.454875151	99.91596639
4.173450515	96.12605042
4.153306234	93.62815126
3.868134262	89.92436975
3.710004807	86.08277311
3.536608047	82.4737395
3.370531219	78.74411765
3.240890801	75.03172269
3.060578549	71.2762605
2.938575658	67.61554622
2.824114162	64.01512605
2.632287926	60.36302521
2.537972397	56.90042017
2.510301482	55.70315126
2.392338401	53.3947479
2.252011656	49.76848739
2.131000283	46.41785714
1.992108672	42.80882353
1.884151593	39.39789916
1.944938037	35.69411765
1.712923214	32.00756303
1.575425998	28.40714286
1.438517003	24.75331933
1.289116758	21.1072479
1.259822794	18.81004202
1.103763767	15.1855042
0.946877758	11.31806723
0.788741495	7.579831933
0.646535682	3.867436975
0.483634381	0.895798319
0.314450492	-2.644327731
0.227149802	-5.538445378
0.007213855	-9.164705882
-0.19255716	-12.59285714
-0.43382562	-16.46029412
-0.623150358	-20.20714286
-0.876419362	-23.94537815
-1.035903146	-27.51995798
-1.279570397	-31.35294118
-1.455664278	-34.99642857
-1.714144866	-38.4762605
-1.721118081	-39.67352941
-2.048465279	-43.22226891
-2.315147022	-46.7710084
-2.482469748	-50.1302521
-2.667014779	-53.83403361
-2.865209681	-56.93487395
-3.052607355	-60.55252101
-3.230169711	-63.91176471
-3.478734133	-67.01260504
-3.706416894	-70.6302521
-3.913775604	-73.38655462
