"Zhou et al. 1987, Specimen 10408"	
-0.64285	-51.979
-0.6238	-50.436
-0.61904	-49.951
-0.60951	-48.501
-0.57142	-45.894
-0.5238	-43.962
-0.49047	-42.223
-0.44285	-40.773
-0.40951	-39.517
-0.37619	-37.585
-0.32856	-35.556
-0.30952	-34.396
-0.3	-33.623
-0.27142	-31.498
-0.25714	-29.082
-0.24761	-27.343
-0.22856	-25.314
-0.19524	-22.995
-0.17142	-20.58
-0.1619	-19.13
-0.14285	-17.198
-0.13809	-15.653
-0.12381	-13.72
-0.11905	-12.367
-0.10476	-10.338
-0.085712	-8.4058
-0.061904	-6.6667
-0.028571	-4.831
-0.0095236	-2.2223
-0.0047619	0.4831
-0.0047619	2.8986
0.0047619	5.8936
0.019047	7.0532
0.07619	9.6619
0.11905	11.884
0.14285	13.72
0.1619	15.072
0.19047	16.812
0.21429	18.454
0.22381	20
0.24761	23.672
0.24285	25.894
0.24285	27.826
0.24285	29.082
0.26666	31.305
0.31429	32.754
0.4	37.875
0.47619	40.677
0.36666	37.392
0.44761	41.836
0.45237	44.058
0.48095	46.086
0.49999	47.536
0.5238	48.986
0.57142	51.597
0.5857	52.562
0.59522	53.336
0.60951	53.816
0.67617	56.521
0.67617	57.971
0.69999	59.612
0.7238	60.871
0.74761	62.512
0.77141	63.962
0.80475	65.506
0.85237	67.538
0.87617	69.18
0.90475	70.919
0.95236	73.045
1.0095	75.171
1.0619	76.136
1.1428	77.586
1.1714	77.004
1.1619	74.784
1.1476	73.045
1.119	69.856
1.119	67.632
1.1	65.314
1.0762	62.801
1.0666	60.675
1.0381	58.358
1.019	56.329
0.9857	54.012
0.96189	51.886
0.92856	49.275
0.89999	47.345
0.87141	44.831
0.85712	43.189
0.8238	40.87
0.77617	37.102
0.69999	32.464
0.66666	29.372
0.61427	26.57
0.57619	24.638
0.54285	22.899
0.51427	20.773
0.49047	18.647
0.47142	16.812
0.40951	12.657
0.37619	10.435
0.35237	8.6958
0.3238	6.6667
0.27619	3.3817
0.24761	1.4493
0.20952	-1.2561
0.17619	-3.5749
0.11905	-7.8263
0.047619	-11.788
0.014285	-14.3
-0.028571	-18.261
-0.057142	-19.903
-0.10476	-22.223
-0.15237	-24.831
-0.13809	-26.667
-0.14285	-28.599
-0.15237	-29.855
-0.1619	-34.107
-0.19524	-37.392
-0.20952	-38.744
-0.24285	-40.87
-0.26666	-42.706
-0.3	-45.316
-0.33332	-47.345
-0.35714	-49.662
-0.38095	-51.788
-0.39047	-52.655
-0.40951	-54.395
-0.43332	-56.619
-0.4619	-58.745
-0.51904	-62.321
-0.57619	-64.83
-0.61904	-66.667
-0.66666	-68.602
-0.71427	-70.047
-0.76665	-71.786
-0.8238	-73.143
-0.87141	-74.397
-0.93332	-75.847
-1.0143	-77.778
-1.0428	-78.36
-1.1	-78.841
-1.1238	-78.743
-1.1524	-77.778
-1.1666	-76.039
-1.1714	-75.171
-1.1762	-74.397
-1.1857	-72.658
-1.1905	-71.404
-1.1952	-69.758
-1.1952	-68.602
-1.2	-67.054
-1.1571	-65.506
-1.0952	-64.349
-1.0524	-62.899
-0.9857	-60.871
-0.93809	-59.519
-0.91904	-58.843
-0.87141	-56.908
-0.85237	-55.364
-0.8238	-51.597
-0.8238	-50.725
-0.80475	-48.795
-0.79046	-47.438
-0.77141	-44.929
-0.74761	-42.416
-0.7238	-40.193
-0.70475	-38.648
-0.67142	-36.715
-0.63809	-34.879
-0.5857	-32.368
-0.54285	-30.435
-0.50475	-27.826
-0.49047	-26.281
-0.46666	-24.058
-0.45237	-22.319
-0.43809	-21.256
-0.41427	-18.647
-0.40475	-17.005
-0.39047	-13.72
-0.37619	-11.788
-0.35714	-9.952
-0.33332	-7.7297
-0.3	-5.5075
-0.27142	-2.9952
-0.2619	-1.5459
-0.25237	0.28986
-0.24285	1.6425
