"Paultre, Legeron, Mongequ, July-August 2001 test 1006052"	
2211	
0.65	4.93
0.94	9.83
1.36	14.73
1.83	19.62
2.17	24.51
2.7	29.4
3.1	34.3
3.39	39.16
3.93	44.05
4.4	48.93
4.8	53.81
5.2	58.69
5.62	63.56
6.07	68.44
6.51	73.31
7.12	78.19
7.56	83.08
7.99	87.95
8.45	92.81
9.03	97.68
9.48	102.55
10.39	102.38
10.02	97.47
9.75	92.56
9.35	87.68
8.92	82.78
8.61	77.88
8.23	73
7.81	68.1
7.34	63.22
6.94	58.33
6.63	53.44
6.18	48.55
5.71	43.66
5.38	38.78
4.89	33.89
4.46	29.01
4.06	24.12
3.66	19.24
3.3	14.35
2.81	9.45
2.45	4.55
1.99	-0.24
1.63	-5.14
1.14	-10.02
0.8	-14.89
0.29	-19.78
-0.07	-24.67
-0.49	-29.55
-0.89	-34.43
-1.38	-39.32
-1.74	-44.19
-2.27	-49.07
-2.76	-53.94
-3.1	-58.85
-3.59	-63.71
-4.06	-68.58
-4.5	-73.45
-5.04	-78.32
-5.57	-83.19
-5.93	-88.06
-6.44	-92.93
-6.96	-97.79
-7.45	-102.65
-7.6	-97.68
-7.27	-92.77
-6.93	-87.88
-6.47	-82.99
-6.18	-78.09
-5.8	-73.19
-5.31	-68.31
-4.97	-63.43
-4.53	-58.53
-4.19	-53.65
-3.68	-48.75
-3.3	-43.86
-2.88	-38.98
-2.47	-34.08
-2.03	-29.21
-1.63	-24.33
-1.22	-19.44
-0.82	-14.55
-0.38	-9.67
-0.04	-4.79
0.94	4.91
1.34	9.79
1.67	14.69
2.17	19.59
2.54	24.48
2.9	29.36
3.35	34.25
3.77	39.15
4.15	44.04
4.62	48.91
5.02	53.8
5.42	58.68
5.82	63.57
6.13	68.45
6.58	73.34
7.07	78.23
7.45	83.12
8.01	88
8.32	92.87
8.74	97.77
9.3	102.63
9.73	107.51
10.08	112.38
10.57	117.26
11.11	122.14
11.49	127
11.96	131.87
12.47	136.74
12.94	141.6
13.45	146.46
13.94	151.34
14.63	156.19
15.08	161.04
15.7	165.88
16.22	170.72
16.93	175.55
17.51	180.37
18.22	185.18
18.94	189.99
19.76	194.81
20.7	199.57
21.55	204.34
22.53	208.39
23.64	198.34
