"Sakai et al. 1990, Spec. B1"	
241	
0	0
-0.005	-0.24525
-0.0125	-0.24525
-0.0125	-0.24525
-0.05	-0.25506
-0.0875	-0.51993
-0.1225	-0.83385
-0.2025	-1.2949
-0.315	-1.6579
0.5025	100.91
0.8475	147.02
1.2275	200.32
1.54	248.82
2.375	298.68
2.5125	304.62
2.4875	287.15
2.335	251.03
2.035	205.99
1.6975	153.52
1.45	100.97
1.1425	51.512
0.965	25.624
0.8225	4.4734
0.665	-16.716
0.435	-47.863
-0.0075	-104.5
-0.3575	-146.7
-0.84	-196.79
-1.26	-233.25
-1.7	-270.01
-2.0975	-299.32
-2.51	-325.47
-2.465	-297.16
-2.2275	-251.04
-1.8975	-203.49
-1.535	-150.47
-1.2975	-102.61
-0.955	-51.846
-0.745	-23.436
-0.605	-3.7572
-0.42	17.246
-0.1525	56.319
0.1475	96.207
0.5675	150.34
0.9975	201.05
1.425	246.85
1.9975	301.06
2.51	339.2
3.0175	366.55
3.525	385.54
4.0775	392.85
4.815	385.88
5.145	370.63
5.0225	337.25
4.77	304.84
4.1825	249.63
3.82	198.81
3.3	154.76
2.7125	106.16
2.1325	54.622
1.8075	26.948
1.59	6.1312
1.365	-16.187
1.065	-47.981
0.5725	-97.845
0.08	-147.22
-0.4175	-196.61
-1.0025	-250.6
-1.5075	-291.42
-2.005	-320.7
-2.5075	-356.6
-3.0075	-382.95
-3.53	-407.38
-4.0525	-412.43
-4.5225	-397.97
-5.01	-401.97
-5.1875	-385.68
-5.0525	-353.01
-4.645	-302.6
-4.1275	-254.92
-3.705	-201.72
-3.1825	-155.24
-2.63	-111.12
-1.955	-56.201
-1.58	-27.193
-1.335	-5.5721
-0.6675	47.608
0.0075	105.23
0.5525	148.34
1.2425	197.9
2.0275	249.13
3.015	299.09
3.5125	323.7
4.06	344.02
4.5425	361.01
5.04	372.85
5.05	353.99
4.6325	298.93
3.7225	202.49
2.5375	106.52
1.84	55.476
1.2	5.2876
0.4975	-49.452
-0.0525	-91.596
-0.74	-149.48
-1.4275	-199.27
-2.1725	-248.22
-3.0175	-298.61
-3.5125	-322.24
-4.0225	-346.38
-4.555	-365.93
-5.01	-377.22
-4.9625	-353.31
-4.585	-300.01
-3.6075	-195.67
-2.5825	-107.84
-1.895	-57.055
0.6275	103.13
1.1525	148.16
1.655	199.28
2.0675	249.22
3.4225	299.46
4.3175	335.76
5.03	360.09
6.035	381.14
7.045	389.93
8.0675	388.73
9.0475	383.23
10.02	377.04
10.172	360.13
9.8825	314.92
9.335	266.82
8.7625	215.33
7.9125	165.67
6.86	116.35
5.7075	66.522
4.965	35.002
4.4275	12.017
3.9025	-13.656
3.2975	-43.89
2.3825	-90.262
1.3575	-142.75
0.3275	-193.78
-0.8775	-246.41
-2.0275	-290.58
-3.0325	-325.12
-4.0275	-351.06
-5.025	-369.14
-6.0375	-376.51
-7.05	-377.49
-8.2175	-358.61
-9.055	-352.63
-10.025	-335.08
-10.1	-314.09
-9.735	-266.76
-9.195	-217.02
-8.6475	-167.03
-8.055	-123.3
-7.115	-69.062
-6.48	-37.278
-5.9925	-15.137
-5.45	7.6126
-4.7575	35.1
-2.7775	90.134
-1.3425	121.69
0.0075	150.36
1.085	174.76
2.0175	195.9
3.01	219.13
4.0675	242.49
5.0175	259.02
6.12	278.06
7.0575	288.94
8.0675	297.52
9.1075	302.26
10.095	298.69
10.255	266.41
9.8275	217.19
8.7175	123.76
7.7025	66.904
6.4025	16.275
5.05	-21.729
3.515	-52.984
2.44	-69.533
1.065	-97.766
-0.1075	-118.94
-1.0225	-138.81
-2.0425	-161.37
-3	-180.62
-4.045	-202.47
-5.0375	-219.34
-6.0425	-236.98
-7.0525	-251.42
-8.035	-259.91
-9.0475	-267.01
-10.023	-270.32
-10.085	-252.32
-9.875	-213.12
-9.345	-163.67
-8.8125	-114.4
-8.3325	-72.898
-7.3825	-18.129
-5.9425	33.54
-3.7025	83.983
-1.9575	111.28
0.0075	137.6
1.6325	155.34
3.22	172.02
5.0375	190.17
4.905	152.82
4.3975	104.17
3.7575	59.625
2.855	8.1129
1.3275	-39.318
-0.0025	-66.227
-1.64	-97.472
-3.355	-130.11
-5.0075	-163.12
-4.97	-139.47
-4.5225	-86.544
-4.115	-54.004
-3.575	-9.1625
-3.5225	-8.5641
-2.9275	30.225
-1.6725	71.436
0.025	106.74
1.28	129.32
2.545	151.17
4.0075	173.73
5.08	179.46
7.3275	104.08
7.8725	76.871
7.335	31.402
6.945	10.83
6.5525	6.8866
6.2775	4.4145
5.8	3.0803
5.565	2.4819
5.3675	1.9228
5.2075	2.0503
4.9675	1.9522
