"Mo and Wang, 2000 Test C3-2"	
697	
-0.0776	0
0.8168	19.29
1.8944	41.26
2.5968	62.99
4.0416	83.74
4.752	96.92
3.8496	76.9
2.956	52.98
1.6944	30.76
0.8008	10.25
0.0824	-1.46
-1.3704	-17.58
-2.632	-36.87
-3.3184	-57.62
-2.5632	-39.55
-3.2576	-56.4
-2.8984	-36.13
-2.0048	-13.67
-0.3768	0.73
0.3416	19.29
1.6032	38.33
2.6808	57.86
3.7584	76.9
4.4608	96.19
5.8896	111.82
5.0952	93.26
4.3768	76.9
2.7408	56.4
1.6552	36.62
0.7528	17.09
-0.3248	0.73
-1.0432	-10.74
-2.1208	-30.52
-3.1904	-53.47
-3.3704	-46.87
-3.8496	-66.89
-3.3064	-46.39
-1.8704	-21.24
-0.7848	-2.44
-0.2496	10.74
-0.2496	10.74
0.82	29.3
2.616	58.11
5.1304	94.24
5.1096	90.82
6.2176	131.84
8.78	150.15
8.2688	121.34
5.7232	83.01
3.552	49.07
1.3808	12.45
-0.7744	-16.36
-2.0976	-54.2
-2.3728	-49.32
-3.2472	-62.99
-5.2264	-98.88
-7.3176	-129.88
-6.8064	-104
-3.7176	-57.62
-1.7616	-16.6
0.5688	12.21
2.3248	49.07
4.7432	77.39
4.6984	92.04
6.2064	101.81
7.232	112.55
9.0512	143.31
7.7984	120.61
5.8032	83.74
3.632	51.51
1.2768	16.11
-0.7104	-11.96
-1.6344	-47.36
-1.8216	-56.15
-2.896	-63.96
-4.8832	-90.33
-7.3176	-127.2
-5.8808	-103.03
-3.7176	-58.35
-1.9376	-17.82
0.5688	10.74
0.5688	10.74
2.676	52.49
2.9016	86.91
3.9352	96.92
7.3672	128.17
10.8792	168.21
14.232	199.95
12.244	163.09
8.9792	110.35
5.7232	66.89
2.2824	21.48
1.7296	-21.24
0.768	-54.44
-2.368	-56.4
-5.8	-109.13
-8.6016	-156.01
-12.1456	-192.38
-10.2064	-156.01
-7.5728	-100.59
-3.8288	-48.34
-1.2512	-1.95
1.716	41.26
3.2768	79.59
4.9496	89.11
7.1512	109.37
10.8392	148.68
14.184	192.87
12.388	159.42
9.1152	108.4
5.8504	66.89
2.2344	22.95
1.1128	-18.55
0.824	-50.54
-2.7992	-62.5
-5.2896	-98.39
-8.6096	-143.55
-12.1456	-187.99
-10.1984	-154.3
-7.0056	-100.59
-3.8208	-50.54
-0.6528	-4.15
-0.816	-4.316
3.515	45.708
6.076	88.1088
8.581	116.5424
13.759	149.0424
18.767	210.236
23.905	250.3488
20.992	197.028
15.534	131.2688
10.086	75.66
4.429	23.1088
-0.559	-30.472
-2.126	-49.2544
-5.804	-90.6464
-11.601	-148.7928
-15.85	-207.6984
-21.198	-252.3872
-18.135	-201.8536
-13.227	-135.3352
-7.909	-74.3912
-2.182	-15.236
3.076	37.5752
6.154	85.3112
9.091	113.7448
12.98	131.0192
18.388	188.1464
24.394	239.9384
21.012	193.2216
15.095	128.9808
10.096	75.66
4.659	24.6272
-0.489	-26.9152
-2.386	-57.1272
-5.635	-85.0616
-10.763	-138.1224
-16.399	-190.9336
-21.228	-244.5144
-18.145	-198.2968
-13.466	-133.8064
-7.909	-75.4104
-1.942	-16.7544
-1.942	-16.11
4.283	38.33
4.821	85.69
10.286	118.16
17.26	161.62
