"Mugaruma et al. 1989, Spec. AH2"	
533	
0.06	0.45862
0.08	0.40511
0.05	0.98082
0.04	0.89964
-0.01	0.83562
-0.03	0.74587
-0.12	0.49944
-0.1	0.16802
-0.13	-0.070639
-0.13	-0.34788
-0.2	-3.9463
-0.22	-1.36
0.01	24.813
0.27	50.221
0.61	76.646
0.81	101.41
1.27	128.16
1.58	141.46
1.73	154.27
2.06	167.63
2.32	181.1
2.5	180.97
2.31	156.65
2.19	131.59
1.89	106.06
1.54	80.247
1.25	54.496
0.94	28.559
0.63	2.2255
0.31	-23.044
0.02	-48.415
-0.28	-74.18
-0.6	-99.844
-1.03	-126.47
-1.52	-152.6
-1.84	-166.47
-2.07	-179.38
-2.52	-197.95
-2.57	-195.45
-2.55	-181.18
-2.31	-156.14
-2.01	-130.38
-1.69	-104.67
-1.38	-78.943
-1.08	-53.563
-0.73	-27.387
-0.35	-1.0091
-0.05	24.279
0.27	50.444
0.6	76.23
1	99.478
1.38	128.32
1.78	154.45
2.01	167.74
2.24	180.54
2.59	193.83
3.16	201.29
3.96	209.68
5.01	224.78
5.23	215.38
5.07	192.11
4.58	165.09
4.1	138.15
3.65	112.86
3.18	86.546
2.67	59.874
2.31	34.102
1.85	7.3598
1.44	-18.588
1.04	-44.121
0.57	-71.085
0.21	-97.527
-0.23	-123.46
-0.69	-149.13
-0.96	-164.09
-1.2	-177.05
-1.48	-189.48
-1.8	-203.68
-2.57	-227.15
-4.15	-228.69
-5.06	-235.36
-5.17	-231.23
-5.09	-216.34
-4.7	-190.73
-4.19	-163.98
-3.65	-137.34
-3.11	-111.01
-2.62	-84.32
-2.04	-57.538
-1.53	-31.177
-0.89	-3.8661
-0.43	22.481
0.11	48.887
0.6	75.212
1.18	103.11
1.81	129.65
2.48	156.46
3.31	183.83
4.48	212.99
5.05	221.4
5.03	217.62
4.75	190.25
4.38	164.48
3.88	136.7
3.32	110.73
2.82	84.39
2.16	57.776
1.68	31.111
1.07	3.9525
0.59	-21.981
0.03	-48.743
-0.64	-80.221
-1.11	-103.14
-1.73	-129.76
-2.57	-156.48
-3.39	-185.12
-5.04	-222.02
-5.14	-212.72
-4.82	-190.92
-4.32	-164.88
-3.72	-137.02
-3.16	-110.42
-2.61	-84.703
-2.06	-57.908
-1.38	-31.024
-0.88	-3.9923
-0.32	22.628
0.26	49.398
0.85	75.948
1.47	103.46
2.09	129.83
2.81	155.75
3.61	185.21
4.77	214.34
6.13	235.8
7.54	246.68
7.73	238.52
7.51	224.82
7.12	198.76
6.45	171.49
5.82	144.52
5.04	117.3
4.46	90.325
3.76	63.46
2.99	35.835
2.42	8.2914
1.85	-17.77
1.21	-45.015
0.56	-71.897
-0.2	-99.334
-0.99	-127.64
-1.83	-154.89
-2.98	-184.42
-3.72	-201.62
-5.31	-228.43
-6.62	-239.35
-7.54	-242.57
-7.58	-226.86
-7.03	-199.95
-6.31	-173.11
-5.6	-145.05
-4.92	-118.68
-4.2	-91.089
-3.49	-63.771
-2.71	-35.702
-2.01	-8.7831
-1.36	18.199
-0.62	45.543
0.1	72.642
