Saatcioglu and Grira 1999 Column BG-3	
11210	
0.1317898	-2.051603647
0.510793	35.31441337
1.010388	43.96111246
1.509983	53.60700912
2.009578	58.11908815
2.509173	65.31866261
3.008769	71.72577508
3.508364	75.72103343
4.007959	80.37094225
4.507554	84.29732523
5.007149	84.95039514
5.506744	89.18680851
6.00634	91.66607903
6.505935	94.45537994
7.00553	97.62370821
7.505125	101.1365957
8.004721	103.7536778
7.487897	55.89469301
6.988302	51.03805471
6.488707	39.08366565
5.971885	37.39458359
5.489517	29.37040122
4.989922	23.9280304
4.490326	11.5946383
3.973504	4.70282614
3.491136	3.569669909
2.991541	-5.731675988
2.491946	-21.09712462
1.992351	-21.33676596
1.492756	-30.77593921
0.9931607	-38.28561702
0.4935656	-38.90426748
-0.006029591	-48.65353799
-0.5056247	-56.1287538
-1.00522	-58.95254103
-1.504815	-64.25708207
-2.021638	-68.15130699
-2.504005	-72.10978723
-3.003601	-74.83021277
-3.503196	-77.68844985
-4.002791	-81.02905775
-4.502386	-83.9906383
-5.001981	-87.53799392
-5.501576	-90.32729483
-6.001172	-93.01325228
-6.500767	-95.7681459
-7.000362	-99.86674772
-7.517184	-100.4877204
-8.016779	-102.7946505
-8.516374	-103.5511246
-9.015969	-106.5816413
-8.499146	-67.33647416
-7.999552	-58.37968389
-7.499957	-54.48779331
-6.965907	-47.00792097
-6.483539	-40.32748936
-5.983944	-36.98688754
-5.467122	-32.43802432
-4.984754	-27.27361702
-4.485158	-21.41778723
-3.985563	-16.04432219
-3.485968	-11.60115502
-2.986373	-4.7805769
-2.486778	3.177017629
-1.987183	7.86137386
-1.487588	14.92313678
-0.9879924	20.88233435
-0.4883973	25.46332523
0.01119782	31.21579331
0.510793	37.48508207
1.010388	44.30566565
1.509983	48.12864438
2.009578	52.60627356
2.509173	58.97892401
3.008769	63.3187234
3.508364	68.41653495
4.007959	72.61854103
4.507554	75.02887538
5.007149	78.8518541
5.506744	82.26133739
6.00634	86.46334347
6.505935	90.07957447
7.00553	93.21349544
7.505125	97.17428571
8.004721	100.9627964
7.487897	59.20238298
6.988302	49.72875988
6.488707	49.11010942
5.989112	42.70299696
5.489517	31.95454103
4.989922	26.16761702
4.490326	17.48646201
3.990731	11.35499088
3.491136	10.35733131
2.991541	0.98707538
2.491946	-8.658820669
1.975124	-15.55063222
1.492756	-16.27032827
0.9931607	-27.6045228
0.4935656	-28.22317325
-0.006029591	-41.69359878
-0.5056247	-42.72571429
-1.00522	-46.03186018
-1.504815	-49.57920365
-2.021638	-54.12806079
-2.504005	-57.19069909
-3.003601	-62.18516717
-3.503196	-65.69805471
-4.002791	-70.03781155
-4.502386	-73.92972644
-5.001981	-76.92577508
-5.501576	-81.98911854
-6.001172	-83.36583587
-6.500767	-88.42917933
-7.000362	-92.14881459
-7.517184	-95.04382979
-8.016779	-98.24656535
-8.516374	-100.0711854
-7.999552	-65.64972644
-7.499957	-53.62641945
-6.983134	-50.24902736
-6.483539	-42.73935562
-5.983944	-38.29618237
-5.484349	-34.12865046
-4.984754	-28.68627964
-4.485158	-23.38172644
-3.985563	-17.73262614
-3.485968	-12.87599392
-2.986373	-5.573045593
-2.486778	0.455061945
