"Zhou et al. 1987, Specimen 32207"	
794	
0	0
-0.018449	1.3196
-0.018449	2.2698
-0.018449	3.1671
-0.018449	3.9061
-0.018449	4.3284
0	5.3843
0.092246	6.8094
0.16604	7.865
0.25829	8.7626
0.29519	9.5014
0.38744	10.399
0.51659	11.454
0.57193	12.405
0.64573	13.566
0.70108	14.516
0.75642	15.413
0.84868	16.522
0.90402	17.261
0.92246	17.736
0.99626	18.633
1.0332	17.841
1.0701	16.786
1.0885	15.73
1.0701	14.516
1.0147	13.724
0.99626	13.038
0.95937	12.035
0.94092	11.349
0.94092	10.082
0.95937	9.2376
0.97782	8.4454
0.92246	7.4428
0.88557	6.7565
0.83022	5.9648
0.79332	5.3843
0.77488	4.4867
0.77488	3.695
0.77488	3.1671
0.77488	2.6921
0.77488	2.0058
0.77488	1.1085
0.77488	0.63344
0.81177	0
0.79332	-0.79179
0.70108	-1.4252
0.51659	-2.1114
0.33209	-2.8504
0.2214	-3.3255
0.1476	-3.8533
0.073797	-5.1201
-0.036899	-6.6511
-0.092246	-7.4428
-0.092246	-8.4983
-0.092246	-9.343
-0.092246	-10.135
-0.1107	-10.979
-0.20295	-12.668
-0.25829	-13.935
-0.33209	-15.255
-0.38744	-16.416
-0.42433	-17.103
-0.55348	-18.263
-0.64573	-19.372
-0.77488	-20.639
-0.86712	-21.748
-0.97782	-23.595
-0.99626	-25.073
-1.0147	-26.076
-1.1439	-27.396
-1.1992	-28.24
-1.273	-28.821
-1.2915	-29.19
-1.3652	-30.51
-1.4206	-32.357
-1.476	-33.677
-1.6052	-35.419
-1.7158	-36.739
-1.8449	-38.111
-1.9371	-39.325
-2.0848	-40.117
-2.214	-41.12
-2.343	-41.753
-2.4354	-41.964
-2.5276	-41.7
-2.5276	-41.12
-2.4538	-39.642
-2.3984	-37.741
-2.3984	-36.422
-2.38	-34.891
-2.2692	-32.885
-2.214	-30.985
-2.1401	-29.138
-2.0663	-27.448
-1.9741	-25.706
-1.8081	-23.912
-1.6974	-21.748
-1.6236	-20.111
-1.5312	-18.475
-1.4206	-16.891
-1.3468	-15.413
-1.0147	-10.927
-0.71953	-6.9678
-0.60883	-4.9088
-0.51659	-2.7976
-0.42433	-0.95014
-0.31364	0.26393
-0.23984	1.7419
-0.092246	3.3255
0.018449	5.5427
0.055348	8.7096
0.055348	10.504
0.073797	11.665
0.073797	12.51
0.073797	13.883
0.055348	14.358
0.055348	15.519
0.073797	16.628
0.2214	17.736
0.40589	18.897
0.59038	20.217
0.64573	20.956
0.92246	23.014
1.0516	24.598
1.1254	25.178
1.3468	26.709
1.4575	27.659
1.6789	29.032
1.8265	30.299
1.9371	31.196
1.9557	29.454
1.8449	27.818
1.7896	26.498
1.7527	25.178
1.7527	23.806
1.7158	22.592
1.6974	21.273
1.6789	20.217
1.6789	18.897
1.6604	17.736
1.642	16.733
1.642	15.044
