"""Mo and Wang, 2000 Test C1-1"""	
1163	
0.6024	-16.36
-0.056	-14.04
-0.8552	-16.605
-1.6104	-18.07
-1.9268	-4.275
-1.5852	5.125
-1.5864	15.38
-1.6756	19.655
-1.6248	22.95
-0.7824	36.5
-0.6024	16.36
0.056	14.04
0.8552	16.605
1.6104	18.07
1.9268	4.275
1.5852	-5.125
1.5864	-15.38
1.6756	-19.655
1.6248	-22.95
0.7824	-36.5
-0.4628	-36.985
-1.5164	-50.9
-2.762	-63.965
-4.16	-65.185
-3.4832	-39.795
-3.2856	-16.72
-3.1352	2.56
-2.4584	12.57
-2.08	26.855
-0.5988	32.59
0.4628	36.985
1.5164	50.9
2.762	63.965
4.16	65.185
3.4832	39.795
3.2856	16.72
3.1352	-2.56
2.4584	-12.57
2.08	-26.855
0.5988	-32.59
0.4352	-5.735
1.2516	19.775
1.4508	27.835
1.6724	35.155
1.7184	42.48
2.4516	58.105
3.0928	70.56
3.934	82.64
4.8076	98.635
5.8892	113.405
7.0064	127.32
7.8564	139.77
7.6688	130.74
6.236	108.03
5.346	87.28
4.2804	66.895
3.5904	46.51
2.2612	26.61
1.112	10.5
0.322	-7.57
-0.4352	5.735
-1.2516	-19.775
-1.4508	-27.835
-1.6724	-35.155
-1.7184	-42.48
-2.4516	-58.105
-3.0928	-70.56
-3.934	-82.64
-4.8076	-98.635
-5.8892	-113.405
-7.0064	-127.32
-7.8564	-139.77
-7.6688	-130.74
-6.236	-108.03
-5.346	-87.28
-4.2804	-66.895
-3.5904	-46.51
-2.2612	-26.61
-1.112	-10.5
-0.322	7.57
0.204	12.205
1.1572	19.53
1.7584	30.635
1.6088	34.79
2.3852	41.87
2.5916	50.905
3.4644	61.4
3.8268	72.02
4.8716	86.915
5.8412	103.025
6.5632	119.995
7.7604	135.985
7.5732	128.295
6.4992	106.69
5.1544	86.915
4.1808	67.265
3.2148	48.34
2.3328	29.54
1.184	14.28
-0.1172	-4.025
-0.204	-12.205
-1.1572	-19.53
-1.7584	-30.635
-1.6088	-34.79
-2.3852	-41.87
-2.5916	-50.905
-3.4644	-61.4
-3.8268	-72.02
-4.8716	-86.915
-5.8412	-103.025
-6.5632	-119.995
-7.7604	-135.985
-7.5732	-128.295
-6.4992	-106.69
-5.1544	-86.915
-4.1808	-67.265
-3.2148	-48.34
-2.3328	-29.54
-1.184	-14.28
0.1172	4.025
-1.2744	0
0.1076	14.65
2.4444	35.035
0.1668	32.595
1.1824	37.72
2.2708	54.2
3.2832	67.38
5.1348	90.58
6.184	113.77
8.036	139.28
9.5204	158.2
11.3044	176.025
13.0404	190.92
12.8048	181.52
10.9292	154.055
9.4168	127.81
7.9044	104.25
6.0244	78.365
4.632	54.93
3.0796	29.42
1.3316	9.645
-0.1076	-14.65
-2.4444	-35.035
-0.1668	-32.595
-1.1824	-37.72
-2.2708	-54.2
-3.2832	-67.38
-5.1348	-90.58
-6.184	-113.77
-8.036	-139.28
-9.5204	-158.2
-11.3044	-176.025
-13.0404	-190.92
-12.8048	-181.52
-10.9292	-154.055
-9.4168	-127.81
-7.9044	-104.25
-6.0244	-78.365
-4.632	-54.93
-3.0796	-29.42
-1.3316	-9.645
-0.4748	11.595
0.4412	19.895
0.558	32.84
1.3584	36.865
2.742	48.095
3.4988	62.015
5.0032	82.645
6.5276	102.535
7.8124	124.39
9.3808	144.045
10.9692	165.895
13.248	184.57
12.6416	177.37
11.4004	151
9.4248	125.365
8.0996	102.295
6.22	77.88
4.9988	56.03
3.0796	31.005
1.8624	11.6
0.4748	-11.595
-0.4412	-19.895
-0.558	-32.84
-1.3584	-36.865
-2.742	-48.095
-3.4988	-62.015
-5.0032	-82.645
-6.5276	-102.535
-7.8124	-124.39
-9.3808	-144.045
-10.9692	-165.895
-13.248	-184.57
-12.6416	-177.37
-11.4004	-151
-9.4248	-125.365
-8.0996	-102.295
-6.22	-77.88
-4.9988	-56.03
-3.0796	-31.005
-1.8624	-11.6
-2.0808	-2.69
-2.601	-2.69
-0.625	17.09
-2.064	-26.61
-1.898	-28.32
-2.443	-27.34
-4.417	-52
-6.95	-79.83
-10.203	-107.42
-12.567	-134.77
-15.171	-161.13
-18.005	-188.23
-20.648	-213.38
-23.322	-231.2
-25.807	-243.65
-24.749	-222.66
-22.085	-189.7
-19.192	-158.94
-16.528	-129.88
-13.884	-102.05
