"Bayrak and Sheikh 1996, ES1-HT"	
1931	
0	0
-0.516853474	25.88823529
-0.291792404	29.45678571
-0.177130093	33.08390756
-0.053772529	36.77046218
0.17805157	40.41394958
0.251338635	44.46226891
0.464801707	48.28663866
0.633931357	51.63726891
0.818524861	55.16016807
1.110153632	58.85533613
1.285107824	62.61079832
1.419126017	66.14231092
1.621617767	69.66521008
1.781429566	73.10197479
2.038759466	76.84882353
2.174305283	80.51815126
2.382097344	84.02382353
2.717708266	87.67592437
2.864628646	91.29357143
3.09797505	94.83369748
3.216257246	98.36521008
3.394156256	100.7769748
3.633401533	103.6194118
3.911065537	107.2370588
4.130825048	110.0794958
4.290485175	112.0605882
4.448461672	114.2139496
3.650509449	90.87151261
3.537085631	87.45197479
3.296908203	83.61037815
3.142984801	79.91521008
3.029870636	76.08222689
2.859410203	72.12865546
2.868486103	68.50239496
2.73645219	66.59882353
2.651459625	65.54798319
2.538627218	63.73915966
2.461150178	59.72529412
2.34186361	55.69420168
2.053228812	51.69756303
1.991864194	47.89042017
1.825896606	43.95407563
1.645226695	40.06079832
1.509452223	36.36563025
1.37429035	32.62739496
1.221405714	29.01060924
1.053891223	25.30768908
0.834504568	21.48245798
0.782550946	17.62277311
0.530523217	14.04819328
0.425797265	10.68894958
0.289953243	7.295252101
0.135106304	3.470882353
0.01411297	-0.043403361
-0.124963503	-3.635210084
-0.35212573	-7.18394958
-0.566880304	-10.86189076
-0.658646544	-13.76462185
-0.79701262	-17.40810924
-0.955299338	-21.08605042
-1.15291146	-24.62617647
-1.442808951	-28.13184874
-1.556261154	-31.32743697
-1.787865942	-34.94508403
-2.026483964	-38.61441176
-2.087374714	-42.36987395
-2.207254062	-45.65159664
-2.517459545	-49.35537815
-2.671858599	-52.97302521
-2.855206963	-56.50453782
-3.000796258	-59.00243697
-3.120737194	-62.70621849
-3.365151503	-65.89319328
-3.517960317	-68.90789916
-3.611718735	-71.31966387
-3.852071835	-74.93731092
-4.053649146	-78.46882353
-4.293298371	-81.74193277
-4.209431578	-78.12428571
-4.01644937	-74.50663866
-3.814886209	-71.23352941
-3.747049954	-67.61588235
-3.649860268	-64.34277311
-3.409212723	-61.06966387
-3.318900307	-57.53815126
-3.216971289	-53.74823529
-2.940986522	-50.13058824
-2.892340598	-46.16840336
-2.714544652	-42.46462185
-2.522660135	-38.85558824
-2.364563931	-35.38436975
-2.267573335	-31.56861345
-2.027008469	-27.85621849
-2.028205482	-24.02323529
-1.835111787	-20.98268908
-1.685000774	-17.25306723
-1.506812157	-13.67848739
-1.378996189	-9.905798319
-1.17394528	-6.021134454
-1.044078927	-2.28289916
-0.966868222	1.171092437
-0.751118891	4.961008403
-0.606937854	8.828445378
-0.493316634	12.72172269
-0.393550398	16.41689076
-0.238495403	20.18096639
-0.110641651	23.90714286
0.051202687	27.47655462
0.172406081	31.1777521
0.297331649	35.07361345
0.482431807	39.21668067
0.706239263	42.8860084
0.840116647	46.68453782
0.964864029	50.42277311
1.11695823	54.27298319
1.28333143	58.32130252
1.501228469	62.80890756
1.641855945	67.05533613
1.900450791	71.16394958
2.047954053	75.04
2.26687363	79.29504202
2.513876006	83.22277311
2.615334519	87.21079832
2.8256149	91.07823529
3.0116119	95.00596639
3.221114673	98.7097479
3.451082498	102.4996639
3.649760199	106.2895798
3.823146123	108.8736134
4.076869026	112.4912605
4.337455019	115.7643697
4.564868129	119.2097479
4.801607224	121.4492437
5.103467132	124.2916807
5.386991734	127.3063866
5.632379784	128.8568067
5.930887779	131.6992437
6.261739043	130.5794958
6.394172173	126.8757143
6.15128457	122.9996639
5.966940406	119.2097479
5.791796961	115.5921008
5.661549225	112.2328571
5.366152123	108.1845378
5.390374324	107.6677311
5.17600758	103.8778151
4.966930727	100.2601681
4.782357609	96.4702521
4.666669082	92.9387395
4.419981789	89.01962185
4.336423224	84.98852941
3.998750346	80.95743697
3.805176086	76.93495798
3.708357526	72.96415966
3.48730292	69.23453782
3.371771968	65.15176471
3.124247909	61.35323529
2.854862365	56.9689916
2.712955758	52.52445378
2.417324286	48.70869748
2.291036178	44.9360084
2.122139832	40.98243697
1.95744996	37.25281513
1.757831634	33.31647059
1.650249136	29.14756303
1.363742188	25.25514706
1.23439154	21.33430672
1.085632581	17.70029412
0.930377224	13.83285714
0.707449438	9.913739496
0.531107376	6.640630252
0.401915372	2.962689076
0.227594957	-0.654957983
-0.054158269	-4.505168067
-0.079954026	-8.174495798
-0.320751466	-11.96441176
-0.546609882	-15.88352941
-0.825882852	-19.67344538
-0.908718065	-22.89487395
-1.131494014	-26.46084034
-1.242107706	-30.13878151
-1.449505106	-33.69613445
-1.598140158	-36.86588235
-1.801851403	-40.5955042
-1.90485235	-44.18731092
-2.075730958	-47.11588235
-2.31714233	-50.90579832
-2.44700954	-54.52344538
-2.6157894	-58.31336134
-2.806387408	-60.98352941
-3.065779895	-64.77344538
-3.188459183	-68.39109244
-3.39410097	-71.66420168
-3.562873085	-74.85117647
-3.748933389	-78.38268908
-3.94575085	-82.17260504
-4.178235521	-85.61798319
-4.452232822	-88.97722689
-4.762956944	-92.59487395
-4.83395783	-95.86798319
-5.056144704	-98.53815126
-5.323685914	-100.949916
-5.433935439	-103.3616807
-5.743062729	-105.7734454
-5.535723271	-102.1557983
-5.422239775	-98.45201681
-5.283933399	-94.83436975
-5.019416342	-91.21672269
-4.917667824	-87.68521008
-4.743102582	-84.23983193
-4.584096512	-80.96672269
-4.286436098	-77.17680672
-4.104321309	-73.47302521
-3.912620219	-69.59697479
-3.854533121	-66.23773109
-3.538707276	-62.44781513
-3.370945174	-58.57176471
-3.231615128	-54.78184874
-3.047839672	-51.25033613
-2.857606791	-48.23563025
-2.693828829	-44.44571429
-2.574482544	-40.74193277
-2.32430219	-37.27071429
-2.176315492	-33.67890756
-1.969073754	-29.93205882
-1.848606165	-26.7192437
-1.66850168	-23.30831933
-1.473849898	-19.69067227
-1.23402208	-15.66819328
-1.100222546	-11.74907563
-1.025708397	-7.804117647
-0.75936522	-3.721344538
-0.659744962	0.025504202
-0.458334345	4.09105042
-0.273332439	8.061848739
-0.12587566	12.17907563
0.072373575	16.45134454
0.237624429	20.64609244
0.408628404	24.70819328
0.594639244	28.54720588
0.802000635	32.77985294
0.965629242	37.19252101
1.187783368	40.95659664
1.33754057	45.24609244
1.505407654	49.46668067
1.650400747	53.59252101
1.925616407	58.48495798
2.17390039	63.10176471
2.464577845	67.69273109
2.687987196	71.80995798
2.874315573	76.01331933
3.178331147	80.38894958
3.420217492	84.69567227
3.654440458	88.16689076
3.895087994	91.68117647
4.069215356	96.03957983
4.282579482	99.57109244
4.563002118	103.1887395
4.833308307	106.892521
5.027523171	110.1656303
5.26162802	112.577395
5.540831503	115.7643697
5.733083189	118.2622689
6.013558523	120.5017647
6.335146352	120.7601681
6.802028758	116.4534454
6.905662193	113.7832773
6.820334228	110.3378992
6.543649715	106.8063866
6.458961666	103.1887395
6.285529099	100.0878992
6.057230131	95.78117647
5.874385266	91.38831933
5.51867048	87.34
5.221695635	83.37781513
5.089572896	79.76016807
4.8158165	75.64294118
4.543588599	71.67214286
4.27853348	67.4860084
4.022499565	63.20512605
3.805935159	59.37214286
3.633227162	55.4702521
3.346278717	51.1807563
3.113306433	46.78789916
2.938073741	43.48033613
2.75165968	39.61289916
2.566524015	35.48705882
2.353874465	31.41289916
2.159572934	27.81420168
2.005949285	23.93728992
1.746825966	19.85451681
1.531018066	15.90008403
1.316134269	12.12739496
1.184391119	8.251344538
0.97176881	4.358067227
0.786066199	0.55092437
0.486413075	-3.540462185
0.231161622	-7.347605042
0.083663819	-11.33563025
-0.168519411	-14.64319328
-0.303536288	-18.33836134
-0.583061204	-22.23163866
-0.810182066	-25.83205882
-0.894358541	-29.57890756
-1.102760836	-33.02428571
-1.317396923	-35.95285714
-1.560973831	-39.63941176
-1.777311263	-43.6705042
-1.934431486	-47.11588235
-2.129691342	-50.81966387
-2.355187008	-54.60957983
-2.641893745	-58.31336134
-2.77454596	-60.98352941
-3.043288507	-64.68731092
-3.115968952	-68.39109244
-3.291377441	-71.57806723
-3.511204657	-74.59277311
-3.664711309	-77.7797479
-3.962181029	-81.22512605
