"Sugano 1996, No.UC10H"	
381	
0	-0.25
-0.03159	0
-0.02916	0
-0.0405	0.25
-0.053865	0.5
-0.04941	1
-0.053865	1.25
-0.056295	1.5
0.01782	0.5
0.098820002	20
0.186705011	37.5
0.292410041	58.5
0.405000109	77.5
0.497340202	97
0.571455307	111.75
0.650430453	125.5
0.731430644	141.5
0.807570867	154.75
0.726570631	130
0.603045361	100.5
0.490455194	74
0.377865089	48
0.243000024	18
0.164430007	1
0.065205	-20
-0.01134	-36.5
-0.094365001	-54.5
-0.162000007	-67.75
-0.245430024	-84.75
-0.324000056	-98.75
-0.413910117	-116.25
-0.492885197	-130.75
-0.562545293	-143.25
-0.650430453	-158.25
-0.729000638	-170.5
-0.814455889	-183.75
-0.746820686	-159.5
-0.61884039	-130.25
-0.483570186	-93
-0.341820066	-61.5
-0.218295017	-33.5
-0.130410004	-14.75
-0.074115001	-2.75
-0.006885	12
0.110160002	37
0.247455025	66.5
0.400545106	99
0.535410253	126.25
0.677160511	155.75
0.818910904	183.5
0.893431174	197.5
0.987796587	213.25
1.057456946	224.25
1.142912457	238.25
1.219457985	250.5
1.298433603	262
1.359184133	268.5
1.273323398	243.25
1.194752807	224.25
1.093502152	202.75
0.927046311	166.25
0.785295797	131.5
0.632205416	98.75
0.477090179	64.75
0.31266005	31.25
0.159570007	0
0.03807	-25.5
-0.015795	-37.25
-0.132840004	-62
-0.258795029	-88.5
-0.409455113	-119.75
-0.558090286	-149.5
-0.681615521	-173.75
-0.803115853	-196.5
-0.8999112	-212.5
-0.987796587	-227
-1.066366996	-237.75
-1.138457429	-246.75
-1.21054792	-255.5
-1.323138813	-268
-1.251048223	-245
-1.131572385	-220
-1.023841767	-197.75
-0.884116138	-168.75
-0.823365919	-152.5
-0.650430453	-116.25
-0.472635174	-79.25
-0.294840042	-40.5
-0.186705011	-18.75
-0.110160002	-3.75
-0.00243	18
0.162000007	51.5
0.396090102	98
0.63909043	145.75
0.796635832	176.25
0.96309147	208.5
1.093502152	232
1.201637856	251.5
1.334073908	270.5
1.440184917	281.25
1.552371158	284.75
1.597326709	286.25
1.67387272	291.25
1.779579277	300.75
1.860580602	303.5
1.948467177	306.5
2.025013669	305.5
1.995853087	275.25
1.957377344	266.5
1.907966433	256.75
1.84033026	244.5
1.70991823	221
1.566141323	193.75
1.440184917	165.75
1.307343678	141
1.181387714	117.75
1.046116884	92.75
0.88209113	62.25
0.697410558	29
0.535410253	1
0.391635099	-25.5
0.240570023	-52.25
0.108135002	-76.5
-0.00891	-97
-0.213840016	-133.5
-0.420795123	-168.5
-0.625320402	-202.75
-0.810000875	-232.5
-0.93595635	-251.5
-1.057456946	-269
-1.208117903	-289
-1.343388991	-297.25
-1.458005102	-299.75
-1.556826211	-297.75
-1.624462056	-299
-1.694123004	-303.25
-1.793349494	-309
-1.854100492	-312
-1.932671883	-313.75
-2.02258362	-314.75
-1.982082818	-290
-1.851670451	-264.75
-1.678327782	-236.5
-1.475825291	-204
-1.246593189	-160.25
-0.992251608	-118
-0.74479568	-77.25
-0.432135133	-26
-0.274590034	-0.75
-0.177795009	13.5
-0.01782	39
0.204930014	73.5
0.391635099	102
0.611955377	135.5
0.80554586	163.5
1.0303218	195.5
1.237683121	224.25
1.334073908	236.25
1.496075512	256.5
1.611096884	269.75
1.754873896	285.25
1.871920797	295.5
2.016103489	305
2.117355625	311.5
2.207267702	316.5
2.331200854	322.75
2.42556849	326
2.544642122	331.25
2.625644796	332.5
2.760919642	333.25
2.828152235	332
2.936291672	332.75
3.04645654	334.25
2.967883031	308.75
2.805876362	284
2.598913895	254
2.353476457	219.5
2.135176023	189
1.90108131	152.25
1.667392631	119.5
1.390369424	80.75
1.206092888	54.75
0.99670663	26.75
0.787320803	-1
0.594135345	-27.75
0.396090102	-54.25
0.186705011	-82
-0.004455	-106.5
-0.209385015	-133
-0.402570107	-157
-0.623295399	-183.5
-0.83268095	-207.5
-1.053001922	-232
-1.242138155	-249.75
-1.356754111	-256
-1.485140392	-264
-1.635802205	-275
-1.748393798	-280.25
-1.820079925	-283.5
-1.93955701	-289.25
-2.0363539	-292.75
-2.128695878	-297.5
-2.220633025	-300.25
-2.335655974	-303
-2.427593549	-303.75
-2.531276697	-306.25
-2.612279343	-307
-2.702192478	-308.25
-2.81478671	-309
-2.913610713	-309
-3.03309093	-309.5
-2.965452926	-280.75
-2.756464475	-250
-2.576233145	-226
-2.34659127	-195.25
-2.101560278	-163.5
-1.849645416	-125.5
-1.579506487	-90
-1.293573563	-54.5
-1.021411754	-22.25
-0.827820934	-0.5
-0.630180412	18
-0.630180412	16.75
-0.436590137	41.75
-0.18225001	70
-0.033615	86.25
0.407430111	132.25
0.801090846	171.5
1.008046686	190.75
1.230798069	212.25
1.433299847	229.5
1.626892088	245.5
1.815624852	261.25
2.03392385	276.75
2.236428412	290.25
2.43447875	302
2.630099948	311.25
2.78117041	316
2.852858219	317.5
2.954112435	318.25
3.057797062	319.5
3.145686237	320
3.240055988	320.5
3.354677143	320.75
3.453907822	320.75
3.528027283	319.75
3.653990304	319.75
3.755247167	318.75
3.90146275	315.25
3.97355827	312.5
4.065905638	310.75
4.086157299	308
3.97355827	280.5
3.793724874	256.25
3.568529801	229.25
3.257876917	192.75
2.974363314	152.75
2.681941754	118.75
2.366841825	84
2.088194989	56.25
1.728143496	22
1.498505539	2.25
1.201637856	-24.75
0.920161282	-50.25
0.605070365	-77
0.285930038	-104
-0.02025	-129.75
-0.220320018	-146.5
-0.506250214	-171
-0.816885897	-196.25
-1.086617112	-216.25
-1.242138155	-227.75
-1.45112003	-241.75
-1.628917115	-254.25
-1.84033026	-266.25
-2.0363539	-277
-2.265589142	-286.5
-2.432453691	-291.75
-2.596483814	-295.5
-2.695712245	-296.5
-2.810331536	-297.25
-2.945202052	-299
-3.019725326	-299.5
-3.156621774	-299.75
-3.228715403	-299.75
-3.345766649	-301
-3.438111896	-301
-3.564074521	-300.5
-3.683152242	-297.25
-3.769018129	-295.5
-3.872300574	-293
-3.944396013	-290.5
-4.041198633	-289.25
-3.962217388	-260.75
-3.798180191	-238.25
-3.543823258	-207.5
-3.251396578	-173.75
-3.044431447	-150.25
-2.77671524	-116
-2.470524821	-80.25
-2.207267702	-50.25
-1.982082818	-26.75
-1.698578067	0.25
-1.491620463	19.5
-1.178957697	47.5
-0.825795927	76.25
-0.411885115	107.5
-0.027135	134.25
0.377865089	159.5
0.609930374	173.75
0.80554586	185.75
0.972001512	195
1.221888003	208.5
1.406164577	217.75
1.62243703	228
1.809144747	235.75
2.016103489	243.25
2.189447276	246.25
2.418683291	254.5
2.648325574	262.25
2.843947862	266.25
3.044431447	269
3.242486114	270.75
3.433656636	269.75
3.581895644	265.5
3.660875759	262.5
3.789269557	261
3.905918085	258.5
4.00272056	257.25
4.054564715	255.75
3.980443807	229.5
3.755247167	201.25
3.548278534	178
3.253421684	146.25
2.945202052	114.75
2.64387042	85.5
2.281384545	51.5
1.937126965	21.25
1.752848865	8.25
1.660507537	1.25
1.239708136	-33.5
0.798660839	-70.5
0.3936601	-101
-0.036045	-128.5
-0.249885026	-142.75
-0.396090102	-151
-0.544320265	-159
-0.630180412	-164
-0.810000875	-173.25
-1.012501709	-183.5
-1.230798069	-193.75
-1.370119234	-198.75
-1.478255317	-203.25
-1.651597416	-210.5
-1.770669138	-214.25
-1.919306638	-217.75
