"Mo and Wang, 2000 Test C3-1"	
716	
2.5556	29.54
3.9168	37.355
3.7064	39.185
4.3752	42.85
4.4448	50.045
3.3292	53.47
1.6476	31.125
0.8056	12.94
-0.264	-9.155
-1.8048	-20.505
-2.5556	-29.54
-3.9168	-37.355
-3.7064	-39.185
-4.3752	-42.85
-4.4448	-50.045
-3.3292	-53.47
-1.6476	-31.125
-0.8056	-12.94
0.264	9.155
1.8048	20.505
2.3236	31.005
3.0928	37.475
3.8264	34.79
4.1196	41.015
4.3048	51.395
3.4764	50.29
1.8636	28.44
0.394	10.5
-0.396	-11.355
-1.8448	-19.53
-2.3236	-31.005
-3.0928	-37.475
-3.8264	-34.79
-4.1196	-41.015
-4.3048	-51.395
-3.4764	-50.29
-1.8636	-28.44
-0.394	-10.5
0.396	11.355
1.8448	19.53
0.6196	10.375
1.0612	26.735
1.3408	29.42
1.5324	39.305
3.5988	68.48
5.2664	99.61
7.8408	125.125
6.6872	103.27
4.8276	65.92
2.2376	30.76
-0.6196	-10.375
-1.0612	-26.735
-1.3408	-29.42
-1.5324	-39.305
-3.5988	-68.48
-5.2664	-99.61
-7.8408	-125.125
-6.6872	-103.27
-4.8276	-65.92
-2.2376	-30.76
-0.402	-0.365
1.1212	23.68
1.4888	27.95
1.9836	35.4
3.7384	59.69
5.5576	90.33
7.6448	121.34
6.7748	101.44
4.2648	65.185
2.4052	31.375
0.402	0.365
-1.1212	-23.68
-1.4888	-27.95
-1.9836	-35.4
-3.7384	-59.69
-5.5576	-90.33
-7.6448	-121.34
-6.7748	-101.44
-4.2648	-65.185
-2.4052	-31.375
-1.324	14.4
-0.8928	-4.275
0.1408	27.22
0.2904	32.835
3.0516	57.985
6.096	102.665
9.752	144.165
13.0968	173.095
11.1652	140.625
8.236	94.36
4.692	52.125
0.8928	4.275
-0.1408	-27.22
-0.2904	-32.835
-3.0516	-57.985
-6.096	-102.665
-9.752	-144.165
-13.0968	-173.095
-11.1652	-140.625
-8.236	-94.36
-4.692	-52.125
-2.1148	-12.575
-1.314	21.485
0.502	31.37
3.3908	51.76
6.1604	89.72
9.5884	128.05
12.9328	166.26
11.4528	137.21
7.9684	92.895
4.7	52.37
2.1148	12.575
1.314	-21.485
-0.502	-31.37
-3.3908	-51.76
-6.1604	-89.72
-9.5884	-128.05
-12.9328	-166.26
-11.4528	-137.21
-7.9684	-92.895
-4.7	-52.37
-2.2664	0
-2.398	-13.305
-0.4944	25.755
1.0644	32.96
5.358	74.83
9.3768	124.755
13.7308	174.315
18.0016	209.715
15.4512	167.965
11.4608	114.26
7.31	65.06
2.398	13.305
0.4944	-25.755
-1.0644	-32.96
-5.358	-74.83
-9.3768	-124.755
-13.7308	-174.315
-18.0016	-209.715
-15.4512	-167.965
-11.4608	-114.26
-7.31	-65.06
-2.7688	-17.825
-1.4264	23.56
0.9204	35.4
5.394	68.845
9.5164	112.795
13.8388	158.08
18.1968	203.125
15.6428	164.67
11.3728	112.55
6.9428	65.185
2.7688	17.825
1.4264	-23.56
-0.9204	-35.4
-5.394	-68.845
-9.5164	-112.795
-13.8388	-158.08
-18.1968	-203.125
-15.6428	-164.67
-11.3728	-112.55
-6.9428	-65.185
-2.9204	-7.57
-1.38372	-35.2672
-6.9654	-80.0681
-12.18984	-133.48785
-17.85004	-186.51705
-23.40208	-224.39505
-20.08656	-179.72255
-14.89904	-122.2582
-9.503	-69.6142
-3.59944	-19.07275
-1.85432	25.2092
-1.19652	-37.878
-7.0122	-73.66415
-12.37132	-120.69065
-17.99044	-169.1456
-23.65584	-217.34375
-20.33564	-176.1969
-14.78464	-120.4285
-9.02564	-69.74795
-3.79652	-8.0999
-7.301	-7.57
-2.806	36.87
-0.419	49.8
5.487	95.46
12.85	145.51
