Ang et al. 1981 Specimen 3	
598	
0	0
0.1659	11.495
0.49771	22.709
0.82951	33.924
1.1198	44.297
1.4516	54.11
1.8249	65.043
2.1567	73.174
2.7374	84.948
3.0691	92.518
3.3594	97.287
3.6083	100.93
3.7328	94.76
3.6083	86.629
3.4011	72.894
3.1107	62.521
2.696	52.148
2.2397	39.25
1.9493	29.718
1.6175	22.148
1.3272	13.457
0.87099	1.1214
0.53919	-7.8503
-0.12443	-33.082
-0.45623	-44.578
-0.87099	-56.912
-1.3687	-68.126
-1.8249	-78.503
-2.2397	-86.914
-2.696	-94.48
-3.1107	-102.05
-3.6914	-109.9
-3.4839	-102.05
-3.4011	-92.799
-3.1521	-80.464
-2.696	-63.362
-2.1567	-48.501
-1.5346	-32.522
-1.1198	-22.148
-0.53919	-8.4107
0.12443	6.4483
0.91247	31.4
1.3687	45.979
1.8249	56.352
2.3641	70.932
2.9032	82.986
3.4425	94.76
4.189	110.18
5.0599	123.36
6.8021	141.58
8.1707	152.8
9.5395	160.93
10.078	162.89
10.245	153.08
10.245	142.71
10.203	139.62
9.6639	130.09
9.0002	118.31
8.3365	108.5
7.5486	97.006
6.5946	83.267
6.2629	79.063
4.3965	46.539
3.65	31.12
3.1107	21.307
2.696	14.018
2.2397	4.766
1.8664	-3.3643
1.3272	-16.261
0.78803	-27.756
-0.45623	-57.753
-1.4931	-76.257
-3.5669	-109.06
-4.189	-116.35
-5.4333	-130.93
-6.3457	-140.18
-7.2583	-147.19
-8.7099	-156.72
-9.5809	-162.05
-9.6639	-156.72
-9.6639	-147.47
-9.2906	-136.26
-8.7927	-123.64
-8.3365	-114.39
-7.1752	-95.04
-6.4287	-84.387
-5.1844	-67.005
-3.9403	-48.221
-3.1107	-33.924
-2.2397	-20.466
-1.4516	-7.0092
-0.49771	7.8503
3.7328	76.537
4.7696	91.117
6.014	107.94
6.8021	118.87
7.7559	130.93
8.7099	142.14
10.203	153.64
10.286	146.63
10.203	139.9
9.4978	126.16
8.7513	114.1
8.1707	106.82
7.6314	98.688
6.8435	87.755
6.2212	78.783
4.6868	56.352
3.8158	43.175
3.0691	30.279
2.6129	21.868
1.9908	10.373
1.5346	3.6447
0.82951	-8.6914
-0.45623	-31.961
-1.0784	-43.456
-3.65	-83.547
-4.189	-90.837
-5.0185	-101.49
-6.097	-116.63
-6.968	-126.72
-7.8389	-136.26
-8.7099	-145.51
-9.5395	-152.52
-9.6223	-145.51
-9.1661	-133.17
-8.5024	-120.55
-7.6314	-105.98
-6.7191	-89.716
-6.3457	-83.827
-4.9771	-63.922
-3.5669	-44.017
-2.7374	-31.681
-1.7835	-14.299
-0.58067	5.3269
3.8986	74.575
4.9771	90.557
6.1798	105.42
8.2537	130.37
9.3736	143.27
11.157	161.21
12.816	172.7
14.765	181.95
16.424	187
18.291	191.21
20.364	192.05
20.406	185.6
20.282	179.15
20.033	169.62
19.659	159.81
19.162	148.87
18.54	140.46
17.461	128.97
16.507	118.59
15.678	110.18
14.475	98.127
13.645	89.716
12.65	78.223
11.157	64.483
9.6223	49.902
7.3411	26.354
5.9309	11.214
4.272	-6.168
3.1107	-19.906
2.0323	-31.681
1.1198	-41.774
-4.3965	-107.38
-5.3919	-119.15
-6.8021	-132.89
-7.6314	-141.02
-8.461	-148.87
-10.245	-162.89
-11.157	-169.34
-12.401	-174.94
-14.724	-182.8
-16.01	-185.32
-17.71	-186.72
-19.452	-185.88
-19.618	-177.47
-19.742	-164.57
-19.618	-151.12
-19.245	-140.74
-18.54	-129.25
-17.835	-117.75
-16.715	-105.98
-15.47	-93.639
-14.475	-85.508
-12.733	-70.932
-10.742	-51.308
-8.3365	-29.999
-6.7191	-15.42
-5.1844	-1.6821
-3.7328	10.373
-2.2397	23.27
-0.1659	41.213
1.1198	53.83
5.3089	90.557
8.0048	111.3
9.6639	122.24
13.314	143.83
15.927	157.28
18.249	167.37
20.448	175.5
20.406	163.45
19.825	150.27
18.83	135.7
17.752	122.24
16.383	110.18
15.18	98.968
14.06	89.996
12.899	79.343
10.825	61.4
9.1247	44.578
7.507	29.158
5.8067	14.299
4.3965	2.5233
2.8618	-10.934
1.4931	-23.55
-3.3594	-69.811
-4.4379	-79.063
-5.7236	-89.716
-6.8849	-99.528
-8.7099	-112.42
-10.369	-123.36
-11.655	-130.93
-13.438	-140.74
-15.429	-150.84
-17.212	-158.4
-18.664	-163.45
-19.286	-164.85
-19.203	-157.56
-18.954	-145.51
-18.332	-131.21
-17.378	-115.79
-16.424	-103.45
-14.724	-85.789
-11.696	-58.874
-9.3736	-38.69
-7.59	-22.709
-5.9309	-8.4107
-4.1476	7.0092
-1.7835	26.914
1.0369	50.747
4.189	73.734
6.3043	89.996
8.8758	108.78
10.784	121.39
12.816	134.29
14.641	144.95
16.715	156.16
18.291	163.17
21.775	174.66
23.973	178.59
25.591	179.15
27	178.03
28.534	176.91
30.152	177.75
30.775	177.75
30.65	169.06
30.152	157.84
29.489	143.83
28.867	132.61
27.955	119.99
26.876	107.38
25.923	97.847
24.844	88.035
23.973	81.865
20.987	61.961
19.162	50.467
15.927	32.241
13.148	17.102
11.157	4.766
8.4196	-10.934
5.226	-28.877
2.2397	-44.858
-1.5346	-65.043
-3.5255	-77.662
-6.1384	-93.92
-8.7099	-107.94
-10.784	-118.87
-12.857	-129.81
-14.682	-139.06
-16.798	-148.03
-18.415	-153.92
-20.613	-160.37
-22.895	-163.45
-25.259	-164.85
-27.912	-165.41
-29.903	-166.25
-29.698	-152.52
-29.281	-136.82
-28.41	-121.96
-27.165	-106.54
-26.088	-95.321
-24.636	-84.107
-22.438	-68.406
-20.364	-52.148
-18.042	-36.167
-15.595	-19.625
-12.277	-2.2429
-9.4564	12.897
-5.8895	31.12
-2.9863	46.82
-0.82951	57.753
1.6175	69.531
8.6269	100.65
12.443	116.35
15.221	127.28
17.627	135.98
20.24	144.39
22.811	151.68
25.88	157.84
28.41	162.89
30.028	164.85
30.152	155.6
29.365	141.02
