"Xiao 98,Specimen nr. HC4-8L19-T10-0.2P"	
-0.858647	-101.01408
-1.6256	-139.17792
-2.385949	-174.45056
-3.352419	-213.63744
-4.296664	-251.00064
-5.212461	-284.672
-6.235954	-319.41088
-7.633335	-358.064
-8.555355	-369.13952
-8.010398	-280.98016
-6.803136	-226.53664
-5.659247	-180.23296
-4.074922	-118.13888
-2.598293	-63.40624
-1.346708	-19.74912
-0.602107	6.31616
0.2154555	41.83344
1.0488295	82.0656
1.6762095	111.02208
2.6077545	152.87776
3.428492	188.10592
4.230116	221.77728
5.323332	264.41136
6.3689865	304.93264
7.1231125	330.17504
7.7568425	349.65728
7.28472	317.27584
6.7967225	288.8976
6.2358905	258.11744
5.6750585	228.89408
5.133213	199.9376
4.4836715	168.9128
3.8404165	138.91104
3.1274385	106.3072
2.53492	78.41824
1.761744	40.2544
0.998093	2.62432
0.231267	-38.16384
-0.668655	-83.4
-1.590675	-123.12064
-2.52222	-159.41632
-3.621786	-199.18144
-4.477385	-227.82656
-5.481828	-259.40736
-6.454521	-287.02944
-7.607935	-316.2528
-8.640953	-336.75808
-7.481189	-278.62272
-6.524244	-233.65344
-5.570474	-194.1552
-4.765675	-161.55136
-4.008374	-132.86176
-3.137027	-99.45728
-2.376551	-68.944
-1.609725	-40.2544
-0.96647	-13.6776
-0.301117	13.94448
0.263017	40.78816
0.830199	68.14336
1.3720445	95.23168
1.9360515	122.0976
2.6236295	152.61088
3.276346	180.49984
4.0305355	211.79152
4.7751365	241.79328
5.497576	270.46064
6.1883925	296.77056
6.917182	322.56896
7.7695425	350.7248
9.578848	373.8544
10.1143435	371.76384
9.7341055	342.80736
9.382379	319.67776
8.682101	281.51392
8.035671	248.37632
7.097776	203.11792
6.35635	168.89056
5.3645435	127.61312
4.388612	89.71616
2.7187525	26.82144
1.692021	-8.40672
0.465836	-55.77792
-0.440436	-93.67488
-1.406906	-132.328
-2.401824	-168.64592
-3.536188	-205.23072
-4.654804	-239.43584
-5.766943	-270.48288
-6.929882	-300.4624
-8.099044	-326.2608
-9.772142	-350.45792
-10.456545	-353.88288
-10.054209	-321.50144
-9.157462	-281.24704
-8.396986	-246.77504
-7.462139	-209.67872
-6.292977	-164.70944
-5.145913	-123.38752
-3.964051	-83.66688
-2.658491	-42.87872
-1.435481	-7.1168
-0.03175	37.89696
1.0266045	80.5088
1.7300575	108.66464
2.332101	132.86176
3.1369635	163.64192
4.144645	199.44832
5.142738	232.31904
5.9126755	257.04992
6.7460495	281.51392
7.620635	306.51168
8.7676355	337.02496
10.022459	362.82336
10.329799	367.53824
9.4964885	315.45216
8.428609	259.94112
7.3893045	209.9456
6.353175	164.44256
5.516626	130.23744
4.6008925	94.69792
3.6375975	58.936
2.6774775	24.73088
1.7934305	-4.47024
0.880872	-37.63008
0.117221	-68.14336
-0.858774	-106.04032
-1.898015	-144.15968
-2.965831	-178.3648
-4.356862	-218.35232
-5.687695	-252.82432
-6.926707	-282.58144
-9.20496	-329.66352
-10.868533	-339.3824
-10.111232	-301.77456
-9.227185	-263.89984
-8.371586	-227.82656
-7.474839	-193.62144
-6.299327	-151.27648
-5.05714	-109.46528
-3.631311	-64.7184
-2.113534	-21.30592
-0.541909	19.21536
0.62103	58.936
1.7364075	103.14912
2.7726005	141.0016
3.615436	171.29248
4.385437	196.77952
5.244084	224.42384
6.191504	252.82432
7.335393	285.73952
8.6662895	320.18928
9.8513265	345.18704
10.4280335	354.90592
9.692894	307.31232
8.4571205	245.752
7.2752585	192.06464
6.134481	143.40352
5.009642	99.99104
3.853053	56.0448
2.6616025	15.52352
1.7268825	-14.18912
0.7858125	-47.10432
-0.186944	-83.66688
-1.058418	-116.29296
-1.847342	-143.91504
-2.766314	-173.9168
-3.735832	-202.85104
-4.946269	-233.65344
-6.213729	-264.92288
-7.547737	-293.61248
-9.024366	-321.50144
-9.743694	-307.82384
-8.694801	-262.56544
-7.658608	-219.41984
-6.828409	-187.30528
-6.083808	-160.48384
-5.266309	-133.12864
-4.353814	-103.68288
-3.510915	-76.81696
-2.680716	-51.06304
-1.742821	-22.9072
-0.849249	2.8912
-0.133096	26.55456
0.5386705	52.61984
1.2294235	79.44128
2.0152995	109.46528
2.797937	137.84352
3.605911	165.75472
4.372737	192.33152
5.240909	219.68672
6.1883925	247.84256
7.097776	273.8856
8.0864075	299.66176
9.195435	325.99392
10.507218	350.96944
11.8190645	364.91392
13.615797	377.54624
14.794357	378.34688
13.587095	311.49344
12.842494	274.664
12.1486295	241.79328
11.277219	205.23072
10.4089835	171.29248
9.4583885	138.1104
8.178292	97.09984
6.898132	60.4928
5.4595395	28.6896
3.9576375	-2.35744
2.4239855	-37.3632
1.131189	-70.23392
0.0285115	-105.50656
-1.023493	-139.71168
-2.053336	-170.22496
-3.21945	-202.07264
-4.344289	-229.9616
-5.608574	-257.85056
-7.024878	-285.20576
-8.520557	-312.0272
-10.218928	-337.02496
-13.584047	-351.48096
-14.879955	-352.54848
-14.347698	-315.45216
-13.831189	-293.07872
-13.099161	-261.5424
-12.284837	-230.98464
-11.505438	-201.53888
-10.342499	-163.37504
-9.128887	-126.01184
-7.8994	-92.87424
-6.194679	-53.42048
-4.201668	-13.16608
-2.557145	14.72288
-0.836549	45.76992
0.5227955	77.88448
1.58115	107.33024
2.7155775	138.64416
3.9037895	171.0256
5.316982	206.78752
6.5654555	236.01088
