"Watson and Park 89, Specimen 8"	
-7.4463	-22.921
-6.2454	-4.3522
-5.4646	9.5748
-4.1435	37.719
-3.603	57.157
-2.6421	76.888
-1.6214	94.587
-0.78064	109.96
0.18015	136.66
0.90076	150.88
2.0417	169.15
3.1826	185.4
4.3236	198.75
5.5248	214.13
6.6055	225.73
7.5664	235.02
9.9682	250.68
11.349	258.52
13.391	259.97
14.592	258.52
15.613	255.62
16.033	250.68
16.574	240.24
16.934	226.03
17.174	209.78
17.475	193.82
17.715	176.7
17.535	150
17.234	131.14
16.514	111.71
15.553	92.848
14.172	69.055
11.349	15.668
9.668	-11.896
7.6263	-43.812
4.0234	-98.648
2.342	-120.7
0.7206	-143.62
-0.54046	-159.29
-2.0417	-177.28
-3.0025	-190.05
-3.603	-197.3
-4.924	-208.03
-6.1852	-216.74
-7.7465	-224.57
-9.1277	-228.05
-10.749	-230.09
-12.55	-230.38
-14.772	-229.21
-16.814	-227.76
-17.655	-224.86
-18.255	-213.25
-18.616	-201.65
-18.856	-166.84
-18.255	-145.94
-17.595	-128.53
-16.814	-112.57
-15.793	-93.426
-14.832	-74.277
-13.691	-54.839
-11.59	-21.18
-10.028	3.1916
-8.3469	26.983
-6.8458	48.163
-5.7648	64.122
-4.5037	78.627
-3.0025	97.487
-1.5613	119.25
0	137.24
2.0417	169.15
3.4828	177.86
4.684	181.05
5.5248	180.76
6.4854	179.02
6.9058	173.8
7.5664	161.61
7.9266	150
8.1069	138.4
8.287	125.34
8.527	108.22
8.6472	87.915
8.7673	68.766
9.1877	40.33
9.2476	23.792
9.668	0.58029
