"Zhou et al. 1987, Specimen 31207"	
737	
0	0
0.05357	1.7438
0.017856	3.7518
0.017856	5.9185
0.14285	7.9263
0.16071	10.199
0.23214	11.414
0.23214	12.894
0.33928	15.166
0.37499	16.91
0.37499	17.967
0.41071	19.235
0.44642	19.763
0.44642	20.186
0.5357	20.292
0.5357	20.292
0.58927	20.08
0.64284	19.076
0.67855	17.914
0.71427	16.223
0.66069	14.637
0.66069	12.946
0.60712	10.516
0.60712	8.6665
0.51784	7.0283
0.39285	5.3901
0.25	3.4876
0.14285	2.4308
0.035714	-1.6382
0.05357	-3.5405
0.05357	-5.6014
0	-7.0808
-0.017856	-8.1905
-0.14285	-10.199
-0.26786	-11.995
-0.41071	-13.898
-0.55355	-15.959
-0.57141	-17.597
-0.60712	-18.548
-0.62498	-19.71
-0.71427	-20.979
-0.80355	-21.771
-0.92855	-21.19
-0.91069	-18.601
-0.87498	-17.227
-0.71427	-15.747
-0.62498	-13.686
-0.60712	-12.418
-0.57141	-11.52
-0.46427	-9.1949
-0.37499	-6.0769
-0.26786	-2.8007
-0.23214	-1.1097
-0.16071	-0.26422
0.035714	1.1097
-0.017856	8.1905
0.017856	11.361
0.071427	15.536
0	19.657
0.017856	21.349
0.17856	22.881
0.28571	23.938
0.41071	25.101
0.5357	26.21
0.62498	27.161
0.71427	27.637
0.85712	27.796
0.92855	27.373
0.99997	26.633
1.0357	25.418
1.0714	24.149
1.0714	22.67
0.98212	20.926
0.89284	18.072
0.73213	14.743
0.67855	12.524
0.64284	10.04
0.49999	6.6053
0.35714	4.1217
0.16071	2.008
0.071427	0.89832
0.05357	-0.21137
0	-4.386
-0.017856	-6.6053
-0.10714	-10.621
-0.17856	-11.573
-0.30357	-12.894
-0.35714	-14.004
-0.41071	-15.113
-0.44642	-15.483
-0.48213	-16.011
-0.62498	-17.967
-0.66069	-20.45
-0.7857	-22.353
-0.83927	-25.259
-0.83927	-27.003
-0.89284	-29.275
-0.9464	-30.385
-0.98212	-31.917
-1.0535	-33.344
-1.1071	-34.929
-1.1428	-36.197
-1.2321	-36.356
-1.2678	-35.933
-1.3392	-35.405
-1.4107	-34.559
-1.4464	-33.133
-1.5	-32.129
-1.5178	-30.543
-1.4464	-29.222
-1.3928	-27.901
-1.3214	-27.848
-1.3035	-26.527
-1.3392	-25.312
-1.3749	-24.73
-1.3749	-23.251
-1.3392	-21.93
-1.3035	-20.662
-1.2678	-19.393
-1.2143	-18.178
-1.1428	-17.438
-1.1071	-17.121
-0.98212	-16.17
-0.62498	-14.426
-0.49999	-13.581
-0.49999	-13.792
-0.33928	-12.63
-0.25	-10.78
-0.23214	-9.8287
-0.21427	-8.1376
-0.16071	-6.4999
-0.16071	-5.6014
0.05357	4.5975
0	12.894
-0.035714	20.45
-0.035714	21.137
-0.035714	21.613
0.017856	22.3
0.035714	22.405
0.16071	23.04
0.28571	23.885
0.39285	24.678
0.44642	25.312
0.51784	26.263
0.60712	27.32
0.67855	27.848
0.66069	29.434
0.73213	30.86
0.7857	32.71
0.87498	33.608
0.91069	34.19
0.91069	35.669
1.0535	36.99
1.1964	38.153
1.3214	39.685
1.3928	40.425
1.4821	40.848
1.5536	40.901
1.6429	40.689
1.6963	39.527
1.6786	38.311
1.625	37.149
1.5536	35.511
1.5357	34.084
1.5178	32.868
1.4107	29.592
1.2856	27.214
1.0535	24.466
0.91069	22.511
0.7857	18.231
0.73213	15.906
0.64284	13.422
0.58927	10.093
0.58927	8.1376
0.42856	5.7072
0.30357	3.9632
0.16071	2.4836
0.071427	1.4268
0.035714	-2.6422
0.035714	-3.699
-0.125	-10.093
-0.30357	-13.211
-0.46427	-15.747
-0.57141	-18.336
-0.6964	-21.031
-0.80355	-22.405
-0.85712	-24.942
-0.87498	-28.06
-0.98212	-30.649
-1.0535	-33.502
-1.1071	-35.616
-1.2321	-38.311
-1.3749	-40.689
-1.5893	-42.909
-1.9464	-44.707
-2.3928	-46.504
-2.6786	-47.611
-2.9285	-48.457
-3.0535	-48.772
-3.1427	-48.932
-3.232	-48.932
-3.4106	-49.039
-3.4285	-49.039
-3.4821	-48.723
-3.4821	-48.563
-3.4821	-48.247
-3.4464	-47.189
-3.3928	-45.552
-3.3571	-44.969
-3.3213	-43.86
-3.3749	-42.803
-3.3749	-41.112
-3.3571	-40.213
-3.3571	-38.47
-3.3571	-37.73
-3.2678	-35.986
-3.1963	-33.661
-3.0714	-30.332
-2.8749	-28.06
-2.8392	-26.897
-2.732	-24.519
-2.6786	-23.568
-2.6071	-22.776
-2.4821	-21.983
-2.5893	-20.714
-2.5178	-18.654
-2.3035	-16.487
-2.0357	-13.422
-1.9285	-11.678
-1.8749	-10.463
-1.8214	-9.6704
-1.7322	-7.3979
-1.5893	-5.1259
-1.4464	-2.8535
-1.3571	-1.3739
-1.1785	0.3699
-1.0535	1.4796
-1.0357	1.7438
-0.89284	3.4876
-0.73213	7.5038
-0.62498	9.8287
-0.49999	11.678
-0.42856	12.999
-0.32142	14.796
-0.30357	16.064
-0.19642	17.333
-0.071427	18.548
0.017856	20.186
0.035714	20.767
0.25	23.356
0.48213	26.21
0.67855	28.482
0.76784	29.856
0.85712	31.812
0.96426	35.405
1.1428	38.1
1.2321	39.421
1.3035	40.689
1.3928	41.535
1.6607	44.707
1.8749	46.82
2.1607	49.248
2.4642	51.312
2.625	52.735
2.8213	53.901
3.2678	54.906
3.5891	54.746
3.7142	53.847
3.7677	51.997
3.6606	49.778
3.5357	47.874
3.4464	45.499
3.4285	44.018
3.4285	42.275
3.3571	40.425
3.1784	38.628
2.9999	35.986
2.8035	34.137
2.5714	31.336
2.4642	29.909
2.3749	27.637
2.1786	24.255
1.9642	21.93
1.8214	20.239
1.625	18.019
1.5714	17.068
1.5536	16.593
1.5178	15.853
1.3214	10.991
1.1071	9.089
0.96426	7.2925
0.91069	5.7072
0.87498	4.8087
0.82141	4.0689
0.76784	2.9592
0.73213	2.1137
0.67855	1.2682
0.62498	0.58126
0.55355	-0.26422
0.48213	-1.3739
0.39285	-2.5365
0.26786	-4.0161
0.16071	-4.9671
0.089284	-5.8126
-0.017856	-8.6665
-0.10714	-10.78
-0.26786	-12.63
-0.39285	-14.32
-0.55355	-16.064
-0.66069	-18.019
-0.80355	-19.975
-0.91069	-21.137
-0.99997	-21.93
-1.1428	-24.73
-1.2143	-26.157
-1.3035	-27.637
-1.3392	-28.324
-1.3928	-29.275
-1.4643	-30.279
-1.5357	-31.336
-1.625	-32.551
-1.7499	-33.819
-1.8571	-34.665
-1.9821	-35.564
-2.0357	-36.039
-2.1427	-36.885
-2.3213	-38.047
-2.3749	-38.523
-2.5535	-39.896
-2.6963	-40.848
-2.7856	-41.376
-2.8571	-41.958
-2.9464	-42.591
-3.1071	-43.279
-3.2499	-43.912
-3.3571	-44.283
-3.5714	-44.653
-3.732	-44.441
-3.7677	-43.965
-3.7677	-43.332
-3.7499	-43.12
-3.6963	-42.169
-3.6606	-40.213
-3.6427	-38.523
-3.6071	-36.99
-3.5535	-36.303
-3.5178	-35.564
-3.4285	-33.872
-3.2856	-31.865
-3.2142	-30.755
-3.1963	-29.75
-3.1606	-28.535
-3.1606	-27.901
-3.125	-26.95
-3.0891	-25.999
-3.0178	-25.048
-2.9464	-23.727
-2.8392	-22.67
-2.6963	-21.719
-2.5178	-20.292
-2.3928	-18.812
-2.3213	-18.019
-1.6071	-6.6582
-1.7678	-4.5445
-1.7678	-2.5893
-1.7678	-1.7438
-1.7499	-0.26422
-1.6429	1.3211
-1.6071	2.1666
-1.5178	3.2763
-1.3928	4.9671
-1.3214	6.1827
-1.1607	8.1376
-1.0893	9.7233
-0.91069	12.048
-0.80355	13.263
-0.71427	14.268
-0.49999	15.959
-0.37499	16.804
-0.16071	18.707
-0.035714	19.763
0.089284	23.198
0.41071	25.153
0.62498	26.95
0.73213	28.271
0.80355	29.856
0.80355	31.072
0.80355	32.498
0.80355	33.502
0.87498	34.665
1.0178	35.616
1.3392	36.673
1.5714	37.254
1.6429	38.523
1.8392	40.161
2.0357	42.01
2.1607	44.018
2.3392	45.552
2.4285	46.975
2.5178	48.034
2.6427	49.355
2.7142	50.147
2.8749	51.366
3.1071	52.157
3.1606	52.313
3.2856	52.735
3.3928	52.896
3.625	53.002
3.6606	52.949
3.6784	52.313
3.6606	50.729
3.5714	48.35
3.4642	46.081
3.4285	44.76
3.4464	43.226
3.3928	41.112
3.3392	40.002
3.232	38.311
2.9821	36.197
2.8392	34.718
2.6607	32.71
2.5178	30.913
2.4464	29.698
2.4107	26.739
2.2856	24.572
2.125	22.987
1.9821	21.402
1.8571	19.763
1.6607	17.967
1.5536	16.487
1.4285	14.373
1.2856	12.471
1.1607	10.463
1.1071	8.7719
0.83927	4.8617
0.7857	3.4348
0.73213	1.8495
0.64284	0.42275
0.51784	-1.2682
0.42856	-2.5365
0.37499	-3.2763
0.28571	-4.4916
0.16071	-5.4955
0.035714	-6.4999
-0.071427	-8.1376
-0.19642	-12.101
-0.37499	-14.32
-0.58927	-16.54
-0.71427	-17.808
-0.80355	-19.024
-0.91069	-20.714
-1.0714	-22.353
-1.2856	-23.938
-1.5714	-26.051
-1.8035	-27.954
-2.0535	-30.279
-2.2678	-31.97
-2.4821	-34.137
-2.6963	-36.62
-2.8213	-37.994
-3.0357	-39.949
-3.1071	-40.319
-3.1784	-40.478
-3.2499	-40.531
-3.3213	-40.531
-3.3928	-40.266
-3.4285	-39.738
-3.4464	-37.836
-3.3749	-35.722
-3.3213	-33.978
-3.232	-31.759
-3.232	-30.755
-3.1963	-29.117
-3.1606	-26.474
-3.0891	-24.995
-3.0535	-23.938
-2.9464	-22.458
-2.732	-20.45
-2.6071	-18.971
-2.3749	-16.117
-2.2142	-13.845
-2.0714	-11.52
-2.0357	-10.674
-1.9285	-9.1949
-1.8928	-8.9307
-1.8214	-6.1298
-1.7678	-3.9632
-1.7499	-2.2194
-1.7322	-1.2154
-1.6429	0.79263
-1.5536	2.3251
-1.5	3.8047
-1.3749	5.4955
-1.2143	7.0283
-1.0535	9.3533
-0.98212	11.361
-0.89284	12.524
-0.6964	14.268
-0.55355	15.377
-0.44642	16.276
-0.17856	18.707
0	20.82
0.10714	23.04
0.42856	25.999
0.57141	28.429
0.6964	30.808
0.85712	33.344
1.0178	34.771
1.2678	36.197
1.5	37.307
1.9285	39.844
2.3213	41.852
2.7142	44.124
3.0178	45.761
3.232	46.926
3.6606	48.617
4.0535	50.36
4.3928	51.575
4.8034	51.414
5.1071	50.729
5.4642	50.414
5.6963	50.147
6.107	49.831
6.3391	49.671
6.6427	49.569
6.8927	49.302
6.8927	46.713
6.8927	44.76
6.8391	43.12
6.7677	41.429
6.6962	38.998
6.357	34.876
6.1784	33.291
6.0355	31.759
5.7856	28.852
5.7141	27.954
5.607	26.633
