"""Matamoros et. al 1999 Specimen c10-20 North"""	
1425	
0.052832	-0.520441927
0.032766	-0.515993706
0.037846	-0.507097262
0.037846	-0.52933837
0.052832	-0.533786592
0.037846	-0.538234814
0.062992	-0.685026126
0.062992	-0.707267234
0.070612	-0.725060121
0.068072	0.248210765
0.74422	16.32497327
1.32334	29.62515586
2.06502	41.72431861
2.5654	50.70972624
3.2258	59.16134728
3.8862	66.723324
4.4958	72.50601208
5.1308	78.28870016
5.7658	81.84727744
6.4008	85.85067688
6.985	88.07478768
7.5946	90.74372064
8.2042	92.96783144
8.9154	95.19194224
9.6266	97.41605304
10.16	98.75051952
10.922	100.5298082
11.557	102.753919
12.2174	103.1987411
12.9032	104.0883854
12.0904	95.19194224
11.3792	90.74372064
10.7696	87.62996552
10.1346	83.62656608
9.525	79.62316664
8.8646	75.17494504
8.2296	71.1715456
7.5946	67.16814616
6.985	62.71992456
6.3246	57.8268808
5.6896	52.04419272
5.0292	46.26150464
4.445	39.98951218
3.7592	32.60546433
3.1242	25.04348761
2.27838	16.19152662
1.88214	8.22920996
1.26746	-0.154798112
0.6096	-10.49780298
-0.045212	-20.06147942
-0.66802	-29.49170921
-1.30302	-39.23331451
-1.94818	-48.04079328
-2.5908	-55.60277
-3.2004	-60.94063592
-3.8862	-67.61296832
-4.5212	-72.50601208
-5.1308	-76.06458936
-5.7658	-79.62316664
-6.3754	-83.62656608
-7.0358	-84.96103256
-7.6708	-88.07478768
-8.2804	-90.29889848
-8.9154	-92.96783144
-9.525	-94.74712008
-10.16	-96.08158656
-10.8712	-96.97123088
-11.7856	-99.19534168
-12.1412	-99.64016384
-12.7762	-100.9746303
-12.7762	-97.8608752
-12.7762	-97.41605304
-12.0142	-90.74372064
-11.43	-85.85067688
-10.795	-81.84727744
-10.1346	-77.39905584
-9.525	-72.95083424
-8.8646	-68.50261264
-8.2296	-64.05439104
-7.5692	-59.16134728
-7.0104	-55.15794784
-6.2992	-50.70972624
-5.6642	-45.37186032
-5.0546	-39.85606554
-4.445	-34.60716405
-3.7846	-27.57897392
-3.175	-20.68423044
-2.49428	-15.12395344
-1.90246	-11.20951843
-1.79324	-10.72021406
-1.22682	-6.805779048
-0.42672	-1.846011964
-0.163576	-0.264224363
0.201422	5.426830352
0.27686	10.80917849
0.32766	16.59186657
0.66802	23.79798556
1.32334	32.29408882
1.90246	39.94502997
2.6162	47.15114896
3.2258	52.04419272
3.8608	58.27170296
4.4958	62.2751024
5.1308	67.16814616
5.8166	70.28190128
6.4008	73.84047856
7.0358	76.95423368
7.6708	80.0679888
8.3312	83.18174392
8.89	86.29549904
9.5758	88.51960984
10.1854	91.1885428
10.8458	93.4126536
11.4554	96.08158656
12.1412	98.30569736
12.7762	100.9746303
12.7762	97.8608752
12.1158	94.74712008
11.43	90.74372064
10.7442	87.18514336
10.1346	84.07138824
9.525	80.51281096
8.8392	76.95423368
8.2296	73.84047856
7.5692	69.39225696
6.985	65.83367968
6.3246	61.83028024
5.6896	57.38205864
5.0292	52.48901488
4.3688	47.15114896
3.7846	41.27949645
3.1496	34.11785967
2.44094	26.73381182
1.85674	19.92803277
1.24714	12.05468054
0.635	4.492703816
-0.0125984	-1.067573184
-0.66802	-10.31987411
-1.34112	-20.46181936
-2.08026	-29.7586025
-2.5654	-36.38645269
-3.2004	-42.88085622
-3.8608	-48.04079328
-4.6228	-54.71312568
-5.1562	-58.71652512
-5.8166	-62.71992456
-6.477	-67.16814616
-7.0866	-71.1715456
-7.6708	-73.84047856
-8.2804	-77.39905584
-8.9408	-80.51281096
-9.5504	-84.07138824
-10.1854	-86.29549904
-10.8204	-88.51960984
-11.4808	-92.07818712
-12.1158	-93.85747576
-12.8778	-96.97123088
-9.3218	-71.61636776
-8.4582	-66.723324
-7.5692	-61.83028024
-6.7056	-56.93723648
-6.096	-53.3786592
-5.0038	-45.81668248
-4.4704	-41.59087196
-3.9624	-37.18713258
-3.4798	-32.69442876
-2.7686	-25.5772742
-2.08026	-18.41563742
-1.96088	-17.5259931
-1.95072	-17.74840418
-1.96088	-18.32667299
-1.90754	-14.27879134
-1.82372	-8.184727744
-1.23952	-1.370052253
-0.58928	7.739905584
0.0075438	14.1898269
0.66294	22.28559022
1.39192	30.15894245
1.96088	37.36506144
2.5654	43.3701606
3.2004	49.82008192
3.8608	54.71312568
4.4704	58.71652512
5.1054	63.16474672
5.842	67.61296832
6.477	70.72672344
7.0866	74.28530072
7.6708	76.95423368
8.3058	79.62316664
8.9662	82.73692176
9.5504	85.85067688
10.2108	88.51960984
10.795	90.29889848
11.4554	93.4126536
12.0904	96.52640872
12.7762	99.19534168
13.335	100.084986
14.0208	102.753919
14.6558	104.0883854
15.3416	105.8676741
15.9512	106.3124962
16.5608	106.7573184
17.2212	107.6469627
17.8562	105.8676741
18.4912	105.4228519
19.0754	105.8676741
19.0754	103.1987411
19.1008	103.1987411
19.1008	103.1987411
18.415	99.19534168
17.7546	96.52640872
17.145	93.4126536
16.4846	90.29889848
15.875	87.18514336
15.2146	83.62656608
14.5542	81.40245528
13.97	78.28870016
13.2842	74.73012288
12.7254	72.06118992
12.065	69.39225696
11.4046	65.83367968
10.7696	62.71992456
10.1854	60.0509916
9.525	56.49241432
8.89	52.93383704
8.2042	49.37525976
7.5946	46.26150464
6.9596	43.01430287
6.3246	39.1888323
5.6896	35.18543286
5.08	30.8706579
4.4196	26.4224363
3.7846	22.15214357
3.1496	17.7928864
2.5273	12.32157383
1.88976	6.850261264
1.25222	1.370052253
0.6223	-2.553279198
-0.0226568	-10.80917849
-0.70866	-18.0597797
-1.34874	-25.17693426
-1.93294	-33.00580427
-2.54	-39.09986786
-3.2512	-45.81668248
-3.8862	-50.70972624
-4.5466	-54.71312568
-5.08	-58.27170296
-5.8166	-63.16474672
-6.35	-66.27850184
-7.112	-71.1715456
-7.62	-73.3956564
-8.4836	-75.6197672
-8.9408	-78.73352232
-9.5758	-81.84727744
-10.1854	-84.5162104
-10.8458	-87.18514336
-11.4808	-89.85407632
-12.1158	-92.52300928
-12.7254	-94.74712008
-13.4112	-96.52640872
-14.0462	-99.19534168
-14.5288	-99.19534168
-15.2654	-100.084986
-15.9258	-100.084986
-16.5862	-100.9746303
-17.2212	-100.9746303
-17.7546	-100.9746303
-18.4912	-100.9746303
-19.2786	-100.084986
-18.4404	-92.52300928
-17.7292	-88.964432
-17.0942	-84.5162104
-16.4846	-81.40245528
-15.7734	-77.843878
-15.748	-78.28870016
-15.24	-73.3956564
-14.5288	-70.28190128
-13.97	-66.723324
-13.335	-63.60956888
-12.7	-60.0509916
-12.0396	-56.49241432
-11.4046	-52.48901488
-10.7442	-50.26490408
-10.1346	-46.7063268
-9.4996	-43.77050054
-8.8392	-40.3008877
-8.255	-37.40954366
-7.5946	-34.29578854
-6.985	-31.18203342
-6.2992	-26.60036517
-5.7404	-23.3531634
-5.0546	-18.94942402
-4.4196	-14.63464906
-3.7846	-10.0084986
-3.175	-5.33786592
-2.53238	0.207731949
-1.87706	5.382348136
-1.24968	11.43192951
-0.61722	16.45841992
0.032766	22.06317914
0.635	27.17863398
1.30302	32.2496066
2.03962	38.87745678
2.6416	43.45912503
3.2004	47.15114896
3.81	51.1545484
4.4958	54.71312568
5.1308	57.8268808
5.7658	60.94063592
6.477	64.05439104
7.0358	66.723324
7.6962	69.39225696
8.3312	71.61636776
8.9408	73.84047856
9.5758	76.50941152
10.16	78.28870016
10.8966	80.51281096
11.4554	82.73692176
12.0904	84.96103256
12.7254	86.7403212
13.3604	88.51960984
14.0208	90.29889848
14.6558	92.52300928
15.2908	93.85747576
15.9258	95.19194224
16.5608	96.52640872
17.1958	97.8608752
18.0086	99.64016384
18.4912	100.084986
18.4404	94.74712008
17.7546	92.07818712
17.145	88.964432
16.4846	86.29549904
15.9004	83.18174392
15.2146	80.0679888
14.605	76.95423368
13.97	74.28530072
13.3096	71.1715456
12.7	68.50261264
12.065	65.38885752
11.3792	62.71992456
10.7696	59.60616944
10.1346	56.49241432
9.4996	52.93383704
8.89	50.26490408
8.2042	46.7063268
7.5946	43.6370539
6.9596	40.47881656
6.35	37.00920371
5.6896	33.22821535
5.0292	29.58067364
4.3688	25.75520306
3.81	21.79628584
3.175	17.74840418
2.7432	14.76809571
2.51206	12.89984264
1.88976	8.140245528
1.2573	3.193823109
1.25476	3.536336172
0.61976	1.125400065
-0.0050292	-5.248901488
-0.68072	-11.83226946
-1.43764	-20.15044385
-2.0828	-25.13245204
-2.5908	-30.60376461
-3.4036	-37.32057922
-3.8354	-40.47881656
-4.4958	-44.92703816
-5.1308	-48.9304376
-5.7912	-52.48901488
-6.4008	-56.04759216
-7.0612	-59.16134728
-7.6708	-61.83028024
-8.3058	-64.05439104
-8.9662	-67.16814616
-9.5504	-69.83707912
-10.1854	-72.06118992
-10.8458	-73.84047856
-11.4808	-76.50941152
-12.1158	-79.17834448
-12.7762	-80.95763312
-13.3858	-82.73692176
-14.0208	-84.96103256
-14.6558	-86.7403212
-15.2908	-88.51960984
-15.9258	-89.85407632
-16.5862	-91.1885428
-17.2212	-92.52300928
-17.8054	-93.85747576
-18.4912	-94.30229792
-19.1008	-95.6367644
-18.3896	-88.964432
-17.7292	-84.5162104
-17.0688	-81.40245528
-16.4846	-77.843878
-15.8496	-74.73012288
-15.2146	-71.61636776
-14.605	-68.50261264
-13.9446	-64.94403536
-13.335	-61.83028024
-12.6492	-58.71652512
-12.0396	-55.15794784
-11.43	-52.48901488
-10.795	-49.37525976
-10.16	-46.26150464
-9.525	-43.23671395
-8.8646	-40.25640548
-8.2296	-36.78679263
-7.62	-33.98441302
-7.0104	-30.78169347
-6.35	-27.26759841
-5.6896	-23.21971675
-5.0292	-18.72701294
-4.4196	-14.94602458
-3.81	-10.05298082
-3.175	-5.78268808
-2.5654	-0.475959711
-1.91516	4.626150464
-1.2954	6.6723324
-0.65532	13.21121815
0.0226568	19.34976396
0.64262	24.77659431
1.2954	30.51480018
1.93548	36.11955939
2.5908	41.36846088
3.2766	45.37186032
3.8354	48.9304376
4.5466	52.93383704
5.1308	55.60277
5.7404	58.27170296
6.3754	60.94063592
7.0358	63.60956888
7.6708	66.27850184
8.255	68.50261264
9.017	71.61636776
9.525	73.3956564
10.1854	75.6197672
10.8204	77.39905584
11.5316	79.62316664
12.1158	81.40245528
12.7508	83.18174392
13.3858	85.40585472
14.0208	87.18514336
14.6812	88.51960984
15.621	91.1885428
15.9512	92.07818712
16.5608	93.85747576
17.1704	94.74712008
17.8308	96.52640872
18.4658	97.41605304
19.1262	98.30569736
19.7358	98.75051952
20.3962	99.64016384
21.0058	99.64016384
21.6916	99.19534168
22.2758	99.19534168
22.9108	99.19534168
23.5458	98.30569736
24.2062	98.30569736
24.8412	96.97123088
25.4	96.97123088
24.765	90.74372064
24.1046	88.07478768
23.4696	84.96103256
22.86	82.2920996
22.1996	79.62316664
21.6154	77.39905584
20.955	74.73012288
20.2946	72.06118992
19.685	68.9474348
18.9992	66.723324
18.9992	66.723324
18.3896	64.4992132
17.7546	61.83028024
17.1196	59.16134728
16.4846	56.49241432
15.8496	53.3786592
15.2654	51.1545484
14.5796	48.04079328
14.0208	45.81668248
13.3096	43.41464282
12.6746	40.74570986
12.0396	38.29918798
11.4046	35.89714831
10.7696	33.22821535
10.1092	30.69272904
9.4996	28.51310046
8.89	26.15554301
8.2296	23.75350334
7.62	21.17353482
7.0358	18.94942402
6.2992	16.05807998
5.6896	13.78948696
5.08	11.3874473
4.3942	8.496103256
3.7592	5.560277
3.1242	2.548830977
2.7686	0.911885428
1.83896	-0.279348316
1.22936	-4.89304376
0.60198	-9.430229792
-0.030226	-13.70052253
-0.64262	-18.50460186
-1.41478	-25.04348761
-1.95326	-29.04688705
-2.5908	-34.51819962
-3.2258	-39.94502997
-3.9624	-44.482216
-4.5212	-48.04079328
-5.1054	-50.70972624
-5.7404	-53.82348136
-6.4516	-57.8268808
-7.0866	-60.49581376
-7.62	-62.71992456
-8.3312	-65.83367968
-8.9154	-67.61296832
-9.5758	-70.28190128
-10.2616	-72.06118992
-10.8458	-73.84047856
-11.4808	-76.06458936
-12.0904	-77.843878
-12.7508	-80.0679888
-13.3604	-81.84727744
-14.0462	-83.18174392
-14.6304	-84.5162104
-15.3162	-86.7403212
-15.9258	-87.62996552
-16.5608	-88.964432
-17.2466	-89.85407632
-17.8308	-91.63336496
-18.4912	-92.07818712
-19.1262	-92.96783144
-19.7612	-93.85747576
-20.4216	-94.30229792
-20.9804	-94.74712008
-21.6154	-94.30229792
-22.3012	-94.30229792
-22.9362	-94.30229792
-23.5712	-93.85747576
-24.1808	-93.85747576
-24.8412	-93.85747576
-25.654	-92.52300928
-24.7904	-84.07138824
-24.13	-80.0679888
-23.495	-77.843878
-22.7838	-74.73012288
-22.1996	-71.61636776
-21.6154	-68.05779048
-20.955	-65.83367968
-20.2438	-62.71992456
-19.7104	-60.0509916
-19.05	-57.38205864
-18.4658	-54.71312568
-17.7546	-51.59937056
-17.145	-49.37525976
-16.4846	-46.7063268
-15.875	-43.77050054
-15.2146	-41.81328304
-14.5796	-39.14435008
-13.97	-36.78679263
-13.3604	-34.78509291
-12.6746	-32.29408882
-12.0396	-30.20342466
-11.3792	-27.57897392
-10.795	-25.39934534
-10.1346	-22.95282346
-9.4996	-20.41733714
-8.8646	-17.70392197
-8.1788	-14.99050679
-7.5946	-12.36605605
-6.9088	-9.519194224
-6.2738	-6.89474348
-5.6896	-4.163535418
-5.08	-1.708117094
-4.4196	1.757047532
-3.8354	4.848561544
-3.2512	8.140245528
-2.5146	11.65434059
-1.90246	15.79118668
-1.26746	19.83906834
-0.65532	23.84246778
0.0075438	28.0682783
0.67056	31.89374887
1.30302	36.65334598
1.97104	40.3008877
2.5654	44.17084049
3.2258	48.04079328
3.81	49.82008192
4.4958	53.3786592
5.1054	56.49241432
5.7658	58.27170296
6.4008	60.49581376
7.0358	63.16474672
7.6708	64.4992132
8.2804	66.723324
8.9408	68.9474348
9.779	71.61636776
10.2108	72.06118992
10.8204	73.84047856
11.4808	75.17494504
12.0904	76.95423368
12.7	78.73352232
13.3604	80.0679888
13.9954	81.40245528
14.6558	82.2920996
15.2908	83.62656608
15.9258	84.5162104
16.5608	85.85067688
17.1704	87.18514336
17.8308	87.62996552
18.4658	88.07478768
19.1008	88.964432
19.7612	89.85407632
20.3962	90.29889848
21.0058	91.1885428
21.6408	91.1885428
22.2758	91.63336496
22.8854	91.63336496
23.5458	92.52300928
24.1808	92.52300928
24.8158	92.07818712
25.4	92.52300928
24.765	86.7403212
24.13	84.07138824
23.4696	81.84727744
22.8346	79.17834448
22.225	76.06458936
21.4884	73.84047856
20.955	71.1715456
20.2946	68.50261264
19.6596	66.27850184
19.05	63.16474672
18.4404	60.94063592
17.8054	58.27170296
17.1196	56.04759216
16.51	53.3786592
15.875	50.70972624
15.2146	47.59597112
14.5796	45.37186032
13.9446	42.74740958
13.335	40.65674542
12.7	37.67643695
12.065	35.18543286
11.43	32.82787541
10.7696	30.20342466
10.16	28.20172494
9.4996	25.79968528
8.8138	23.44212783
8.2042	21.04008817
7.5946	17.61495754
6.985	16.32497327
6.3754	13.83396918
5.6896	11.34296508
5.0546	9.029889848
4.4196	6.627850184
3.7846	3.47406107
2.51714	-0.155242934
1.89484	-3.97671011
1.23952	-8.22920996
-0.035306	-15.52429338
-0.70866	-19.52769282
-1.34112	-24.4652188
-1.99136	-29.1803337
-2.667	-33.18373314
-3.2258	-37.36506144
-3.8354	-40.65674542
-4.5212	-44.2153227
-5.1054	-47.59597112
-5.7912	-50.70972624
-6.4008	-53.3786592
-7.0358	-56.04759216
-7.6962	-58.27170296
-8.3312	-60.49581376
-8.9662	-63.16474672
-9.5504	-65.38885752
-10.2362	-67.16814616
-10.8204	-68.50261264
-11.6586	-70.72672344
-12.1412	-71.61636776
-12.8016	-73.3956564
-13.3858	-74.73012288
-13.9954	-76.50941152
-14.6812	-77.843878
-15.2654	-78.73352232
-15.9512	-80.0679888
-16.5608	-81.40245528
-17.2212	-81.84727744
-17.8308	-83.18174392
-18.4912	-83.62656608
-19.1262	-84.07138824
-19.7358	-85.40585472
-20.3962	-86.29549904
-21.0058	-86.29549904
-21.6408	-87.18514336
-22.2758	-87.62996552
-22.9108	-88.51960984
-23.5966	-88.51960984
-24.2316	-88.51960984
-24.8158	-88.964432
-25.4	-89.40925416
-24.765	-81.84727744
-24.13	-77.843878
-23.5712	-75.6197672
-22.8854	-72.50601208
-22.225	-69.83707912
-21.5646	-66.723324
-20.955	-63.60956888
-20.2946	-60.94063592
-19.6596	-58.27170296
-19.0246	-55.15794784
-18.415	-52.48901488
-17.8054	-49.82008192
-17.1704	-47.15114896
-16.5354	-44.92703816
-15.8496	-42.12465855
-15.2654	-39.63365446
-14.605	-37.27609701
-13.97	-34.96302178
-13.3604	-32.78339319
-12.7	-29.98101358
-12.0904	-28.29068938
-11.43	-25.44382755
-10.8204	-23.39764562
-10.16	-20.95112374
-9.525	-18.14874413
-8.8646	-15.70222225
-8.2296	-13.0777715
-7.62	-10.45332076
-6.9596	-8.140245528
-6.2992	-4.759597112
-5.7404	-2.824620716
-5.0546	0.213069815
-4.4196	2.820172494
-3.7846	6.494403536
-3.175	8.8964432
-2.53746	13.74500474
-1.90246	17.25909981
-1.31826	21.21801703
-0.65532	24.82107653
0.035306	28.9134404
0.7493	32.91683984
1.2827	36.83127485
1.9177	40.56778099
2.50952	43.72601833
3.175	47.15114896
3.7846	49.82008192
4.445	52.04419272
5.08	54.26830352
5.6896	56.93723648
6.3754	59.16134728
7.6454	63.16474672
8.2804	64.94403536
8.9662	66.27850184
9.6266	68.50261264
10.1854	70.28190128
10.8458	71.61636776
11.4554	73.3956564
12.1158	74.73012288
12.7254	76.06458936
13.4112	77.39905584
13.9954	78.73352232
14.6304	79.62316664
15.2654	80.95763312
15.9004	82.2920996
16.5354	82.73692176
17.1958	84.07138824
17.8308	85.40585472
18.4912	85.40585472
19.1262	86.29549904
19.7866	87.18514336
20.3454	87.62996552
20.9804	88.51960984
21.6408	88.51960984
22.2758	89.40925416
22.9108	89.85407632
23.5458	89.85407632
24.2062	89.85407632
24.7904	90.29889848
25.4	90.29889848
26.162	90.29889848
26.67	90.29889848
27.432	90.29889848
27.94	89.40925416
28.702	88.51960984
29.21	88.51960984
29.972	88.07478768
30.48	87.62996552
31.242	87.18514336
31.75	86.29549904
31.242	80.0679888
30.48	76.95423368
29.972	74.28530072
29.21	71.61636776
28.448	68.50261264
27.94	66.723324
27.432	64.05439104
26.67	61.38545808
25.908	58.71652512
25.4	56.49241432
24.7396	53.82348136
24.13	51.59937056
23.5204	49.37525976
22.8854	47.15114896
22.2504	44.92703816
21.5392	42.2581052
20.955	40.25640548
20.32	37.89884803
19.6342	35.63025502
19.05	33.67303751
18.415	31.53789114
17.78	29.62515586
17.1704	27.66793835
16.51	25.48830977
15.9512	23.57557448
15.24	21.88525027
14.351	20.0169972
13.9192	18.01529748
13.3096	16.23600884
12.6746	14.90154236
12.065	13.38914702
11.3792	10.8536607
10.8712	9.875051952
10.16	7.695423368
9.5504	6.316474672
8.89	4.403739384
8.255	2.931378034
7.5946	1.098710735
6.9596	-0.876299655
6.2992	-2.486555874
5.6896	-2.495452318
5.1308	-6.183028024
4.4196	-8.985407632
3.7846	-10.8536607
3.1242	-13.43362923
2.15138	-17.39254646
1.2192	-21.30698146
0.48514	-23.13075232
-0.042672	-26.51140074
-0.71628	-29.89204915
-1.31826	-32.96132206
-2.00406	-36.25300604
-2.6416	-39.45572559
-3.2512	-43.28119617
-3.8354	-44.92703816
-4.6482	-48.9304376
-5.1054	-51.1545484
-5.7912	-53.82348136
-6.3754	-56.04759216
-7.0358	-58.71652512
-7.5946	-60.49581376
-8.3058	-62.2751024
-8.9408	-64.4992132
-9.5504	-66.723324
