Gill et al. 1979 Specimen 4	
585	
0	0
0.12784	23.323
0.14915	37.104
0.23437	53.007
0.27699	66.787
0.40483	91.171
0.42614	103.89
0.53266	124.03
0.59657	138.88
0.72441	161.14
0.78834	180.22
1.0227	227.92
0.98011	226.87
1.1505	253.37
1.321	286.23
1.4915	314.85
1.5767	337.11
1.7258	351.96
1.8537	364.68
1.8537	333.93
1.8324	319.1
1.7684	305.31
1.7258	284.11
1.6619	268.21
1.6193	254.43
1.5767	236.41
1.5127	219.44
1.4488	202.48
1.4062	182.34
1.321	163.26
1.2784	150.54
1.2145	131.45
1.1079	110.25
1.0227	91.171
0.9588	74.206
0.74572	40.284
0.63919	10.601
0.55397	-10.601
0.42614	-41.344
0.34089	-57.246
0.17045	-90.108
0.085227	-108.13
0.021307	-125.09
-0.10653	-151.6
-0.21307	-172.8
-0.27699	-188.7
-0.40483	-215.2
-0.72441	-265.03
-0.93749	-308.49
-1.1292	-336.06
-1.321	-361.5
-1.4488	-383.76
-1.5127	-358.32
-1.5127	-337.11
-1.4915	-314.85
-1.4702	-293.65
-1.4062	-274.57
-1.3423	-253.37
-1.2358	-234.29
-1.1719	-216.26
-0.9588	-151.6
-0.80965	-127.21
-0.6605	-100.71
-0.59657	-78.449
-0.49004	-59.367
-0.2983	-29.683
-0.25568	-15.902
-0.17045	4.2405
-0.063919	25.443
0	44.524
0.042614	51.944
0.25568	98.59
0.38351	133.57
0.61788	174.92
0.70312	205.66
0.85227	236.41
1.1079	285.17
1.2997	323.33
1.4488	354.08
1.7045	395.42
1.9602	425.1
2.2159	455.83
2.5568	487.63
2.8763	517.35
3.1747	542.79
3.4943	565.03
3.9629	596.83
4.3251	615.91
4.6662	633.93
5.0709	654.08
5.0922	608.49
5.0922	574.59
5.0495	544.88
4.9004	507.78
4.7727	471.75
4.5596	426.17
4.2614	367.86
4.1123	327.57
3.8565	290.47
3.686	259.73
3.4516	227.92
3.1961	190.82
2.855	142.06
2.5781	103.89
2.3437	75.269
2.0667	41.344
1.7684	9.541
1.4062	-53.007
1.1292	-83.747
0.74572	-137.81
0.42614	-190.82
-0.063919	-260.79
-0.34089	-308.49
-0.61788	-350.9
-0.9588	-395.42
-1.2571	-429.35
-1.7045	-474.91
-2.2798	-517.35
-2.5994	-544.88
-2.9403	-567.16
-3.4303	-595.77
-4.1547	-619.12
-4.7087	-640.29
-4.9431	-645.63
-4.9644	-612.76
-4.9644	-587.31
-4.794	-536.43
-4.6449	-490.84
-4.4105	-443.13
-4.1123	-403.9
-3.7925	-358.32
-3.5583	-329.69
-3.1534	-281.99
-2.7699	-240.65
-2.4715	-203.54
-2.2372	-172.8
-1.9176	-138.88
-1.6832	-109.19
-1.3849	-77.386
-1.2145	-54.065
-0.91618	-25.443
-0.74572	-3.1803
-0.2983	61.485
-0.021307	98.59
0.25568	137.81
0.53266	173.86
0.74572	204.6
1.1292	245.95
1.5767	295.77
1.9389	338.18
2.3863	386.94
2.6632	419.81
3.1961	470.69
3.6007	503.56
4.0269	539.59
4.3464	563.96
4.7513	589.4
5.1562	606.4
5.1989	582.02
5.0284	544.88
4.9431	522.64
4.8153	488.7
4.6449	451.61
4.176	375.28
4.0269	348.78
3.8138	310.61
3.5156	268.21
3.2172	235.34
2.9403	199.3
2.5781	154.78
2.3437	122.97
2.088	93.288
1.7684	55.124
1.2784	10.601
1.0014	-19.082
0.44745	-80.567
0.14915	-108.13
-0.2983	-163.26
-0.72441	-214.14
-1.0653	-253.37
-1.3849	-292.59
-1.598	-320.15
-1.9815	-359.38
-2.365	-399.66
-3.0254	-447.38
-3.2812	-471.75
-3.6007	-500.36
-3.9842	-529
-4.4745	-552.31
-4.9004	-577.75
-4.8153	-532.16
-4.5169	-462.19
-4.304	-429.35
-4.0909	-398.6
-3.8778	-371.04
-3.6434	-344.54
-3.3879	-313.79
-3.1747	-285.17
-2.8763	-254.43
-2.5994	-225.8
-2.3224	-200.36
-2.0028	-167.5
-1.7471	-142.06
-0.91618	-58.304
-0.59657	-20.142
-0.31961	18.022
0.17045	84.81
0.49004	127.21
0.70312	149.48
0.9588	181.28
1.2571	216.26
1.5341	245.95
1.7897	276.69
2.1093	311.67
2.4715	354.08
2.855	395.42
3.2172	429.35
3.7074	471.75
4.1974	514.14
4.5809	542.79
5.0709	575.66
5.5397	604.26
6.1364	632.91
6.6264	649.85
7.3934	665.73
8.1392	679.52
8.7996	682.72
9.5026	686.95
10.057	690.15
10.483	686.95
10.526	641.36
10.461	594.74
10.44	555.51
10.334	533.23
10.163	485.54
9.8649	443.13
9.6093	395.42
9.2682	350.9
8.8636	309.55
8.3734	266.09
7.8834	227.92
7.3721	185.52
6.8608	142.06
6.3492	103.89
5.987	78.449
5.4757	41.344
4.9004	-2.1202
4.5169	-30.743
3.9842	-64.665
3.686	-92.229
3.2172	-126.15
2.5781	-181.28
2.2585	-207.78
1.811	-244.88
1.2997	-286.23
0.46873	-346.65
-0.021307	-385.88
-0.61788	-419.81
-1.1292	-456.9
-1.875	-503.56
-2.4076	-536.43
-3.4089	-589.4
-4.2614	-628.64
-5.4117	-656.21
-6.2428	-666.8
-7.3081	-680.59
-8.3096	-691.17
-9.1831	-694.38
-10.014	-696.51
-9.9289	-672.09
-9.9075	-637.13
-9.8862	-610.62
-9.7798	-577.75
-9.7371	-550.22
-9.6304	-520.5
-9.4389	-491.9
-9.2045	-464.33
-8.9913	-439.95
-8.7142	-412.38
-8.3947	-376.34
-8.1392	-354.08
-7.6276	-309.55
-6.6477	-239.59
-6.115	-206.72
-5.7739	-181.28
-5.3266	-154.78
-4.73	-120.85
-4.2614	-93.288
-3.8565	-69.967
-3.4516	-47.705
-3.0254	-23.323
-2.4076	12.721
-2.0028	39.224
-0.87356	119.79
-0.14915	177.04
0.23437	213.08
0.74572	250.19
1.2358	281.99
1.9602	327.57
2.5568	365.74
3.1107	393.3
3.8778	429.35
4.3464	449.47
4.9644	478.12
5.5184	501.42
6.5197	540.65
7.2017	563.96
7.9898	591.54
8.7142	613.82
9.524	635
10.526	653.01
10.526	587.31
10.461	557.6
10.355	532.16
10.163	493.99
9.9289	462.19
9.588	429.35
9.0764	384.82
8.3096	328.64
7.8621	298.95
7.4148	268.21
6.7968	230.05
6.1788	190.82
5.5397	150.54
4.9858	113.43
4.2827	71.026
3.7501	36.044
3.0254	-8.481
2.6632	-30.743
1.9815	-67.845
1.1505	-115.55
0.12784	-175.98
-0.61788	-222.62
-1.0866	-252.31
-1.7684	-286.23
-2.4289	-322.28
-3.0043	-353.02
-3.7287	-391.18
-4.2827	-418.74
-5.1775	-460.1
-6.0297	-498.26
-6.7541	-527.93
-7.3721	-550.22
-8.2243	-577.75
-8.97	-595.77
-10.057	-611.69
-9.9502	-585.18
-9.9075	-547.02
-9.7158	-506.72
-9.46	-471.75
-9.1618	-432.53
-8.906	-406.02
-8.5438	-371.04
-8.1816	-339.24
-7.8621	-311.67
-7.4999	-285.17
-6.9886	-248.06
-6.4773	-213.08
-5.9446	-179.16
-5.4544	-149.48
-4.9644	-122.97
-4.4105	-91.171
-3.2598	-22.262
-2.7485	10.601
-2.2159	42.405
-1.6832	76.328
-0.23437	170.68
0.51135	217.32
1.3423	260.79
1.9602	293.65
2.6208	330.75
3.9629	394.36
5.0071	437.83
5.9233	474.91
6.7328	506.72
7.7981	545.95
8.7782	583.04
9.8011	612.76
10.888	637.13
11.719	651.99
12.677	663.64
13.828	677.43
15.064	691.17
15.639	696.51
15.596	647.72
15.511	611.69
15.362	567.16
15.149	514.14
14.787	463.26
14.361	412.38
13.956	379.52
13.359	339.24
12.741	303.19
12.059	261.85
11.314	218.38
10.696	183.4
9.9715	147.36
9.1831	110.25
8.4374	74.206
7.6276	38.164
6.8181	-1.0601
5.8166	-44.524
5.0922	-74.206
4.3891	-107.07
3.5794	-141
2.4929	-186.58
1.2784	-238.52
0.34089	-278.81
-0.46873	-312.73
-1.5554	-357.26
-3.0467	-415.56
-4.0056	-454.81
-5.0922	-491.9
-6.0084	-525.8
-7.2017	-569.3
-8.2456	-606.4
-9.1404	-627.57
-10.227	-648.79
-11.612	-668.93
-12.613	-677.43
-13.764	-686.95
-14.616	-692.24
-15.319	-695.44
-15.149	-660.44
-15	-610.62
-14.744	-536.43
-14.19	-438.89
-13.679	-389.06
-13.04	-342.42
-12.23	-294.71
