"Tanaka 90, Specimen 9"	
571	
0	0
-0.098328	23.705
0.39332	55.311
0.78661	83.627
1.4749	104.7
2.2615	139.6
2.95	160.67
3.7363	184.37
5.113	211.36
5.8997	230.46
6.7846	244.95
7.2763	256.8
6.9812	231.78
6.588	208.73
6.1946	191.61
5.3096	159.35
5.0147	141.57
4.4247	120.5
3.8349	95.476
3.1466	73.748
2.3599	46.09
1.8682	25.68
1.2783	7.2431
0.68829	-13.169
0.295	-39.508
-0.39332	-70.456
-1.3766	-102.72
-2.4582	-133.67
-3.3431	-152.1
-4.4247	-175.81
-5.4079	-199.52
-6.0963	-217.29
-6.7846	-233.76
-7.2763	-246.92
-7.7678	-258.12
-8.2596	-266.68
-7.6695	-240.34
-7.4729	-204.78
-6.588	-160.67
-5.3096	-113.91
-4.4247	-84.285
-3.3431	-48.07
-1.9666	-11.852
-0.98328	20.412
0.098328	57.286
0.98328	86.26
1.8682	111.94
3.0483	140.91
4.4247	180.42
5.113	198.2
6.6863	238.36
8.1613	271.29
9.7345	296.97
11.111	319.35
12.783	339.11
14.356	354.25
16.912	370.06
18.879	376.64
20.354	370.06
20.846	358.2
20.452	331.87
20.157	318.69
19.567	298.28
18.584	269.31
17.306	236.39
15.634	194.25
14.454	165.27
13.274	140.91
12.291	119.84
10.914	94.16
10.029	75.064
8.9479	55.311
7.5712	29.631
6.2931	5.2678
5.113	-18.437
3.9332	-39.508
2.3599	-62.552
1.0816	-79.673
-0.88496	-111.28
-2.6548	-142.23
-3.8349	-166.59
-5.113	-194.25
-5.8014	-212.02
-6.9812	-237.05
-8.7513	-272.6
-10.226	-305.53
-11.603	-323.31
-12.881	-337.79
-14.454	-351.62
-16.224	-361.5
-17.994	-366.11
-19.469	-366.11
-20.649	-366.11
-21.239	-352.94
-20.944	-326.6
-20.452	-306.19
-19.469	-268.65
-17.699	-221.24
-16.224	-182.39
-14.454	-140.25
-12.094	-89.552
-9.6363	-41.483
-6.8829	0
-5.0147	28.972
-2.95	56.627
-0.78661	81.647
1.6716	111.94
3.9332	134.33
6.4897	161.98
8.8496	195.57
10.619	225.85
12.684	256.14
14.651	286.43
16.617	314.09
18.486	338.45
20.255	353.59
20.157	327.26
19.469	301.57
18.486	275.9
17.601	252.85
16.716	233.1
16.323	215.98
15.536	197.54
14.651	173.17
13.569	150.79
12.488	128.4
11.209	104.04
7.7678	41.483
6.3914	18.437
4.9164	-4.609
3.7363	-22.388
2.1632	-41.483
0.98328	-58.602
-0.58997	-75.723
-2.8514	-102.72
-5.3096	-131.03
-7.3746	-166.59
-8.5545	-183.05
-9.7345	-206.76
-10.914	-228.48
-11.996	-244.95
-13.078	-262.07
-14.454	-283.14
-15.733	-300.92
-17.109	-315.4
-18.387	-327.92
-19.371	-339.11
-20.747	-350.3
-20.747	-326.6
-19.666	-279.85
-18.879	-248.24
-17.797	-217.95
-16.716	-188.32
-15.438	-156.71
-13.766	-120.5
-11.209	-75.064
-9.0462	-40.825
-6.7846	-5.2678
-4.8181	19.754
-2.6548	48.07
-0.78661	69.14
4.4247	126.43
7.4729	168.57
9.0462	189.64
12.684	242.31
15.536	288.41
17.601	317.38
19.666	339.11
21.73	352.28
24.877	368.74
29.99	381.25
34.808	387.83
38.445	393.1
41.397	391.13
