"Saatcioglu and Ozcebe 1989, Spec. U3"	
1010	
0	-12.17
-0.0388	-12.21
-0.04	-12.56
0.095	-5.76
0.269	4.04
0.444	13.66
0.623	23.33
0.836	33.3
1.04	42.91
1.3	52.98
1.6	63.14
1.91	73.11
2.29	82.44
2.75	92.24
2.97	95.62
3.66	105.7
4.15	115.3
5	122
5.71	130.1
5.9	132.2
6.03	132.5
6.11	133.6
6.38	136.5
6.38	136.5
6.54	131.1
6.32	121.2
6.15	111.1
5.79	100.4
5.5	90.74
5.2	80.78
4.9	70.47
4.6	60.9
4.29	50.76
3.99	40.64
3.66	30.64
3.36	20.4
3.08	10.32
2.79	0.1141
2.56	-9.191
2.29	-18.38
2.22	-21.44
2.16	-23.33
2.17	-23.14
2.16	-22.92
2.15	-22.75
1.96	-29.7
1.96	-29.7
1.68	-39.71
1.43	-49
1.12	-58.82
0.769	-68.44
0.379	-77.6
-0.106	-87.29
-0.401	-93.15
-0.915	-100.6
-1.24	-104.6
-1.76	-110.9
-2.55	-120.9
-2.64	-122.2
-2.3	-124.5
-3.41	-132.4
-3.7	-135.8
-4.26	-141.6
-5.15	-152.1
-5.74	-159.9
-5.84	-152.4
-5.61	-142.3
-5.36	-132.4
-5.07	-121.8
-5.07	-121.8
-4.79	-110.2
-4.45	-99.04
-4.19	-89.02
-3.9	-78.99
-3.6	-68.17
-3.29	-57.65
-2.96	-47.37
-2.64	-36.35
-2.34	-25.71
-2.04	-15.32
-1.75	-4.388
-1.43	5.785
-1.08	16.55
-0.694	26.69
-0.269	37.45
0.224	47.76
0.846	58.58
1.63	68.64
2.59	78.93
3.6	89.46
4.44	99.91
5.13	109.3
5.13	109.3
5.7	118.6
5.85	111.2
5.59	101.3
5.2	91.08
5	80.52
4.64	69.62
4.3	58.81
3.95	48.4
3.6	37.88
3.28	27.38
2.95	16.58
2.63	5.65
2.31	-5.095
2.04	-14.75
1.74	-26.13
1.43	-36.4
1.12	-47.02
0.736	-57.53
0.265	-67.91
-0.305	-77.85
-0.936	-87.39
-1.87	-97.33
-1.87	-97.33
-3.13	-107.9
-3.76	-117.7
-4.34	-127.6
-4.89	-138.2
-5.4	-149
