"Wight and Sozen, 1973, Spec. WS067E"	
1218	
0	0
-0.14473	1.6197
-0.14473	3.2394
-0.14473	5.1081
-0.14473	7.7248
0.072365	8.5971
0.36182	9.9675
1.7367	17.692
2.1709	19.81
2.388	22.302
2.8946	25.915
3.2563	29.155
3.5458	31.771
3.9799	35.011
4.3419	37.876
4.776	40.243
5.1379	42.237
5.7892	45.975
6.2956	49.462
6.5852	52.206
7.1641	55.444
8.0325	60.551
8.4666	63.046
9.0454	65.786
9.6967	68.775
10.276	71.266
10.71	74.01
10.999	75.878
11.434	78.867
12.085	81.234
12.881	82.977
13.243	83.974
13.966	84.098
14.762	84.223
15.197	84.223
15.486	83.974
15.703	82.106
14.69	77.996
14.473	76.128
13.894	73.757
13.677	72.636
13.46	70.394
13.026	68.028
12.808	65.537
12.591	63.17
12.519	61.298
12.23	58.807
12.012	57.188
11.506	54.074
10.927	50.832
10.42	47.594
10.059	44.978
9.6243	41.863
9.2626	38.873
8.7561	36.381
8.3218	33.765
7.8877	30.774
7.3089	27.909
6.8021	25.292
6.368	22.427
6.0063	20.558
5.7168	18.191
5.4272	15.948
5.1379	13.082
4.776	10.092
4.4867	7.6003
4.2695	5.6067
3.9075	2.4919
3.4011	-0.62294
2.8222	-3.8624
2.1709	-7.4758
1.7367	-10.466
1.5197	-12.957
1.2302	-15.699
0.79601	-18.938
0.36182	-21.43
0	-23.174
-0.14473	-24.794
-0.43419	-27.161
-0.72365	-29.03
-0.94074	-33.765
-1.5197	-38.001
-2.0262	-41.116
-2.5327	-43.981
-2.967	-46.971
-3.6906	-50.583
-4.559	-54.573
-5.0655	-57.063
-5.7168	-60.177
-6.2956	-63.295
-6.8745	-66.284
-7.4534	-68.65
-8.177	-71.266
-8.9007	-74.135
-9.4074	-75.505
-10.276	-77.747
-11.072	-80.113
-12.157	-83.849
-12.736	-85.722
-13.17	-86.594
-13.532	-87.465
-13.677	-87.715
-13.604	-86.22
-13.677	-84.597
-13.677	-82.355
-13.532	-79.988
-13.243	-76.875
-13.026	-74.633
-12.881	-72.138
-12.664	-69.896
-12.23	-66.658
-11.868	-63.544
-11.578	-60.426
-11.216	-56.69
-10.71	-52.704
-9.9863	-48.341
-9.6967	-45.725
-9.2626	-42.486
-8.9007	-39.745
-8.539	-36.007
-8.177	-33.017
-7.6705	-29.653
-7.3812	-28.532
-6.4404	-24.046
-5.7168	-19.436
-4.8484	-15.076
-3.8354	-10.092
-2.605	-4.7345
-1.592	-0.74758
-0.79601	2.3673
0.072365	6.6035
0.72365	8.8462
1.2302	11.961
1.7367	14.577
2.4604	19.436
3.0394	23.174
4.4867	30.774
4.9931	33.889
5.4996	37.253
6.2956	39.994
6.8745	44.23
7.5982	48.216
8.3942	51.957
8.9731	55.444
9.9863	59.803
10.782	63.295
11.578	66.782
12.085	69.273
12.736	72.387
13.532	75.878
14.401	79.117
15.703	82.604
16.137	83.476
16.571	83.974
17.512	84.846
18.742	85.597
20.985	86.843
23.012	88.337
24.821	89.209
26.195	89.707
27.498	90.081
28.727	90.205
29.307	90.33
29.596	90.33
29.525	87.715
29.307	84.97
28.872	80.611
28.583	78.12
28.151	74.508
27.788	71.266
27.427	66.907
26.993	62.797
26.413	58.06
25.471	52.58
24.821	49.213
24.097	45.227
22.867	38.997
22.288	35.883
21.926	33.515
20.913	29.279
20.189	26.538
19.538	24.42
18.598	20.558
18.163	18.938
17.512	16.446
16.571	13.207
15.775	10.59
14.545	7.6003
13.17	4.3607
11.651	0.49835
10.348	-2.6164
9.5519	-4.9835
9.4798	-5.7312
9.0454	-7.1017
8.3942	-8.7216
7.3812	-11.213
6.368	-13.954
5.7892	-15.574
4.7036	-18.315
2.967	-22.302
1.6644	-25.417
0.57892	-28.034
-0.28946	-30.276
-1.6644	-34.387
-2.5327	-36.63
-3.4011	-39.246
-4.4143	-42.361
-5.2103	-45.725
-5.7168	-48.59
-6.368	-51.833
-6.8021	-53.95
-7.6705	-57.811
-8.2494	-60.177
-9.1178	-63.793
-9.8415	-66.533
-10.565	-69.149
-11.94	-74.882
-12.591	-77.373
-13.387	-79.739
-14.111	-81.732
-14.69	-83.351
-15.341	-85.095
-16.716	-87.964
-17.874	-90.205
-18.887	-91.825
-19.973	-92.945
-21.492	-94.191
-23.374	-95.436
-24.966	-95.934
-26.124	-96.184
-27.643	-96.557
-28.656	-96.811
-29.235	-96.811
-29.235	-94.689
-29.38	-92.447
-29.741	-90.081
-29.886	-86.469
-29.886	-82.977
-29.67	-80.362
-29.235	-76.377
-28.946	-73.134
-28.583	-68.775
-28.296	-65.412
-27.498	-58.06
-27.208	-55.32
-26.919	-52.455
-26.485	-49.462
-25.905	-46.348
-25.11	-42.361
-24.604	-39.496
-24.025	-36.63
-23.156	-33.017
-22.071	-29.155
-21.275	-26.663
-20.334	-24.171
-19.249	-21.181
-18.019	-17.692
-16.861	-14.951
-15.413	-11.213
-13.821	-8.3476
-12.23	-5.7312
-10.999	-3.2394
-10.276	-1.6197
-9.1178	0.49835
-7.6705	3.4886
-6.368	5.6067
-5.3548	7.2262
-4.1247	9.3444
-2.7498	11.462
-1.8091	13.954
-0.36182	17.567
0.14473	18.689
0.94074	20.06
1.8815	21.804
3.1118	24.171
4.3419	26.663
5.6444	29.155
7.2365	33.266
7.8877	35.26
9.1902	38.624
10.348	41.489
11.578	45.227
12.374	48.465
13.026	50.832
13.821	53.203
14.69	55.32
15.558	57.063
16.282	58.433
17.223	61.049
18.091	63.295
19.466	67.156
20.334	68.9
21.42	71.39
21.854	72.511
23.084	74.882
24.17	77.248
24.821	78.494
25.4	79.615
26.124	81.109
27.064	82.604
27.861	83.725
28.511	84.97
28.946	85.846
29.091	86.22
29.162	86.22
29.017	83.849
28.656	80.611
28.367	77.498
28.151	75.505
27.716	72.262
27.064	67.53
26.774	65.039
26.629	61.422
26.269	58.06
25.905	54.323
25.255	49.835
24.676	46.971
24.025	43.234
23.374	39.496
22.288	34.762
21.782	32.519
21.058	29.528
20.045	26.04
19.176	22.925
18.236	19.81
17.295	16.446
16.716	14.453
16.065	11.836
15.269	9.2198
14.473	6.9771
13.387	4.2361
12.519	1.9935
11.578	-0.12459
10.493	-2.9902
10.203	-4.1116
9.2626	-6.9771
8.539	-9.3444
7.4534	-12.335
6.7297	-14.203
5.4996	-17.318
3.763	-21.928
2.8946	-24.545
1.9538	-27.037
0.94074	-29.279
-0.21709	-31.896
-0.86838	-33.64
-1.592	-35.509
-2.7498	-38.997
-3.5458	-41.614
-4.1247	-43.607
-4.9207	-46.224
-5.6444	-48.59
-6.1509	-50.583
-7.0193	-54.199
-7.9601	-57.188
-9.1178	-60.177
-9.9863	-61.796
-10.855	-63.42
-12.085	-65.786
-13.026	-67.779
-13.894	-69.522
-14.835	-71.639
-16.065	-74.135
