"Kanda et al. 1988, Spec. PDC1"	
1510	
0	-1.5179
1.00E-04 	-1.5179
0.0006	-0.58379
0.003	0.35032
0.0083	0.32334
0.01985	0.48049
0.0369	1.0822
0.0575	2.7125
0.07685	3.4669
0.09245	4.0552
0.1031	4.2977
0.1085	4.2572
0.10975	4.5222
0.1071	3.5971
0.10515	4.1316
0.1032	4.0956
0.1009	3.2334
0.09995	4.0687
0.09755	2.9818
0.09595	3.9339
0.0916	2.3397
0.08795	2.9146
0.08345	2.452
0.07935	2.3936
0.07745	1.958
0.0805	2.7978
0.08665	3.3277
0.09605	3.9429
0.10765	4.4638
0.12075	4.9938
0.13275	5.4518
0.14125	5.4339
0.1457	5.7931
0.14465	4.9219
0.1404	4.8142
0.1319	3.8801
0.12085	3.3905
0.10755	2.7574
0.09235	2.8202
0.0736	1.9804
0.0545	0.49845
0.0398	-0.076322
0.0333	-0.098787
0.03735	0.72751
0.0507	1.8592
0.0721	2.3891
0.1002	3.386
0.13245	4.6255
0.16085	5.8425
0.1775	6.1659
0.17825	6.7766
0.1583	4.657
0.1208	3.925
0.064	0.83974
0.00325	-1.5897
-0.0481	-2.8292
-0.0841	-4.0776
-0.09875	-4.5088
-0.0908	-4.0013
-0.06255	-3.1211
-0.0146	-0.23348
0.04725	1.4595
0.12035	5.0567
0.1971	7.091
0.27435	9.8259
0.3473	12.062
0.4094	13.966
0.45515	16.252
0.47385	16.769
0.45985	14.546
0.42165	13.957
0.36215	11.55
0.28685	8.9771
0.2016	5.7033
0.11525	1.8771
0.0379	-0.17511
-0.02865	-2.4924
-0.08195	-4.3964
-0.12065	-5.5866
-0.14505	-6.5162
-0.1576	-6.7317
-0.1624	-7.6119
-0.16045	-6.7452
-0.1584	-6.7587
-0.15685	-6.7542
-0.1564	-6.7452
-0.16005	-6.7138
-0.1697	-7.2077
-0.1885	-7.576
-0.2199	-8.6763
-0.2619	-10.019
-0.3118	-11.393
-0.36315	-12.866
-0.4094	-13.971
-0.4456	-15.35
-0.466	-15.565
-0.4672	-16.082
-0.44495	-14.047
-0.40495	-13.441
-0.34785	-11.532
-0.28265	-9.3768
-0.21905	-7.1314
-0.16555	-5.398
-0.1292	-4.1271
-0.1174	-3.7768
-0.1353	-5.2363
-0.18085	-6.0356
-0.2554	-8.7615
-0.3546	-11.923
-0.4731	-15.659
-0.59775	-19.31
-0.71595	-22.589
-0.8172	-24.776
-0.8941	-26.334
-0.93575	-27.017
-0.9337	-26.545
-0.89125	-25.395
-0.81205	-22.917
-0.69115	-19.306
-0.5265	-14.496
-0.31065	-8.1552
-0.04025	1.1496
0.26905	10.351
0.6021	20.128
0.92605	29.096
1.2106	34.148
1.4389	37.193
1.5996	39.479
1.6792	40.256
1.6687	39.326
1.5662	35.989
1.3754	31.274
1.1032	25.256
0.75995	16.881
0.3626	5.2677
-0.06355	-5.6988
-0.49585	-17.101
-0.91115	-27.25
-1.2905	-32.37
-1.6287	-36.287
-1.9264	-39.137
-2.1872	-41.616
-2.4132	-43.669
-2.6079	-45.29
-2.7785	-46.888
-2.9327	-47.971
-3.0649	-49.129
-3.1695	-50.153
-3.2338	-50.162
-3.2476	-50.122
-3.2039	-48.096
-3.1024	-46.242
-2.9475	-43.439
-2.7458	-40.332
-2.5076	-36.757
-2.2443	-33.093
-1.9627	-28.948
-1.6711	-24.884
-1.3824	-20.667
-1.1102	-16.508
-0.8684	-12.556
-0.67025	-8.5864
-0.5333	-5.8471
-0.4716	-4.7378
-0.4548	-4.5447
-0.45065	-3.7722
-0.3957	-2.955
-0.2275	0.88467
0.0633	7.4323
0.4786	16.661
0.9892	26.415
1.5648	37.458
2.1769	45.662
2.8047	52.758
3.4213	58.264
4.0044	63.217
4.5384	67.555
5.0092	71.031
5.4097	73.699
5.7351	75.939
5.9809	77.138
6.1452	77.974
6.2292	77.992
6.2361	77.933
6.1609	73.636
6.0114	71.305
5.7849	67.982
5.4809	63.859
5.1026	58.686
4.6552	52.713
4.1448	46.3
3.5782	39.69
2.9611	32.1
2.3017	24.268
1.6064	14.766
0.88595	3.7722
0.1562	-7.9127
-0.56555	-17.927
-1.2684	-26.015
-1.9466	-33.865
-2.5937	-41.742
-3.2033	-48.303
-3.7743	-53.449
-4.3095	-57.743
-4.8115	-61.537
-5.2837	-64.335
-5.7358	-67.308
-6.1767	-69.5
-6.6122	-70.227
-7.0521	-70.73
-7.5059	-71.7
-7.9823	-72.311
-8.4848	-72.827
-9.018	-73.636
-9.5867	-73.501
-10.199	-74.264
-10.83	-74.035
-11.458	-73.99
-12.066	-74.3
-12.636	-74.116
-13.04	-74.219
-13.153	-73.833
-12.94	-68.184
-12.378	-61.775
-11.518	-53.059
-10.415	-42.811
-9.0912	-31.687
-7.5719	-20.146
-5.919	-8.5998
-4.1932	0.96099
-2.4334	9.4846
-0.675	17.388
1.04	27.605
2.6643	40.844
4.1543	54.972
5.4644	67.389
6.5499	73.658
7.3828	76.2
7.9476	78.377
8.2302	78.822
8.2236	75.89
7.9314	71.624
7.3489	64.097
6.4804	53.697
5.4011	42.079
4.1882	30.483
2.991	19.809
1.9535	9.7001
1.0605	2.6137
0.28895	-2.7259
-0.3427	-6.3635
-0.8206	-9.4531
-1.1652	-11.622
-1.3992	-13.046
-1.5363	-13.975
-1.5916	-14.245
-1.5953	-14.492
-1.5771	-13.8
-1.5079	-12.601
-1.3585	-11.119
-1.0869	-8.1643
-0.65535	-3.651
-0.09095	2.1511
0.5764	9.004
1.3284	16.302
2.146	23.617
3.0012	31.454
3.8654	39.416
4.7083	47.369
5.5002	54.747
6.2141	61.479
6.8252	66.846
7.3122	70.937
7.6572	73.802
7.847	75.037
7.8726	74.969
7.728	71.772
7.4166	67.874
6.9433	61.915
6.3186	54.473
5.5562	46.183
4.672	37.188
3.7022	28.292
2.6818	19.373
1.6478	9.6956
0.63805	1.3383
-0.311	-5.8695
-1.1668	-11.811
-1.9111	-17.254
-2.5273	-20.568
-3.0161	-23.482
-3.3819	-25.759
-3.6249	-27.201
-3.7479	-28.063
-3.7602	-28.166
-3.673	-26.783
-3.5013	-24.892
-3.2596	-22.647
-2.9655	-20.236
-2.6372	-17.685
-2.2905	-15.143
-1.9408	-12.381
-1.6047	-9.4531
-1.2989	-6.6464
-1.0023	-3.9295
-0.69405	-1.0239
-0.37205	2.0299
-0.0346	5.1959
0.2976	8.8244
0.60305	11.618
0.87295	14.146
1.0994	16.023
1.2661	17.595
1.358	18.269
1.3664	18.224
1.285	17.29
1.1074	14.972
0.8299	11.914
0.45335	7.8095
-0.01865	2.6406
-0.57925	-2.9684
-1.2205	-8.9771
-1.8838	-14.559
-2.5124	-19.261
-3.0954	-23.298
-3.6235	-26.949
-4.1045	-30.596
-4.5453	-33.295
-4.9397	-35.931
-5.2818	-38.302
-5.5889	-40.256
-5.8794	-42.191
-6.1497	-43.96
-6.3966	-45.644
-6.6413	-46.736
-6.9057	-48.357
-7.0774	-49.821
-7.0463	-48.002
-6.8085	-44.603
-6.3628	-40.381
-5.7461	-34.642
-4.9991	-28.364
-4.1459	-22.212
-3.2097	-15.902
-2.2311	-8.3439
-1.2534	0.058369
-0.32035	7.9756
0.5259	14.981
1.3316	20.95
2.1447	27.596
2.9629	34.858
3.7823	42.043
4.5686	48.959
5.2891	55.452
5.931	60.985
6.4845	65.615
6.9243	69.059
7.2287	71.687
7.3858	72.526
7.3886	72.603
7.2271	68.871
6.9028	64.528
6.4265	58.573
5.8137	51.465
5.1051	43.947
4.3422	36.465
3.5329	29.006
2.6853	22.243
1.8181	14.249
0.95335	6.4173
0.10345	-0.63765
-0.7216	-7.0551
-1.5098	-12.96
-2.2507	-17.824
-2.9426	-21.794
-3.586	-25.719
-4.1783	-29.738
-4.7167	-33.38
-5.1966	-37.215
-5.6135	-39.726
-5.9477	-42.034
-6.1806	-43.866
-6.3	-44.683
-6.2963	-43.462
-6.1684	-42.119
-5.9145	-39.447
-5.5552	-35.931
