"Watson and Park 89, Specimen 5"	
-9.779	-151.92
-9.1001	-137.55
-8.4209	-125.74
-7.4701	-108.51
-6.5872	-90.957
-5.9083	-77.871
-5.1613	-64.785
-5.1613	-64.785
-4.6858	-53.296
-4.0066	-37.659
-3.4633	-23.936
-2.241	-1.2766
-1.2224	16.277
-0.27165	32.553
0.47536	58.086
0.67909	70.212
1.0866	78.512
1.6298	93.51
2.1052	107.55
2.7165	118.09
3.4633	129.89
4.0747	140.74
4.7536	156.7
5.6365	175.85
6.5194	188.62
7.4701	208.09
8.7605	222.76
9.9827	240.64
11.477	259.79
12.699	273.83
12.835	256.6
12.699	248.94
12.36	238.08
12.427	229.79
12.02	218.62
11.749	207.45
11.409	196.91
10.933	179.68
10.39	168.19
9.779	152.55
9.032	138.51
8.353	127.34
6.9947	101.49
5.9761	81.701
5.7043	72.765
5.2291	64.149
4.618	52.66
4.0747	41.489
3.5314	32.234
2.9202	20.745
2.3769	10.532
1.9015	-0.95743
1.6978	-9.8937
1.2224	-26.809
0.67909	-39.894
0.47536	-46.277
-0.6112	-65.426
-1.1545	-79.148
-1.4261	-90.957
-1.6978	-100.85
-2.1052	-112.98
-2.3089	-125.42
-2.7843	-139.47
-3.1239	-150
-3.5992	-158.94
-4.3462	-171.7
-4.8217	-180.96
-5.4328	-189.25
-6.7231	-205.21
-8.0813	-219.9
-9.5753	-235.53
-10.39	-243.83
-11.68	-256.28
-12.427	-262.34
-12.631	-247.98
-12.496	-237.13
-12.02	-210
-11.341	-184.47
-10.933	-172.98
-10.39	-159.26
-8.9642	-135
-7.7417	-112.02
-6.7909	-93.19
-5.7724	-74.682
-4.8217	-57.766
-4.4143	-45
-2.7843	-11.809
-2.1052	1.9149
-1.2224	15.638
-0.33955	27.766
0.33955	53.616
0.6112	67.979
1.0186	80.108
1.494	94.787
2.0373	108.83
3.871	128.93
4.9573	147.45
6.1798	164.36
7.2664	191.17
7.8097	203.62
8.5568	216.07
10.662	244.47
12.02	259.15
13.446	270
15.144	281.49
16.502	287.87
17.521	290.74
18.472	292.02
19.015	290.43
19.151	286.6
19.354	282.13
19.422	277.02
19.626	261.38
19.558	251.81
19.422	241.6
19.151	231.06
18.743	220.85
18.404	211.6
17.045	185.42
15.076	158.62
13.99	141.38
13.31	129.89
12.427	115.53
11.68	104.36
10.526	87.127
9.6434	73.085
8.9642	62.552
8.353	53.296
7.8097	43.085
7.1305	31.277
6.2476	17.873
4.8895	-7.6595
4.0066	-22.021
3.1918	-35.426
2.7165	-47.874
1.9694	-60.955
0.88283	-79.148
0.33955	-89.045
-0.13582	-101.81
-0.88283	-113.94
-1.5619	-126.07
-3.1239	-143.62
-3.7351	-156.7
-4.8217	-172.66
-7.1984	-193.72
-7.8097	-206.81
-8.6924	-219.26
-9.6434	-232.34
-10.322	-243.19
-11.341	-253.4
-12.427	-262.34
-13.514	-268.72
-14.804	-274.47
-16.298	-280.21
-17.385	-281.49
-18.064	-281.49
-18.607	-275.42
-18.811	-267.13
-18.947	-245.43
-18.947	-227.87
-18.472	-210.32
-17.996	-191.81
-17.385	-176.81
-15.891	-155.43
-13.446	-117.44
-11.613	-92.554
-9.9827	-73.085
-8.4887	-51.704
-7.4023	-33.511
-6.3157	-16.277
-5.1613	2.2341
-3.6673	22.659
-2.3769	40.851
-1.0186	61.276
0	76.915
2.4448	106.6
3.3277	121.27
4.6858	138.19
5.6365	151.6
6.9268	167.55
8.353	186.38
9.3038	200.11
10.526	212.87
11.749	225.64
13.31	245.74
14.261	257.23
15.416	265.53
16.91	272.87
18.268	277.34
18.947	278.62
19.286	277.34
19.49	272.87
19.626	267.13
19.083	238.08
18.539	213.19
17.86	202.98
17.181	191.17
16.502	179.36
15.551	167.87
14.872	158.3
14.125	148.4
12.088	120.64
10.933	104.68
8.8963	76.595
8.2172	64.149
6.2476	33.83
5.6365	24.894
4.6858	13.404
2.9881	-10.532
2.4448	-19.787
1.8336	-35.106
1.3582	-45.957
-0.27165	-87.448
-0.6112	-99.893
-1.5619	-113.3
-2.6485	-122.87
-4.8895	-146.17
-7.4023	-168.19
-9.1679	-181.91
-10.526	-195
-12.224	-213.51
-15.212	-235.21
-16.842	-246.06
-18.472	-254.68
-19.083	-246.7
-18.879	-232.02
-18.404	-213.51
-17.928	-197.23
-17.385	-183.19
-16.706	-169.79
-15.959	-157.66
-14.804	-138.51
-13.786	-123.83
-10.866	-87.127
-8.1493	-45.636
-7.1305	-27.766
-6.0439	-13.404
-5.0254	1.2766
-3.7351	19.468
-2.6485	37.021
-0.95075	64.149
0.88283	84.574
1.8336	101.81
3.1918	120
4.8217	141.06
5.9083	154.15
6.9947	168.51
8.1493	184.15
9.1679	198.19
10.322	211.6
11.477	223.08
13.039	237.77
15.144	252.77
16.57	262.02
18.064	268.72
19.286	274.15
21.256	282.45
22.75	285
24.04	284.68
25.398	282.45
25.875	276.07
26.144	267.44
25.941	253.4
25.466	220.53
24.991	212.87
24.448	200.43
23.836	188.94
22.818	173.3
21.799	160.53
20.645	145.85
19.422	129.25
17.453	107.55
14.94	81.385
11.952	46.597
10.662	32.234
9.5075	19.149
8.4209	7.3405
7.606	-1.9149
6.1798	-17.234
4.4143	-41.17
2.1052	-70.852
0.67909	-89.681
-0.6112	-106.6
-2.1052	-124.47
-3.871	-140.42
-5.6365	-160.21
-7.3342	-177.45
-9.032	-193.72
-11.069	-210.96
-13.174	-227.23
-14.737	-235.53
-16.706	-245.43
-18.132	-251.81
-20.305	-259.47
-22.207	-265.85
-24.719	-272.24
-25.398	-259.47
-25.398	-241.28
-25.398	-220.21
-24.991	-202.98
-24.108	-184.15
-23.022	-166.6
-21.867	-150.96
-20.781	-135
-18.268	-105.32
-16.027	-77.235
-13.99	-53.616
-12.156	-30.638
-10.526	-12.127
-8.5568	8.6171
-6.3835	30.319
-4.2103	53.616
-1.0866	81.701
0.74701	101.81
6.0439	152.23
8.353	171.07
9.9149	183.83
11.545	197.23
13.446	211.6
15.619	226.91
16.978	236.17
18.539	245.74
20.237	255.64
21.799	261.7
23.633	266.81
25.127	267.13
26.01	266.81
25.941	250.85
25.875	235.85
25.466	223.08
24.719	207.77
23.701	190.85
22.546	170.1
20.373	142.02
18.607	120.64
15.484	85.531
14.125	69.576
12.224	50.107
10.866	36.383
9.1679	17.553
5.7043	-22.021
4.2103	-41.17
3.2596	-56.81
2.3769	-71.172
1.0866	-85.851
-0.13582	-99.257
-1.9694	-121.27
-3.1239	-132.76
-4.6858	-146.49
-6.5872	-160.21
-8.6246	-173.62
-10.526	-186.38
-12.156	-196.28
-14.193	-206.81
-16.366	-216.38
-18.472	-224.04
-20.781	-234.89
-22.614	-242.23
-24.787	-246.7
-25.535	-248.3
-25.603	-232.34
-25.263	-214.79
-24.787	-200.74
-24.448	-190.85
-23.836	-177.13
-22.818	-162.13
-21.731	-146.81
-19.286	-116.81
-17.385	-92.234
-14.329	-56.81
-11.749	-26.489
-9.8471	-5.1063
-8.5568	10.213
-7.1984	24.255
-5.365	40.851
-3.5992	58.086
-1.9015	74.682
0.13582	93.19
1.8336	111.38
5.0932	140.42
6.5872	154.79
8.353	169.47
10.051	182.23
13.99	213.19
16.434	228.51
18.607	240.64
20.373	248.62
22.41	255.64
24.583	262.66
26.622	267.13
28.522	269.36
30.152	268.09
31.511	262.98
31.849	255.32
31.918	238.72
32.055	226.28
31.646	213.83
31.239	202.66
29.268	172.02
28.184	157.98
26.756	141.38
25.195	123.83
23.361	105
21.799	86.171
18.879	57.126
16.298	32.234
14.737	15
12.903	-2.8723
10.933	-21.064
9.5075	-32.553
8.0134	-44.043
6.859	-54.257
5.4328	-65.426
4.0747	-75.638
2.7843	-84.574
1.494	-93.831
-2.1052	-124.15
-3.3955	-134.36
-4.7536	-146.81
-6.7231	-162.13
-8.5568	-175.21
-10.39	-188.62
-12.699	-200.74
-14.668	-210.32
-17.928	-223.41
-20.373	-234.25
-22.342	-241.6
-24.516	-245.74
-27.3	-249.26
-29.134	-251.17
-31.374	-250.85
-31.918	-236.81
-32.121	-211.28
-31.918	-197.23
-31.511	-181.28
-30.559	-163.09
-29.406	-145.85
-28.184	-129.25
-26.35	-108.83
-24.719	-88.404
-21.731	-59.999
-20.033	-42.766
-16.91	-13.723
-14.804	3.5106
-12.699	19.149
-8.353	54.573
-4.9573	81.385
-1.9015	101.81
3.0559	135
7.8097	167.24
10.322	183.19
12.292	195
14.668	206.49
17.657	220.21
20.645	232.66
23.089	240.96
24.651	245.11
26.485	249.26
28.25	252.13
29.743	252.77
31.239	250.85
32.055	247.34
32.055	233.94
31.986	217.98
31.511	204.57
30.764	189.25
30.356	177.76
29.609	164.04
28.659	149.04
27.706	134.36
24.991	105.64
23.904	94.151
22.75	81.701
21.731	71.488
20.441	59.679
19.219	46.913
17.589	32.872
16.298	22.021
12.631	-4.1489
10.662	-19.787
9.4394	-32.234
7.538	-46.597
5.5006	-63.193
3.6673	-78.512
1.9694	-90.001
0.74701	-99.893
-1.2903	-113.62
-4.0066	-129.89
-7.606	-151.6
-9.779	-162.13
-11.545	-172.34
-13.854	-184.79
-15.484	-194.04
-17.725	-203.62
-19.626	-211.92
-21.935	-219.58
-24.719	-225.96
-26.622	-230.11
-29.134	-232.34
-32.189	-234.89
-32.055	-219.58
-31.849	-199.15
-31.511	-182.87
-30.696	-165.32
-29.54	-145.21
-28.318	-127.66
-26.825	-110.75
-25.195	-93.19
-23.293	-73.405
-20.781	-50.107
-18.404	-27.766
-12.427	21.702
-9.9827	41.809
-7.2664	64.149
-3.9388	88.084
-0.54328	110.75
1.6298	124.47
5.5006	148.09
7.6738	162.13
10.186	177.76
12.563	189.89
15.008	201.7
16.774	208.72
20.373	220.85
23.022	229.79
25.669	235.85
27.775	239.36
30.559	241.28
33.139	241.28
35.176	238.4
36.535	234.57
38.166	224.68
38.913	215.43
38.913	208.09
38.369	192.13
36.807	160.85
35.654	143.94
33.548	114.58
32.868	104.36
31.849	91.277
30.764	80.108
29.677	69.576
28.725	60.64
27.3	48.83
25.941	37.659
19.354	-15.958
16.978	-33.191
14.601	-50.427
11.613	-67.659
7.538	-92.874
5.1613	-106.28
2.3769	-119.04
-1.4261	-138.19
-3.5992	-150
-6.3157	-162.77
-9.3038	-175.85
-11.952	-186.38
-14.465	-195.64
-16.57	-203.3
-18.811	-211.28
-22.342	-221.17
-25.33	-227.56
-27.3	-228.83
-29.134	-228.83
-31.034	-228.19
-32.461	-224.68
-33.683	-220.21
-34.973	-214.15
-36.332	-206.49
-37.351	-197.87
-38.166	-187.98
-38.572	-175.53
-38.71	-160.53
-38.572	-143.62
-37.963	-121.59
-37.351	-106.6
-36.129	-86.491
-34.635	-70.212
-32.936	-52.98
-30.899	-34.787
-28.318	-14.042
-23.701	21.064
-21.12	39.255
-18.064	59.679
-14.329	80.745
-10.73	102.45
-5.9761	127.34
-2.7843	140.42
1.0186	156.38
3.0559	165
9.3716	184.47
11.952	193.72
16.231	207.77
19.083	216.07
20.848	220.53
22.886	223.08
26.553	224.36
29.609	222.76
32.733	217.66
35.176	207.45
37.691	185.42
37.826	178.08
38.029	165.32
38.369	150
38.438	138.83
38.235	127.66
37.691	113.94
37.214	104.36
36.739	95.427
36.332	86.807
35.72	78.832
32.936	48.51
31.171	33.83
29.743	21.383
28.047	7.3405
25.875	-9.8937
21.595	-41.17
19.151	-57.126
17.317	-69.255
14.804	-84.574
12.835	-94.787
11.002	-104.68
7.8097	-119.04
4.3462	-133.08
1.2224	-144.26
-2.9202	-158.62
-7.1305	-171.7
-8.9642	-175.53
-12.02	-182.87
-14.261	-186.06
-17.317	-188.3
-20.305	-189.57
-23.633	-186.7
-25.535	-180.96
-26.825	-174.58
-28.318	-166.28
-29.406	-158.3
-30.356	-149.04
-32.189	-132.45
-34.158	-112.02
-34.701	-97.02
-34.973	-82.021
-34.905	-66.062
-34.364	-48.51
-33.548	-31.277
-32.596	-17.873
-31.783	-6.7022
-31.374	-0.31915
