"Watson and Park 89, Specimen 5"	
776	
0	0
0.20373	26.17
0.40747	59.043
0.67909	72.129
1.1545	90.637
1.8336	108.83
2.1052	119.36
2.5806	133.4
3.3955	153.51
4.4143	176.49
4.9573	188.94
5.8402	204.26
6.3157	211.6
6.3835	200.11
6.5194	192.13
6.4513	183.19
6.112	170.75
5.9083	162.45
5.7043	154.47
5.2291	143.3
4.7536	132.45
3.6673	105.64
3.3277	91.913
2.7843	76.595
2.4448	59.043
2.0373	47.554
1.9015	33.83
1.5619	22.659
1.2903	12.447
1.2224	5.1063
1.0186	-1.2766
0.95075	-12.447
0.54328	-21.702
0	-36.383
-0.33955	-44.68
-0.6112	-52.66
-0.95075	-60.955
-1.0866	-69.255
-1.4261	-80.108
-1.6298	-89.681
-1.9015	-101.49
-2.6485	-120.96
-2.9202	-130.21
-3.5314	-145.53
-3.871	-156.06
-4.1425	-165.64
-4.5499	-173.62
-5.7043	-189.89
-5.9761	-176.81
-5.8402	-167.87
-5.7043	-157.34
-5.6365	-144.89
-5.2291	-126.07
-4.4143	-104.68
-4.2103	-85.851
-3.6673	-67.979
-3.1239	-53.616
-2.7165	-38.936
-2.241	-25.851
-1.9694	-15
-1.494	-1.9149
-1.1545	11.809
-0.74701	28.404
-0.27165	42.447
0	58.402
0.47536	73.405
0.81493	84.574
1.2224	102.77
1.6978	117.44
2.1052	132.13
2.4448	147.77
2.9881	162.45
3.6673	174.58
4.8217	194.04
5.4328	202.98
6.7231	222.45
8.0134	238.72
8.8963	251.81
10.119	265.53
10.866	272.87
12.224	282.13
12.767	271.27
12.767	262.98
12.767	255
12.427	236.49
12.292	226.28
11.952	214.79
11.477	202.02
10.866	174.25
10.458	165
9.8471	152.87
8.285	119.36
7.1305	91.598
6.6553	79.148
6.0439	68.615
5.5687	56.81
4.9573	43.723
4.4821	34.149
4.0747	25.532
3.5992	15.958
2.9881	1.5958
2.3769	-18.511
2.0373	-31.277
1.7657	-43.723
1.5619	-52.34
1.2224	-62.872
0.81493	-72.449
0.47536	-84.574
0.067909	-98.296
-0.40747	-111.06
-2.1052	-143.3
-2.7165	-158.94
-3.1918	-169.15
-3.8029	-180.96
-4.4821	-191.81
-5.365	-206.49
-7.538	-233.62
-9.032	-252.77
-9.9149	-259.79
-10.662	-266.81
-12.02	-276.07
-12.563	-262.98
-12.699	-250.53
-12.699	-239.68
-12.427	-223.08
-12.088	-208.72
-11.205	-183.19
-10.458	-165.32
