Galeota 1996 Specimen CA3	
2128	
-24.38	-10.04299
-24.1	-8.91729
-23.5	-7.195635
-22.89	-5.76092
-22.3	-4.59108
-21.69	-3.421237
-21.07	-2.339685
-20.43	-1.302277
-19.84	-0.309015
-19.23	0.220725
-18.55	1.567147
-17.96	2.20725
-17.34	3.377093
-16.74	4.215847
-16.06	5.054605
-15.41	5.82714
-14.73	6.62175
-14.05	7.41636
-13.37	8.144755
-12.72	8.961435
-12.07	9.7119
-11.43	10.46237
-10.78	11.19076
-10.16	11.98537
-9.51	12.8462
-8.94	13.50837
-8.33	14.19261
-7.74	15.2521
-7.24	15.84805
-6.59	17.12826
-6.05	18.18774
-5.44	19.00443
-4.84	20.5495
-4.24	21.87385
-3.64	23.17612
-3.05	24.65498
-2.46	26.11176
-1.91	27.52441
-1.36	29.02534
-0.89	30.50419
-0.36	32.13756
0.16	33.70471
0.67	35.24979
1.21	36.839
1.77	38.49444
2.33	40.21609
2.93	41.9819
3.52	43.76977
4.14	45.49142
4.77	47.21308
5.4	48.82437
6.04	50.3915
6.68	51.82625
7.34	53.2168
7.98	54.47495
8.62	55.75515
9.31	56.9029
9.96	58.05065
10.61	59.1543
11.3	60.16965
11.96	61.11875
12.61	62.0458
13.3	62.9949
13.99	63.83365
14.67	64.6062
15.33	65.37875
16.01	66.08505
16.72	66.7693
17.4	67.36525
18.11	67.9833
18.81	68.51305
19.52	69.0428
20.23	69.4401
20.95	69.9036
21.66	70.323
22.38	70.6982
23.09	71.0293
23.79	71.31625
24.5	71.62525
25.22	71.846
25.95	72.13295
26.65	72.90545
27.38	73.0379
28.11	73.14825
28.81	73.2145
29.55	73.2807
30.27	73.25865
31.01	73.25865
31.75	73.14825
32.47	72.99375
33.21	72.8172
33.95	72.66265
34.67	72.3757
35.39	72.155
36.09	71.77975
36.71	71.4487
36.99	70.0802
37.03	68.91035
36.97	66.7693
36.62	64.3855
36.32	62.08995
36.02	60.01515
35.71	57.9624
35.42	56.02
35.12	54.0335
34.82	52.06905
34.53	50.12665
34.23	48.16219
33.92	46.26396
33.63	44.36573
33.34	42.55578
33.04	40.72377
32.74	38.91382
32.46	37.12595
32.18	35.316
31.94	33.90336
31.71	32.51279
31.5	31.14429
31.29	29.79787
31.02	28.16451
30.71	26.39871
30.43	24.67706
30.16	23.15405
29.9	21.78555
29.64	20.39499
29.4	19.09271
29.11	17.43727
28.83	15.87013
28.45	13.97189
28.22	12.75791
27.97	11.45562
27.71	10.17542
27.35	8.608275
27.1	7.372215
26.72	5.893355
26.34	4.282065
26.06	3.156368
25.7	1.94238
25.34	0.61803
24.92	-0.7725375
24.33	-2.714917
23.66	-4.59108
22.98	-6.334805
22.28	-7.924025
21.54	-9.336665
20.73	-10.5948
19.97	-11.76464
19.23	-12.8462
18.52	-13.77324
17.76	-14.74443
16.97	-15.69355
16.19	-16.5323
15.38	-17.39313
14.6	-18.25396
13.81	-19.04856
13	-19.9094
12.23	-20.74815
11.44	-21.65312
10.65	-22.51395
9.88	-23.48514
9.08	-24.54462
8.32	-25.64824
7.55	-26.75187
6.79	-27.94378
6.06	-29.20192
5.33	-30.63663
4.61	-32.18171
3.88	-33.72678
3.14	-35.47051
2.45	-37.34667
1.75	-39.2449
1.06	-41.16521
0.34	-43.19588
-0.38	-45.31484
-1.07	-47.41173
-1.76	-49.50861
-2.46	-51.6055
-3.16	-53.6141
-3.88	-55.6889
-4.58	-57.3885
-5.3	-59.17635
-6	-60.9201
-6.73	-62.4431
-7.47	-63.94405
-8.22	-65.35665
-8.95	-66.74725
-9.73	-68.00535
-10.46	-69.06485
-11.24	-70.19055
-12.05	-71.22795
-12.81	-72.2212
-13.61	-73.1262
-14.4	-73.987
-15.19	-74.84785
-15.99	-75.64245
-16.79	-76.3267
-17.6	-77.01095
-18.39	-77.6069
-19.19	-78.2691
-20.02	-78.77675
-20.83	-79.19615
-21.65	-79.6376
-22.5	-80.07905
-23.34	-80.4322
-24.18	-80.60875
-24.99	-80.78535
-25.87	-81.00605
-26.71	-81.1606
-27.56	-81.1606
-28.42	-81.20475
-29.26	-81.11645
-30.15	-81.00605
-31.02	-80.85155
-31.9	-80.5867
-32.82	-80.29975
-33.65	-79.9245
-34.27	-79.57135
-34.95	-79.26235
-35.54	-78.93125
-36.16	-78.62225
-36.82	-78.247
-37.42	-77.89385
-38.01	-77.5186
-38.33	-76.28255
-38.43	-75.09065
-38.24	-73.08205
-37.91	-71.71355
-37.78	-69.96985
-37.45	-68.1599
-37.15	-66.19545
-36.82	-64.2972
-36.54	-62.3548
-36.23	-60.47865
-35.88	-58.62455
-35.55	-56.77045
-35.26	-54.93845
-34.92	-53.1506
-34.6	-51.40685
-34.26	-49.90592
-33.88	-48.36084
-33.59	-46.66127
-33.24	-44.85132
-32.86	-42.95309
-32.48	-40.96656
-32.15	-39.00211
-31.81	-37.01559
-31.44	-35.09528
-31.09	-33.13082
-30.75	-31.16637
-30.35	-29.26814
-30	-27.39197
-29.64	-25.44959
-29.29	-23.63965
-28.91	-21.76348
-28.53	-19.99768
-28.19	-18.20981
-27.83	-16.44401
-27.43	-14.72236
-27.11	-13.0007
-26.73	-11.34527
-26.33	-9.733975
-25.97	-8.321335
-25.59	-7.107345
-25.21	-5.981645
-24.8	-4.85595
-24.22	-3.310875
-23.62	-1.809945
-23.01	-0.5518125
-22.49	0.2869425
-21.98	0.9932625
-21.44	2.185178
-20.76	3.597817
-20.12	4.569007
-19.47	5.49605
-18.79	6.378955
-18.08	7.21771
-17.42	7.990245
-16.76	8.76278
-16.08	9.491175
-15.43	10.17542
-14.7	10.90382
-13.92	11.76464
-13.36	12.22816
-12.8	12.80205
-12.17	13.33179
-11.47	13.8836
-10.87	14.56785
-10.37	15.14174
-9.74	15.71562
-9.1	16.5323
-8.29	17.56971
-7.72	18.27603
-7.13	18.62919
-6.59	19.9094
-5.93	20.92473
-5.26	22.00628
-4.6	23.17612
-3.94	24.34597
-3.28	25.67031
-2.67	26.95053
-2.05	28.27487
-1.48	29.66544
-0.92	30.98979
-0.28	32.51279
0.3	33.96958
0.84	35.38221
1.44	36.81693
2.04	38.33993
2.66	39.90708
3.3	41.45216
3.99	43.08552
4.64	44.58645
5.31	46.02116
6	47.41173
6.69	48.8023
7.4	50.1046
8.09	51.31855
8.79	52.44425
9.51	53.5258
10.22	54.62945
10.92	55.66685
11.63	56.61595
12.36	57.6313
13.06	58.49215
13.77	59.3309
14.51	60.08135
15.24	60.8318
15.98	61.5823
16.7	62.2003
17.44	62.8625
18.18	63.4143
18.92	63.9882
19.68	64.5179
20.39	66.8576
21.12	67.45355
21.89	67.85085
22.63	68.20405
23.39	68.60135
24.16	68.8441
24.92	69.13105
25.67	69.37385
26.43	69.5063
27.19	69.6608
28	69.72705
28.73	69.8153
29.5	69.85945
30.26	69.8153
31.05	69.7491
31.82	69.6608
32.59	69.5946
33.37	69.37385
34.16	69.13105
34.87	68.8883
35.45	68.51305
35.97	68.1599
36.64	67.78465
37.34	67.45355
38.01	67.14455
38.68	66.7031
39.35	66.3941
40.04	65.93055
40.7	65.44495
41.4	64.6724
42.09	63.70125
42.79	62.9949
43.57	56.72635
44.25	56.52765
44.95	56.06415
45.66	55.60065
46.34	55.02675
47.03	54.47495
47.72	53.90105
48.4	53.3713
49.1	52.77535
49.79	52.20145
50.49	51.56135
51.19	50.92125
51.89	50.28115
52.59	49.66312
53.28	49.06717
54	48.47121
54.71	47.85318
55.39	47.21308
56.1	46.57298
56.63	45.64593
56.7	44.49816
56.73	43.10759
56.58	41.67288
56.35	40.34853
56.13	39.00211
55.93	37.74398
55.7	36.37548
55.44	34.80833
55.18	33.1529
54.92	31.71818
54.66	30.28347
54.42	28.82668
54.15	27.30368
53.85	25.58203
53.55	23.97074
53.28	22.4698
53.02	21.12338
52.79	19.8211
52.53	18.5409
52.24	16.97375
51.97	15.47282
51.58	13.57459
51.35	12.47097
51.12	11.16868
50.87	9.88848
50.54	8.233045
50.3	6.952835
50.01	5.65056
49.59	3.465383
49.35	2.273468
49.07	0.97119
48.78	-0.2427975
48.54	-1.456785
48.27	-2.6487
47.99	-3.928905
47.68	-5.187035
47.37	-6.4231
47.07	-7.7033
46.73	-8.961435
46.41	-10.06506
46.09	-11.25698
45.41	-13.26558
44.66	-15.23003
44	-16.33365
43.27	-17.90079
42.53	-19.15893
41.79	-20.32877
41.01	-21.36618
40.24	-22.24908
39.44	-22.93332
38.63	-23.46307
37.79	-23.94866
36.97	-24.36804
36.15	-24.76534
35.32	-25.14058
34.47	-25.53788
33.63	-25.95726
32.8	-26.35456
31.96	-26.81808
31.14	-27.23746
30.29	-27.63477
29.43	-27.98793
28.57	-28.36316
27.71	-28.67218
26.86	-28.98119
25.99	-29.15777
25.15	-29.46679
24.28	-29.68752
23.43	-29.88617
22.59	-30.10689
21.74	-30.37176
20.87	-30.63663
20.11	-30.94564
19.27	-31.34295
18.44	-31.7844
17.6	-32.24792
16.71	-32.75559
15.9	-33.28533
15.04	-33.94751
14.24	-34.56554
13.41	-35.316
12.61	-36.06646
11.81	-36.92729
11.01	-37.81019
10.22	-38.80346
9.44	-39.75257
8.66	-40.76791
7.87	-41.91568
7.09	-43.19588
6.31	-44.3878
5.53	-45.73422
4.77	-47.08065
4.02	-48.40499
3.32	-50.5681
2.54	-52.1794
1.79	-53.87895
1.05	-55.3799
0.32	-56.8146
-0.47	-58.2714
-1.19	-59.7944
-1.97	-61.3836
-2.71	-62.79625
-3.48	-64.09855
-4.25	-65.31255
-5.05	-66.65895
-5.83	-67.76255
-6.61	-68.8441
-7.39	-69.88155
-8.18	-70.8748
-8.98	-71.77975
-9.79	-72.59645
-10.57	-73.41315
-11.41	-73.987
-12.2	-74.67125
-13.01	-75.26725
-13.89	-75.79695
-14.71	-76.1722
-15.54	-76.61365
-16.41	-76.92265
-17.21	-77.2096
-18.06	-77.3862
-18.9	-77.5186
-19.82	-77.6069
-20.63	-77.65105
-21.53	-77.6069
-22.42	-77.58485
-23.3	-77.3641
-24.16	-77.18755
-25.06	-76.85645
-25.97	-76.54745
-26.87	-76.0839
-27.74	-75.6866
-28.66	-75.17895
-29.57	-74.6271
-30.5	-73.987
-31.41	-73.30275
-32.34	-72.66265
-33.25	-71.9122
-34.16	-71.1176
-34.66	-70.7203
-35.64	-69.8374
-36.18	-69.30765
-37.15	-68.4027
-38.08	-67.4094
-39.02	-66.48235
-39.77	-65.59945
-40.56	-64.89315
-41.46	-64.09855
-42.41	-63.1494
-42.91	-62.64175
-43.43	-62.17825
-44.4	-61.1408
-45.35	-60.16965
-46.34	-59.17635
-47.26	-58.13895
-48.2	-57.2119
-49.12	-56.21865
-50.01	-55.33575
-50.91	-54.3425
-51.83	-53.4375
-52.75	-52.5546
-53.67	-51.56135
-54.51	-50.70055
-55.37	-49.83971
-56.19	-48.97888
-56.8	-48.02976
-57.39	-47.0365
-57.87	-45.86665
-58.37	-45.42521
-58.47	-43.08552
-58.37	-41.27557
-57.97	-39.0904
-57.62	-36.97144
-57.16	-34.96284
-56.79	-32.77766
-56.51	-30.85736
-56.15	-28.93705
-55.8	-27.03881
-55.45	-25.07436
-55.15	-23.24234
-54.82	-21.27789
-54.47	-19.40173
-54.11	-17.52556
-53.79	-15.6494
-53.44	-13.68495
-53.09	-11.875
-52.74	-10.02092
-52.44	-8.21097
-52.09	-6.401025
-51.76	-4.635225
-51.46	-2.935642
-51.09	-1.346423
-50.86	0.309015
-50.45	2.185178
-50.07	4.039268
-49.77	5.65056
-49.43	7.305995
-49.08	8.961435
-48.71	10.52859
-48.43	11.98537
-48.14	13.28765
-47.83	14.39127
-47.41	16.28951
-46.93	18.25396
-46.32	20.15219
-45.52	21.96214
-44.71	23.66172
-43.9	25.05229
-43.14	26.2442
-42.27	27.14918
-41.36	27.92171
-40.43	28.4956
-39.46	28.91497
-38.57	29.26814
-38.06	29.40057
-37.07	29.57715
-36.56	29.66544
-36.05	29.73166
-35.08	29.81995
-34.56	29.79787
-34.04	29.79787
-33.53	29.79787
-33.01	29.7758
-32.51	29.73166
-31.98	29.7758
-30.99	29.66544
-30.45	29.6213
-29.93	29.57715
-29.43	29.51093
-28.43	29.42264
-27.93	29.33435
-27.43	29.33435
-26.91	29.26814
-26.41	29.24607
-25.91	29.17985
-25.38	29.17985
-24.87	29.1357
-24.36	29.11363
-23.81	28.56182
-23.3	28.51767
-22.77	28.56182
-21.85	28.51767
-21.33	28.51767
-20.32	28.60596
-19.79	28.18658
-19.27	28.20865
-18.28	28.29695
-17.31	28.4956
-16.34	28.60596
-15.82	28.71632
-14.85	28.98119
-14.35	29.11363
-13.37	29.35642
-12.39	29.70959
-11.43	30.04067
-10.91	30.19518
-9.97	30.63663
-8.99	31.07808
-8.05	31.51953
-7.11	32.00512
-6.16	32.53487
-5.23	33.10875
-4.32	33.63849
-3.41	34.1903
-2.5	34.72004
-1.58	35.36015
-0.65	35.93403
0.25	36.57413
1.15	37.19216
2.07	37.94262
3.01	38.64895
3.92	39.2449
4.87	39.88501
5.8	40.4589
6.74	40.98863
7.69	41.47423
8.64	41.8936
9.62	42.33506
10.58	42.64407
11.08	42.8648
12.05	43.12967
13.01	43.32832
13.51	43.52697
14.5	43.70355
15.49	43.83598
16.05	42.71029
16.55	42.68821
17.52	42.71029
18.12	41.43008
18.62	41.40801
19.12	41.43008
19.63	41.40801
20.14	41.40801
20.64	41.36386
21.63	41.20936
22.14	41.18729
23.14	40.94449
23.65	40.81205
24.18	40.72377
24.68	40.56926
25.18	40.3706
25.72	40.26024
26.22	40.08366
26.73	39.90708
27.37	37.9647
27.87	37.65569
28.49	36.72864
29.38	37.12595
29.9	36.839
30.42	36.64035
30.94	36.37548
31.45	36.15475
31.96	35.88988
32.98	35.316
33.5	35.02906
34.01	34.72004
34.53	34.45517
35.07	34.03579
35.6	33.77092
36.13	33.41777
36.68	33.04253
37.22	32.64523
37.75	32.29207
38.28	31.89476
38.83	31.51953
39.35	31.10015
39.89	30.70285
40.42	30.30554
40.97	29.88617
41.52	29.42264
42.06	28.98119
42.62	28.58389
43.15	28.14244
43.66	27.7672
44.2	27.3699
44.75	26.99467
45.28	26.57529
45.81	26.17798
46.35	25.78068
46.87	25.40545
47.41	25.03021
47.93	24.58876
48.47	24.21354
49.01	23.81623
49.55	23.39685
50.1	22.99954
50.64	22.5581
51.2	22.16079
51.75	21.74142
52.27	21.3441
52.81	20.88058
53.34	20.50535
53.88	20.13012
54.41	19.68867
54.95	19.35758
55.49	18.93821
56.01	18.60711
56.57	18.16566
57.1	17.81251
57.63	17.43727
58.19	17.06204
58.73	16.64267
59.29	16.22329
59.9	15.8922
60.54	15.4066
61.2	14.94308
61.77	14.47956
62.31	14.03811
62.31	-0.2427975
