Galeota 1996 Specimen CA3	
2128	
-10.65	-66.0409
-10.36	-64.0544
-10.06	-62.1341
-9.78	-60.1255
-9.48	-58.1831
-9.15	-56.13035
-9.04	-54.93845
-8.79	-53.0623
-8.63	-51.9366
-8.35	-49.97214
-8.09	-47.76489
-7.81	-45.75629
-7.52	-43.63734
-7.25	-41.56252
-6.99	-39.42149
-6.67	-37.30252
-6.44	-35.16149
-6.15	-33.13082
-6.02	-32.0272
-5.74	-30.10689
-5.44	-28.0983
-5.18	-25.95726
-4.88	-23.90452
-4.61	-21.87385
-4.51	-20.77022
-4.23	-18.73956
-3.99	-16.66474
-3.74	-14.54578
-3.48	-12.51511
-3.22	-10.44029
-2.97	-8.36548
-2.72	-6.26859
-2.5	-4.23792
-2.31	-2.339685
-2.11	-0.5518125
-1.91	0.7283925
-1.79	1.876163
-1.69	3.17844
-1.6	4.436573
-1.5	5.65056
-1.39	6.77626
-1.28	7.901955
-1.07	9.9547
-0.89	11.89708
-0.74	13.35386
-0.6	14.72236
-0.46	16.06878
-0.38	17.50349
-0.22	19.24722
-0.07	20.88058
0.11	23.17612
0.38	25.14058
0.52	27.01674
0.59	28.98119
0.9	31.16637
0.93	32.29207
1.07	34.1903
1.49	36.1989
1.6	38.16336
1.66	39.31113
1.81	41.51837
2.1	42.7765
2.14	43.96842
2.28	45.22655
2.33	46.50676
2.53	47.74281
2.73	49.06717
2.83	50.3915
3.04	51.6276
3.22	52.84155
3.34	54.0335
3.53	55.2916
3.65	56.4394
3.8	57.65335
3.9	58.80115
4.04	59.90475
4.21	61.0746
4.46	63.3922
4.55	64.9152
4.74	66.41615
5.14	68.51305
5.42	70.5437
5.75	72.53025
6.04	74.4064
6.33	76.3488
6.88	78.0925
7	79.9245
7.5	81.57995
7.84	83.3016
8.04	84.95705
8.49	86.54625
8.93	88.09135
9.16	89.5702
9.55	91.0932
9.86	92.5279
10.26	94.00675
10.53	95.37525
10.92	96.7217
11.25	97.97985
11.64	99.3704
12.03	100.5844
12.38	101.7542
12.86	103.3214
13.24	104.425
13.83	105.948
14.44	107.3385
15.06	108.7733
15.54	110.0094
16.07	110.6495
16.68	111.4882
17.44	111.9958
18	111.8413
18.54	111.8193
19.2	111.4882
19.72	111.0688
20.4	110.4066
20.95	110.0094
21.59	109.4134
22.19	108.7733
22.71	108.1553
23.37	107.3385
23.87	106.7647
24.44	105.8156
25.08	105.2637
25.75	104.3147
26.41	103.5641
27.13	102.7254
27.8	101.6439
28.53	100.8272
29.26	99.8339
29.91	98.8627
30.43	98.3109
31.07	97.0528
31.39	95.9271
31.91	95.30905
32.48	94.6248
33.08	93.94055
33.6	93.2563
34.26	92.3955
34.86	91.68915
35.42	90.89455
35.95	90.03375
36.46	89.45985
36.46	88.31205
36.48	87.1643
36.98	87.3188
37.06	85.1557
36.85	83.83135
36.59	82.507
36.62	81.20475
36.31	79.9466
36.22	78.71055
36.07	77.49655
35.81	76.21635
35.78	75.06855
35.57	73.87665
35.44	72.66265
35.21	71.47075
35.07	70.34505
34.97	69.109
34.79	67.93915
34.56	66.72515
34.56	65.59945
34.26	64.4517
34.13	62.17825
33.74	61.03045
33.3	58.8453
32.93	56.61595
32.89	54.4308
32.41	52.20145
32.17	50.12665
31.79	48.07391
31.45	45.95494
31.21	43.90221
30.77	41.80531
30.48	39.77465
30.19	37.78812
29.97	35.86781
29.57	34.03579
29.34	32.60108
