"Paultre, Legeron,  July-August 2000 test 1006025"	
457	
1.41048	15.457
10.8519	97.962
12.621	108.59
14.4206	116.59
15.0208	119.17
15.0208	119.17
14.1889	110.4
9.75779	76.743
4.89459	32.354
1.621	-2.08
2.84E-01	-12.161
-5.45247	-62.661
-9.5685	-87.612
-11.6626	-97.969
-14.9783	-112.39
-16.3679	-118.49
-17.042	-120.08
-15.0522	-106.4
-9.64145	-69.888
-4.4946	-29.734
-1.15786	5.22E-01
4.32E-01	14.724
7.06295	67.71
12.9784	107.87
17.5359	129.68
21.5044	143.66
25.894	154.97
31.1256	159.77
31.2197	155.6
31.7257	145.86
25.1045	115.5
19.5257	90.525
11.7993	49.36
6.34718	14.619
2.23151	-14.438
-3.75778	-54.844
-9.5999	-88.533
-17.6523	-124.25
-20.4832	-131.4
-23.81	-137.13
-29.0832	-146.59
-32.6518	-150.22
-36.2094	-145.43
-36.7459	-146.52
-36.8936	-142.38
-31.7571	-121.87
-22.9679	-90.442
-13.6312	-52.815
-5.77877	-12.666
-3.88409	-7.00E-03
-2.3894	7.778
-1.59995	8.03
1.84205	34.119
9.9997	75.681
16.126	100.05
24.0094	125.72
29.5781	138.28
36.1882	148.5
36.8096	148.52
36.2307	143.13
28.3149	116.32
20.6522	88.367
14.3781	60.278
8.64185	33.12
2.57887	1.83E-01
-3.1578	-33.096
-9.84181	-66.817
-16.4418	-93.604
-23.978	-116.21
-29.5467	-129.09
-34.4302	-137.51
-27.0417	-109.97
-20.5359	-87.317
-13.6838	-58.433
-7.8945	-28.503
-4.46302	-9.556
-2.93675	-3.93E-01
4.52618	38.528
9.13657	62.905
15.1048	90.327
20.4943	109.57
26.3362	124
32.7673	138.26
37.6305	145.91
40.1142	147.98
47.8305	148.81
53.2191	149.26
54.6826	142.73
49.4408	124.79
38.3673	93.601
24.7675	58.594
13.9682	26.028
5.03143	-8.638
-1.18944	-38.228
-12.5361	-85.379
-22.9467	-116.2
-31.7045	-131.9
-40.43	-142.78
-45.3246	-146.12
-52.1776	-144.34
-52.4509	-143.26
-47.3984	-119.76
-27.5569	-67.991
-20.6734	-49.778
-15.6837	-32.905
-6.56822	-5.93E-01
-2.01047	18.857
5.263	46.565
10.2841	65.816
12.7365	74.324
19.9994	94.048
27.1996	109.76
33.7986	120.56
39.1881	126.44
44.5675	133.81
49.2303	137.8
54.4407	141.8
51.6827	130.3
42.2194	104.39
30.4829	73.684
16.9681	37.302
7.27347	3.22
-1.95784	-32.981
-9.5999	-61.284
-21.4103	-95.811
-34.3462	-119.54
-42.8196	-130.71
-49.9034	-137.03
-59.2715	-141.85
-65.6084	-140.16
-69.7449	-139.15
-71.8187	-138.38
-71.2296	-131.12
-69.093	-123.12
-55.3141	-87.525
-46.8305	-68.071
-39.0201	-54.06
-30.0416	-37.859
-23.4102	-25.33
-17.4519	-12.173
-12.6524	2.08E-01
-6.04192	19.749
-6.32E-02	39.336
5.93666	57.669
13.1363	80.034
17.6735	91.472
21.2524	97.112
32.0092	117.09
41.6617	128.65
52.0612	138.37
62.5558	141.87
69.756	141.99
72.1557	140.41
73.3237	132.9
66.4818	117.05
56.809	93.113
48.5461	73.442
37.6203	52.639
30.9677	42.009
17.463	14.578
8.74711	-8.313
-2.22099	-39.68
-10.3367	-62.456
-17.294	-79.175
-32.1883	-103.63
-42.5878	-114.47
-53.1249	-123
-66.4191	-130.59
-70.7347	-129.75
-67.1346	-118.93
-53.3456	-84.224
-37.3045	-51.108
-24.7361	-28.04
-13.1677	-2.488
-12.5684	-1.082
-11.9682	4.61E-01
-5.95772	16.584
1.821	38.689
10.1364	61.648
16.8102	78.335
23.4102	91.785
31.4515	101.7
36.9463	110.16
46.7142	119.6
57.4193	127.88
62.8301	131.17
74.2295	135.03
76.0079	135.11
76.524	132.21
75.8611	129.29
19.4519	12.915
11.2942	-1.97
-2.57887	-40.225
-9.89444	-58.899
-16.4418	-74.124
-20.1361	-82.507
-33.4514	-102.27
-47.0411	-115.43
-63.9353	-127.15
-72.9766	-130.13
-79.1454	-130.24
-93.1089	-125.85
-99.9416	-124.43
-105.398	-120.08
-105.186	-118.07
