"Tanaka 90, Specimen 6"	
782	
0	0
0.10915	14.697
0	27.847
0.87323	71.164
1.2007	90.503
1.8556	112.16
2.9472	144.65
3.1653	161.67
3.8204	191.83
4.5844	218.91
5.8943	243.66
6.8768	264.54
7.3134	271.51
7.4224	238.25
6.4402	204.99
5.7851	176.36
5.2393	157.8
4.8029	136.14
4.3663	114.48
3.8204	93.595
3.2746	72.711
2.6198	54.146
1.9648	35.582
1.3099	14.697
1.0915	1.5471
0.76408	-14.697
0.54577	-29.394
0.21831	-46.41
-0.43663	-81.994
-0.65491	-112.93
-1.419	-142.33
-2.4014	-175.59
-3.493	-203.44
-4.6937	-230.51
-5.7851	-249.85
-6.6584	-261.45
-7.4224	-270.74
-8.4049	-265.32
-8.2956	-259.13
-8.0775	-238.25
-7.6408	-222
-6.6584	-191.83
-6.2217	-177.14
-5.3485	-153.16
-4.6937	-114.48
-3.493	-86.634
-2.5105	-64.202
-1.7465	-39.45
-0.87323	-17.791
-0.10915	0
0.10915	17.018
1.2007	68.072
2.4014	146.2
3.602	183.32
4.6937	213.5
6.0035	241.34
7.4224	267.64
8.623	290.07
9.4963	307.86
10.697	328.75
12.007	348.09
13.426	360.47
14.845	371.29
16.482	381.35
18.338	387.54
20.521	392.95
21.285	394.5
22.595	380.58
22.376	361.24
21.831	341.9
21.067	317.92
20.521	300.13
19.757	281.56
18.229	242.11
17.246	221.23
15.936	194.16
14.517	169.4
13.644	150.07
11.461	112.93
9.8237	76.581
8.623	51.054
7.095	21.659
5.5669	-5.4146
4.5844	-31.715
3.0564	-52.602
1.8556	-70.39
0.21831	-90.503
-0.87323	-105.2
-1.7465	-130.73
-3.3838	-157.03
-4.6937	-185.65
-5.7851	-211.17
-7.3134	-238.25
-8.5141	-261.45
-10.042	-281.56
-11.352	-301.68
-13.317	-327.98
-14.517	-348.86
-17.246	-364.33
-18.774	-368.97
-20.739	-374.39
-22.158	-369.74
-22.595	-355.05
-22.049	-327.2
-21.067	-304
-20.412	-286.98
-19.102	-247.53
-17.465	-215.04
-15.281	-177.14
-13.099	-140.01
-11.134	-104.43
-9.0597	-76.581
-7.2042	-43.318
-5.1303	-12.377
-2.2922	24.753
0.32746	58.789
4.0386	109.07
6.1125	145.42
8.5141	180.23
10.806	213.5
12.989	244.44
14.299	264.54
16.155	293.94
17.792	315.6
19.757	338.8
21.285	356.6
23.031	372.84
22.376	346.54
21.722	327.2
21.285	311.73
20.412	294.72
19.648	276.15
18.993	260.68
18.01	242.89
17.355	226.64
16.373	208.85
15.5	183.32
