"Xiao 1998,Specimen nr.HC4-8L16-T6-0.1P"	
743	
0	0
-0.003175	-0.26688
-0.373888	-24.19712
-1.039368	-51.0408
-0.65913	-20.77216
-0.142621	4.98176
0.044323	2.09056
0.063373	-2.35744
0.190119	0.53376
0.364363	9.74112
0.177419	-15.52352
-0.129921	-39.98752
-0.114173	-44.48
-0.104648	-39.18688
0.2629535	-2.62432
0.3390265	1.06752
0.8618855	46.30368
0.589407	5.51552
0.0285115	-46.83744
-0.243967	-67.6096
0.2820035	-10.008
0.839724	41.32192
0.636905	18.41472
0.890397	45.76992
1.403731	83.66688
1.755394	102.61536
1.4163675	66.31968
0.9189085	27.3552
0.573532	-4.71488
0.1552575	-38.92
-0.250317	-69.96704
-0.709803	-96.2992
-1.143889	-122.85376
-0.785876	-91.2952
-0.009525	-32.3592
0.487934	11.05328
0.8618855	39.98752
1.210437	60.4928
1.783969	103.68288
2.6743025	144.42656
2.8137485	144.69344
2.2465665	108.13088
1.8631535	79.97504
1.204087	33.40448
0.706628	-2.62432
0.31369	-31.31392
-0.164846	-60.78192
-0.874522	-104.17216
-1.543177	-143.40352
-1.977263	-160.75072
-1.565275	-127.61312
-0.97282	-90.5168
-0.564007	-64.98528
-0.091948	-31.84768
0.31369	-6.04928
0.0094615	-34.73888
0.2218055	-12.09856
0.62738	22.37344
0.8555355	29.20112
1.410081	70.23392
0.839724	28.42272
0.3517265	-16.32416
0.7921625	26.82144
1.4385925	71.03456
2.0691475	106.55184
2.7472005	142.336
3.49504	170.75872
3.624961	173.9168
3.289046	146.02784
2.8200985	118.67264
2.265553	88.13712
1.821942	62.36096
1.3815695	35.51728
0.893572	5.51552
0.4721225	-22.9072
0.057023	-51.06304
-0.437261	-78.66288
-0.96012	-106.04032
-1.486154	-133.12864
-2.072386	-161.28448
-2.538095	-176.27424
-2.22123	-152.07712
-1.739646	-123.6544
-0.874522	-76.81696
0.1077595	-16.32416
0.576707	16.85792
1.207262	53.932
1.9074765	90.5168
2.54127	121.29696
3.228848	153.38928
3.970274	184.68096
4.8385095	212.0584
5.4406165	225.46912
5.0793015	197.58016
4.559681	171.29248
4.030472	145.76096
3.5235515	120.49632
2.9690695	94.72016
2.4430355	68.944
1.9455765	44.48
1.4449425	18.41472
0.9347835	-10.27488
0.456311	-38.43072
-0.04445	-65.25216
-0.67183	-93.67488
-1.276985	-121.83072
-1.875917	-148.1184
-2.519172	-175.74048
-3.273298	-200.73824
-4.179443	-226.00288
-4.204843	-226.26976
-3.964051	-202.33952
-3.510915	-178.12016
-3.013456	-154.43456
-2.373376	-125.7672
-1.761744	-97.34448
-1.197864	-69.7224
-0.65278	-42.87872
-0.171069	-16.05728
0.316865	8.94048
0.8491855	36.56256
1.4322425	62.62784
2.024761	88.13712
2.8169235	117.60512
3.5773995	147.34
4.2967275	176.27424
5.0983515	207.0544
5.785993	225.20224
5.3423185	194.95584
4.670552	162.06288
4.0178355	132.59488
3.3461325	103.416
