"Wight and Soze, 1973, Spec. WS033E"	
699	
0	0
-0.30749	-3.1194
-0.4305	-4.5178
-0.6765	-6.1311
-0.79949	-8.0673
-0.984	-9.7887
-1.23	-11.725
-1.722	-16.458
-1.968	-19.47
-2.337	-23.557
-2.46	-26.246
-2.7676	-29.366
-3.0749	-31.732
-3.3825	-34.529
-3.5669	-37.218
-3.813	-39.262
-4.0589	-41.305
-4.428	-43.134
-4.7356	-45.072
-4.9814	-46.682
-5.5349	-50.342
-5.904	-52.384
-6.5804	-54.537
-6.9494	-56.04
-7.6876	-59.27
-8.3025	-61.849
-8.6716	-64.002
-9.4094	-66.907
-10.762	-72.929
-11.624	-77.342
-12.177	-79.277
-12.853	-80.998
-13.53	-82.933
-13.038	-80.673
-12.423	-77.88
-12.054	-74.219
-11.624	-71.315
-11.254	-68.735
-10.824	-66.369
-10.455	-63.571
-9.348	-57.873
-8.733	-53.029
-8.241	-48.19
-7.257	-40.768
-6.6418	-35.604
-6.0269	-30.872
-5.5964	-27.214
-4.9814	-21.513
-4.305	-16.673
-3.6284	-11.94
-2.8905	-6.8842
-2.214	-2.0438
-1.599	2.0438
-0.984	6.6693
-0.36899	11.51
0.4305	17.534
0.9225	21.083
1.2915	24.848
1.7835	29.258
2.46	33.668
3.2596	38.831
3.9975	42.596
4.6739	46.148
5.904	52.602
6.5189	55.613
7.1338	58.625
8.0564	62.494
8.856	65.724
9.5324	68.842
10.393	72.609
10.947	74.544
11.254	76.047
10.947	72.716
10.393	66.475
9.717	62.174
8.9789	57.762
8.364	52.709
7.8105	48.514
7.1338	43.887
6.5189	39.692
5.904	34.529
5.1044	28.075
4.4894	22.696
3.9975	18.609
3.5055	14.091
2.8905	8.3903
2.337	3.7648
1.845	-0.10757
1.2915	-5.0556
0.36899	-9.6811
-0.36899	-13.123
-1.0455	-16.135
-1.968	-20.222
-2.7676	-22.912
-3.7516	-25.278
-4.305	-28.613
-5.2276	-34.744
-5.8425	-40.015
-7.0724	-47.331
-8.1178	-54.857
-9.4094	-62.712
-10.701	-69.918
-11.808	-76.047
-12.361	-78.307
-13.284	-81.318
-13.776	-82.933
-12.976	-78.738
-12.177	-75.514
-11.254	-70.781
-10.578	-66.044
-9.717	-60.991
-8.9789	-55.613
-8.4254	-50.769
-7.9949	-46.468
-7.5029	-41.628
-6.9494	-35.174
-6.1498	-28.398
-5.1659	-20.008
-4.0589	-11.94
-3.0749	-4.8403
-2.091	1.1832
-1.2915	5.701
-0.1845	13.768
0.55349	17.748
1.4145	22.589
2.2755	28.936
3.321	34.206
4.1819	39.262
5.3505	45.499
6.7036	52.064
7.6876	58.838
8.856	64.861
10.27	70.995
11.931	76.804
13.591	81.857
15.375	86.376
16.42	88.635
17.712	90.677
19.065	92.292
20.172	93.154
21.955	94.12
22.632	94.226
22.324	90.788
21.894	86.482
21.463	81.643
21.033	76.159
20.172	70.456
19.557	65.937
18.696	61.204
18.081	57.441
17.404	53.029
16.297	47.006
15.252	42.704
14.391	38.401
13.591	34.529
12.361	29.366
11.132	23.557
9.5324	18.179
8.1796	13.661
7.1338	9.7887
5.6578	4.7331
5.0429	2.474
3.2596	-2.1513
2.337	-4.1951
1.1685	-6.3464
0.1845	-7.6372
-0.36899	-11.08
-1.5375	-16.027
-2.6444	-21.083
-3.3825	-25.709
-5.289	-35.497
-6.2116	-41.198
-7.257	-47.331
-8.3025	-54.319
-9.348	-60.128
-10.27	-66.582
-11.07	-72.284
-12.115	-77.987
-13.038	-80.998
-13.96	-83.04
-15.129	-85.193
-16.482	-86.807
-18.327	-88.097
-19.68	-88.956
-20.971	-89.494
-22.14	-89.925
-22.755	-90.032
-22.755	-88.529
-22.816	-85.838
-22.878	-82.933
-22.878	-78.2
-22.693	-73.681
-22.509	-69.487
-22.201	-65.937
-21.832	-61.956
-21.217	-58.193
-20.11	-53.247
-18.634	-47.976
-17.527	-43.779
-16.543	-39.8
-15.682	-36.035
-14.637	-32.27
-13.345	-27.752
-11.992	-23.235
-11.377	-20.653
-10.332	-15.705
-9.1018	-11.187
-8.1178	-7.6372
-7.257	-4.0875
-6.6418	-1.1832
-6.0269	1.6135
-5.3505	5.1632
-4.6124	8.4979
-3.6899	11.832
-3.0749	14.521
-2.5215	16.781
-1.7835	19.577
-0.984	22.266
-0.061498	24.74
0.738	26.892
2.091	30.226
3.3825	33.453
4.4894	36.358
5.412	38.939
6.273	41.413
8.4869	48.296
9.1018	50.449
9.9014	53.247
10.885	56.903
12.054	60.666
12.607	62.494
12.607	62.606
14.022	67.227
16.113	73.792
17.527	77.555
18.634	80.246
19.926	82.613
20.664	84.116
21.463	85.624
22.201	87.021
23.001	88.311
23.493	86.914
23.37	81.212
22.693	76.047
22.078	72.284
21.463	68.303
20.172	61.529
19.249	57.762
18.081	52.922
16.728	47.22
15.682	42.812
14.637	37.541
12.853	30.872
11.439	26.676
9.717	20.33
8.7945	16.565
6.6418	9.1433
5.3505	4.4102
3.7516	0
2.3985	-3.5497
