"Wehbe et al. 1998,Specimen A1"	
2772	
0	1.95976
0	1.95976
0	1.95976
0	1.95976
0	4.16449
0	4.16449
0	4.16449
0	7.83904
0	7.83904
0	8.08401
0	8.81892
0	8.81892
0	8.81892
0	8.81892
0	10.28874
0.1397	10.04377
0.1397	10.28874
0	10.28874
1.1176	31.8461
1.1176	31.8461
1.1176	31.60113
0.1397	10.04377
0.1397	10.04377
0.1397	10.04377
1.816100076	44.82951
1.9558	45.31945
1.9558	45.56442
0.1397	8.57395
0.1397	8.57395
0.1397	8.57395
-1.5367	-19.84257
-1.6764	-23.02718
-1.816100076	-24.98694
0.4191	22.29227
0.4191	22.0473
0.4191	22.0473
0.2794	21.80233
1.816100076	49.97388
1.816100076	50.46382
1.816100076	50.46382
1.816100076	50.46382
1.6764	48.25909
1.816100076	48.25909
1.816100076	48.25909
1.816100076	48.25909
1.816100076	48.25909
1.816100076	48.25909
1.6764	47.03424
1.816100076	48.01412
1.816100076	49.23897
1.816100076	50.21885
1.9558	50.70879
1.9558	51.4437
2.095499898	54.62831
2.2352	57.32298
2.374900076	60.01765
2.6543	64.42711
3.2131	72.51112
3.4925	76.18567
3.7719	80.8401
4.0513	84.02471
4.0513	86.22944
4.3307	88.67914
4.6101	93.0886
4.6101	94.06848
4.8895	97.25309
5.1689	100.19273
5.1689	99.94776
5.308599746	100.19273
5.308599746	102.15249
5.308599746	102.39746
5.308599746	102.15249
5.7277	107.7868
5.7277	107.54183
5.7277	107.05189
5.7277	107.05189
5.7277	106.56195
6.007099746	109.99153
6.426199746	115.62584
6.565900254	117.34063
8.9408	140.85775
9.080499746	141.34769
8.9408	141.34769
11.59509975	167.06954
11.73480025	167.31451
11.73480025	166.82457
11.73480025	166.5796
14.10969924	189.11684
14.24939975	189.36181
14.24939975	188.87187
14.10969924	188.6269
14.10969924	182.74762
14.10969924	182.74762
14.10969924	182.74762
14.10969924	182.99259
14.10969924	182.74762
14.10969924	182.74762
14.10969924	182.74762
14.24939975	184.46241
14.24939975	186.1772
14.52880076	189.11684
14.52880076	189.85175
14.66849975	191.0766
14.66849975	191.32157
14.66849975	191.0766
14.52880076	191.0766
14.8082	192.79139
14.8082	193.03636
14.8082	193.03636
14.8082	192.79139
14.8082	193.03636
14.94790051	194.75115
14.94790051	195.48606
15.08759949	195.24109
15.08759949	194.99612
15.08759949	194.99612
15.08759949	194.75115
15.08759949	194.75115
15.2273	197.44582
11.8745	133.75362
11.73480025	132.2838
11.73480025	132.2838
5.4483	56.09813
5.4483	54.87328
5.1689	52.17861
5.1689	51.93364
0.4191	-9.55383
0.1397	-11.51359
0.1397	-11.75856
0.1397	-11.75856
-4.4704	-73.00106
-4.749800254	-74.71585
-4.8895	-76.43064
-5.0292	-76.18567
-9.918700254	-121.99506
-10.0584	-122.72997
-10.0584	-123.70985
-10.0584	-123.70985
-15.08759949	-167.31451
-15.2273	-168.04942
-15.2273	-168.29439
-15.2273	-168.04942
-11.59509975	-108.76668
-11.31569975	-105.82704
-11.31569975	-105.09213
-11.176	-105.09213
-5.1689	-29.64137
-5.0292	-26.9467
-4.8895	-26.45676
0	31.35616
0	31.11119
0	30.62125
5.1689	84.51465
5.1689	86.22944
5.308599746	86.96435
10.0584	139.14296
10.33780025	142.57254
