"Mugaruma et al. 1989, Spec. BH2"	
494	
-11.67	-226.15
-14.39	-243.55
-16.71	-250.93
-18.63	-253.12
-20.05	-253.14
-20.74	-243.4
-20.13	-216.65
-17.85	-159.88
-16.54	-130.3
-15.13	-100.75
-13.41	-69.753
-11.31	-37.773
-9.15	-6.4079
-6.61	27.017
-3.81	60.135
-1.11	92.758
2.09	127.5
5.52	162.59
8.2	187.28
11.52	212.14
15.38	235.3
17.77	245.95
20.06	248.87
20.15	230.37
19.23	201.73
18.21	174.48
17.04	145.82
15.76	117.08
14.37	87.749
12.61	57.992
10.31	25.709
7.69	-5.898
4.59	-39.702
1.3	-74.107
-2.22	-109.68
-5.69	-144.79
-9.29	-178.62
-12.18	-200.79
-15.88	-223.26
-18.66	-234.71
-20.06	-237.78
-20.24	-218.9
-19.05	-186.52
-17.89	-158.25
-16.6	-128.95
-15.24	-99.667
-13.63	-69.333
-11.73	-38.109
-9.63	-6.973
-7.08	26.067
-4.17	59.492
-0.98	93.811
2.68	129.29
6.93	166.88
12.06	207.12
16.98	232.79
22.36	242.67
24.3	243.89
25.09	242.79
25.56	232.04
25.33	217.5
24.39	189.81
23.28	161.34
22.06	132.83
20.67	103.55
19.08	73.813
16.89	42.194
14.17	10.318
10.26	-25.566
5.31	-64.137
0.5	-102.51
-4.32	-141.86
-9.7	-183.21
-15.09	-216.86
-18.14	-228.06
-21.36	-235.4
-25.45	-239.49
-26.04	-233.84
-27.07	-223.16
-26.79	-207.61
-25.7	-179.57
-24.45	-150.02
-23.1	-120.84
-21.6	-90.7
-19.74	-59.622
-17.41	-27.554
-14.69	5.8226
-11.04	41.619
-6.24	80.182
0.06	123.65
5.22	153.59
10.27	186.37
13.49	202.7
17.18	218.49
20.25	227.09
22.87	231.89
25.57	233.52
27.58	236.06
29.01	232.77
30.06	229.22
30.51	219.43
30.25	203.96
29.24	176.12
28.08	147.76
26.83	119.17
25.41	89.583
23.46	57.953
21.23	27.895
17.63	-7.1977
11.58	-48.906
2.92	-97.131
-5.83	-145.73
-10.77	-173.47
-14.61	-191.79
-20.93	-216.23
-24.23	-220.76
-27.72	-225.24
-30.07	-219.43
-31.11	-209.88
-30.76	-191.4
-29.65	-162.69
-28.38	-133.31
-27.01	-103.99
-25.37	-73.381
-23.61	-42.904
-21.26	-10.506
-18.02	24.168
-13.45	61.63
-5.48	107.5
8.38	170.47
13.83	192.08
18.06	206.31
23.05	216.54
29.66	217.04
33.11	207.35
35.07	198.61
35.93	183.62
35.55	165.43
34.44	136.74
33.22	108.47
31.82	78.679
