"Kanda et al. 1988, Spec. STC1"	
934	
0.0485	3.6735
0.0995	5.38
0.148	7.0281
0.199	8.5101
0.2485	10.091
0.1515	4.5043
0.0515	1.0195
0.002	-0.76793
-0.048	-2.4745
-0.0985	-4.2842
-0.1485	-5.8784
-0.1985	-7.5356
-0.248	-8.9951
-0.152	-2.7843
-0.0515	0.82178
-0.0015	2.4549
0.2485	10.405
0.498	16.805
0.7495	21.623
0.999	25.413
1.249	29.006
1.4995	32.329
1.749	35.172
1.9995	38.275
2.2495	41.347
2.499	44.32
2.2505	37.48
1.7515	30.29
1.2515	23.375
0.751	15.165
0.252	4.0193
0.002	-2.9505
-0.248	-10.383
-0.499	-17.725
-0.7485	-24.394
-0.999	-30.102
-1.249	-34.498
-1.498	-38.068
-1.7495	-41.535
-1.999	-44.715
-2.249	-47.598
-2.4985	-50.315
-2.251	-40.839
-1.752	-31.314
-1.251	-21.938
-0.751	-11.164
-0.251	0.88467
-0.001	5.9817
0.249	12.152
0.748	21.268
1.2485	28.099
1.7485	34.35
2.2495	40.565
2.498	43.902
2.2505	37.265
1.2515	23.406
0.252	5.6854
0.002	-0.22004
-0.248	-6.4218
-0.748	-17.734
-1.249	-27.291
-1.749	-35.751
-2.2485	-44.185
-2.499	-48.218
-2.252	-39.515
-1.2515	-21.547
-0.252	0.30087
-0.002	6.3365
0.248	11.77
0.749	20.572
1.248	27.452
1.7495	33.699
2.2485	40.062
2.4985	43.336
2.2515	37.112
1.252	23.415
0.251	6.0491
0.0015	0.26948
-0.248	-5.627
-0.7485	-16.773
-1.249	-26.136
-1.749	-34.588
-2.248	-42.892
-2.4985	-47.077
-2.2515	-39.11
-1.252	-21.565
-0.2515	0.098787
-0.002	5.8246
0.4995	16.185
1.498	30.25
2.4985	43.143
2.998	49.439
3.4985	55.08
3.9985	60.154
4.324	62.988
4.002	54.087
3.501	46.871
2.5005	33.941
1.5015	21.875
0.5005	7.1493
0.001	-2.3576
-0.499	-12.552
-1.499	-30.308
-2.4985	-46.902
-2.9985	-53.885
-3.499	-58.573
-3.998	-63.132
-4.323	-65.435
-4.0015	-56.014
-3.501	-47.948
-2.5005	-33.425
-1.501	-19.122
-0.501	-1.2799
-0.0005	7.9756
0.498	16.113
1.498	28.651
2.499	40.062
3.499	51.801
3.998	57.765
4.323	61.51
3.502	46.592
2.5005	33.811
1.501	22.09
0.502	8.1508
0.0015	-0.67365
-0.498	-9.9606
-1.499	-26.419
-2.4985	-39.766
-3.4985	-52.929
-3.9985	-59.584
-4.323	-63.706
-3.5005	-47.194
-2.5005	-33.25
-1.5	-19.526
-0.501	-2.1466
-0.0015	6.9204
0.4995	15.192
1.498	27.677
2.5	38.917
3.498	50.548
3.9995	56.624
4.323	60.558
3.5015	45.995
2.5005	33.479
1.5015	21.906
0.501	8.2272
0.001	-0.42212
-0.499	-9.5923
-1.498	-25.615
-2.498	-38.634
-3.4985	-51.402
-3.9985	-58.219
-4.323	-62.548
-3.502	-46.848
-2.501	-33.057
-1.502	-19.544
-0.501	-2.4924
-0.001	6.4847
0.4985	14.586
1.4995	27.187
2.498	38.468
3.498	50.005
3.999	56.081
4.498	62.157
5	66.621
5.5	69.603
6	70.726
6.4995	72.082
6.9985	72.998
7.4985	73.999
8	74.52
8.4985	75.064
8.6485	75.073
8.5005	68.669
7.502	55.726
6.5005	44.616
5.502	35.033
4.502	26.172
3.5005	16.984
2.501	7.5715
1.501	-0.8982
0.501	-9.2331
0.002	-13.881
-0.499	-18.758
-1.498	-29.006
-2.499	-40.273
-3.4985	-52.318
-3.9985	-58.668
-4.499	-64.546
-4.998	-69.262
-5.499	-73.07
-5.9985	-74.88
-6.4995	-76.218
-6.999	-77.776
-7.4985	-79.114
-8	-79.474
-8.499	-80.412
-8.649	-80.269
-8.502	-73.681
-7.5005	-60.316
-6.5005	-48.55
-5.5	-38.001
-4.502	-28.732
-3.501	-18.969
-2.5015	-9.0175
-1.5015	-0.42664
-0.501	7.2976
-0.001	11.209
0.4995	15.197
1.499	22.265
2.498	29.217
3.4985	36.905
4.499	45.218
5.4995	53.445
6.5	61.263
7.498	67.923
8.5	72.845
8.6495	73.191
8.5015	67.164
7.5015	54.581
6.502	43.974
5.5015	34.741
4.5015	26.716
3.5005	18.947
2.5005	10.809
1.501	2.3487
0.502	-5.6253
0.002	-9.7046
-0.4995	-10.282
-1.498	-21.924
-2.499	-30.07
-3.4985	-38.576
-4.4995	-47.876
-5.4985	-56.934
-6.4995	-65.651
-7.498	-73.133
-8.498	-78.76
-8.649	-79.222
-8.5005	-72.966
-7.5	-59.921
-6.5005	-48.447
-5.5005	-38.351
-4.5	-29.505
-3.5015	-20.963
-2.501	-11.752
-1.502	-2.5822
-0.5015	5.6314
-0.0005	9.5654
0.499	13.535
1.499	20.613
2.4995	27.344
3.498	34.691
4.5005	42.483
5.499	50.589
6.498	58.475
7.4995	65.049
8.5	71.476
8.6485	72.136
8.5015	66.724
7.502	54.464
6.501	43.884
5.502	34.943
4.502	27.057
3.5015	19.625
2.5015	11.928
1.502	3.651
0.5015	-4.7647
0.002	-8.9456
-0.498	-13.145
-1.498	-20.999
-2.499	-28.66
-3.4985	-36.757
-4.499	-45.582
-5.4985	-54.518
-6.4985	-63.06
-7.5	-70.86
-8.499	-77.543
-8.6485	-78.072
-8.5005	-72.616
-7.502	-59.737
-6.502	-48.312
-5.5015	-38.271
-4.5015	-29.765
-3.5015	-21.538
-2.5	-12.776
-1.502	-3.6466
-0.502	5.9817
0	9.5923
0.498	13.329
0.999	16.899
1.5	20.249
3.499	33.829
5.4985	49.56
7.4985	64.811
8.4995	71.089
9	73.501
9.5	74.188
10	74.969
10.499	75.194
10.999	75.594
11.5	75.773
12	76.052
12.499	76.106
12.975	76.375
12.5	65.018
12.002	59.288
10	40.089
8.002	25.431
6.001	12.13
4.001	0.4491
2.0015	-7.9263
1.0005	-11.658
0.5	-13.522
0.0015	-15.26
-0.498	-17.151
-0.9985	-19.396
-1.4995	-21.929
-3.4995	-35.769
-5.499	-52.551
-7.499	-67.636
-8.5	-73.501
-8.999	-75.266
-9.4985	-76.308
-9.9985	-77.736
-10.498	-78.656
-11	-79.581
-11.499	-80.498
-12	-81.14
-12.5	-81.562
-12.974	-81.885
-12.5	-70.344
-12	-64.236
-10	-43.363
-8	-27.331
-6.0015	-12.646
-4.001	-0.69612
-2.001	6.7587
-1.0005	9.8393
-0.5	11.532
-0.001	13.041
0.498	14.671
0.999	16.396
1.499	18.403
3.4995	28.575
5.5	40.934
7.499	52.547
9.4985	62.251
11.498	69.863
12.498	72.477
12.973	73.317
12.5	63.096
12	57.491
10.001	38.675
8	24.56
6.001	12.103
4.0005	0.71848
2.0005	-7.8409
1.0005	-11.362
0.5005	-12.911
0.0015	-14.492
-0.5	-16.064
-0.9985	-17.909
-1.4985	-19.894
-3.498	-31.516
-5.4995	-45.532
-7.498	-57.81
-9.4985	-67.703
-11.499	-76.191
-12.5	-79.177
-12.973	-80.412
-12.5	-70.338
-12	-63.72
-10.002	-43.125
-8	-27.488
-6.0015	-13.549
-4.001	-1.4416
-1.9995	6.3185
-1.0005	9.3229
-0.502	11.02
-0.002	12.592
0.5	14.101
0.999	15.79
1.498	17.775
3.499	27.592
5.4995	39.326
7.498	50.634
9.499	60.271
11.5	68.094
12.498	71.408
12.974	72.746
12.501	62.889
12.001	57.204
10.002	38.518
8.0005	24.596
6.002	12.583
4.0015	1.3113
2.002	-7.4188
1.002	-10.895
0.501	-12.538
0.001	-14.038
-0.5	-15.543
-0.9985	-17.393
-1.4995	-19.405
-3.4985	-30.443
-5.4995	-43.848
-7.4995	-55.96
-9.4985	-65.709
-11.5	-74.327
-12.498	-78.126
-12.974	-79.586
-12.502	-69.226
-12.002	-63.217
-10	-42.748
-8.0015	-27.452
-6.0005	-13.989
-4.0005	-1.8592
-2.0015	6.0042
-1.001	9.004
-0.502	10.63
-0.001	12.152
0.5	13.67
0.9985	15.35
1.4995	17.29
3.5	26.913
5.4985	38.491
7.499	49.516
9.5	59.198
11.499	67.137
12.5	70.519
13	72.113
13.5	73.267
14.5	73.999
15.5	74.251
16.5	72.158
17.006	71.875
17.299	71.92
16.999	67.016
16.5	61.555
14.501	41.724
12.502	27.641
10.5	16.171
8.501	5.9548
6.5005	-1.4719
4.5005	-7.6916
2.5015	-12.479
1	-15.708
0.5005	-16.768
0	-17.85
-0.498	-19.067
-0.999	-20.616
-1.4985	-22.242
-3.4995	-31.713
-5.498	-43.793
-7.498	-54.908
-9.4995	-63.665
-11.498	-71.223
-12.5	-74.735
-12.999	-76.212
-13.5	-77.281
-14.498	-78.902
-15.5	-79.67
-16.498	-79.859
-17	-79.917
-17.301	-79.809
-17.001	-70.41
-16.501	-64.586
-14.502	-44.651
-12.501	-29.503
-10.502	-17.302
-8.5015	-6.6677
-6.5	1.2451
-4.5005	6.5711
-2.5015	10.631
-0.9995	13.339
-0.502	14.529
-0.0005	14.802
0.498	16.415
1.4985	18.651
5.498	35.029
9.498	52.409
13.498	64.417
17.299	71.737
17.001	63.618
14.5	39.83
10.501	15.481
6.501	-2.2128
2.502	-12.834
0.501	-16.642
0.001	-17.805
-0.499	-18.896
-1.499	-21.721
-5.5	-40.295
-9.498	-57.58
-13.5	-70.028
-17.299	-78.08
-17.001	-69.364
-14.5	-43.959
-10.5	-17.432
-6.502	1.0205
-2.4995	10.532
-0.5005	14.381
0	15.378
0.499	16.366
1.5	18.656
3.499	25.311
5.5	34.459
7.4985	43.391
9.4985	50.985
11.499	56.967
13.498	62.553
15.498	67.525
17	70.57
17.299	71.046
17.001	63.07
14.502	39.48
10.502	15.647
6.5015	-1.8984
2.501	-12.533
0.501	-16.354
0	-17.356
-0.4985	-18.514
-1.5	-21.065
-3.499	-28.673
-5.4985	-38.853
-7.498	-48.136
-9.4985	-55.658
-11.498	-61.905
-13.5	-67.711
-15.5	-73.356
-16.999	-76.571
-17.298	-77.092
-17	-69.153
-14.502	-43.901
-10.5	-17.836
-6.5	0.62539
-2.5005	10.46
-0.502	14.214
0	15.283
0.5	16.262
1.498	18.521
4	27.229
6.4995	38.586
8.9995	48.601
11.5	56.087
13.998	62.791
16.499	68.89
17.5	70.691
18.499	71.939
19.5	72.083
20.499	72.289
21.5	72.236
22.5	71.926
23.5	71.544
24.5	71.261
25.5	71.14
25.948	71.091
25.501	60.694
25.001	55.656
22.502	35.218
20.002	20.879
17.5	9.6384
15	0.77352
12.502	-8.7289
10.002	-11.751
7.5005	-14.756
5.0005	-17.486
2.502	-20.607
0.502	-23.957
0.0005	-25.174
-0.5	-26.387
-1.498	-28.991
-3.9985	-37.03
-6.5	-46.452
-8.9985	-54.845
-11.498	-61.505
-14	-67.298
-16.499	-72.763
-17.499	-74.447
-18.5	-75.727
-19.5	-76.073
-20.499	-76.881
-21.5	-77.303
-22.5	-77.42
-23.5	-77.236
-24.5	-76.787
-25.5	-76.333
