"Paultre, Legeron,  July-August 2000 test 10013025"	
366	
-1.2203	1.184
-0.589	8.782
1.7042	29.07
5.0601	60.669
6.3962	74.334
7.1852	82.078
8.1214	89.798
9.4785	99.898
11.12	110.17
13.213	120.37
13.182	113.86
10.73	94.426
8.3844	75.208
6.312	57.085
4.5131	39.177
2.6931	21.357
0.663	0.771
-0.989	-10.457
-3.3348	-32.752
-3.966	-38.689
-4.7024	-44.939
-6.6486	-60.684
-8.5528	-76.267
-10.467	-88.401
-13.034	-103.08
-14.139	-107.85
-16.159	-118.06
-16.853	-120.55
-15.517	-107.77
-12.698	-88.591
-10.11	-70.51
-8.0373	-53.484
-6.1752	-36.987
-4.3868	-20.754
-2.8194	-6.138
-2.3144	-1.638
-1.5149	6.731
0.505	24.895
2.4091	42.249
3.7977	54.292
5.2179	66.504
7.7638	86.072
9.731	99.556
12.834	118.62
16.19	133.04
18.505	141.98
22.523	154.2
27.71	166.51
28.762	167.76
30.35	161.01
30.592	151.94
27.541	139.23
24.185	125.86
20.693	110.82
16.948	92.405
14.391	79.136
12.203	66.638
10.331	54.668
8.0268	38.94
5.7439	23.621
3.5347	7.078
1.4833	-8.44
-1.9041	-34.05
-7.5113	-72.444
-11.93	-99.126
-16.39	-120.41
-19.525	-132.37
-24.838	-148.68
-29.098	-153.25
-33.085	-146.18
-33.496	-139.05
-32.528	-130.57
-28.036	-114.27
-23.533	-97.852
-18.894	-78.775
-15.054	-59.021
-12.845	-47.454
-10.268	-32.529
-7.7953	-18.43
-6.2384	-7.417
-5.1232	-0.315
-3.177	12.129
-0.936	26.106
1.7253	42.993
4.7656	61.489
8.1951	80.291
12.34	99.009
16.106	114.1
20.556	128.29
23.744	138.11
27.731	145.54
30.834	150.6
29.256	142.53
25.027	126.75
21.103	111.38
17.39	95.767
13.96	80.071
11.341	66.052
8.9315	52.197
6.5119	37.344
3.8293	20.642
0.968	0.481
-2.1987	-18.123
-5.1653	-36.65
-8.6685	-56.555
-12.95	-77.649
-17.421	-96.231
-21.913	-110.68
-26.311	-121.75
-29.666	-128.63
-32.349	-132.63
-33.222	-124.47
-33.517	-117.3
-32.612	-110.01
-28.12	-94.385
-23.659	-78.15
-19.241	-59.812
-15.896	-44.143
-12.508	-26.831
-8.5212	-5.095
-7.7427	0.457
-4.6814	16.301
-2.8194	25.454
-0.968	34.88
2.4196	54.758
6.049	74.932
10.972	96.729
16.632	116.89
21.156	129.2
25.522	138.86
30.098	146.39
33.485	150.56
38.009	153.42
41.449	151.33
45.646	138.97
46.93	128.18
44.836	120.84
39.271	104.73
34.8	91.997
30.371	79.373
25.9	66.533
21.461	52.854
17.011	38.33
12.561	22.686
8.2792	6.472
4.8918	-7.981
1.9988	-17.922
-2.083	-35.584
-6.5329	-53.545
-10.983	-69.81
-16.548	-87.639
-21.019	-99.697
-25.448	-109.03
-29.94	-115.98
-35.473	-121.26
-37.714	-121.7
-43.963	-116.71
-48.266	-111.93
-46.825	-104.03
-42.375	-90.63
-37.883	-77.732
-33.359	-65.283
-28.825	-52.424
-24.406	-39.727
-19.956	-25.952
-15.422	-11.052
-12.066	0.061
-7.9005	15.129
-3.6925	29.26
-0.558	40.483
4.492	57.434
