"Wight and Sozen 1973, No. 00.033(East)"
700
-1.424686	5.50465
-2.211324	3.12123
-2.96418	0.55981
-0.466852	7.1111
0.012192	9.612
0.456692	12.23305
1.482852	15.57055
1.85928	17.4173
2.30378	19.20175
2.74828	21.52465
3.9116	27.9015
4.42468	30.5804
5.21208	34.0336
5.62102	35.88035
6.23824	39.16
7.16026	43.1472
7.7089	45.9685
8.39216	48.9055
8.83666	51.4865
9.52246	54.9575
9.96696	58.028
10.51306	61.3655
10.92454	63.279
10.7188	59.9415
10.54862	57.939
10.30732	55.2245
10.10412	51.709
9.55548	52.154
9.31672	49.84
8.90524	46.7695
8.42772	43.08935
8.0518	40.6463
7.77748	37.5491
7.19582	30.7584
6.99008	29.08965
5.38226	17.53745
7.16026	28.19965
6.477	25.04015
6.1341	22.4191
4.83616	14.2578
4.28752	11.10275
3.3655	6.45695
2.132838	2.10841
1.072388	-1.88235
-0.535178	-4.80155
-1.219454	-8.25475
-1.903476	-11.52995
-2.177034	-13.617
-2.8956	-17.1325
-3.2385	-19.69125
-3.82016	-24.1012
-4.6736	-28.86715
-5.25526	-32.73865
-6.0071	-38.15875
-6.7945	-42.3284
-7.75208	-47.7485
-8.23214	-49.751
-9.22274	-52.8215
-9.77138	-56.604
-10.79754	-60.965
-11.44778	-64.792
-12.09802	-67.4175
-13.36294	-71.912
-13.02004	-65.1925
-12.50696	-61.143
-12.1666	-57.939
-11.85672	-55.18
-11.58494	-53.044
-11.34364	-49.7065
-10.96772	-46.8585
-10.45464	-43.16055
-10.0457	-40.7175
-9.97712	-39.52935
-9.63422	-36.19185
-9.42848	-33.45065
-8.9154	-28.569
-8.3693	-23.56275
-7.95782	-20.28755
-7.54634	-16.2959
-7.239	-13.85285
-6.52018	-9.3895
-5.9055	-6.35015
-4.94792	-2.65665
-4.2291	0.381098
-2.8956	3.299675
-1.937766	5.32665
-0.022098	11.10275
0.867156	13.42565
2.509012	16.16685
3.63728	18.7256
4.21894	21.0485
4.93776	24.564
5.9309	30.7584
7.05866	36.71695
7.57174	39.63615
