Bayrak_&_Sheikh_02_RS-14HT	
21	
0	0
8.840603749	96.16669761
19.02886051	180.1373677
20.38895339	188.6671617
23.79747885	184.5090032
26.89500746	186.9315018
31.54337369	181.3903843
29.9966827	159.1980694
29.68568585	154.3530722
31.70094543	152.6174123
36.34931166	140.486356
38.51799635	133.200297
41.151103	117.9506219
40.99767789	101.6614071
39.13584342	86.40245034
29.53226074	36.83868572
28.59927019	28.16966772
32.62978935	28.16966772
38.51799635	25.73788751
40.68668104	21.93242992
46.11046608	3.554854279
