"Soesianawati et al. 86, Specimen 2"	
695	
0	0
-0.093127	18.412
0	36.386
0.55877	53.042
0.74501	61.814
1.0244	77.595
1.5832	92.06
1.9557	107.4
2.5144	127.57
3.2596	141.16
3.6319	155.63
4.1907	167.9
4.9357	179.73
5.7739	189.38
5.5877	173.6
5.2151	158.26
4.6563	145.54
4.3769	136.78
4.0975	126.69
3.8181	116.61
3.5387	105.65
3.0731	91.184
2.7008	74.526
2.235	60.057
1.8626	41.208
1.3969	27.18
1.0244	10.083
0.83815	-3.507
0.18626	-21.481
-0.093127	-37.262
-0.65189	-55.676
-0.83815	-66.195
-1.1175	-78.908
-1.3038	-90.744
-1.6763	-105.65
-2.235	-118.8
-2.887	-131.07
-3.4458	-140.72
-3.8181	-149.92
-4.5634	-162.2
-5.3083	-172.28
-5.6807	-177.11
-5.9601	-180.61
-6.5189	-177.54
-6.8915	-170.97
-6.8915	-166.15
-6.7051	-155.19
-6.2395	-143.35
-5.7739	-128.44
-5.3083	-113.1
-4.8425	-98.634
-4.5634	-88.115
-3.7252	-71.893
-3.1664	-55.676
-2.6076	-34.194
-1.8626	-12.713
-0.93127	9.6442
-0.27937	27.618
0	39.454
0.74501	72.333
1.5832	94.253
2.235	114.86
3.2596	138.09
4.0046	158.26
5.2151	181.05
6.0533	200.34
7.0777	214.81
8.2883	230.15
9.2197	242.86
10.523	254.26
11.641	262.15
13.224	269.6
14.621	274.86
16.204	279.25
16.856	270.04
16.763	259.96
16.577	249.44
16.297	237.16
16.297	226.64
15.552	212.17
14.714	194.2
12.945	166.59
10.989	142.91
9.4059	116.61
8.0089	92.06
6.7983	71.457
5.5877	50.414
4.4701	27.618
3.6319	11.398
1.6763	-23.234
0.74501	-46.468
-0.46563	-71.017
-0.55877	-85.046
-1.49	-104.34
-1.9557	-119.24
-2.7008	-130.64
-3.5387	-145.54
-4.4701	-160.45
-5.3083	-173.16
-6.1463	-182.8
-7.0777	-192.89
-8.0089	-202.53
-9.2197	-212.17
-10.989	-225.77
-12.2	-232.78
-13.038	-238.04
-14.342	-243.3
-15.552	-247.69
-16.484	-250.32
-17.042	-246.81
-17.229	-233.66
-17.229	-233.22
-16.949	-216.12
-16.39	-207.35
-14.994	-183.24
-14.342	-169.22
-12.852	-148.61
-11.641	-131.07
-10.43	-114.42
-9.1265	-95.129
-8.1953	-82.853
-7.3571	-69.705
-6.1463	-52.606
-5.4013	-39.016
-4.284	-23.673
-3.4458	-8.3293
-2.5144	4.8221
-1.8626	17.973
-1.3038	29.371
-0.27937	46.468
1.3038	84.605
2.9802	109.16
4.284	130.64
5.5877	153.87
7.5433	177.54
8.5677	191.57
9.5921	202.97
10.989	216.56
12.386	227.52
14.342	244.18
15.925	254.7
16.67	258.64
16.67	241.98
16.484	230.59
15.832	216.56
14.994	202.97
14.062	184.12
11.175	145.54
9.4991	120.12
8.1021	96.882
6.7051	71.457
4.9357	39.454
2.235	-8.3293
0.46563	-32.44
0.27937	-43.4
-0.18626	-56.112
-0.83815	-66.635
-1.9557	-79.348
-2.9802	-93.377
-3.9113	-107.4
-4.9357	-121.43
-5.7739	-133.71
-6.7051	-145.54
-9.5921	-172.28
-10.523	-184.12
-11.548	-195.08
-12.852	-207.35
-13.969	-217
-15.087	-224.01
-16.484	-231.02
-16.856	-232.78
-16.949	-216.12
-15.645	-196.83
-14.248	-168.77
-12.852	-148.17
-11.082	-120.99
-9.3127	-96.442
-6.9845	-64.002
-5.4013	-39.454
-4.284	-19.727
-2.4213	8.3293
-0.74501	36.824
0.46563	62.25
1.5832	85.486
4.284	125.82
5.2151	142.03
6.7051	163.08
8.1021	179.3
9.1265	191.14
10.896	208.23
12.479	222.7
13.969	233.22
15.273	244.18
16.577	252.07
18.253	260.4
20.209	265.22
22.071	267.41
24.027	266.53
27.658	262.59
30.825	259.08
33.805	251.63
34.084	238.48
34.178	227.08
33.713	214.37
32.037	182.37
31.29	173.6
30.361	163.95
29.243	153.43
28.217	140.28
26.728	126.69
25.331	115.29
24.027	102.58
22.164	86.798
19.464	66.195
18.719	59.621
17.322	48.661
16.018	38.578
14.621	28.495
12.852	16.659
10.989	3.0687
9.6853	-5.6988
8.1021	-17.097
6.4257	-31.563
4.7495	-45.152
3.2596	-58.304
0.46563	-85.046
-0.93127	-100.39
-1.9557	-114.86
-4.0046	-133.71
-5.5877	-149.49
-6.9845	-165.71
-8.7541	-177.11
-10.058	-186.31
-11.734	-199.03
-13.038	-209.11
-14.342	-217.88
-15.645	-225.33
-17.229	-232.78
-18.998	-241.11
-20.954	-245.49
-23.375	-247.69
-31.57	-246.37
-32.502	-242.42
-33.619	-235.41
-34.178	-227.52
-34.549	-218.31
-34.549	-207.79
-34.27	-190.26
-33.34	-183.24
-31.57	-159.57
-29.428	-138.09
-27.008	-118.36
-24.306	-97.322
-21.978	-78.031
-19.464	-57.864
-16.577	-36.386
-12.2	-7.4526
-9.3127	14.028
-6.2395	36.386
-3.5387	57.428
-0.55877	78.031
2.3282	100.83
4.8425	126.25
7.4501	145.1
10.058	162.64
12.293	175.35
15.366	191.57
17.787	200.34
20.488	209.99
23.002	219.19
25.702	225.77
29.428	233.22
32.128	238.92
33.713	239.8
33.899	217.88
33.155	205.6
32.408	192.89
31.664	178.42
30.64	165.71
28.964	149.05
27.379	131.95
20.581	71.457
15.645	32.879
10.803	2.6303
8.8471	-14.028
6.9845	-28.056
4.6563	-47.345
1.49	-77.595
-0.18626	-93.377
-1.8626	-110.47
-5.7739	-134.58
-8.1953	-145.54
-11.362	-157.82
-14.062	-168.77
-16.67	-178.86
-20.768	-192.45
-23.375	-200.78
-25.517	-206.48
-28.496	-213.05
-31.849	-218.31
-34.549	-221.82
-34.549	-214.37
-34.178	-196.39
-33.713	-184.56
-32.596	-173.16
-31.199	-158.7
-29.614	-143.35
-27.379	-124.5
-25.611	-108.28
-23.655	-92.06
-21.792	-77.595
-19.65	-61.374
-17.508	-44.716
-15.18	-28.495
-10.244	3.9454
-7.4501	28.056
-4.8425	45.592
-2.7008	60.497
0	82.417
2.5144	100.83
4.9357	120.12
8.5677	140.72
12.479	160.45
15.087	174.48
17.694	186.31
20.395	199.03
23.375	209.55
26.634	219.19
29.428	224.45
32.408	230.59
35.481	233.22
38.461	234.09
40.696	234.09
43.957	230.15
46.563	226.2
49.543	219.63
50.01	216.56
50.101	208.23
50.289	195.52
49.822	184.12
49.451	174.04
48.798	163.08
48.146	152.56
46.098	126.69
43.21	106.97
41.907	92.937
38.181	62.25
36.693	54.359
34.549	43.4
32.502	33.317
30.361	24.549
28.125	14.905
25.796	5.6988
24.027	-1.3151
21.419	-9.206
19.091	-18.412
16.111	-30.248
13.69	-38.578
10.896	-49.973
8.1953	-63.566
4.0975	-84.17
1.8626	-95.565
0.27937	-102.58
-5.9601	-134.58
-9.3127	-150.8
-11.455	-160.01
-13.783	-169.22
-15.832	-177.11
-18.346	-185.43
-20.395	-193.33
-22.35	-199.9
-25.331	-207.79
-27.752	-213.05
-29.334	-215.24
-30.919	-217.44
-33.619	-220.95
-36.693	-221.82
-40.416	-223.13
-43.49	-219.63
-45.819	-217.44
-48.705	-213.49
-49.451	-209.99
-50.475	-198.15
-51.128	-189.38
-50.848	-176.23
-50.01	-162.2
-48.519	-145.1
-46.843	-128.01
-45.075	-112.23
-41.443	-86.362
-38.461	-65.319
-35.575	-47.345
-33.155	-35.07
-30.825	-22.357
-27.658	-5.6988
-25.144	6.5759
-22.258	18.412
-19.277	30.687
-13.969	51.29
-9.6853	68.388
-3.6319	90.308
-1.49	97.758
0.74501	105.65
3.9113	116.61
6.8915	128.01
11.827	148.17
15.739	160.88
18.439	168.34
21.419	177.11
25.89	187.19
30.081	197.27
32.128	201.65
35.296	204.28
38.275	207.79
40.696	209.99
44.607	213.49
47.681	213.93
50.195	211.74
50.101	198.59
49.822	181.05
48.146	153.43
47.31	142.47
45.819	127.57
44.328	112.23
43.025	99.075
41.443	82.853
39.858	68.388
38.555	56.988
36.878	45.152
35.108	34.194
33.246	22.796
30.64	7.8908
28.311	-1.7535
26.914	-6.5759
25.423	-12.713
23.655	-19.727
21.047	-29.371
19.371	-35.509
17.508	-42.523
14.9	-51.73
12.665	-59.181
10.337	-66.195
7.5433	-75.838
5.5877	-81.977
3.5387	-89.431
2.3282	-93.813
-3.3525	-113.98
-5.6807	-120.12
-7.8227	-125.82
-10.244	-132.39
-15.459	-151.24
-19.557	-163.95
-21.792	-168.77
-24.586	-174.48
-27.379	-178.86
-30.919	-184.12
-34.084	-188.5
-38.649	-194.64
-43.025	-200.34
-45.26	-201.65
-47.587	-201.65
-49.357	-201.65
-50.195	-200.34
-50.94	-188.94
-51.034	-179.3
-50.569	-168.34
-49.451	-152.99
-47.775	-126.69
-46.192	-113.54
-41.255	-76.715
-39.393	-64.443
-36.693	-46.028
-34.828	-36.386
-31.758	-21.919
-29.334	-11.398
-26.261	-0.87675
-22.537	10.521
-19.464	21.481
-14.807	38.578
-10.803	53.919
-8.6609	62.25
-2.235	86.798
4.4701	115.73
7.6365	126.25
10.43	135.9
13.69	145.1
17.322	153.43
21.047	163.08
24.772	171.41
28.964	179.3
32.316	186.31
34.737	190.69
37.902	195.96
40.884	199.03
45.446	202.09
48.892	200.34
53.363	198.15
57.086	193.76
60.998	188.94
64.816	182.8
67.61	176.67
67.889	164.83
67.983	155.19
67.889	140.72
66.401	118.8
64.072	92.06
60.813	66.635
58.204	45.152
56.528	34.632
54.292	21.042
52.431	9.206
49.543	-6.1374
46.751	-19.289
44.516	-28.056
41.907	-37.701
39.113	-46.468
33.713	-60.497
26.261	-76.279
21.885	-84.17
13.41	-98.198
10.244	-103.46
5.3083	-111.35
2.5144	-116.17
0	-121.87
-5.0289	-132.83
-11.362	-148.17
-16.763	-160.45
-19.65	-166.59
-23.002	-173.16
-32.037	-186.31
-39.019	-195.96
-45.075	-203.85
-47.122	-203.85
-50.66	-202.09
-58.298	-191.14
-62.301	-186.31
-66.213	-177.98
-67.239	-172.72
-68.077	-166.15
-68.636	-157.82
-68.727	-146.42
-68.542	-137.21
-67.239	-119.24
-65.842	-100.83
-64.445	-85.486
-62.489	-69.705
-59.881	-49.537
-56.995	-31.563
-52.616	-10.521
-45.446	21.042
-40.884	38.578
-36.878	48.661
-33.061	56.988
-27.008	68.388
-23.655	74.962
-18.16	85.486
-14.714	91.184
-8.7541	103.02
-0.65189	114.42
13.224	138.09
22.071	152.99
26.17	158.7
30.173	163.08
34.458	168.34
38.369	170.09
42.372	174.04
46.284	174.48
50.66	174.48
54.572	171.84
60.439	166.59
62.768	161.76
66.027	156.06
68.169	149.92
67.518	117.05
66.866	100.83
65.375	81.977
62.395	53.042
60.16	32.002
56.342	8.3293
52.245	-14.028
50.381	-24.111
47.96	-36.824
45.913	-46.468
43.769	-53.042
42.093	-58.745
40.231	-64.443
38.275	-68.824
36.505	-72.333
34.549	-76.279
32.222	-81.541
30.452	-85.046
28.405	-89.431
25.237	-93.813
22.909	-96.882
20.488	-99.511
18.812	-101.7
16.111	-105.21
7.7295	-115.29
-0.18626	-123.62
-5.4013	-129.76
-10.244	-135.9
-14.435	-143.79
-18.626	-149.92
-23.561	-155.63
-27.099	-158.7
-30.825	-163.95
-37.81	-169.22
-42.84	-170.97
-50.475	-170.97
-54.851	-168.34
-61.651	-160.88
-64.63	-155.63
-66.307	-149.05
-68.356	-136.34
-68.542	-120.99
-68.262	-111.79
-67.145	-91.184
-64.816	-64.879
-63.139	-50.854
-59.974	-25.864
-56.528	-7.0141
-53.269	9.206
-49.357	29.81
-46.004	43.838
-41.255	59.181
-35.108	74.526
-32.222	80.66
-28.405	87.675
-23.561	94.253
-18.067	100.39
-9.0333	111.35
13.131	133.71
24.306	144.67
31.199	149.92
36.878	152.12
42.56	154.31
47.031	154.31
54.201	149.49
58.484	144.67
63.792	136.34
69.286	125.82
73.571	116.17
77.203	106.97
81.021	96.442
83.162	90.308
84.094	85.046
84.653	76.279
84.747	64.879
84.839	49.973
84.653	28.495
83.071	3.507
80.183	-19.289
78.321	-30.687
76.83	-39.016
74.874	-50.414
71.801	-65.319
67.239	-87.675
62.489	-103.02
58.951	-110.47
53.828	-120.55
49.172	-126.69
45.54	-129.32
41.534	-131.95
25.517	-138.53
15.645	-138.96
9.3127	-140.72
8.0089	-140.72
6.7983	-140.72
5.7739	-139.4
5.4013	-135.46
4.5634	-126.69
4.0046	-131.95
2.9802	-135.9
1.7694	-138.53
0.18626	-140.72
-0.93127	-142.47
-2.6076	-144.23
-17.508	-152.99
-22.63	-154.75
-24.027	-147.74
-27.473	-149.05
-28.964	-140.28
-30.267	-131.51
-32.128	-132.39
-34.178	-132.39
-35.575	-132.39
-37.622	-132.39
-45.075	-126.69
-48.146	-123.18
-50.289	-119.68
-51.872	-116.61
-55.225	-108.72
-59.042	-99.951
-89.403	-18.85
-98.715	3.0687
