"Zhou et al. 1985, Specimen 1309"	
240	
0	0
0.10738	1.9169
0.16778	2.9257
0.268455	4.3718
0.328855	5.5489
0.42281	6.8602
0.5168	8.4743
0.6376	9.9204
0.7181	10.896
0.79195	11.972
0.90605	13.115
0.98655	13.922
1	14.259
1.09395	14.831
1.08055	14.191
1.047	12.073
1.04025	10.896
1.02015	10.122
1.0067	9.4836
0.95975	8.4743
0.90605	7.4655
0.85905	6.7258
0.8255	6.0866
0.78525	4.9773
0.74495	4.2036
0.7114	3.531
0.66445	2.2531
0.61745	1.4124
0.5839	0.63896
0.56375	-0.067258
0.5436	-0.50445
0.5369	-0.70621
0.496635	-1.3452
0.449655	-1.9169
0.409395	-2.4886
0.33557	-3.3629
0.268455	-4.2036
0.2349	-4.6744
0.18792	-5.3807
0.09396	-6.6249
0.033557	-7.5327
0	-8.2057
-0.040268	-8.8106
-0.080535	-9.416
-0.14765	-10.324
-0.201345	-11.131
-0.241605	-11.568
-0.328855	-12.678
-0.37583	-13.351
-0.40268	-13.754
-0.429525	-13.99
-0.46308	-14.393
-0.48322	-14.46
-0.50335	-14.158
-0.50335	-13.317
-0.50335	-12.745
-0.50335	-12.241
-0.4698	-11.165
-0.43623	-10.56
-0.389255	-9.786
-0.32215	-9.0125
-0.261745	-8.4072
-0.20805	-7.8018
-0.181205	-7.4655
-0.154355	-6.5239
-0.120805	-5.9861
-0.0604	-4.9435
0	-4.0691
0.04698	-3.3629
0.080535	-2.8248
0.10067	-2.5222
0.154355	-1.5133
0.1745	-0.9416
0.194625	-0.40355
0.248325	1.3452
0.268455	2.085
0.281875	2.5222
0.302005	2.9593
0.32215	3.5983
0.33557	4.0019
0.348995	4.5734
0.369125	5.2126
0.38255	5.4817
0.389255	5.8513
0.395975	6.0866
0.409395	6.4905
0.42281	6.7596
0.44295	7.0283
0.4698	7.1964
0.51005	7.0959
0.5302	6.2552
0.5369	5.717
0.5168	5.1454
0.496635	4.8087
0.476505	4.4054
0.44295	3.8337
0.409395	2.8585
0.38255	2.085
0.33557	1.2443
0.2953	0.47082
0.261745	-0.30266
0.214755	-1.0761
0.1745	-1.7151
0.14765	-2.2531
0.09396	-2.9257
0.0604	-3.4974
0.0201345	-4.1027
-0.0067115	-4.6072
-0.10067	-6.5915
-0.1745	-7.9366
-0.281875	-9.6517
-0.348995	-7.0621
-0.261745	-5.818
-0.201345	-5.0107
-0.1745	-4.6072
-0.09396	-3.5647
-0.0268455	-2.4549
0.0201345	-1.3788
0.040268	-0.20177
0.0268455	0.73984
0.0134225	1.3452
0.0067115	2.1859
0.0067115	3.2284
0.214755	5.818
0.409395	8.4072
0.604	10.56
0.74495	12.275
0.953	14.629
1.15435	16.31
1.29525	17.521
1.4295	18.529
1.5772	19.404
1.63755	19.976
1.68455	19.169
1.66445	17.42
1.66445	16.176
1.66445	15.671
1.65775	14.965
1.651	14.359
1.61745	13.351
1.54355	12.275
1.46305	10.997
1.4295	10.122
1.34225	8.6425
1.26845	7.3984
1.1879	6.2214
1.1141	4.8763
1.0671	3.6656
1.02685	2.6567
0.97985	1.5806
0.92615	0.67258
0.85905	-0.5717
0.80535	-1.4124
0.7584	-2.085
0.7047	-3.0266
0.6376	-4.1027
0.56375	-5.2798
0.48322	-6.7258
0.429525	-7.8356
0.37583	-9.0125
0.328855	-9.7522
0.27517	-10.627
0.2349	-11.333
0.161075	-12.275
0.114095	-12.846
0.040268	-13.586
-0.0067115	-14.023
-0.134225	-14.931
-0.20805	-15.57
-0.308725	-16.68
-0.4698	-18.395
-0.62415	-19.74
-0.73825	-20.85
-0.84565	-21.893
-0.9329	-22.699
-1.02685	-23.473
-1.08055	-23.91
-1.1141	-24.28
-1.15435	-24.65
-1.20135	-24.986
-1.2483	-24.549
-1.2349	-23.742
-1.2282	-23.002
-1.2483	-22.229
-1.2483	-21.253
-1.2483	-20.615
-1.22145	-19.841
-1.0537	-17.891
-0.75165	-13.351
-0.44295	-8.4072
-0.10738	-3.5983
-0.040268	-2.4213
0.040268	0.10089
0.040268	0.9416
0.10738	2.085
0.120805	2.5894
0.161075	3.4302
0.2349	5.1454
0.241605	6.4567
0.348995	8.6091
0.456375	9.988
0.5973	11.636
0.85905	14.393
1.4563	20.85
1.5838	22.229
1.91275	24.617
2.2013	26.365
2.4295	27.946
2.53685	29.022
2.6308	29.56
2.7718	28.484
2.79855	27.374
2.78525	25.491
2.7315	24.583
2.651	23.372
1.93955	11.905
1.36245	2.5894
0.78525	-5.616
0.40268	-10.459
0.080535	-14.292
-0.114095	-17.42
-0.449655	-21.321
-0.84565	-24.785
-1.36245	-28.719
-1.8523	-31.679
-2.2818	-33.965
-2.4093	-34.504
-2.7785	-34.571
-2.859	-31.847
-1.48325	-12.409
-1.08725	-6.692
-0.50335	-1.5469
-0.33557	-0.2354
-0.134225	3.7664
0.248325	9.0463
0.6577	14.359
1.08725	19.807
1.71805	24.213
2.4295	24.482
4.27505	21.994
