"Paultre, Legeron,  July-August 2000 test 10013040"	
165	
-0.757	0.962
-0.747	12.7
1.98	41.1
4.41	65
7.02	87.9
11.6	128
12.7	137
13	139
12.4	129
10.9	116
8.14	87.2
4.77	50.4
2.87	29.3
0.4	4.37
-1.89	-18.4
-4.3	-43
-5.52	-56.3
-8.88	-84.3
-9.48	-88.5
-11.9	-107
-13.1	-115
-16.8	-137
-16.2	-126
-14	-107
-12	-86.4
-10.7	-75.4
-9.45	-62.2
-8.06	-49.5
-6.4	-33.3
-4.99	-21.1
-3.1	-0.959
-1.16	18.2
2.92	57.5
8.16	114
11.5	131
15.2	156
17.5	166
20.7	178
22.5	182
24.8	185
29.9	141
30.6	140
30.6	140
30.6	140
30.6	140
30	134
27.6	123
22.4	99.9
17.8	73.7
8.88	16.3
7.19	5.35
3.88	-18.2
0.473	-41.9
-0.158	-45.1
-4.8	-75.3
-9.97	-110
-22.2	-167
-23.3	-169
-29.7	-166
-33.6	-145
-26.2	-110
-20.6	-84.9
-14.1	-48.6
-6.23	-4.19
-4.98	0.427
-2.85	13.2
-0.126	29.7
4.9	55.3
11.4	87.1
14.8	101
19.1	116
23.6	128
28.2	136
30.4	138
30	130
22.8	99.7
19.5	84.3
14.5	59.3
10.3	36.6
4.62	6.57
1.6	-10.7
-2.56	-32.7
-8.5	-61.2
-14.5	-89.1
-15.6	-93.3
-18.5	-105
-21.6	-115
-26.1	-128
-31.6	-138
-32.6	-138
-32.9	-128
-30	-116
-22.6	-83.4
-16.9	-54
-12.8	-32.8
-9.73	-16.8
-6.75	-1.23
-6.75	-1.23
-4.9	8.6
1.62	39.5
10.6	81.1
18.9	111
24.6	124
29.1	132
34.7	135
38.1	133
41.5	126
46.6	119
44.4	108
37.7	85
31.1	62
23.3	35.3
15.5	6.78
7.68	-22.4
-2.34	-57.8
-12.4	-89.9
-19.8	-110
-25.4	-122
-28.7	-128
-32.1	-131
-36.5	-131
-41	-123
-47.6	-85.4
-48.3	-84.3
-47.2	-77.7
-43.8	-64.6
-39.2	-47.4
-34	-28.3
-30.7	-17.8
-25.5	1.1
-6.75	-1.23
-4.9	8.6
-0.368	28.1
5.06	56.6
10.6	81.1
17	101
21.2	117
25.7	126
31.3	134
35.8	135
38.1	133
41.5	126
44.8	122
46.6	119
42.2	99.9
35.5	77.2
28.8	54.3
22.1	31.3
17.7	15.4
9.89	-14.8
0.989	-46.2
-7.93	-76.2
-13.2	-92.2
-20.9	-113
-26.5	-124
-32.1	-131
-36.5	-131
-42.1	-121
-48.3	-84.3
-47.2	-77.7
-42.7	-60.3
-38.1	-43.6
-34	-28.3
-30.7	-17.8
-25.5	1.1
