"Saatcioglu and Ozcebe 1989, Spec. U6"	
1917	
0.016	-0.4452
0.004	-0.1512
-0.01	-0.1252
0.004	-0.1047
-0.004	-0.1266
0.048	-0.1477
0.046	-0.1067
0.032	-0.08398
0.064	-0.004572
0.078	-0.09379
0.094	0.002124
0.076	-0.04451
0.074	-0.007581
0.076	-0.03506
0.092	-0.01095
0.088	-0.01093
0.08	0
0.054	-3.728
0.286	12.08
0.434	22.29
0.31	12.66
0.112	-2.261
0.28	10.87
0.458	24.3
0.502	27.27
0.502	27.27
0.716	40.28
1.06	59.4
1.36	73.96
1.75	88.36
2.23	103.2
2.77	118
3.35	132.7
3.39	133.6
3.78	142.5
4.06	150.3
4.48	154.8
4.58	158
4.78	160.6
4.84	154.6
5.06	153.7
4.72	136.4
4.46	124.3
4.16	110
3.8	95.17
3.4	80.9
3.01	66.23
2.62	52.79
2.27	37.79
1.87	23.16
1.87	23.16
1.51	8.176
1.21	-4.59
0.848	-22.24
0.494	-35.96
0.212	-51.3
-0.092	-61.14
-0.42	-74.65
-0.814	-88.32
-1.29	-101.9
-1.76	-114.1
-2.35	-129.3
-2.95	-141.7
-3.71	-154.8
-4.44	-168.4
-5.08	-176.7
-5.3	-173.2
-4.86	-156
-4.58	-144.8
-4.22	-129.6
-3.98	-118.2
-3.52	-104.2
-3.08	-89.43
-2.73	-78.22
-2.24	-62.92
-2.24	-62.92
-1.89	-49.2
-1.45	-35.98
-0.946	-18.56
-0.558	-3.812
-0.192	9.474
0.138	24.12
0.562	37.49
0.98	52.14
1.45	66.66
1.99	81.38
2.43	96.55
2.91	111.1
3.4	125.9
3.87	140.4
4.42	153.8
4.5	138.3
3.96	124.2
3.72	107.5
3.41	94.88
2.97	79.83
2.53	66.47
2.19	53.8
1.71	38.32
1.33	24.3
1.33	24.3
0.922	9.595
0.596	-3.759
0.132	-19.77
-0.33	-35.51
-0.662	-48
-1.15	-63.57
-1.56	-75.56
-2.01	-88.67
-2.41	-100.5
-2.99	-115.8
-3.44	-130.2
-3.98	-145.5
-4.54	-160
-5	-171.4
-4.78	-157.8
-4.4	-145
-4	-129.2
-3.62	-114.7
-3.15	-100.2
-2.69	-84.89
-2.18	-69.97
-1.74	-55.67
-1.33	-42.26
-0.938	-29.2
-0.938	-29.2
-0.52	-12.61
-0.174	0.1368
0.258	12.1
0.628	27.41
0.99	41.71
1.51	57.41
2.04	72.44
2.47	87.36
2.94	101.5
3.4	115.9
3.85	130.1
4.32	143.2
4.82	158.6
4.56	142.7
4.14	127
3.64	112.9
3.47	97.39
2.93	82.06
2.51	68.43
