Bayrak_&Sheikh_02_WRS-24HT	
26	
0	0
12.19804765	73.74285714
18.33636664	108.0952381
18.99818001	110.0095238
21.32279947	107.7142857
21.98461284	94.35238095
23.31237591	87.48571429
32.10622105	82.9047619
33.42984778	79.46666667
32.43712773	76.40952381
31.77117803	71.06666667
29.4506949	63.04761905
32.10622105	58.84761905
40.73047651	46.25714286
49.35473197	34.8
54.16528789	27.54285714
54.83123759	24.4952381
53.00711449	22.58095238
51.67935142	19.91428571
54.50033091	17.23809524
56.15900066	14.95238095
54.66578425	12.27619048
51.84480477	11.8952381
47.69606221	7.314285714
41.39228987	0.057142857
37.24768365	-3.752380952
