"Aboutaha, Engelhardt, Jirsa and Kreger, Test ORC1"	
6285	
8.56034186	74.43541184
8.57003556	73.6942416
8.58260079	73.42473728
8.5749007	73.22262016
8.5739862	73.02050304
8.5456367	72.801528
8.56778589	72.71728288
8.56676165	72.61622432
8.50839826	69.92113664
8.53146195	69.98847936
8.51339143	69.97166592
8.5251519	69.97166592
8.51593374	69.92113664
8.5192991	69.93795008
7.98391422	60.38720448
7.05619055	49.7415392
6.322853	41.35300707
5.66540066	34.66577712
5.04593665	29.47770554
4.51664234	25.19922771
4.06692782	21.62821318
3.78769439	18.66359894
3.41439549	16.0864055
3.1392956	13.96401117
2.86562233	12.14481475
2.64405727	10.4940641
2.4757344	9.23073424
2.26801487	7.933715232
2.14243573	6.821982112
1.94208707	5.743942592
1.83860225	4.514301888
1.6634755	3.099370848
1.45343314	1.448620192
1.01244295	-2.61088704
-0.4100618	-13.59344384
-2.4232421	-29.393496
-4.3248534	-46.254752
-6.4347878	-66.09728
-7.0484173	-69.1125792
-7.1234063	-68.826128
-7.153219	-68.708256
-7.1846778	-68.590384
-7.2049797	-68.4049024
-7.1963834	-68.2705728
-7.2084548	-68.2029632
-7.2139418	-68.034384
-7.2115641	-68.0174816
-7.209918	-67.9334144
-7.2009559	-67.8662496
-7.2027849	-67.7648352
-7.2218065	-67.7483776
-7.2293054	-67.6638656
-7.2324147	-67.6136032
-7.2240013	-67.5290912
-7.2042481	-67.4619264
-7.2223552	-65.069792
-7.2362556	-65.069792
-7.217234	-65.0528896
-7.2379017	-65.0528896
-7.2143076	-65.1204992
-7.2298541	-65.1035968
-6.633783	-55.5359488
-5.3030026	-41.48774144
-4.5423215	-32.71183744
-3.9403976	-27.10264256
-3.5071075	-23.26210592
-3.1744124	-20.56701824
-2.8504965	-18.0909056
-2.0545157	-11.4373648
-0.5044382	1.044354816
1.14504545	12.36378979
2.70461546	25.40135818
3.85891565	33.57089302
4.31075181	37.0408401
5.37758922	45.90100256
6.21325932	51.72917248
7.19268882	60.70723808
7.65246284	65.20469984
8.17579461	69.44947072
8.1941029	68.9778048
8.1845921	68.69148704
8.16589972	68.50618336
8.18098897	68.42198272
8.18283626	68.23667904
8.15488914	68.2029632
8.16498522	68.03456192
8.18064146	67.9503168
8.16974062	67.86611616
8.16132722	67.78187104
8.17286821	67.71448384
8.16952114	67.68081248
7.97599465	62.74540064
6.91667443	50.78588512
6.16932674	41.74042787
5.3251335	34.48049123
4.64856811	28.82077152
4.08163298	23.90220426
3.49818198	19.25315021
2.99026868	15.2441856
2.19986633	9.44970928
1.4562498	3.621548256
0.76298564	-1.65074176
0.50110942	-3.52045856
0.19325214	-5.356504
-0.6884356	-11.06675744
-1.9155117	-19.6405888
-3.1947143	-30.25253824
-5.3966474	-49.808704
-7.551941	-71.4709088
-8.660315	-83.1273376
-8.7652996	-83.1273376
-8.7616416	-82.9249536
-8.7821264	-82.7563744
-8.7927346	-82.5713376
-8.8059034	-82.4534656
-8.8113904	-82.352496
-8.821267	-82.2510816
-8.8470559	-82.150112
-8.8329726	-82.0994048
-8.8327897	-81.9481728
-8.8287659	-81.914368
-8.8443124	-81.8636608
-8.8252908	-81.7795936
-8.8349845	-81.7288864
-8.8360819	-81.678624
-8.8326068	-81.678624
-8.8284001	-81.560752
-7.550112	-61.5661024
-6.0468569	-45.58088
-5.1078483	-35.4574544
-4.3970989	-28.77024224
-3.9010741	-24.3570256
-3.4716249	-21.00496832
-2.9929756	-17.58556832
-2.6591831	-15.19365632
-2.1159701	-10.86464032
-1.5372745	-6.35032064
-0.8148195	-1.28017888
-0.7747644	-1.36437952
-0.7464149	-1.31385024
-0.7487926	-1.33070816
-0.762693	-1.31385024
-0.6886185	-1.14540448
-0.6754497	-1.1622624
-0.6646586	-1.12859104
-0.6875211	-1.14540448
-0.687704	-1.14540448
-0.6856921	-1.1622624
-0.6805709	-1.17912032
-0.3961614	0.94328736
0.53836615	7.445226976
1.36618984	13.76187626
2.69162956	25.23291242
4.44179966	38.87688109
6.01603825	51.05538944
7.27477434	62.24006336
8.73034741	76.11986944
10.11087661	87.48984704
10.20095486	86.79920608
10.32194321	87.57404768
10.89134749	92.20623936
10.90656477	91.54931424
10.90182766	91.21242272
10.90658306	90.97663424
10.91485014	90.7576592
10.87168574	86.76553472
10.87351474	86.76553472
10.85425537	86.73181888
10.86577807	86.7486768
10.83905638	86.76553472
10.83984285	86.39492736
9.66538708	70.71279168
8.57775394	58.56797248
7.69976078	49.06775616
6.94555434	41.68989859
6.26163637	35.65959821
5.64789713	30.69050166
5.08507725	26.41202384
4.62484598	22.75678643
4.24562112	19.55635258
3.92530835	16.89493626
3.56585498	14.57040701
3.25805257	12.41432352
3.0359571	10.62881626
2.7019817	8.624333952
2.33459047	5.912383904
1.6601833	1.111728672
0.77015532	-6.11453216
-1.2353066	-19.16892288
-3.3344499	-34.34572128
-5.5599771	-51.5269664
-7.7405109	-71.4709088
-9.3710644	-90.100912
-9.7591782	-91.71776
-9.8063664	-91.4651136
-9.8354475	-91.279632
-9.843678	-91.1448576
-9.8288631	-90.9767232
-9.8370936	-90.808144
-9.836362	-90.690272
-9.8259367	-90.6231072
-9.8295947	-90.5385952
-9.8376423	-90.3869184
-9.8325211	-90.3535584
