"Wight and Sozen, 1973, Spec. WS033AW"	
-15.79	-0.12873
-14.338	0.51494
-12.997	0.51494
-11.619	0.51494
-10.018	0.90112
-7.7462	1.931
-5.8468	2.8321
-4.6551	3.3471
-3.5753	3.862
-2.9421	3.9907
-2.6068	4.377
