"Nagasaka 1982, Specimen HPRC 19 32"	
721	
0	0
0.015563	10.592
0.093378	21.93
0.18675	30.882
0.26457	38.191
0.38908	45.801
0.45133	53.705
0.57582	61.912
0.66921	68.624
0.7937	75.34
0.99604	82.946
1.245	90.259
1.5407	97.42
1.5252	91.749
1.4785	86.082
1.4007	80.264
1.3229	74.593
1.245	68.624
1.1672	62.957
1.0894	57.735
0.99604	45.352
0.82484	39.385
0.66921	32.522
0.52913	25.959
0.45133	21.184
0.38908	13.874
0.32682	5.52
0.1245	-3.1329
0	-13.576
-0.10894	-22.527
-0.1245	-30.285
-0.14007	-38.191
-0.20232	-46.099
-0.35794	-56.392
-0.52913	-64.149
-0.73144	-72.805
-1.0116	-82.203
-1.4007	-90.406
-1.5252	-91.602
-1.3695	-78.022
-1.105	-55.048
-0.99604	-46.993
-0.88709	-41.325
-0.73144	-31.628
-0.65364	-26.406
-0.60696	-20.588
-0.37351	-11.487
-0.24901	-4.028
-0.1245	0
0.046688	16.261
0.28014	28.196
0.37351	42.22
0.49802	50.125
0.66921	59.225
0.90264	68.624
1.1205	79.219
1.2606	86.229
1.4162	93.239
1.354	85.184
1.3384	77.876
1.2917	71.31
1.245	62.21
1.1672	54.306
1.0272	46.397
0.88709	39.833
0.66921	34.313
0.60696	27.152
0.42019	16.261
0.34239	9.9955
0.18675	-0.74593
0.06225	-8.6527
-0.031125	-17.156
-0.21788	-27.898
-0.37351	-37.595
-0.46688	-44.159
-0.68476	-53.26
-0.84038	-60.124
-1.0583	-67.73
-1.2295	-73.997
-1.4162	-79.962
-1.2139	-62.957
-1.0427	-51.321
-0.91821	-44.605
-0.73144	-37.296
-0.66921	-32.373
-0.49802	-18.201
-0.34239	-7.4593
-0.15563	1.641
0.015563	17.604
0.21788	34.164
0.32682	41.623
0.49802	53.407
0.7159	65.043
0.90264	74.144
1.0894	82.502
1.245	86.976
1.4629	93.39
1.2761	79.664
1.245	71.012
1.2295	61.912
1.1672	53.407
1.0272	45.054
0.74701	34.313
0.65364	27.898
0.35794	17.305
0.34239	9.1002
0.32682	5.8184
0.18675	-2.5362
0.031125	-11.338
-0.1245	-21.781
-0.29571	-29.539
-0.38908	-37.595
-0.49802	-43.711
-0.57582	-50.427
-0.73144	-56.69
-0.93378	-63.553
-1.3384	-77.128
-1.5719	-88.618
-1.7586	-96.375
-1.9765	-102.19
-2.3967	-108.61
-2.6924	-111.59
-2.9571	-112.64
-3.1283	-104.88
-3.0815	-95.481
-3.0036	-87.274
-2.9258	-80.264
-2.7079	-69.073
-2.4589	-60.124
-2.1166	-48.932
-1.852	-39.683
-1.5874	-30.882
-1.3384	-23.124
-1.0427	-14.62
-0.66921	-2.9837
-0.46688	5.8184
-0.28014	14.471
-0.10894	23.124
0.1245	34.014
0.37351	45.054
0.59139	55.346
0.74701	64.002
0.88709	71.164
1.1672	80.562
1.4785	90.704
1.743	98.461
2.1477	105.48
2.6457	110.55
2.8014	110.7
3.097	105.92
3.1593	98.91
3.0658	90.406
2.9571	81.754
2.8324	74.593
2.7234	68.477
2.5989	62.957
2.4589	58.482
2.1788	49.23
1.8364	39.982
1.494	29.091
1.1983	21.035
0.93378	13.725
0.66921	6.2659
0.42019	-0.44756
0.093378	-12.382
-0.10894	-24.019
-0.59139	-35.208
-0.90264	-44.605
-1.3229	-57.584
-1.6808	-68.326
-2.0387	-78.472
-2.2878	-85.633
-2.7079	-93.688
-2.9881	-98.163
-2.9258	-92.345
-2.8324	-83.992
-2.7079	-75.487
-2.5834	-66.982
-2.2099	-53.26
-1.992	-46.397
-1.743	-38.788
-1.4785	-30.583
-1.2606	-24.168
-1.1205	-18.35
-0.94932	-12.532
-0.80927	-7.0118
-0.59139	1.1935
-0.34239	9.3986
0.15563	24.616
0.60696	34.462
1.0272	44.308
1.3073	52.366
1.852	66.386
2.0699	72.058
2.6457	87.421
3.0193	95.628
3.097	99.208
3.0658	90.557
2.9571	82.203
2.7391	73.548
2.6302	66.24
2.4434	58.629
2.2099	49.528
2.0232	42.965
1.8053	36.998
1.4007	26.108
1.1672	19.543
0.90264	13.128
0.6225	5.9674
0.38908	0
0.23344	-5.0725
0.015563	-13.128
-0.14007	-18.797
-0.34239	-26.406
