"Wight and Sozen, 1973, Spec. WS033W"	
18.881	61.013
18.375	57.766
17.926	54.221
17.308	50.187
16.69	46.842
16.24	43.496
15.791	40.445
15.285	37.198
14.835	33.852
14.273	30.506
13.768	27.357
13.206	24.109
12.868	21.551
12.138	17.812
11.52	14.564
10.789	11.12
9.3845	5.5106
8.5976	3.149
7.9797	1.5745
7.0244	-0.59043
6.1813	-2.657
5.3383	-4.7233
4.1585	-7.4789
3.3716	-9.6437
2.304	-11.907
1.6296	-13.58
0.78671	-15.843
-0.16858	-18.697
-1.1801	-22.141
-2.023	-25.684
-2.922	-28.833
-3.8212	-31.49
-4.6642	-34.147
-5.3383	-36.312
-6.1252	-38.575
-7.1928	-41.724
-7.9233	-43.791
-8.5976	-46.348
-9.4407	-49.008
-10.115	-51.468
-10.565	-53.336
-11.07	-55.106
-11.688	-57.175
-12.475	-60.026
-13.206	-62.881
-14.048	-65.737
-14.948	-69.082
-15.734	-71.737
-16.914	-75.282
-17.533	-76.857
-18.544	-79.708
-19.218	-81.478
-20.174	-83.742
-21.635	-87.087
-22.478	-89.254
-23.489	-91.713
-23.995	-92.799
-23.939	-92.305
-23.826	-90.237
-23.545	-86.3
-23.321	-81.478
-22.983	-76.559
-22.703	-72.427
-22.197	-68.197
-21.579	-64.065
-20.848	-58.945
-20.174	-55.106
-19.555	-50.48
-18.657	-45.267
-17.926	-40.838
-17.139	-36.607
-16.128	-31.982
-14.667	-26.865
-13.262	-22.338
-12.026	-17.516
-10.508	-12.596
-9.272	-8.6598
-7.7549	-4.133
-6.5184	0.19681
-5.0574	4.3299
-3.9337	7.3806
-2.6972	10.726
-1.5172	14.367
-0.50574	17.32
0.44955	20.37
1.2363	23.322
1.9106	25.782
2.7536	28.144
3.9898	31.687
5.2822	35.721
6.4623	39.166
7.5862	42.413
8.4854	45.267
9.3845	48.71
10.171	51.957
10.902	55.204
11.801	58.451
13.037	62.881
13.936	66.128
14.779	69.673
15.622	72.921
16.633	76.265
17.364	78.725
18.151	81.283
19.106	83.742
20.118	86.598
21.129	89.156
21.859	90.437
22.703	91.713
23.377	92.598
23.939	93.288
23.601	90.632
23.489	87.288
23.096	84.041
22.815	80.989
22.59	78.529
22.478	76.755
22.309	74.197
21.859	70.852
21.41	67.409
21.073	64.75
20.567	61.703
20.005	57.962
19.443	54.813
18.657	50.382
18.094	46.446
17.533	42.61
16.914	38.871
16.24	35.426
15.509	31.982
14.667	28.439
13.655	24.011
12.868	20.468
11.969	16.729
11.014	12.989
10.003	9.2501
8.9911	5.5106
8.2045	2.7554
7.4737	0.78725
6.5748	-1.6729
5.507	-4.2315
4.4955	-6.6916
3.0907	-9.8408
1.9668	-12.399
1.0677	-15.154
-0.84292	-21.551
-1.6296	-24.601
-2.304	-27.062
-3.3155	-30.211
-4.4955	-33.753
-5.5631	-37.001
-6.7432	-40.445
-7.6424	-43.397
-8.5415	-46.544
-9.5529	-49.991
-10.396	-52.945
-11.351	-55.991
-12.307	-58.945
-13.206	-61.898
-14.161	-64.554
-15.06	-67.209
-16.015	-70.065
-17.027	-73.018
-17.87	-75.282
-18.881	-78.231
-19.837	-80.593
-21.635	-85.219
-22.646	-87.875
-23.489	-89.845
-23.995	-90.828
-23.883	-89.552
-23.826	-87.19
-23.377	-84.236
-22.983	-80.495
-22.59	-76.07
-22.14	-72.329
-21.691	-67.605
-21.129	-62.784
-20.342	-56.779
-19.331	-50.876
-18.488	-45.463
-17.589	-40.74
-16.577	-35.82
-15.622	-31.49
-14.498	-27.16
-13.431	-23.027
-12.25	-18.697
-10.846	-14.367
-9.6655	-10.234
-7.8671	-5.7077
-6.35	-0.98408
-5.3947	2.8538
-4.2146	6.8886
-3.0907	10.628
-2.1354	14.072
-0.67432	18.205
0.39337	21.453
1.1801	24.011
2.1916	26.865
3.4277	30.604
5.0574	35.229
6.6309	39.657
7.6424	42.216
9.5529	46.152
10.115	47.825
10.565	49.204
11.295	52.055
11.969	54.519
12.587	56.979
13.206	59.341
13.824	61.6
14.892	64.852
15.566	67.507
16.409	70.358
17.083	72.427
17.982	75.18
18.937	77.84
19.893	80.398
20.96	83.155
21.972	85.513
22.703	87.087
23.208	88.173
23.433	88.564
23.377	86.202
23.04	82.168
22.815	78.921
22.534	75.38
22.084	71.639
21.522	67.312
21.017	62.784
20.455	58.158
19.724	53.238
18.994	49.204
18.488	45.859
17.926	42.61
17.252	38.871
16.465	34.836
15.341	29.62
14.386	24.897
13.768	22.24
13.037	18.795
12.307	15.351
11.351	12.006
10.227	8.4628
9.3281	5.314
8.3167	2.3618
5.9566	-3.2474
5.3947	-4.4283
4.7203	-5.9043
3.9898	-7.6755
2.6411	-11.12
1.4048	-14.761
0.39337	-18.008
-0.67432	-22.043
-1.5172	-25.093
-2.585	-28.341
-3.3155	-30.604
-4.2146	-33.261
-5.226	-36.312
-6.35	-39.461
-7.1928	-41.921
-8.2045	-45.072
-9.3281	-48.221
-10.452	-51.17
-11.295	-53.63
-12.307	-56.681
-13.318	-59.928
-14.835	-64.456
-16.072	-68.295
-17.139	-71.048
-18.263	-73.708
-19.218	-76.168
-20.174	-78.432
-21.635	-81.776
-22.421	-83.449
-23.152	-84.726
-24.051	-86.104
-24.332	-86.402
-24.388	-86.794
-24.332	-85.713
-24.051	-83.053
-23.658	-79.512
-23.321	-76.461
-22.983	-73.508
-22.478	-70.461
-21.859	-66.226
-21.073	-61.502
-20.118	-55.6
-19.275	-51.17
-18.263	-45.169
-17.195	-38.969
-16.072	-33.557
-14.554	-27.357
-13.543	-23.519
-12.194	-18.008
-10.733	-13.187
-9.3281	-8.5615
-7.6985	-3.5426
-6.4061	0.49204
-5.226	4.0346
-3.9337	7.5772
-2.9784	10.234
-1.9106	13.383
-0.84292	16.434
0.22478	19.78
1.1239	22.535
2.0792	25.684
2.8659	28.243
3.6525	31.096
4.6078	33.95
5.6756	37.099
6.5184	39.166
7.4737	42.315
8.4292	44.48
9.4968	47.038
10.508	49.595
12.419	55.008
12.7	55.894
13.487	58.651
14.161	60.915
14.948	63.669
15.791	66.128
16.69	68.784
17.645	71.444
18.657	74.495
19.612	77.053
20.567	79.708
21.466	82.07
22.365	84.236
22.703	85.024
23.658	86.598
22.59	80.593
22.365	77.053
22.084	73.61
21.803	71.048
21.41	67.312
20.736	62.094
20.005	57.566
19.443	54.417
18.6	49.204
17.87	44.974
17.139	40.544
16.296	36.115
15.172	30.801
13.992	25.487
12.925	20.665
11.969	16.434
11.014	12.006
9.7777	7.7742
8.7102	4.133
7.7549	1.3777
6.968	-0.68886
5.7318	-3.5426
4.889	-5.6089
3.8773	-8.3645
2.922	-10.923
1.7982	-13.875
0.78671	-16.926
-0.056195	-19.976
-0.78671	-22.633
-1.6858	-25.684
-2.6411	-28.439
-3.765	-31.392
-4.7765	-34.442
-5.9566	-38.378
-7.3053	-42.905
-8.5415	-47.331
-9.3845	-50.187
-10.508	-54.025
-11.52	-57.077
-12.644	-60.519
-14.386	-64.852
-15.453	-67.703
-16.858	-71.248
-18.375	-74.691
-19.275	-76.657
-20.736	-80.104
-22.028	-82.857
-22.983	-85.024
-23.489	-85.909
-23.995	-86.3
-24.613	-84.828
-24.838	-83.449
-23.77	-78.725
-22.365	-71.933
-21.691	-66.818
-21.242	-62.979
-20.848	-59.928
-20.398	-56.583
-19.555	-50.187
-18.6	-44.974
-17.533	-38.477
-16.184	-31.785
-14.835	-26.078
-13.655	-21.649
-12.644	-17.516
-11.126	-12.891
-9.5529	-8.3645
-8.0358	-3.9363
-6.35	1.0825
-5.0013	5.2157
-3.5964	9.8408
-2.4725	13.285
-1.1239	16.827
0.22478	20.567
1.4611	24.011
2.7536	27.357
4.2708	31.785
5.7318	36.017
7.3614	40.544
11.295	50.285
12.307	52.647
13.149	55.6
14.217	59.439
15.285	62.881
16.858	67.111
17.982	70.163
18.937	72.823
20.005	75.772
20.792	77.742
22.084	80.3
23.096	82.266
23.601	82.955
22.983	78.921
22.534	74.099
21.972	69.771
21.466	64.75
21.073	60.915
20.286	55.106
19.331	49.595
18.375	44.774
17.701	40.838
16.858	36.017
15.847	31.293
14.835	26.274
13.543	21.059
12.475	16.729
11.239	11.809
10.171	8.3645
8.8224	4.625
7.5862	1.5745
6.6871	-0.59043
5.6195	-2.8538
4.6078	-5.314
3.3716	-8.6598
2.1354	-12.104
1.1801	-15.056
0.056195	-18.501
-0.84292	-21.453
-2.023	-25.389
-3.3716	-29.03
-4.6078	-32.474
-6.35	-37.296
-7.4176	-41.33
-8.2045	-44.184
-9.1034	-47.135
-10.115	-50.382
-11.014	-52.945
-12.026	-55.991
-13.318	-60.026
-14.667	-63.767
-15.959	-67.605
-17.364	-71.444
-18.657	-74.887
-20.174	-78.036
-21.466	-80.398
-22.759	-82.662
-23.826	-84.138
