"Sakai et al. 1990, Spec. B2"	
300	
0	0
-0.0725	0
-0.075	0
-0.0875	0
-0.095	-0.26487
-0.105	-0.28449
-0.195	-0.64746
-0.2725	-1.138
-0.435	-1.6775
-0.45	9.3293
-0.305	49.374
0.2175	97.835
0.6175	150.2
0.9475	197.01
1.3875	247.51
2.0075	297.9
2.47	327.35
2.5175	312.49
2.1925	250.22
1.8725	202.2
1.56	151.01
1.36	100.79
1.055	52.062
0.825	21.405
0.6925	3.4531
-0.6075	-152.63
-0.9975	-196.39
-1.4075	-245.1
-2.015	-296.2
-2.5025	-332.08
-2.495	-313.91
-2.1525	-246.7
-1.8425	-200.66
-1.51	-148.45
-1.2775	-91.782
-0.93	-55.476
-0.71	-17.226
-0.62	-4.2772
-0.4125	24.613
-0.2275	47.088
0.135	97.168
0.5075	147.5
0.9	196.67
1.34	247.15
1.85	298.54
2.4475	348.14
3.0475	377.15
3.5875	386.18
4.0575	387.44
4.5275	387.71
5.03	389.27
5.105	362.2
4.6625	303.4
4.185	256.98
3.7875	202.41
3.3275	159.24
2.695	112.73
2.18	57.673
1.715	14.98
1.585	5.6309
1.3525	-19.159
1.09	-45.96
0.6275	-94.784
0.15	-145.35
-0.3475	-195.23
-0.88	-246.42
-1.47	-297.48
-2.005	-334.19
-2.51	-365.44
-3.0175	-388.12
-3.6175	-387.7
-4.015	-394.43
-4.525	-406.82
-5.0725	-413.64
-5.46	-379.17
-5.365	-351.48
-4.9675	-307.47
-4.3975	-254.26
-4.0775	-207.23
-3.405	-157.2
-2.74	-107.94
-2.08	-55.75
-1.5575	-13.911
-1.4225	-5.7683
-1.2775	-3.9829
-1.125	18.914
-0.8225	47.029
-0.265	95.814
0.355	147.42
1.03	196.71
2.655	298.31
3.5675	341.21
4.385	366.8
5.12	383.83
5.145	369.91
4.6625	307.32
3.7175	203.02
2.485	110.09
1.775	59.998
1.2075	17.56
1.02	4.8952
0.6975	-15.912
-0.0025	-77.018
-0.6225	-125.69
-1.5275	-194.35
-2.3725	-249.64
-3.02	-286.83
-3.7025	-321.66
-4.3575	-350.8
-4.91	-368.17
-4.905	-355.89
-4.545	-298.47
-3.925	-241.93
-3.2675	-164.76
-2.495	-104.94
-1.4175	-27.095
-1.2225	-4.3556
-0.9675	14.097
-0.585	47.294
0.035	98.178
1.015	170.43
2.0575	238.65
3.1825	299.94
4.3675	350.06
5.1	368.33
6.4375	393.51
7.12	400.65
8.115	404.49
9.1125	404.69
10.123	406.63
10.257	385.83
10.038	351.03
9.56	316.42
8.9775	269.29
8.4	223.37
7.2925	169.77
6.075	121.51
4.77	61.793
3.9625	31.353
3.5525	9.8689
3.075	-11.262
2.4825	-43.213
1.5875	-92.224
0.6125	-145.83
-0.0375	-180.34
-1.27	-242.59
-2.55	-302.26
-3.79	-347.61
-5.1225	-384.56
-6.135	-396.57
-7.5725	-406.27
-8.2125	-408.41
-9.0325	-413.59
-9.9675	-413.37
-10.02	-393.22
-9.84	-361.63
-9.2625	-316.49
-8.545	-254.08
-7.8825	-226.21
-6.7375	-164.13
-5.4875	-112.38
-4.295	-57.82
-3.4325	-20.876
-3.095	-9.1233
-2.49	13.999
-1.83	46.323
-0.71	95.589
0.4825	148.68
2.0275	208.18
3.2925	252.59
4.855	297.43
6.125	327.38
7.59	353.86
8.845	368.31
10.177	380.78
10.19	355.78
9.3	281.56
7.82	180.47
5.685	107.9
4.07	25.938
3.6575	10.34
3.1325	-9.1822
2.3875	-42.193
1.12	-95.677
-0.0225	-138.12
-1.2825	-190.63
-2.59	-238.33
-3.8025	-278.22
