Ang et al. 1981 Specimen 4	
40.368	153.25
44.801	156.56
49.477	155.98
53.845	155.59
58.339	155.39
57.907	135.12
55.507	107.82
53.538	92.612
51.138	77.404
49.416	65.706
47.447	54.008
44.122	35.874
41.6	23.787
39.754	16.183
37.907	9.1638
34.892	-0.97487
30.523	-13.648
27.816	-20.082
25.415	-25.931
22.708	-31.39
19.815	-36.265
16.923	-40.944
12.985	-47.38
10.031	-52.642
8.0615	-56.347
5.2309	-62.779
2.4	-69.411
-0.18461	-75.064
-2.0923	-79.548
-8.554	-93.39
-12.246	-101
-15.631	-107.43
-22.646	-120.49
-27.137	-128.88
-30.709	-135.12
-34.031	-139.6
-38.707	-143.89
-42.893	-145.06
-47.076	-145.25
-50.584	-144.86
-53.109	-145.06
-56.739	-144.08
-56.739	-138.04
-56.553	-129.46
-55.817	-115.03
-54.277	-99.826
-52.738	-87.933
-50.77	-74.673
-48.123	-59.078
-46.215	-46.989
-44.122	-34.9
-41.539	-21.447
-39.324	-10.919
-36.8	-0.38994
-34.277	9.7487
-29.662	23.981
-24.431	35.874
-20	44.258
-16.308	50.89
-13.046	55.956
-9.3538	62.001
-5.5999	67.85
-2.5231	72.333
0.61539	77.208
2.4615	79.939
15.446	100.41
20.061	107.23
23.877	112.3
27.63	117.18
31.631	122.64
36.124	129.07
39.2	133.16
43.139	137.26
47.262	140.77
51.755	144.28
54.77	145.65
58.461	146.42
58.092	136.67
56.924	121.08
55.199	104.7
53.599	92.22
50.77	73.895
49.601	66.484
47.508	53.812
44.983	41.334
42.647	29.051
39.939	16.378
37.414	6.8241
34.216	-3.1195
31.323	-10.723
27.508	-19.497
24.738	-24.566
21.969	-30.415
19.754	-34.705
17.662	-38.994
14.646	-44.845
10.954	-50.89
6.7694	-57.713
2.1538	-65.119
-0.8	-70.581
-6.7694	-79.744
-11.2	-87.541
-14.339	-92.025
-16.738	-95.73
-20.862	-101.38
-24.985	-106.45
-28.491	-110.94
-31.631	-114.45
-34.338	-116.98
-38.524	-120.1
-41.907	-121.86
-45.908	-122.44
-49.169	-122.83
-52.184	-123.42
-54.646	-124.59
-57.107	-125.76
-56.678	-118.74
-55.138	-97.487
-53.663	-85.397
-52.309	-73.307
-49.908	-56.152
-47.816	-44.453
-45.723	-33.34
-43.2	-20.862
-40.554	-9.3586
-37.353	2.5346
-35.385	9.1638
-32.738	16.768
-29.416	24.176
-25.415	32.17
-21.723	39.384
-17.6	46.989
-14.277	52.838
-7.7539	64.145
-2.4	72.529
1.3538	78.574
10.892	90.468
15.2	95.343
21.292	103.14
24.862	107.62
28.923	113.08
32.37	117.76
38.707	126.73
43.447	131.99
47.201	135.5
51.138	137.84
55.324	139.8
57.353	140.38
57.6	136.48
57.6	129.85
56.799	122.05
55.817	109.96
53.785	94.364
52.492	84.423
50.83	74.09
49.416	66.097
47.816	55.569
43.386	31
41.046	20.277
38.707	11.503
36.553	3.7044
28.616	-18.327
25.601	-25.931
22.092	-32.755
18.954	-38.409
15.508	-44.063
10.523	-51.864
