"Pujol 2002, No. 10-2-2.25S"	
28376	
-5.61472E-05	0.077269702
0.065703715	0.099556293
0.02077616	0.077269702
-0.022116868	0.099556293
-0.026513643	0.054983111
-0.037834457	0.077269702
-0.020709571	0.077269702
0.00045208	0.077269702
0.014629339	0.054983111
0.01741149	0.077269702
-0.044880352	0.077269702
-0.036294127	0.121842862
0.04847486	0.077269702
-0.005186518	0.054983111
0.002709112	0.054983111
-0.030611908	0.077269702
-0.025333321	0.054983111
-0.011394222	0.054983111
0.044928443	0.032696542
0.009454724	0.099556293
0.013461805	0.054983111
0.017993386	0.054983111
-0.002465501	0.099556293
-0.039766256	0.054983111
0.008182853	0.077269702
-0.019499202	0.121842862
-0.216114658	-0.034163209
-0.083435711	0.054983111
0.00872093	0.010409951
-0.01475889	0.054983111
0.03492275	0.010409951
-0.000574691	0.124628694
-0.010506091	0.080055534
-0.023623897	0.035482352
0.01713209	0.102342103
-0.046817996	0.146915285
0.01434957	0.080055534
0.028856795	0.057768943
0.00124866	0.080055534
0.040612531	0.057768943
0.006453322	0.080055534
-0.060761539	0.0742053
-0.000787867	0.11877846
0.022361989	0.0742053
0.047621904	0.051918709
0.044839383	0.02963214
0.011158099	0.007345549
-0.038614109	0.02963214
0.025652367	0.096491891
-0.146471537	-0.059514203
0.046948823	0.051918709
-0.036788525	1.299967479
-0.003975729	1.277680799
-0.026886808	1.299967479
-0.037969463	1.299967479
-0.028085005	1.25539423
-0.040793002	2.659448938
-0.102589407	2.659448938
-0.040463038	2.659448938
-0.100332747	2.637162525
-0.031654942	2.637162525
0.015005402	2.592589409
0.000198689	2.548016027
-0.043605214	2.592589409
-0.068431192	2.637162525
-0.086228796	2.637162525
0.000817602	3.929784433
0.010597099	3.862924637
0.000144522	3.929784433
0.009715901	3.929784433
-0.008754773	3.929784433
0.04203765	4.642955082
-0.035208509	4.642955082
-0.005252514	4.62066838
-0.03420608	4.642955082
0.011199661	4.62066838
-0.052720389	4.709814611
-0.008629772	4.732101314
-0.055337429	4.687527931
0.025259982	4.687527931
0.000434009	4.732101314
0.085343435	6.693320489
0.087049217	6.737893871
0.053607351	6.693320489
0.073783839	6.737893871
0.016427814	6.715607169
0.128486342	7.696216757
0.057117578	7.696216757
0.080627818	7.696216757
0.039827594	7.696216757
0.073552511	7.651643908
0.116327343	7.718503459
0.101550685	7.718503459
0.121293256	7.740790139
0.081496052	7.740790139
0.064266828	7.718503459
0.096925361	9.323137176
0.042186642	9.323137176
0.108276826	9.34542439
0.064112554	9.34542439
0.110221449	9.367710558
0.076203646	11.39579033
0.10746217	11.44036267
0.069891941	11.37350312
0.139198229	11.44036267
0.12667921	11.4180765
0.193919671	11.39579033
0.169766764	11.44036267
0.19475728	11.39579033
0.196268564	11.39579033
0.192604542	11.44036267
0.190151706	11.4180765
0.157308884	11.39579033
0.223233578	11.4180765
0.178157859	11.44036267
0.186488463	11.46264988
0.184549457	13.49072858
0.179344146	13.49072858
0.216285516	13.49072858
0.190665576	13.46844244
0.253061753	13.49072858
0.146888087	13.40158289
0.181736611	13.42386906
0.148367699	13.35700951
0.211962084	13.42386906
0.183442394	13.46844244
0.176784754	15.76396037
0.175126274	15.80853375
0.145451928	15.74167422
0.211216448	15.91996666
0.166570367	15.80853375
0.221070286	15.83081992
0.194703932	15.83081992
0.255901552	15.80853375
0.228189445	15.80853375
0.246764083	15.83081992
0.172374377	15.83081992
0.224973017	15.76396037
0.222146605	15.80853375
0.250592917	15.78624654
0.21297909	15.78624654
0.192482364	17.94804539
0.230261263	17.94804539
0.197687256	17.94804539
0.253067978	17.90347307
0.216322763	17.94804539
0.271642995	17.92575922
0.239906936	17.92575922
0.287691558	17.94804539
0.291863084	17.90347307
0.284144767	17.90347307
0.212507576	17.88118691
0.252304745	17.88118691
0.237453721	17.90347307
0.260022744	17.88118691
0.268743324	17.99261984
0.287388786	20.19898994
