"Sugano 1996, No.UC20L"	
998	
0	-1
0.006885	-3
-0.0405	0
-0.04293	-1
-0.06075	1
-0.092340001	2
-0.096795001	3
-0.089910001	3
-0.00243	2
0.006885	9
0.069660001	19
0.108135002	25
0.159570007	35
0.211410016	48
0.258795029	57
0.310635049	68
0.362070078	77
0.425250127	89
0.474660176	98
0.52650024	108
0.582795326	118
0.641115434	128
0.695385554	138
0.746820686	147
0.807570867	159
0.737910661	140
0.643545439	120
0.542295263	98
0.411885115	71
0.296865043	47
0.168885008	21
0.05184	-2
0.01134	-13
-0.033615	-23
-0.081000001	-32
-0.132840004	-44
-0.177795009	-53
-0.22963502	-64
-0.283500038	-75
-0.332910061	-84
-0.391635099	-93
-0.436590137	-103
-0.4949102	-115
-0.546750269	-122
-0.600615357	-132
-0.659340472	-141
-0.708750586	-153
-0.780840784	-164
-0.823365919	-169
-0.767070743	-153
-0.697410558	-138
-0.591705341	-116
-0.44995515	-87
-0.332910061	-62
-0.22963502	-40
-0.134865004	-19
-0.03159	2
0.056295	18
0.141750005	35
0.240570023	57
0.341820066	77
0.436590137	98
0.530955246	114
0.650430453	136
0.758160717	156
0.814455889	167
0.88209113	179
0.949321408	189
1.012501709	199
1.080137074	208
1.149797502	217
1.226343036	230
1.293573563	236
1.347844031	242
1.271298382	226
1.140887444	202
1.005616674	176
0.857386037	146
0.715635603	119
0.587250333	93
0.474660176	73
0.335340062	44
0.206955015	18
0.089910001	-5
-0.00243	-22
-0.092340001	-44
-0.202500014	-66
-0.301320045	-84
-0.416340119	-106
-0.522045234	-124
-0.623295399	-143
-0.746820686	-164
-0.825795927	-179
-0.918136274	-193
-0.99468162	-206
-1.050571909	-213
-1.122662329	-224
-1.201637856	-236
-1.302888641	-244
-1.343388991	-249
-1.28466349	-235
-1.176932684	-214
-1.089047126	-201
-0.96309147	-176
-0.818910904	-149
-0.690930543	-124
-0.539865259	-96
-0.420795123	-72
-0.319545054	-53
-0.198045013	-27
-0.081000001	-4
0.044955	22
0.175365009	47
0.306180047	71
0.436590137	95
0.571455307	123
0.70632058	148
0.814455889	165
0.989821596	197
1.120637317	216
1.235253103	235
1.327593852	247
1.41061962	259
1.505390616	268
1.604211796	279
1.680757816	288
1.782009315	297
1.858555568	304
1.946442139	309
2.02258362	317
1.932671883	298
1.770669138	274
1.572621402	245
1.320708792	206
0.985366575	151
0.681615521	96
0.456840157	55
0.285930038	24
0.139320004	-2
0.139320004	-1
0.015795	-27
-0.119070003	-55
-0.258795029	-81
-0.391635099	-103
-0.562545293	-134
-0.679590517	-157
-0.846045997	-180
-0.983341565	-202
-1.118207302	-223
-1.228368051	-241
-1.329618869	-252
-1.415074664	-265
-1.511870688	-274
-1.61312191	-285
-1.714373294	-296
-1.782009315	-301
-1.86746572	-305
-1.957377344	-312
-2.03392385	-317
-1.964262475	-302
-1.86746572	-289
-1.694123004	-265
-1.491620463	-235
-1.30045862	-206
-0.989821596	-155
-0.735885656	-112
-0.465750166	-64
-0.276615035	-28
-0.150660006	-4
-0.006885	18
0.141750005	48
0.267705032	73
0.411885115	98
0.558090286	125
0.704295575	146
0.803115853	162
0.960661459	188
1.187867759	221
1.316253754	238
1.485140392	262
1.617576967	276
1.782009315	296
1.923761719	312
1.997878127	320
2.110470473	328
2.243313583	338
2.382637265	347
2.555982486	351
2.740668885	352
2.823697059	358
3.03066082	361
2.947632156	345
2.769829979	326
2.474979955	296
2.288269723	277
2.02258362	244
1.676302754	202
1.296003583	152
0.951751419	100
0.690930543	59
0.479115181	25
0.285930038	-3
0.132840004	-29
-0.024705	-54
-0.213840016	-86
-0.425250127	-118
-0.636660425	-151
-0.818910904	-180
-0.987796587	-201
-1.142912457	-222
-1.304913658	-243
-1.428844802	-257
-1.541436029	-270
-1.637827232	-281
-1.718828359	-290
-1.797804565	-298
-1.914851557	-310
-2.029468759	-319
-2.117355625	-324
-2.216177917	-329
-2.274904379	-327
-2.353476457	-330
-2.432453691	-334
-2.51993634	-340
-2.596483814	-340
-2.681941754	-343
-2.758489551	-348
-2.835037508	-349
-2.924951191	-353
-3.048886651	-353
-2.965452926	-332
-2.726898377	-306
-2.490775436	-285
-2.198357488	-252
-1.883260995	-220
-1.626892088	-187
-1.329618869	-149
-1.066366996	-112
-0.825795927	-81
-0.537840256	-36
-0.321570055	-3
-0.108135002	26
-0.02025	37
0.193590012	70
0.387180096	98
0.607500369	129
0.810000875	155
1.001161652	182
1.201637856	204
1.318683775	219
1.478255317	237
1.606641827	250
1.813599819	271
2.027443718	290
2.223063084	306
2.407342965	320
2.616734493	334
2.826127155	343
3.008384817	351
3.127460352	354
3.237625862	355
3.350221896	355
3.424746119	356
3.526002158	358
3.633738977	360
3.753222026	363
3.852049083	364
3.931029989	363
4.034313079	362
3.939940671	349
3.777928756	334
3.552733812	318
3.228715403	291
2.857718415	264
2.493205511	231
2.155426483	200
1.777554245	160
1.408594601	122
1.097957179	85
0.830250942	51
0.598590353	20
0.402570107	-3
0.23166002	-21
0.089910001	-43
-0.036045	-59
-0.234090021	-86
-0.411885115	-110
-0.609930374	-133
-0.821340912	-161
-1.008046686	-182
-1.199207839	-202
-1.334073908	-216
-1.482710366	-230
-1.62243703	-245
-1.72368843	-255
-1.806714708	-261
-1.892171151	-270
-2.013673441	-278
-2.139631124	-288
-2.223063084	-292
-2.315405433	-301
-2.427593549	-309
-2.553957421	-315
-2.632530031	-319
-2.762944718	-326
-2.830582331	-326
-2.965452926	-332
-3.048886651	-334
-3.163507113	-338
-3.217374821	-337
-3.312149809	-341
-3.433656636	-346
-3.559619242	-348
-3.642649559	-348
-3.755247167	-348
-3.827342284	-350
-3.924144465	-349
-4.036743274	-350
