"Atalay and Penzien, 1975, Spec. 3"	
1745	
0	0
0.050147	1.5698
0.20059	3.2705
0.35103	4.9711
0.7522	8.2417
1.4041	11.512
2.0059	15.437
2.7079	17.922
3.41	21.978
3.9616	23.94
4.413	25.902
4.6637	27.472
4.8141	28.126
5.2154	29.696
5.3658	30.35
5.5664	31.135
5.8171	32.312
6.0678	32.967
6.2182	33.359
6.3685	33.752
6.5192	34.275
6.7699	35.06
6.8702	35.322
6.9202	35.452
7.3215	36.107
7.4719	36.76
7.5722	37.022
7.6726	37.284
7.8229	37.415
7.9733	37.676
8.1237	37.807
8.2743	38.069
8.4247	38.33
8.575	38.461
8.7257	38.723
8.8257	38.723
8.9261	38.854
9.0767	39.115
9.2271	39.246
9.3774	39.377
9.5781	39.77
9.6784	39.9
9.8288	40.031
10.029	40.162
10.029	40.162
9.8788	39.9
9.5781	38.592
9.2271	35.845
9.0264	34.536
8.876	33.621
8.6754	32.312
8.4247	31.004
8.0736	29.696
7.522	27.472
6.4689	23.417
5.9675	21.324
5.6164	19.885
4.5634	16.483
4.1623	15.306
3.761	13.736
3.41	12.166
3.1092	10.596
2.6076	8.3725
1.9557	5.3638
1.6548	3.9246
1.354	2.4856
0.55161	-0.26164
0.30089	-1.439
-0.10029	-3.1397
-0.40117	-4.7095
-0.55161	-6.41
-0.65192	-7.8494
-1.1534	-10.466
-1.7551	-14.783
-2.3068	-17.53
-3.41	-21.716
-4.2624	-24.594
-4.8141	-27.341
-5.3155	-29.565
-5.8171	-32.051
-6.3685	-34.406
-6.8199	-36.237
-7.5722	-37.807
-8.3243	-39.508
-8.8257	-40.554
-9.2771	-41.732
-9.1267	-40.293
-8.6253	-37.546
-8.4747	-35.583
-8.0736	-32.967
-7.7727	-31.004
-7.4216	-28.65
-6.9202	-25.902
-6.4188	-23.678
-5.6665	-20.801
-4.9144	-18.184
-4.112	-15.175
-3.5103	-12.69
-3.0589	-10.727
-2.5575	-8.3725
-2.0059	-5.3638
-1.7551	-3.1397
-1.2035	0
-0.80236	1.8315
-0.35103	3.9246
0.10029	6.41
0.50147	8.5032
1.0531	10.727
1.7551	13.344
2.5575	16.222
3.2093	18.577
4.112	21.324
5.1651	24.464
5.9174	26.556
6.7196	28.65
7.4216	30.874
8.174	32.836
8.9764	35.06
9.5278	36.63
9.9291	37.415
9.3274	36.107
8.6754	34.144
8.1237	31.659
7.522	28.911
6.5192	25.248
5.6164	21.716
5.1151	19.492
4.5133	16.876
3.5103	13.082
2.8583	10.204
2.0059	6.41
0.8525	1.0466
0.25073	-1.5698
-0.45133	-4.8403
-1.0029	-7.3259
-2.1062	-11.774
-2.5575	-15.306
-3.3599	-18.707
-4.062	-21.062
-4.6134	-23.286
-5.6164	-27.08
-6.2182	-30.22
-6.8199	-32.312
-7.4216	-34.667
-7.9733	-36.63
-8.4247	-38.069
-8.876	-39.508
-8.3746	-34.144
-7.8229	-31.266
-7.1709	-27.865
-6.4689	-24.594
-5.6665	-21.062
-4.6637	-17.268
-3.8613	-13.736
-3.1092	-10.989
-2.4071	-8.1109
-1.8053	-5.2326
-1.2035	-2.6164
-0.45133	0.52326
0.050147	3.4013
0.60175	6.41
1.2537	9.0268
1.8554	11.382
2.5575	14.39
3.4602	17.661
4.413	20.801
5.6164	25.248
6.0678	27.08
6.7699	29.042
7.2713	30.612
8.224	33.359
8.6754	34.406
9.5781	36.499
8.224	31.266
7.1209	26.426
5.8171	21.062
4.6134	16.876
3.5603	12.69
2.7582	9.4191
1.705	5.2326
1.0531	2.224
-0.50147	-3.5322
-1.1534	-6.0177
-2.1563	-10.989
-2.7582	-14.914
-3.41	-18.707
-4.3127	-22.109
-5.1651	-25.51
-5.9174	-27.865
-6.6195	-30.22
-7.1209	-31.397
-7.5722	-32.705
-8.2743	-34.667
-8.8257	-36.368
-9.3774	-38.33
-8.525	-34.667
-8.0736	-32.574
-7.3716	-29.827
-6.8702	-27.734
-6.2182	-25.117
-5.6665	-22.24
-5.0147	-19.1
-3.8113	-14.521
-3.1593	-11.512
-2.5575	-8.7648
-2.1563	-6.5412
-1.4543	-3.0088
-0.95278	-0.52326
-0.40117	1.9623
0	4.5788
0.70206	8.2417
1.5044	11.643
2.1563	14.259
2.8583	16.483
3.6606	18.969
4.413	21.324
4.9644	23.286
5.6164	25.51
6.2182	27.734
6.7196	29.304
7.4216	31.004
8.0736	33.098
9.0264	35.191
9.9792	37.676
8.9261	33.883
8.224	31.004
7.1209	26.033
6.1681	22.24
5.3658	19.1
4.0117	14.39
2.9086	10.466
0.65192	1.7006
0.050147	-0.78494
-0.45133	-3.5322
-1.1534	-6.5412
-1.8554	-9.6806
-2.4071	-12.297
-3.1593	-16.353
-4.1623	-20.669
-5.1651	-24.464
-5.8671	-27.211
-6.6195	-29.565
-7.3215	-31.789
-8.0736	-33.752
-8.9261	-35.975
-9.3274	-37.022
-7.5722	-31.266
-6.8702	-28.257
-6.2685	-25.248
-5.6164	-21.847
-4.9144	-18.838
-4.1623	-15.306
-3.3599	-11.512
-2.4572	-7.8494
-1.6047	-4.3171
-0.90264	-1.3082
-0.25073	1.3082
0.20059	4.0554
0.80236	7.5874
1.4041	10.466
2.1062	13.082
3.9113	19.1
4.5634	21.454
5.3155	23.94
5.9174	25.902
6.4689	28.126
7.0206	29.565
7.7226	31.659
8.2743	33.359
8.8257	35.452
9.2771	37.022
9.6784	38.199
10.28	40.685
11.133	42.909
12.186	45.917
12.938	48.141
13.69	49.844
14.543	51.935
15.295	53.505
15.796	54.421
16.348	55.204
16.95	55.862
17.551	56.254
18.554	56.254
19.407	56.254
20.009	56.254
20.36	56.254
20.861	56.383
20.61	55.729
20.209	53.896
19.608	51.935
19.106	49.973
18.303	47.358
17.15	43.956
16.498	40.947
16.047	39.115
15.295	36.63
14.392	34.013
13.439	31.266
13.339	31.004
12.587	28.911
11.434	25.902
10.531	23.678
9.9291	22.24
8.0236	16.614
3.8613	4.7095
2.9086	1.1774
1.6548	-2.224
0.95278	-4.3171
0	-7.5874
-0.80236	-10.335
-1.5546	-12.951
-2.6076	-16.483
-3.6106	-19.623
-4.6134	-23.155
-5.5664	-26.556
-6.4188	-30.22
-6.9705	-32.705
-8.0236	-36.107
-9.0767	-39.639
-9.7285	-42.255
-10.18	-44.086
-11.283	-46.966
-12.035	-49.19
-12.838	-51.672
-13.239	-53.505
-13.941	-55.467
-14.392	-56.645
-15.044	-57.562
-15.546	-57.953
-16.147	-58.086
-16.599	-58.215
-17.702	-58.086
-18.404	-57.824
-19.658	-55.862
-20.009	-55.338
-20.46	-54.946
-20.46	-54.813
-19.608	-51.543
-19.156	-49.448
-18.404	-47.224
-17.952	-45.788
-17.451	-44.217
-17	-42.124
-16.097	-37.938
-14.593	-32.967
-13.389	-29.042
-12.487	-25.772
-11.283	-22.24
-10.782	-20.669
-9.9792	-18.184
-9.0264	-14.521
-8.0736	-11.251
-7.4216	-8.896
-6.5192	-6.2792
-5.3155	-2.6164
-4.2624	0.65412
-3.2596	3.663
-2.6579	5.2326
-2.0059	6.9335
-0.20059	11.12
0.90264	13.344
2.2566	16.222
3.5603	18.838
5.0648	21.585
6.7699	25.248
7.7226	27.603
9.1768	30.874
10.079	32.836
10.932	34.929
12.386	38.33
13.339	41.732
14.292	44.217
15.345	46.571
16.197	48.537
17.351	50.236
18.053	51.152
19.006	52.197
19.708	52.851
18.354	48.141
16.95	43.171
15.796	38.592
14.793	35.322
12.386	28.65
11.183	25.902
9.7787	21.978
8.174	17.399
6.8199	13.867
5.1151	9.1575
3.761	5.4946
2.8082	3.2705
1.6047	0.39246
0.40117	-2.6164
-2.1563	-9.4191
-3.0089	-12.428
-3.8113	-15.306
-4.9644	-18.838
-5.9174	-21.847
-6.5692	-23.809
-7.3716	-25.902
-8.2743	-28.126
-9.6281	-32.312
-10.13	-34.013
-11.885	-38.199
-13.189	-41.862
-13.991	-44.086
-14.693	-45.654
