Takemura and Kawashima #5																			
1417																			
-0.050	0.12																		
0.100	6.23																		
0.449	22.74																		
0.849	39.63																		
1.348	52.31																		
1.847	61.77																		
2.346	69.55																		
2.796	76.62																		
3.295	84.03																		
3.844	91.22																		
4.343	98.16																		
4.742	103.67																		
5.292	111.21																		
5.092	86.55																		
4.543	74.70																		
4.044	64.28																		
3.644	53.39																		
2.945	42.74																		
2.596	34.00																		
2.246	24.18																		
1.548	13.29																		
1.148	4.43																		
0.799	-3.24																		
0.499	-11.61																		
0.100	-24.78																		
0.250	-2.99																		
0.599	5.51																		
0.998	17.12																		
1.498	28.73																		
2.396	46.44																		
3.295	66.19																		
4.044	75.89																		
4.543	86.55																		
4.892	95.17																		
5.292	103.07																		
5.990	116.36																		
6.290	120.31																		
6.689	126.77																		
7.388	133.00																		
7.738	134.91																		
8.287	135.39																		
8.786	138.51																		
9.335	140.54																		
9.884	142.70																		
10.234	143.78																		
10.883	145.09																		
10.982	137.07																		
11.332	145.92																		
11.132	120.67																		
10.633	110.01																		
10.084	100.79																		
9.684	91.82																		
8.986	82.48																		
8.486	72.54																		
7.937	65.24																		
7.588	56.86																		
7.039	48.84																		
6.689	41.78																		
6.190	34.48																		
5.791	25.86																		
5.092	17.72																		
4.742	11.01																		
4.393	3.71																		
3.994	-2.16																		
3.644	-9.10																		
2.995	-16.04																		
2.596	-23.82																		
2.196	-29.93																		
1.697	-36.03																		
1.148	-41.89																		
0.799	-46.44																		
0.100	-52.79																		
0.449	-27.29																		
0.998	-17.59																		
1.498	-8.98																		
1.847	-1.68																		
2.246	5.03																		
2.596	12.93																		
3.295	22.74																		
3.644	28.97																		
4.044	36.16																		
4.742	44.53																		
5.142	53.99																		
5.441	59.38																		
5.990	66.32																		
6.689	76.37																		
7.039	82.12																		
7.388	88.70																		
7.937	95.77																		
8.436	102.95																		
8.986	110.61																		
9.385	116.72																		
10.084	124.38																		
10.583	130.60																		
10.932	136.23																		
11.332	140.42																		
12.031	145.21																		
12.530	147.60																		
13.079	148.92																		
13.478	149.39																		
13.978	150.24																		
14.676	151.32																		
15.026	151.07																		
15.575	151.67																		
16.074	152.87																		
16.623	152.75																		
16.973	152.99																		
17.472	153.71																		
17.172	128.57																		
16.823	120.07																		
16.324	110.74																		
15.725	100.68																		
15.226	92.30																		
14.676	85.59																		
14.327	77.57																		
13.778	70.39																		
13.279	59.61																		
12.929	54.23																		
12.180	47.04																		
11.831	40.23																		
11.282	33.28																		
10.783	26.21																		
10.433	19.15																		
9.734	11.86																		
9.335	6.23																		
8.986	0.36																		
8.636	-4.31																		
8.037	-11.38																		
7.588	-17.12																		
7.238	-21.79																		
6.739	-26.94																		
6.490	-26.94																		
6.140	-31.72																		
5.791	-35.79																		
5.292	-39.75																		
4.742	-44.89																		
4.243	-48.37																		
3.844	-51.71																		
3.345	-55.06																		
2.995	-55.06																		
2.796	-58.18																		
2.246	-61.17																		
1.897	-64.28																		
1.198	-67.75																		
0.849	-69.55																		
0.449	-72.07																		
0.649	-51.24																		
1.148	-42.62																		
1.697	-35.31																		
2.047	-27.29																		
2.746	-19.75																		
3.145	-12.81																		
3.494	-7.90																		
3.994	-0.96																		
4.393	4.67																		
4.742	9.58																		
5.242	16.40																		
6.140	29.93																		
6.639	36.87																		
7.188	45.85																		
7.738	51.96																		
8.087	56.74																		
8.636	65.00																		
9.185	70.63																		
9.734	76.26																		
10.234	83.92																		
10.783	90.51																		
11.132	95.77																		
11.681	100.68																		
12.330	106.67																		
12.879	115.04																		
13.279	118.28																		
13.628	121.87																		
14.127	126.05																		
14.676	130.72																		
15.226	135.64																		
15.575	138.26																		
16.074	142.45																		
16.673	145.21																		
17.172	149.04																		
17.722	152.03																		
18.071	153.11																		
18.620	154.43																		
19.119	154.43																		
19.519	155.27																		
20.018	155.74																		
20.567	156.10																		
21.066	156.22																		
21.565	157.18																		
22.115	157.18																		
22.614	157.78																		
23.163	158.14																		
23.612	158.26																		
23.213	130.84																		
22.813	123.42																		
22.664	123.42																		
22.164	111.09																		
21.765	107.27																		
21.416	100.56																		
21.066	92.90																		
20.367	84.16																		
20.018	76.14																		
19.469	68.72																		
18.920	61.53																		
18.570	54.95																		
17.871	48.84																		
17.522	41.30																		
17.172	35.08																		
16.424	29.45																		
16.074	23.10																		
15.725	16.76																		
15.026	10.53																		
14.676	3.95																		
14.327	-0.96																		
13.978	-4.43																		
13.229	-10.53																		
12.929	-14.85																		
12.530	-19.40																		
11.831	-23.94																		
11.482	-28.61																		
10.783	-32.21																		
10.433	-35.55																		
9.884	-37.82																		
9.385	-42.37																		
8.786	-44.89																		
8.287	-47.64																		
7.937	-49.92																		
7.238	-53.51																		
6.839	-55.18																		
6.490	-57.46																		
5.791	-61.41																		
5.292	-64.16																		
4.942	-65.24																		
4.343	-67.40																		
4.044	-69.91																		
3.644	-72.19																		
2.796	-75.30																		
2.396	-77.09																		
1.897	-78.88																		
1.548	-80.81																		
0.849	-83.20																		
0.499	-84.88																		
1.248	-57.82																		
2.097	-44.05																		
3.145	-30.17																		
4.193	-18.44																		
5.092	-8.50																		
5.791	-0.48																		
6.889	10.30																		
7.788	21.55																		
8.636	34.00																		
9.734	46.44																		
10.833	59.38																		
11.881	70.75																		
12.879	81.89																		
13.978	92.65																		
14.876	102.83																		
15.725	109.53																		
16.823	118.63																		
17.722	124.98																		
18.770	132.16																		
19.818	138.51																		
20.717	143.89																		
21.615	148.20																		
22.664	152.40																		
23.712	155.87																		
24.810	157.90																		
25.859	158.26																		
26.757	158.98																		
27.805	159.21																		
28.854	159.34																		
