"Atalay and Penzien, 1975, Spec. 11"	
1248	
0	0
0	1.006
0.28311	2.6408
0.66055	5.2816
0.94366	7.2934
1.3683	10.312
1.7929	13.204
2.2176	16.725
2.6894	20.246
3.3028	24.521
3.6802	27.791
4.2464	32.192
5.19	38.228
6.2753	43.887
6.8887	47.536
7.7379	51.557
8.493	54.702
9.1534	57.468
9.3421	58.224
9.7668	59.608
10.05	61.116
9.4836	55.08
9.1062	50.552
8.7287	45.143
8.1153	40.115
7.6436	35.588
7.1717	32.444
6.5583	27.665
5.143	18.485
4.2464	11.569
3.1613	3.8983
1.8401	-3.8983
0.28311	-13.581
-0.14155	-16.725
-1.4627	-24.647
-2.2176	-30.18
-3.4442	-37.725
-4.1521	-43.51
-4.8598	-47.909
-5.8979	-53.945
-6.0394	-54.577
-7.6436	-59.105
-8.7287	-63.001
-8.8232	-63.504
-9.3894	-65.644
-10.427	-68.032
-11.277	-68.784
-11.607	-66.524
-11.607	-61.996
-11.607	-58.598
-11.607	-55.204
-11.324	-51.308
-9.4836	-45.272
-8.1153	-38.857
-7.2189	-34.33
-6.6528	-29.678
-6.1338	-25.528
-5.5677	-22.006
-4.2936	-15.467
-3.5387	-11.695
-2.8311	-7.671
-1.9817	-3.3953
-1.2267	0.50302
-0.28311	5.7846
0.47183	10.563
1.5099	17.102
1.8873	20.246
2.6421	26.031
3.5387	30.935
4.7183	36.594
5.6147	40.995
6.4168	44.64
7.5021	49.795
8.1625	53.194
9.3421	57.846
10.05	58.976
9.3421	52.94
8.6345	46.023
8.0211	38.48
7.3134	32.067
6.7	27.037
5.9921	22.635
4.8125	15.719
3.7275	9.8087
2.312	1.6348
1.038	-6.2877
-0.37747	-14.21
-1.7458	-22.51
-0.94366	-22.384
-1.6514	-27.414
-2.6894	-33.324
-3.4442	-37.097
-4.2936	-40.618
-5.8979	-47.282
-6.8415	-50.552
-7.9266	-54.452
-9.0592	-57.722
-10.616	-62.499
-10.003	-53.572
-9.6253	-48.79
-8.776	-41.372
-8.3513	-36.845
-6.8887	-29.426
-5.8506	-24.396
-5.3317	-21
-4.5296	-16.976
-3.7747	-12.45
-2.7838	-7.2934
-1.7929	-2.2635
-0.99083	1.7605
-0.047183	6.6649
0.61338	10.814
1.1324	13.833
1.6986	16.976
2.5479	21.755
3.35	27.162
4.1049	32.318
5.0957	37.599
5.7092	41.246
7.0302	45.899
7.8323	48.541
8.54	52.059
9.6253	55.707
10.427	58.473
11.041	60.737
10.333	55.329
9.1534	46.526
7.8796	37.977
6.7	27.917
5.7092	21.252
4.6238	14.713
3.3973	7.9223
2.4063	2.012
1.4627	-3.6468
0.28311	-10.814
-0.70775	-16.222
-1.6514	-21.378
-2.5951	-26.031
-3.6802	-31.815
-5.19	-38.857
-6.4168	-44.013
-7.6436	-48.919
-9.5308	-55.96
-10.758	-60.862
-10.097	-54.826
-9.5781	-47.407
-8.493	-40.995
-7.6436	-35.713
-6.747	-29.929
-5.8979	-25.905
-5.2845	-22.384
-4.7183	-18.36
-3.9634	-13.958
-3.3028	-9.3057
-2.1232	-1.7605
-0.61338	6.4131
