"Atalay and Penzien, 1975, Spec. 9"	
1376	
0	0
0.53119	2.4325
0.62776	4.0968
0.86919	6.5292
1.0141	8.578
1.5452	12.675
2.173	16.772
2.511	19.204
2.9456	21.765
3.4768	24.837
3.8148	26.885
4.1529	30.47
4.684	33.671
5.4084	37.512
5.698	39.56
6.0843	42.121
6.6639	44.68
7.6779	46.984
8.3058	48.777
8.8852	50.316
9.7061	52.873
9.8026	52.62
10.527	55.177
10.913	56.329
10.431	54.666
10.092	52.491
9.368	48.777
8.5954	44.809
7.9195	40.456
6.7122	33.671
5.7948	27.91
4.7323	21.893
4.2494	18.564
3.7666	15.235
3.2837	11.778
2.5593	7.6817
1.9799	4.7371
1.4004	1.0242
0.77262	-2.5605
-4.7805	-33.287
-5.9395	-40.968
-6.8087	-45.703
-7.8712	-49.929
-8.5471	-52.749
-8.6919	-50.187
-8.4988	-44.297
-7.7744	-37.768
-6.7122	-30.342
-5.0703	-23.045
-3.525	-16.003
-2.0764	-8.1937
-1.1589	-2.6885
-0.19315	3.2006
0.8209	8.9618
2.0281	15.875
2.8974	20.484
4.684	30.47
6.0843	38.152
7.1468	44.425
7.7744	48.523
8.5471	54.154
9.175	56.329
9.8026	54.795
9.8509	52.108
9.8509	48.777
9.5613	45.067
8.8852	39.944
8.1125	34.951
7.2433	30.726
6.0361	24.709
4.5392	16.899
3.1387	10.37
2.0281	4.4809
1.0624	-0.76817
-0.28974	-7.1693
-1.4004	-12.291
-2.8491	-20.1
-3.9113	-26.245
-4.9738	-31.75
-6.1326	-38.792
-7.1951	-44.551
-7.8712	-49.164
-8.5471	-52.62
-8.7887	-53.901
-8.4023	-46.731
-7.8712	-41.865
-7.4366	-37.384
-6.7605	-32.647
-5.6497	-26.757
-4.7323	-22.405
-3.525	-15.747
-2.1247	-7.2974
-0.77262	-0.25605
0.048288	4.7371
1.2072	10.882
2.2696	16.772
3.1387	21.508
4.0079	26.245
4.5392	29.062
5.2634	33.415
6.5189	40.456
7.6297	44.938
8.5471	48.648
9.2232	51.21
9.0782	48.777
8.4988	43.657
7.7744	39.304
6.8087	33.799
5.4084	24.581
4.5875	19.076
3.9113	13.571
3.332	9.218
2.5593	4.609
1.6901	-0.89618
0.8209	-5.761
-0.096578	-11.01
-1.1589	-15.491
-2.2696	-20.612
-3.332	-25.093
-5.0221	-31.75
-6.3741	-38.28
-7.5331	-43.785
-8.7404	-49.164
-8.7404	-45.832
-8.5471	-43.017
-8.3541	-39.816
-7.9195	-36.487
-7.1468	-32.263
-6.0843	-27.782
-5.2151	-23.941
-4.5875	-20.74
-3.8631	-16.644
-2.8491	-11.266
-1.9315	-6.9135
-0.72433	-0.76817
0.28974	4.9929
1.4487	11.778
2.7523	18.82
3.9113	25.861
5.1186	33.543
6.0843	38.408
7.1468	43.145
8.1125	46.473
8.8852	49.675
9.7544	52.873
8.7404	45.832
7.7262	39.048
6.9535	33.543
6.0361	27.397
5.0703	20.612
4.1529	15.619
3.525	11.65
2.511	5.8892
1.4969	-0.5121
0.9175	-3.7127
-0.048288	-8.9618
-0.8209	-12.931
-1.4487	-18.692
-2.511	-24.581
-3.4285	-30.598
-4.3942	-37.127
-5.5532	-42.761
-6.5672	-46.731
-7.7262	-50.44
-8.7404	-52.491
-9.2715	-49.804
-8.9817	-42.761
-7.8712	-35.719
-6.857	-30.598
-5.6015	-24.069
-4.0079	-16.772
-2.8009	-10.626
-1.5935	-3.8408
-0.53119	1.9204
0.62776	7.8098
1.2555	11.01
2.0764	15.619
2.9939	20.356
4.1046	26.117
5.5532	34.055
6.6639	40.968
8.016	47.113
9.7544	53.901
12.314	61.196
14.438	66.702
15.404	69.135
16.563	71.568
17.336	73.232
18.543	75.407
19.364	76.817
20.33	78.863
20.281	76.559
19.799	72.72
18.881	65.933
18.108	60.813
17.336	56.587
16.515	52.491
15.597	48.906
14.245	44.425
12.797	39.688
11.493	34.183
10.141	29.702
8.8369	25.733
8.0642	23.173
6.6639	18.18
5.1186	11.778
4.2494	8.1937
2.5593	2.3045
1.2555	-4.0968
0.19315	-8.578
-0.77262	-14.083
-1.4969	-18.564
-2.2213	-22.661
-3.1387	-27.014
-4.6358	-33.159
-6.1326	-40.072
-7.7262	-46.344
-8.6919	-50.316
-9.9474	-54.283
-11.348	-57.739
-12.748	-61.707
-13.617	-64.269
-14.825	-67.343
-15.742	-69.264
-16.756	-70.541
-17.867	-72.08
-18.833	-73.361
-19.605	-74.126
-20.04	-74.513
-19.364	-70.029
-18.688	-65.292
-17.722	-60.813
-16.998	-56.329
-16.225	-53.002
-15.115	-49.288
-14.245	-46.984
-12.941	-43.273
-11.831	-39.176
-10.575	-35.335
-9.175	-30.726
-7.5814	-25.093
-5.9878	-18.052
-5.0703	-14.211
-4.0079	-9.8581
-2.173	-2.0484
-1.3521	1.9204
-0.48288	6.1454
0.048288	8.8337
0.67605	12.418
1.6901	17.155
2.8009	20.74
4.684	25.989
5.843	30.086
7.0985	34.823
8.6919	40.712
10.044	45.45
10.913	48.136
12.99	54.795
14.39	58.763
15.452	61.965
16.467	64.652
17.191	66.956
18.205	69.518
19.026	71.31
19.75	72.72
19.074	68.495
18.543	64.781
17.674	57.61
16.66	52.362
15.646	48.012
14.004	43.273
11.686	34.823
9.8509	28.934
7.8227	22.02
6.3259	17.284
5.0703	12.675
3.8148	6.4011
3.0422	2.5605
2.0764	-2.1765
0.67605	-7.9375
-3.5733	-25.477
-5.4084	-32.135
-8.209	-41.865
-9.7061	-46.473
-11.589	-51.85
-13.424	-56.845
-15.356	-62.219
-16.515	-65.163
-18.688	-70.67
-19.557	-72.462
-20.716	-74.255
-19.895	-67.214
-19.074	-62.219
-17.819	-56.716
-16.805	-52.491
-14.631	-45.45
-12.652	-38.92
-9.7544	-29.83
-8.3541	-25.349
-7.0018	-20.484
-5.698	-15.875
-3.525	-6.9135
-2.0764	-1.4083
-0.72433	4.3529
0.57948	10.242
1.3521	12.803
3.332	20.228
6.0361	28.422
7.6297	34.055
9.2715	40.712
10.334	44.551
11.3	47.625
12.362	51.081
13.183	53.26
14.294	56.458
15.404	58.763
16.322	61.067
17.094	63.375
17.915	65.933
18.495	68.748
18.64	69.135
18.784	69.9
18.543	67.596
18.157	64.527
17.77	61.965
17.046	58.38
16.322	54.795
15.501	51.081
13.956	45.579
13.666	44.425
12.748	40.328
11.927	37.384
11.155	34.183
9.1265	27.269
7.7744	22.788
6.4707	17.924
5.0703	11.523
3.8148	6.7854
1.5452	-1.7924
0.43459	-6.7854
-0.28974	-10.114
-1.6901	-15.747
-2.8974	-20.74
-3.8631	-25.349
-4.8288	-28.934
-5.843	-32.647
-6.9535	-36.487
-8.3541	-40.968
-9.4163	-44.68
-12.265	-51.339
-13.859	-55.435
-15.018	-58.122
-16.418	-61.583
-17.432	-64.398
-18.398	-67.472
-19.267	-69.9
-20.523	-72.462
-21.006	-73.485
-21.73	-75.024
-22.454	-76.559
-21.151	-69.264
-20.426	-65.421
-19.074	-60.044
-17.819	-55.177
-16.805	-51.721
-15.887	-48.648
-15.115	-46.09
-14.294	-43.529
-13.038	-39.944
-11.686	-35.591
-9.9959	-30.342
-8.7404	-26.757
-7.9195	-24.197
-7.1468	-21.636
-6.3259	-18.564
-5.3119	-14.467
-4.2494	-10.498
-3.4285	-7.1693
-2.2213	-1.7924
-1.2555	2.4325
0.14487	8.3218
1.0624	12.163
3.6218	22.405
4.9256	26.501
6.2294	31.11
7.5814	35.591
8.6436	39.048
9.2715	40.968
10.334	43.401
10.962	45.067
11.927	47.371
13.038	50.058
14.004	52.362
15.115	56.205
15.742	58.509
16.467	61.583
16.853	62.988
17.529	65.421
18.157	68.108
17.915	63.629
17.529	60.044
16.853	54.666
15.984	50.316
15.115	46.984
14.487	44.68
13.617	41.608
12.507	37.64
11.396	33.671
10.189	29.062
9.0782	25.861
7.3881	20.612
6.4224	17.155
5.4084	13.443
4.2494	9.6019
3.4285	6.4011
2.511	3.4567
1.5452	0
0.43459	-3.9688
-0.24144	-6.6573
-1.3521	-11.266
-2.1247	-15.235
-2.7523	-17.924
-3.332	-20.74
-4.2977	-24.965
-6.4224	-34.439
-7.6779	-38.536
