"Zhou et al. 1987, Specimen 12408"	
767	
0	0
0.045589	12.772
0.098777	16.979
0.15197	22.238
0.16716	25.544
0.20516	30.502
0.20516	33.056
0.23555	36.212
0.28114	39.066
0.31913	41.621
0.37231	43.424
0.41791	43.875
0.47869	44.025
0.50148	41.47
0.50908	38.165
0.50148	34.709
0.49389	32.004
0.4483	27.497
0.37231	23.74
0.34192	19.834
0.31153	16.678
0.25074	13.072
0.20516	8.8649
0.20516	6.9117
0.21275	5.1085
0.27353	1.202
0.24314	-1.202
0.20516	-3.3056
0.15956	-5.7099
0.12157	-8.5646
0.030392	-13.373
-0.045589	-18.181
-0.13677	-23.59
-0.20516	-33.056
-0.29633	-38.165
-0.36472	-42.973
-0.4255	-46.13
-0.50908	-50.187
-0.55467	-51.837
-0.57747	-52.291
-0.60027	-51.686
-0.61545	-49.586
-0.61545	-47.029
-0.61545	-45.076
-0.59266	-42.222
-0.52428	-36.362
-0.50908	-31.704
-0.47109	-26.896
-0.39511	-22.087
-0.34192	-17.429
-0.23555	-10.818
-0.16716	-6.1605
-0.091178	-2.5544
-0.022795	1.202
0.0075983	5.7099
0.10638	19.233
0.14436	23.891
0.18995	30.051
0.20516	34.258
0.27353	38.616
0.34952	43.875
0.37231	46.428
0.38752	48.683
0.45589	51.085
0.50148	53.34
0.50908	53.492
0.54708	52.139
0.53947	46.579
0.49389	38.014
0.45589	33.807
0.4407	28.849
0.41791	24.942
0.35711	21.036
0.31913	18.03
0.26594	13.974
0.20516	9.3159
0.20516	5.4092
0.23555	0.15025
0.20516	-2.5544
0.21275	-4.9586
0.15956	-9.0152
0.068384	-12.622
0	-15.927
-0.10638	-21.186
-0.18236	-27.046
-0.23555	-31.854
-0.27353	-36.061
-0.34952	-40.419
-0.41791	-44.476
-0.49389	-48.234
-0.57747	-51.988
-0.66105	-55.894
-0.69903	-56.494
-0.72942	-56.347
-0.73703	-54.243
-0.73703	-50.938
-0.72942	-47.78
-0.72183	-44.778
-0.67624	-40.87
-0.60027	-32.155
-0.54708	-29.6
-0.49389	-25.093
-0.39511	-20.435
-0.33433	-15.627
-0.26594	-12.02
-0.20516	-7.5127
-0.14436	-5.2589
-0.091178	-2.2538
0	1.5025
0.053188	4.9586
0.075983	10.218
0.12157	18.181
0.12917	22.388
0.17476	25.393
0.20516	29.3
0.23555	33.657
0.28873	38.916
0.35711	44.025
0.4027	47.482
0.47109	50.187
0.54708	55.142
0.60027	58.749
0.63066	61.756
0.66864	63.557
0.70664	65.212
0.74463	65.359
0.74463	64.758
0.75983	62.054
0.72942	56.948
0.71424	51.988
0.63825	43.724
0.58506	37.113
0.53188	33.056
0.53188	29.45
0.47109	24.341
0.4483	20.134
0.4103	16.528
0.32672	9.0152
0.27353	4.6579
0.21275	-0.30051
0.16716	-4.5076
0.11397	-9.1655
0.045589	-13.072
0	-17.129
-0.08358	-21.787
-0.16716	-26.445
-0.20516	-30.502
-0.25834	-34.408
-0.33433	-39.818
-0.4103	-44.778
-0.52428	-50.787
-0.59266	-54.243
-0.69903	-59.35
-0.79781	-63.108
-0.8662	-65.212
-0.88139	-61.907
-0.8738	-58.149
-0.84341	-55.142
-0.82821	-51.988
-0.77502	-48.381
-0.72942	-45.227
-0.69144	-41.771
-0.64585	-37.714
-0.63825	-35.16
-0.55467	-29.75
-0.46349	-23.74
-0.38752	-18.481
-0.27353	-10.969
-0.18995	-6.1605
-0.030392	0.90152
0.015197	6.3108
0.08358	12.772
0.15956	22.388
0.17476	26.144
0.23555	31.554
0.28873	36.963
0.34952	42.522
0.4331	47.932
0.49389	52.589
0.61545	59.803
0.68384	64.46
0.72942	65.964
0.81302	69.117
0.8358	71.221
0.93458	74.077
0.94978	70.318
0.93458	65.359
0.91939	62.508
0.88139	58.9
0.8586	52.291
0.82061	46.277
0.72183	38.315
0.71424	32.004
0.64585	27.196
0.57747	22.839
0.54708	18.782
0.50148	15.326
0.46349	10.067
0.4407	6.3108
0.4027	2.2538
0.28114	-2.7046
0.22034	-5.5596
0.15956	-9.0152
0.075983	-12.622
0.015197	-15.927
-0.075983	-20.886
-0.18236	-26.144
-0.25074	-30.201
-0.25834	-34.709
-0.34952	-40.419
-0.4483	-47.629
-0.53947	-52.891
-0.63066	-57.099
-0.71424	-62.655
-0.81302	-68.517
-0.91178	-73.174
-0.98777	-76.479
-1.041	-77.533
-1.0865	-77.231
-1.0941	-76.781
-1.1093	-74.526
-1.1017	-71.973
-1.0941	-69.269
-1.0638	-63.557
-1.0258	-59.501
-0.97258	-54.995
-0.91939	-50.187
-0.8738	-46.731
-0.81302	-41.32
-0.69144	-35.16
-0.60786	-30.051
-0.51667	-24.191
-0.41791	-17.73
-0.32672	-12.471
-0.22795	-6.7614
-0.12917	-2.4041
0	4.3574
0.091178	13.823
0.11397	19.683
0.19755	25.994
0.21275	30.953
0.24314	35.009
0.32672	41.921
0.45589	50.636
0.56986	58.9
0.72942	66.111
0.88139	72.725
1.041	79.032
1.1397	82.488
1.2385	85.944
1.2689	85.495
1.2841	82.942
1.2613	80.237
1.2233	76.328
1.1701	71.671
1.0865	66.262
1.0182	61.756
0.96497	58.598
0.93458	54.844
0.8738	48.683
0.74463	40.87
0.66864	35.16
0.62305	27.497
0.56227	21.336
0.50908	14.875
0.4331	7.2124
0.35711	1.202
0.25834	-4.5076
0.17476	-9.4662
0.068384	-15.476
-0.0075983	-20.285
-0.15197	-28.248
-0.23555	-33.958
-0.35711	-42.672
-0.4255	-47.932
-0.60027	-56.948
-0.69144	-63.259
-0.81302	-69.567
-0.94217	-74.677
-1.0334	-78.734
-1.1017	-82.639
-1.1929	-86.247
-1.2689	-88.649
-1.3297	-89.854
-1.36	-90.455
-1.3905	-90.303
-1.398	-89.703
-1.4056	-88.048
-1.398	-85.944
-1.398	-83.391
-1.3905	-77.831
-1.3524	-71.822
-1.2689	-64.309
-1.1625	-56.645
-1.1245	-55.894
-1.0865	-52.589
-0.99536	-48.532
-0.91939	-44.025
-0.851	-40.569
-0.79022	-37.413
-0.72183	-34.108
-0.63825	-31.103
-0.53188	-26.896
-0.4407	-22.989
-0.38752	-18.03
-0.29633	-13.523
-0.21275	-9.1655
-0.11397	-4.2071
0.022795	3.9066
0.098777	11.87
0.18236	24.642
0.22034	32.305
0.25074	35.761
0.41791	47.482
0.50908	54.844
0.59266	59.198
0.72942	65.51
0.89659	72.574
1.0865	80.389
1.2765	86.095
1.3449	87.75
1.5044	88.8
1.5653	88.048
1.5956	86.696
1.5804	84.895
1.5424	81.59
1.4741	76.781
1.36	68.068
1.2765	63.108
1.1625	56.797
1.1321	51.686
1.0334	43.424
0.75222	20.585
0.66105	11.87
0.61545	5.4092
0.56986	-0.15025
0.52428	-4.0569
0.4255	-8.1136
0.27353	-13.523
0.14436	-19.082
0.053188	-21.787
-0.068384	-25.243
-0.21275	-29.75
-0.33433	-33.207
-0.4255	-36.963
-0.47109	-40.268
-0.56227	-45.227
-0.60786	-49.133
-0.69903	-55.894
-0.8358	-63.259
-0.94978	-68.068
-1.0789	-72.872
-1.1625	-76.181
-1.1929	-79.032
-1.2461	-82.488
-1.3297	-86.247
-1.3829	-88.502
-1.4436	-90.606
-1.5044	-90.904
-1.5348	-90.904
-1.55	-89.254
-1.5273	-85.495
-1.4817	-80.535
-1.4209	-75.429
-1.3145	-67.614
-1.1929	-60.702
-1.1017	-55.293
-1.0182	-50.334
-0.90419	-44.925
-0.851	-41.019
-0.69144	-33.356
-0.60027	-28.999
-0.4255	-20.585
-0.31913	-15.176
-0.19755	-8.2639
-0.08358	-2.8549
0.0075983	7.9637
0.11397	18.782
0.18995	30.502
0.28873	38.014
0.4027	47.932
0.56227	59.35
0.82821	70.621
1.0334	78.583
1.4968	90.904
1.8692	98.719
2.1199	103.53
2.4087	108.03
2.6441	111.64
2.7962	113.74
2.8721	114.64
2.9406	114.95
2.9557	114.5
3.0089	112.99
3.0545	111.34
3.1153	108.18
3.1684	105.03
3.2065	103.67
3.1989	95.561
3.1913	90.152
3.1304	85.046
3.0848	81.287
2.9557	76.63
2.7353	68.966
2.4846	59.35
2.2795	49.133
2.0895	41.019
1.8616	31.704
1.4968	18.932
1.2765	11.119
1.0334	1.202
0.59266	-9.6161
0.28114	-16.979
0.12917	-21.487
-0.030392	-27.797
-0.20516	-33.507
-0.39511	-44.175
-0.52428	-49.733
-0.69144	-56.797
-0.82821	-63.557
-0.98017	-69.869
-1.1093	-75.278
-1.2841	-80.086
-1.4817	-84.895
-1.6792	-90.152
-1.8919	-95.561
-2.2187	-99.168
-2.5911	-100.82
-2.9406	-100.97
-3.1077	-100.52
-3.1533	-100.07
-3.1836	-99.168
-3.1989	-98.568
-3.1989	-96.313
-3.1913	-93.608
-3.138	-88.951
-3.1229	-84.143
-3.1001	-79.183
-3.0773	-76.781
-3.0089	-73.023
-2.9633	-70.919
-2.8873	-67.014
-2.8114	-63.86
-2.705	-60.551
-2.5911	-56.196
-2.4238	-48.981
-1.8388	-27.346
-1.2385	-8.715
-0.59266	12.171
-0.23555	22.839
0.11397	32.605
0.36472	40.569
0.60027	49.284
0.851	56.645
0.91939	60.101
1.0941	64.91
1.2081	68.517
1.3221	71.373
1.398	74.829
1.5121	78.734
1.6488	83.391
1.7856	86.696
1.8692	89.102
2.006	93.159
2.3175	99.769
2.6365	104.58
2.9177	107.74
3.1304	109.69
3.2368	109.39
3.2368	108.03
3.2368	105.18
3.1684	99.471
3.0469	91.958
2.895	81.287
2.7582	73.477
2.6138	66.111
2.3555	53.038
1.8692	32.906
1.4133	15.777
0.94978	0.30051
0.41791	-13.523
0.075983	-23.74
-0.18995	-32.906
-0.37991	-37.864
-0.64585	-44.175
-0.90419	-50.485
-1.1397	-56.347
-1.4892	-66.262
-1.8007	-72.725
-2.3782	-84.592
-2.9557	-92.558
-3.1457	-95.263
-3.1989	-94.209
-3.1989	-90.303
-3.1913	-87.15
-3.0621	-74.077
-2.6214	-56.645
-2.3858	-47.331
-2.1427	-38.315
-1.8995	-28.699
-1.6032	-18.181
-1.1701	-6.9117
-0.71424	7.0621
-0.47869	15.777
-0.22795	23.59
-0.030392	27.948
0.18236	33.807
0.38752	40.118
