"Zhou et al. 1987, Specimen 11408"	
568	
0	0
-0.0051587	2.7362
-0.0051587	4.6615
-0.0051587	5.9792
-0.0051587	7.3977
-0.0051587	8.7154
0.015476	11.756
0.036111	13.681
0.092855	16.215
0.12381	17.937
0.18055	20.167
0.2992	27.666
0.34048	30.706
0.37657	33.544
0.43332	35.976
0.4746	37.294
0.49007	38.51
0.49524	40.334
0.50038	41.752
0.66031	47.223
0.68094	44.996
0.70157	43.272
0.72737	41.448
0.75317	39.217
0.73768	34.862
0.73254	32.632
0.73254	30.504
0.69125	26.248
0.63968	21.991
0.423	7.3977
0.39723	4.155
0.30951	0.40536
0.25793	-3.0402
0.1496	-8.2085
0.072222	-12.06
0.025793	-16.215
-0.067062	-20.876
-0.12381	-23.511
-0.19087	-26.754
-0.22182	-30.3
-0.24762	-33.746
-0.28888	-36.99
-0.3508	-42.158
-0.38689	-45.806
-0.41786	-48.644
-0.46429	-50.974
-0.50038	-51.582
-0.5365	-51.38
-0.5623	-50.974
-0.56744	-50.67
-0.57261	-49.454
-0.57261	-47.831
-0.57261	-45.502
-0.57261	-43.272
-0.5623	-39.624
-0.57776	-36.888
-0.57776	-34.254
-0.56744	-32.43
-0.54167	-30.706
-0.48492	-26.956
-0.44364	-22.801
-0.37657	-18.241
-0.34048	-15.1
-0.24245	-9.2219
-0.21666	-5.5738
-0.19087	-3.1416
-0.17024	-0.60803
-0.12897	2.1281
-0.087698	6.0803
-0.051587	8.5125
0.07738	19.052
0.27856	27.058
0.45395	39.825
0.51587	42.158
0.58807	44.996
0.64482	47.831
0.72737	51.482
0.78928	53.812
0.88212	55.94
0.92855	51.684
0.92855	48.948
0.92341	44.894
0.89244	40.334
0.80992	35.672
0.75831	32.632
0.69125	27.868
0.65516	23.815
0.59324	20.167
0.55198	16.721
0.47975	12.262
0.36111	4.3576
0.22182	-3.851
0.056744	-12.364
-0.21666	-28.984
-0.31983	-37.496
-0.35594	-43.88
-0.43332	-48.743
-0.51587	-52.493
-0.57776	-55.636
-0.64999	-58.576
-0.68611	-59.69
-0.71705	-59.386
-0.73254	-58.068
-0.73254	-56.65
-0.71705	-53.508
-0.69642	-50.874
-0.62936	-45.703
-0.59841	-41.956
-0.5623	-36.28
-0.55713	-32.328
-0.51587	-27.868
-0.423	-22.599
-0.34048	-16.316
-0.30951	-12.262
-0.25793	-8.7154
-0.20119	-4.763
-0.17024	-1.5201
-0.12381	1.3174
-0.07738	4.3576
-0.030951	7.6006
0	10.438
0.036111	14.188
0.10833	19.356
0.31983	30.604
0.40237	38.104
0.4746	41.246
0.5365	44.792
0.65516	48.743
0.72222	52.189
0.78411	55.028
0.92855	61.107
0.9595	63.642
1.0162	65.161
1.0524	64.857
1.073	61.92
1.1039	58.372
1.1143	54.925
1.1039	51.786
1.0524	47.732
1.0111	44.286
1.0111	41.348
0.99047	38.712
0.92341	35.57
0.87698	32.43
0.83569	29.896
0.77895	26.552
0.72222	23.511
0.62936	20.268
0.53135	17.126
0.4488	11.046
0.40754	7.2966
0.34048	2.9388
0.25793	-0.40536
0.21666	-3.9521
0.16508	-7.1951
0.072222	-12.87
0.0051587	-17.532
-0.036111	-21.18
-0.056744	-24.524
-0.1496	-27.26
-0.21666	-30.706
-0.2631	-34.456
-0.2992	-38.408
-0.34048	-42.26
-0.39206	-46.516
-0.43332	-49.354
-0.5107	-52.394
-0.57261	-56.141
-0.64999	-59.994
-0.68611	-62.528
-0.75831	-65.264
-0.84601	-67.289
-0.90792	-69.216
-0.96982	-69.926
-1.0111	-69.824
-1.0317	-68.201
-1.0369	-63.843
-1.0369	-61.616
-1.0059	-59.386
-0.9853	-58.272
-0.92855	-55.94
-0.85118	-53.61
-0.73768	-50.67
-0.63968	-46.414
-0.58293	-42.564
-0.55198	-37.09
-0.51587	-32.226
-0.48492	-28.68
-0.40754	-23.815
-0.34563	-18.951
-0.27342	-12.161
-0.19603	-5.2698
-0.1496	0
-0.046429	5.4724
0.0051587	10.337
0.067062	15.505
0.48492	40.84
0.62936	47.63
0.748	53.204
0.84086	57.866
0.96467	64.25
1.0162	68.304
1.0833	71.343
1.1143	73.775
1.1607	75.702
1.202	77.119
1.2381	77.119
1.2794	76.006
1.2948	73.977
1.2948	71.241
1.2897	67.897
1.2742	63.946
1.2381	60.298
1.171	56.141
1.0988	52.189
1.0266	48.34
1.0008	43.88
0.96982	38.914
0.90792	35.064
0.83055	30.402
0.78411	26.754
0.71705	22.7
0.62936	19.153
0.53135	15.302
0.4488	9.8299
0.325	1.0134
0.18571	-8.006
0.07738	-14.694
-0.041269	-22.801
-0.11349	-26.652
-0.17539	-29.288
-0.22699	-32.734
-0.27342	-37.598
-0.30951	-41.752
-0.34048	-46.007
-0.40754	-49.86
-0.4746	-53.306
-0.5623	-57.46
-0.65516	-62.323
-0.73768	-65.568
-0.92855	-71.241
-1.1039	-81.58
-1.1917	-84.012
-1.3206	-86.037
-1.3774	-83.301
-1.3928	-80.159
-1.3928	-77.324
-1.398	-74.889
-1.398	-73.878
-1.3464	-72.358
-1.2794	-70.736
-1.2071	-68.406
-1.1452	-65.264
-1.1194	-62.931
-1.0833	-60.499
-1.0524	-57.965
-0.95435	-48.542
-0.87181	-37.496
-0.75831	-32.226
-0.72737	-30.402
-0.66548	-27.768
-0.45395	-12.262
-0.36111	-7.6006
-0.31468	-5.1684
-0.24245	-1.6214
-0.18571	1.0134
-0.11349	3.4456
0.11349	18.444
0.36111	31.72
0.49007	41.448
0.60873	46.82
0.84601	57.562
0.99047	65.465
1.0885	71.647
1.2278	77.628
1.3155	81.276
1.398	85.023
1.496	87.557
1.5424	89.381
1.594	90.395
1.6095	90.699
1.6559	91.105
1.692	91.307
1.7282	90.699
1.7333	88.773
1.7333	87.557
1.7333	85.835
1.7488	82.997
1.7539	79.148
1.7591	74.486
1.7333	68.102
1.6611	63.338
1.5992	57.258
1.4805	51.278
1.3928	46.919
1.2587	41.044
1.1194	37.192
1.0782	29.186
1.0266	26.248
0.96982	23.612
0.91307	21.079
0.83569	19.153
0.72737	14.796
0.61388	10.539
0.52101	6.9926
0.40237	2.7362
0.2631	-2.2295
0.14444	-7.8031
0.051587	-14.188
-0.010317	-19.457
-0.067062	-24.828
-0.1496	-28.78
-0.2115	-32.43
-0.2631	-36.078
-0.30436	-40.84
-0.36111	-47.022
-0.66031	-62.426
-0.76863	-66.883
-0.84601	-69.824
-0.89244	-72.358
-0.93887	-74.383
-1.0317	-78.54
-1.1091	-81.679
-1.2071	-83.909
-1.3722	-86.747
-1.4702	-88.165
-1.6095	-89.89
-1.6198	-88.674
-1.5992	-86.546
-1.5992	-84.619
-1.594	-82.389
-1.594	-78.943
-1.5682	-73.775
-1.5167	-67.289
-1.4651	-62.426
-1.3877	-58.068
-1.3	-54.925
-1.2278	-50.67
-1.1349	-44.692
-1.0627	-39.825
-1.0162	-36.686
-0.93887	-30.908
-0.82023	-27.26
-0.75317	-22.092
-0.62936	-17.126
-0.51587	-12.87
-0.46944	-8.9179
-0.423	-5.2698
-0.34048	-1.3174
-0.25793	2.2295
-0.21666	6.0803
-0.10833	10.438
0	13.275
0.12381	19.356
0.47975	41.144
0.63968	48.036
0.74285	52.596
0.86666	57.866
0.96467	59.891
1.073	63.843
1.1762	66.377
1.2587	68.102
1.3	70.736
1.3928	74.182
1.5063	80.364
1.5785	83.199
1.6869	85.531
1.723	86.037
1.7436	79.045
1.7642	71.446
1.692	64.755
1.6043	59.891
1.5167	55.94
1.4289	52.698
1.3412	49.556
1.2278	45.198
1.1452	39.217
1.0885	34.456
1.0214	29.288
0.91824	24.93
0.84086	21.281
0.7738	16.012
0.60356	8.8165
0.4488	2.9388
0.26825	-2.8376
0.092855	-12.262
-0.0051587	-22.801
-0.1496	-29.186
-0.21666	-33.442
-0.325	-40.74
-0.40754	-48.439
-0.52618	-54.522
-0.66548	-62.323
-0.80992	-68.304
-0.97499	-73.673
-1.1297	-78.639
-1.2381	-82.492
-1.3825	-86.037
-1.5063	-88.37
-1.5527	-86.242
-1.5734	-82.492
-1.5785	-78.54
-1.5682	-74.486
-1.4599	-64.554
-1.4083	-59.891
-1.3464	-56.852
-1.2278	-50.164
-1.1194	-43.172
-0.99047	-32.936
-0.9595	-30.3
-0.7996	-22.801
-0.67579	-15.809
-0.4746	-6.4858
-0.24245	4.0536
0	12.566
0.31983	28.376
0.65516	47.326
0.91824	61.818
1.0782	67.897
1.1865	69.824
1.2639	70.432
1.4444	71.446
1.5579	74.079
1.7333	76.815
1.7436	70.025
1.6456	60.499
1.5167	52.9
1.367	45.096
1.2071	38.51
1.0782	33.442
0.9595	26.754
0.83569	20.775
0.79443	17.025
0.57261	9.0194
0.48492	4.8644
0.2992	-1.5201
0.15992	-8.6139
0.036111	-15.1
-0.07738	-26.146
-0.29405	-38.306
-0.34048	-44.996
-0.41269	-49.758
-0.5365	-52.493
-0.68094	-55.332
-0.85635	-59.488
-0.86149	-59.891
-0.96982	-61.92
-1.0369	-64.857
-1.073	-67.897
-1.1762	-71.647
-1.3361	-75.295
-1.5218	-78.639
-1.6714	-80.668
-1.7385	-81.679
-1.7797	-82.188
-1.8004	-82.492
-1.7952	-80.668
-1.7539	-78.741
-1.692	-74.889
-1.6353	-70.025
-1.5527	-64.048
-1.3774	-51.482
-1.2329	-42.868
-1.0936	-33.746
-0.9595	-27.26
-0.68094	-15.201
-0.49524	-5.8778
-0.38174	0.30402
-0.2373	5.2698
-0.11349	10.134
0.015476	13.681
0.35594	30.3
0.53135	41.348
0.61904	47.022
0.70157	50.874
0.80475	55.332
0.96982	58.979
1.171	62.73
1.3825	67.088
1.5115	70.025
1.6559	72.966
1.7642	75.295
1.8571	77.829
1.95	79.452
2.177	81.983
2.4039	83.909
2.5689	84.923
2.7961	83.708
3.0797	80.06
3.2964	74.991
3.4615	71.545
3.508	64.755
3.4873	57.965
3.25	46.007
3.0797	37.394
2.8115	26.856
2.6825	21.991
2.502	17.532
2.3213	13.174
2.0738	8.31
1.9087	5.2698
1.8158	3.851
1.7436	2.7362
1.6456	0.91205
1.5527	-0.91205
1.5012	-2.3308
1.4496	-4.0536
1.3619	-7.2966
1.2897	-10.033
1.1401	-13.579
0.90792	-19.052
0.65516	-24.93
0.39206	-30.604
0.16508	-35.166
-0.072222	-40.942
-0.25793	-45.604
-0.40754	-49.15
-0.62936	-54.317
-0.82023	-58.372
-1.0833	-64.857
-1.3155	-67.696
-1.6611	-71.142
-1.919	-73.977
-2.2749	-76.108
-2.5741	-77.222
-2.8373	-77.628
-3.0332	-76.614
-3.1933	-75.398
-3.3479	-74.079
-3.4717	-71.343
-3.508	-69.216
-3.5286	-66.985
-3.544	-62.122
-3.544	-58.88
-3.451	-54.116
-3.3118	-48.439
-3.1622	-42.664
-3.0126	-37.598
-2.8786	-30.808
-2.7031	-22.193
-2.5895	-17.025
-2.4143	-10.438
-2.2801	-5.5738
-2.2027	-1.5201
-2.0738	2.9388
-1.9603	7.0937
-1.79	12.161
-1.5063	16.721
-1.2226	20.572
-0.92341	23.916
-0.69642	27.058
-0.40754	30.098
0.15476	34.05
0.74285	38.306
1.0936	40.84
1.4444	43.576
1.8313	44.692
2.177	44.996
2.4143	44.996
2.6	43.78
2.7856	40.436
2.9765	34.05
3.1314	27.564
3.2395	23.714
3.3635	19.559
3.4975	15.911
3.673	13.985
3.7091	13.478
