"Wight and Sozen, 1973, Spec. WS25033W"	
933	
0	0
0.20158	2.9917
0.050396	5.8954
0	9.1513
-0.050396	12.935
0.15119	16.278
0.45357	19.798
1.0583	22.966
2.1671	30.357
2.7214	33.525
3.3261	38.1
4.082	43.38
4.6365	47.602
5.3421	52.531
6.2995	57.459
7.4587	62.828
8.8697	69.162
9.9784	73.65
11.238	78.663
12.7	82.977
13.405	85.001
13.708	85.704
14.01	82.537
13.708	77.52
13.355	74.615
13.002	70.656
12.649	67.138
11.642	57.811
11.138	54.025
10.785	50.685
10.533	48.394
10.281	43.996
9.777	40.036
9.4242	36.692
8.7691	32.029
8.0635	26.486
7.257	21.998
6.7028	19.446
6.1989	16.894
5.6947	14.519
5.0396	11.175
4.4348	7.7431
3.7798	4.0476
3.2758	0.96788
2.6711	-1.9358
2.1671	-4.3996
1.7135	-7.2151
1.4111	-9.6788
0.90714	-12.407
0.45357	-14.343
0.15119	-16.718
-0.15119	-19.446
-0.60475	-22.438
-1.2599	-26.045
-1.7135	-29.037
-2.2678	-32.205
-2.8222	-36.076
-3.3767	-39.86
-3.9309	-43.116
-4.7374	-47.78
-5.3924	-52.179
-6.0475	-55.346
-6.5011	-57.811
-7.257	-61.329
-7.9124	-64.496
-8.5674	-67.578
-9.777	-71.715
-11.037	-75.936
-11.692	-77.782
-12.549	-79.984
-13.355	-82.27
-13.557	-83.24
-13.305	-79.544
-12.801	-75.233
-12.549	-71.359
-12.196	-67.752
-11.894	-64.056
-11.591	-60.537
-11.289	-57.37
-10.684	-53.412
-10.23	-50.329
-9.9281	-47.162
-9.6258	-43.644
-9.3233	-40.828
-8.9202	-37.22
-8.4666	-33.701
-7.8618	-29.213
-6.9548	-24.814
-6.098	-20.414
-4.9893	-15.31
-4.2334	-11.615
-3.3767	-7.4793
-2.6711	-3.6956
-1.8143	1.2319
-1.0079	5.3674
-0.10079	9.2389
0.40317	11.703
1.0583	15.222
1.6127	18.918
2.8222	25.958
3.5278	29.829
4.3845	33.964
5.2413	37.748
6.4508	42.588
7.2067	46.108
8.3657	52.091
9.6258	58.073
10.23	61.067
10.583	63.001
10.987	65.025
11.49	68.019
12.347	72.066
12.952	74.882
13.607	78.138
14.262	80.954
14.464	81.656
14.464	79.544
14.413	75.056
13.96	72.418
13.809	70.043
13.607	66.079
13.103	61.947
12.801	59.132
12.146	54.292
11.843	50.947
11.591	48.043
11.339	44.172
11.037	39.684
10.735	35.988
10.432	32.645
10.13	29.829
9.7264	26.749
9.4242	24.549
8.9202	21.558
8.1643	18.038
7.3579	14.343
6.4508	10.647
5.4933	7.1275
4.2837	2.9917
2.6205	-1.8478
2.419	-2.4637
1.8143	-4.3996
1.2095	-6.5114
0.50396	-9.4151
0	-12.143
-0.25198	-14.959
-0.50396	-17.334
-0.70556	-18.126
-1.1087	-19.886
-1.8143	-23.142
-2.6711	-26.486
-3.2758	-29.653
-3.8301	-33.349
-4.334	-37.484
-4.7876	-42.148
-5.2916	-45.93
-6.1483	-50.329
-7.1059	-54.817
-8.0635	-58.513
-9.0714	-63.179
-9.9281	-66.96
-10.785	-70.305
-11.541	-73.299
-12.952	-77.609
-13.859	-80.687
-14.867	-83.68
-15.119	-84.561
-15.371	-83.854
-15.27	-81.478
-14.716	-78.4
-14.313	-75.145
-13.859	-71.097
-13.456	-68.192
-13.053	-64.056
-12.498	-60.364
-11.793	-55.524
-10.936	-50.067
-10.331	-46.37
-9.4745	-40.74
-8.5674	-35.109
-8.3657	-33.877
-7.6601	-30.093
-6.8036	-25.43
-5.8964	-20.59
-4.8885	-16.015
-3.8301	-10.647
-3.0239	-6.2472
-2.3182	-2.2878
-1.6631	1.9358
-0.95753	6.1596
-0.25198	9.5912
0.40317	13.638
0.90714	16.366
1.4615	19.27
2.2174	23.054
2.8725	25.605
3.7292	29.477
4.4854	32.733
5.5941	36.956
6.602	40.828
7.7107	45.579
8.8697	50.156
9.6761	53.234
10.835	57.192
11.843	60.626
12.901	64.852
14.162	70.568
14.716	73.472
15.169	76.555
15.522	79.544
16.076	83.151
16.58	86.496
17.084	88.52
18.344	90.543
20.915	92.216
22.023	92.305
23.737	92.656
25.249	92.741
26.761	93.097
28.07	93.181
28.979	93.181
29.985	93.27
29.078	87.55
28.826	83.943
28.423	80.162
28.021	76.817
27.617	74.264
26.861	69.602
26.609	66.346
26.205	63.882
25.804	61.156
25.451	58.34
25.047	55.524
24.644	52.882
24.342	50.947
23.837	47.251
23.384	43.292
22.527	38.98
21.469	35.46
20.814	33.261
20.158	30.621
19.05	26.837
18.143	23.934
16.631	19.094
9.525	-4.2236
8.1138	-10.119
6.8036	-15.047
4.9893	-21.822
3.0742	-29.037
1.1591	-36.781
-0.15119	-42.764
-1.2599	-46.811
-3.0239	-53.06
-4.6868	-57.811
-7.8115	-64.852
-10.684	-71.359
-12.851	-76.99
-14.817	-79.722
-19.352	-84.121
-23.737	-87.025
-27.869	-88.609
-29.533	-88.96
-29.332	-85.793
-28.677	-79.806
-27.97	-74.353
-27.465	-69.865
-26.861	-64.411
-26.157	-59.746
-25.097	-53.585
-24.09	-47.869
-22.779	-41.532
-21.368	-35.725
-19.906	-30.533
-18.244	-24.726
-16.429	-18.126
-14.817	-12.935
-13.355	-8.0954
-11.541	-2.9917
-10.382	0.17598
-9.1216	2.8157
-7.257	5.8073
-4.0317	10.911
-1.8143	14.255
0.050396	19.094
1.3607	22.438
3.6286	27.717
5.3421	32.205
7.8115	38.54
8.6683	41.004
9.8778	44.613
11.289	48.483
12.649	52.091
13.607	54.733
15.472	59.216
16.731	62.739
18.496	67.401
19.906	70.834
21.116	73.739
21.469	74.531
23.485	79.633
24.896	82.888
26.055	85.086
27.214	86.585
28.776	87.465
29.38	87.55
29.078	84.294
28.826	79.281
28.626	75.496
28.171	71.097
