"Esaki, 1996 HT-2-1/5"
391
0.088138	-0.515132
0.088138	7.0402115
0.23241	22.8361095
0.665607	41.727116
1.002411	53.0617555
1.170813	63.7094485
1.53162	72.296302
2.085213	82.9341605
1.98882	71.9528065
1.652016	57.52693
1.435608	48.5966255
0.68961	19.0578815
0.424815	6.353265
0.328676	0.515132
0.015875	-22.8361095
-0.152527	-27.644735
-0.345059	-38.97933
-0.561594	-47.909679
-0.753999	-54.779144
-1.042797	-65.426837
-1.355598	-72.9832485
-1.788795	-76.0744855
-1.572006	-64.396395
-1.307592	-53.748702
-0.513588	-20.088279
-0.369062	-14.249256
-0.152527	-4.635921
0.015875	3.263007
0.521208	29.7055745
0.713613	34.857651
0.978408	44.131451
1.339215	53.748702
1.724025	67.144181
2.109216	78.8124815
2.566416	89.116679
3.336417	96.3296395
4.203954	99.4110865
3.913632	88.0862815
1.459611	21.8056675
1.026414	10.8145235
0.593217	0.515132
0.160274	-8.4141045
-0.729996	-40.6967185
-1.0668	-51.3444115
-1.331595	-60.274716
-1.644396	-71.9528065
-1.933194	-81.5602675
-2.36601	-90.147121
-2.82321	-98.0469835
-3.376803	-101.8644605
-3.809619	-102.845819
-3.496818	-81.9037185
-3.256407	-72.639753
-1.860804	-31.766414
-1.524	-23.523056
-0.946404	-9.101051
-0.513588	0.858583
-0.008128	11.844921
1.098804	36.231544
1.580007	44.8183975
1.940814	54.4356485
2.44602	64.739846
2.999232	75.7310345
3.528822	86.0253975
3.962019	96.3296395
3.81762	84.3080535
3.721227	79.1559325
3.480816	72.296302
3.216021	65.0833415
2.951226	56.496488
2.325624	41.0401695
2.085213	32.7968115
1.772412	26.9577885
1.435608	17.340493
1.098804	6.009814
0.593217	-5.6663185
-0.032258	-15.623149
-0.753999	-33.140307
-1.211199	-41.0401695
-1.596009	-51.3444115
-2.125599	-61.99206
-2.510409	-71.9528065
-3.015615	-81.5602675
-3.328416	-89.8036255
-3.713607	-96.6730905
-4.099941	-101.8644605
-3.906012	-90.490572
-3.834003	-84.3080535
-3.569208	-77.7820395
-2.606802	-51.6878625
-1.692402	-28.3316815
-1.187196	-16.3100955
-0.68199	-3.263007
-0.296926	6.353265
1.387221	38.97933
1.868424	47.909679
2.422017	57.870381
2.83083	68.518074
3.336417	80.873321
4.007993	91.864465
4.588002	98.0469835
5.259959	100.7849795
5.887974	103.9253
6.128004	100.7849795
4.636008	54.4356485
4.227957	43.4445045
3.74523	35.888093
3.36042	27.988186
2.590419	14.592707
1.748409	0.858583
-0.489204	-29.018628
-0.922401	-36.5750395
-1.403604	-45.505344
-1.90881	-56.153037
-2.342007	-66.4572345
-2.775204	-75.044088
-3.208401	-84.995
