"Pujol 2002, No. 10-3-3S"	
10400	
0.011353184	2.107759364
-0.059507005	2.107759364
-0.057040508	2.085472818
-0.018860763	2.040899702
-0.034875814	2.085472818
-0.026473873	2.018613022
-0.0091239	2.040899702
-0.054952082	1.974039906
-0.051659497	2.018613022
-0.007330111	2.018613022
-0.046619692	2.018613022
-0.004473669	2.018613022
-0.029211657	1.996326453
0.014114684	1.996326453
-0.059601941	1.996326453
0.036667392	1.951753337
-0.044933625	1.884893542
-0.059557042	1.951753337
0.051562098	1.929466791
-0.032742116	1.929466791
-0.016620272	1.929466791
0.047761289	1.884893542
0.016520645	1.884893542
-0.081036797	1.884893542
0.019046758	1.884893542
-0.018733731	1.818033857
0.043854658	1.795747177
-0.005797679	1.818033857
0.02828724	1.818033857
0.054771837	1.795747177
0.034565788	1.773460608
-0.048829389	1.728887493
0.002321739	1.773460608
0.055892915	1.773460608
-0.014744725	1.728887493
-0.036676432	3.534100908
0.030891539	3.489527526
-0.014783022	3.489527526
-0.081005819	3.534100908
0.004466547	3.534100908
-0.081111622	3.489527526
0.015773671	3.556387344
-0.01065287	3.534100908
-0.014901309	3.511814228
0.062958881	3.556387344
-0.021045317	4.826722572
-0.00677687	4.826722572
-0.00139395	4.826722572
0.032973482	4.804435869
0.021100094	4.826722572
0.04958722	6.94394804
0.054130657	6.877088512
0.017354776	6.877088512
0.060727922	6.899375192
0.021048776	6.877088512
-0.004373509	6.92166136
0.065048206	6.877088512
0.025969927	6.899375192
0.033523427	6.899375192
0.100195147	6.899375192
0.033798405	6.858423551
0.04891783	6.858423551
0.086023054	6.858423551
0.003289479	6.88070972
-0.007449804	6.88070972
0.094485972	6.813850169
0.039947088	6.9029964
0.045328713	6.836136871
0.084347916	6.858423551
-0.033368134	6.858423551
0.056742625	6.9029964
0.059775412	6.836136871
0.032004635	6.88070972
0.092455861	6.88070972
0.064295148	6.9029964
0.050922923	6.858423551
0.055243202	6.836136871
0.082388096	6.813850169
0.063409442	6.813850169
-0.001785654	6.791563489
0.029595805	6.858423551
0.003797712	6.88070972
0.049530321	6.836136871
0.048575077	6.858423551
0.047346954	6.836136871
0.086290254	8.975648509
0.067772994	8.95336234
0.041466664	8.975648509
0.047165782	8.975648509
0.06491692	8.95336234
0.144203475	11.60546626
0.03801708	11.58317903
0.065941497	11.60546626
0.147955518	11.56089288
0.07618597	11.60546626
0.096733565	11.56089288
0.100262091	11.56089288
0.151306773	11.56089288
0.100935157	11.56089288
0.066850879	11.56089288
0.17509553	13.32153238
0.086602263	13.32153238
0.062135532	13.34381959
0.14117573	13.32153238
0.1325481	13.36610576
0.143285793	15.86220337
0.186612197	15.86220337
0.148042453	15.88448954
0.185431795	15.86220337
0.182516702	15.90677675
0.207313357	15.88448954
0.149209987	15.88448954
0.171210176	15.88448954
0.224107916	15.88448954
0.127883483	15.88448954
0.169581243	15.90677675
0.18749685	15.88448954
0.218784976	15.90677675
0.137125244	15.88448954
0.132923672	15.88448954
0.121557871	15.90677675
0.185986225	15.88448954
0.162476358	15.88448954
0.182846667	15.90677675
0.207867807	15.90677675
0.145945528	17.06567934
0.185518262	17.04339212
0.187927086	17.06567934
0.198844276	17.06567934
0.208520852	17.04339212
0.21987939	18.15772237
0.199780401	18.18000854
0.187258978	18.13543409
0.179857178	18.13543409
0.188756496	18.13543409
0.251304199	20.09665433
0.174566238	20.09665433
0.219403267	20.09665433
0.244187393	20.14122664
0.228301907	20.09665433
0.214586496	20.05208201
0.254430569	20.07436816
0.260604206	20.05208201
0.158100666	20.09665433
0.238261803	20.05208201
0.269770265	22.16930748
0.233503647	22.23616597
0.237467627	22.2138798
0.288346818	22.2138798
0.291381535	22.2138798
0.286836173	22.2138798
0.275647694	22.16930748
0.274691518	22.19159365
0.319918423	22.2138798
0.24183469	22.2138798
0.27211816	22.16930748
0.340630496	22.16930748
0.239083133	22.19159365
0.206179541	22.19159365
0.307383733	22.16930748
0.299983967	22.23616597
0.201021672	22.2138798
0.295900323	22.2138798
0.305861676	22.23616597
0.249717561	22.2138798
0.314274277	24.88826989
0.301799618	24.86598372
0.366051647	24.91055604
0.31947891	24.88826989
0.282762644	24.91055604
0.335152799	24.91055604
0.355357567	24.86598372
0.28886348	24.86598372
0.317863344	24.91055604
0.323338408	24.88826989
0.377022444	26.93863476
0.34908675	26.98320919
0.419558043	26.96092304
0.341084055	26.93863476
0.304934747	26.91634859
0.391066443	26.91634859
0.410764623	26.93863476
0.4105395	26.91634859
0.331559543	26.96092304
0.367555968	26.91634859
0.449165644	29.34558667
0.453461902	29.39015899
0.443335059	29.36787284
0.37639336	29.39015899
0.39217207	29.39015899
0.428995192	29.41244727
0.442709206	29.39015899
0.434153279	29.39015899
0.486991766	29.36787284
0.422054751	29.39015899
0.52656441	29.34558667
0.458935849	29.36787284
0.407112253	29.32330053
0.500197118	29.34558667
0.438175695	29.32330053
0.453909476	29.36787284
0.461839151	29.39015899
0.440630266	29.36787284
0.502487376	29.39015899
0.485407643	29.34558667
0.466264929	29.34558667
0.425346333	29.36787284
0.502156395	29.32330053
0.467656888	29.36787284
0.443993391	29.30101436
0.501573276	31.50738448
0.513493446	31.50738448
0.567394227	31.50738448
0.52922591	31.48509831
0.556760197	31.48509831
0.595659865	31.46281216
0.506268987	31.440526
0.474367497	31.440526
0.585593712	31.46281216
0.535939951	31.41823983
0.449511868	31.440526
0.53621128	31.46281216
0.572386125	31.41823983
0.520880223	31.440526
0.569186715	31.41823983
0.592775117	33.6691844
0.567353368	33.71375671
0.656862394	33.71375671
0.558572716	33.69147054
0.530140569	33.6691844
0.579095258	33.71375671
0.692845951	33.6691844
0.614300859	33.69147054
0.643689122	33.69147054
0.689033776	33.69147054
0.687459907	35.8086939
0.646198558	35.83098218
0.661093453	35.8086939
0.691035547	35.83098218
0.636237146	35.8086939
0.669873386	35.83098218
0.69130552	35.8086939
0.672563695	35.76412159
0.710402626	35.78640987
0.693654273	35.8086939
0.630016685	35.8086939
0.674747097	35.76412159
0.728081718	35.8086939
0.687611452	35.8086939
0.715370823	35.83098218
0.772243017	38.52766056
0.778733531	38.50537227
0.711001066	38.54994459
0.741569571	38.54994459
0.789639927	38.57223287
0.79208165	38.61680518
0.801098637	38.5945169
0.851977728	38.5945169
0.782685919	38.54994459
0.745970371	38.57223287
0.812662208	38.5945169
0.79706086	38.5945169
0.806784819	38.5945169
0.85884515	38.5945169
0.839537046	38.5945169
0.846235605	40.44430421
0.853162799	40.46659249
0.891001091	40.48887655
0.861566502	40.46659249
0.874879109	40.48887655
0.930112874	40.48887655
0.829309052	40.46659249
0.865412833	40.46659249
0.932862556	40.44430421
0.87800546	40.46659249
0.950265451	42.49466911
0.947137664	42.45009677
0.914623888	42.47238505
0.926590223	42.49466911
0.977634745	42.49466911
1.035486917	42.47238505
1.060117383	42.45009677
0.993057496	42.49466911
0.961604856	42.47238505
1.038342657	42.47238505
1.10130268	44.54503823
1.058708945	44.56732226
0.988851015	44.56732226
1.075385954	44.58961054
1.098624661	44.54503823
1.171584841	44.58961054
1.12450356	44.56732226
1.114094575	44.56732226
1.189664862	44.56732226
1.137486662	44.58961054
1.135381706	44.56732226
1.158738361	44.50046167
1.220417153	44.52274995
1.176973359	44.54503823
1.206031359	44.54503823
1.215199732	44.52274995
1.17037591	44.52274995
1.169643161	44.50046167
1.20411777	44.52274995
1.240234079	44.52274995
1.228690618	44.54503823
1.155975752	44.54503823
1.22399367	44.54503823
1.234178011	44.52274995
1.140644934	44.52274995
1.309179545	47.28628465
1.289303644	47.26400061
1.261321145	47.28628465
1.258418003	47.26400061
1.285716193	47.30857293
1.351298693	47.28628465
1.351641845	47.28628465
1.348560662	47.26400061
1.371563791	47.26400061
1.309661313	47.28628465
1.389344791	49.40351014
1.326143524	49.4480867
1.427136479	49.40351014
1.392189598	49.47037073
1.372774239	49.42579842
1.471248221	49.40351014
1.448034572	49.3812261
1.45676802	49.3812261
1.486474736	49.4480867
1.478695888	49.42579842
1.428772594	49.40351014
1.456696198	49.42579842
1.53008404	49.42579842
1.476961137	49.40351014
1.484349271	49.40351014
1.476394537	49.4480867
1.526612942	49.3812261
1.461511653	49.40351014
1.451445659	49.40351014
