"Zhou et al. 1987, Specimen 22309"	
665	
0	0
0.011996	7.2574
0.023993	11.249
0.095969	14.756
0.19194	17.417
0.3119	20.925
0.3119	21.046
0.44385	24.312
0.47984	26.247
0.52782	28.062
0.67178	29.634
0.73176	30.843
0.88772	32.295
0.91171	32.537
0.94769	32.658
0.98368	32.174
0.98368	29.513
0.9357	27.215
0.86371	24.07
0.79174	21.772
0.73176	19.474
0.59981	15.119
0.49185	11.37
0.28791	4.1124
0.20394	1.6934
0.10797	-0.24191
-0.023993	-4.8381
-0.13195	-7.2574
-0.23993	-10.523
-0.47984	-15.966
-0.57582	-18.627
-0.68378	-21.651
-0.75575	-23.949
-0.81573	-24.07
-0.86371	-19.716
-0.87572	-18.022
-0.89971	-16.087
-0.83972	-12.942
-0.67178	-6.6524
-0.51584	-1.3305
-0.44385	0.84668
-0.28791	5.564
0.011996	13.668
0.17995	17.78
0.40787	23.586
0.50383	26.489
0.71977	33.142
0.85173	37.375
0.99568	41.971
1.2116	43.181
1.1636	40.641
1.0557	34.593
0.97169	30.722
0.91171	26.852
0.82774	22.74
0.69577	16.692
0.6118	13.91
0.44385	9.0717
0.34789	5.443
0.25192	1.5724
0.14395	-1.2095
-0.79174	-26.126
-1.0317	-29.997
-1.1996	-33.505
-1.3675	-36.286
-1.4515	-37.133
-1.5594	-33.626
-1.4036	-28.424
-1.3556	-26.731
-1.1996	-21.772
-0.98368	-15.361
-0.80374	-9.1927
-0.65979	-6.2895
-0.3239	2.54
-0.035988	11.612
0.20394	18.99
0.46784	26.973
0.58781	31.448
0.65979	34.351
0.79174	38.101
0.88772	40.399
1.0557	44.39
1.1996	44.996
1.1276	38.585
1.0797	33.867
1.0437	31.206
0.94769	24.675
0.76775	18.264
0.53983	11.612
0.41986	7.2574
0.22793	1.9353
0.023993	-2.9029
-0.17995	-8.3458
-0.38387	-12.821
-0.6118	-20.441
-0.81573	-26.973
-1.0797	-33.626
-1.4515	-40.157
-1.6915	-44.39
-1.9434	-47.416
-2.3513	-51.646
-2.6751	-55.035
-2.843	-56.125
-2.975	-55.88
-2.999	-53.34
-2.939	-48.626
-2.915	-43.423
-2.8551	-39.189
-2.7231	-34.351
-2.5312	-29.755
-2.1473	-23.223
-1.9074	-19.353
-1.6195	-14.636
-1.3796	-9.0717
-1.2476	-6.1685
-1.0677	-0.48381
-0.87572	4.1124
-0.73176	8.5878
-0.57582	13.668
-0.41986	18.143
-0.33589	21.288
-0.19194	26.731
0.21593	32.9
0.50383	37.254
0.77974	40.036
0.98368	43.06
1.1516	46.566
1.4515	49.955
2.0993	55.64
2.4712	58.06
2.939	60.72
3.215	62.17
4.7024	66.284
5.0744	67.009
5.5062	67.249
5.7582	67.249
5.9021	67.249
6.142	67.374
6.3219	67.129
6.3819	66.644
6.4299	64.225
6.4299	61.565
6.01	50.56
5.7342	45.961
5.3623	39.31
5.0863	34.23
4.8344	30.118
4.3066	24.07
3.9468	19.595
3.5629	14.756
3.1071	8.5878
2.6152	2.54
2.2313	-2.1772
1.8114	-6.8944
1.3675	-11.007
0.94769	-14.636
0.55182	-17.901
0.023993	-22.256
-0.51584	-27.941
-0.82774	-32.174
-1.0317	-35.44
-1.2476	-38.343
-1.5715	-42.092
-1.8354	-44.028
-2.1114	-46.086
-2.3632	-48.021
-2.8071	-51.646
-3.1549	-54.186
-3.5508	-56.485
-3.7428	-57.575
-4.1147	-59.27
-4.9544	-61.204
-5.1584	-61.325
-5.3743	-61.565
-5.6862	-61.685
-6.13	-61.93
-6.178	-59.875
-6.154	-58.06
-5.9981	-53.585
-5.8181	-49.471
-5.5782	-44.149
-5.4223	-41.245
-5.1584	-35.923
-5.0623	-34.23
-4.8104	-30.239
-4.5585	-26.852
-4.2946	-22.86
-4.0547	-19.353
-3.7308	-14.877
-3.5029	-12.458
-3.299	-10.16
-3.071	-7.1364
-2.8551	-4.4751
-2.6632	-1.8143
-2.5072	-0.48381
-2.1473	2.2981
-1.9794	3.8706
-1.5594	7.7413
-1.1276	11.853
-0.71977	15.24
-0.40787	17.538
-0.035988	20.32
0.17995	21.772
0.2999	22.498
0.81573	25.884
1.0557	27.336
1.3556	30.239
1.5475	32.295
1.8473	35.923
2.0634	38.222
2.3872	41.729
2.8071	45.236
2.975	46.691
3.2269	48.261
3.5389	50.801
4.0067	53.825
4.2946	55.52
4.5345	56.605
4.9425	58.06
5.3862	59.51
5.7102	60.479
6.034	61.565
6.4539	62.655
6.466	62.775
6.466	62.17
6.466	57.455
6.3219	53.705
6.19	47.776
6.058	45.236
5.8541	41.971
5.7102	39.794
5.5662	37.496
5.4102	35.077
4.9903	29.755
4.7984	27.336
4.5345	23.828
4.3426	21.046
4.0427	17.296
3.7908	14.273
3.5029	10.765
3.3109	8.8297
3.047	6.1685
2.8311	3.8706
2.5312	1.2095
2.2553	-1.8143
1.9074	-5.685
1.6915	-7.7413
1.3796	-10.765
0.97169	-14.152
0.67178	-16.329
0.45585	-17.901
0.16794	-19.716
-0.047984	-21.409
-0.23993	-23.465
-0.79174	-28.908
-0.95969	-30.48
-1.2836	-33.505
-1.5955	-36.044
-1.7755	-37.375
-2.0874	-40.036
-2.5312	-42.576
-2.9271	-45.116
-3.2029	-46.931
-3.5629	-49.23
-4.0187	-52.01
-4.6546	-55.88
-5.0264	-57.935
-5.1344	-58.665
-5.3623	-60.235
-5.6981	-61.565
-5.8421	-61.93
-5.9501	-61.93
-6.058	-60.96
-6.106	-58.42
-6.094	-56
-5.9501	-52.735
-5.8661	-50.801
-5.7342	-47.171
-5.5782	-43.302
-5.4342	-40.036
-5.3503	-37.859
-5.2782	-35.319
-5.0863	-31.932
-4.9185	-29.513
-4.6905	-26.489
-4.3546	-22.377
-4.0667	-19.111
-3.7067	-14.273
-3.3589	-10.402
-3.047	-6.7734
-2.7231	-3.3867
-2.6152	-2.4191
-2.5912	-2.2981
-2.4712	-1.3305
-2.0033	2.2981
-1.4995	7.1364
-1.0797	11.612
-0.82774	13.789
-0.3239	18.143
0.083972	21.288
0.34789	22.981
0.98368	27.215
1.4755	30.48
2.0033	33.747
2.4592	37.012
2.6632	38.706
2.987	41.124
3.3589	43.665
3.7788	46.446
4.2107	49.106
4.5705	51.285
4.9304	53.825
5.2064	56
5.4582	57.455
5.9021	59.27
6.2499	59.995
6.6819	60.235
7.1137	60.235
7.6775	59.75
8.0254	59.75
8.5532	59.75
9.0091	59.75
9.3929	59.27
9.8248	58.665
10.221	57.935
10.437	57.575
11.132	56.85
11.636	55.88
11.924	54.67
12.056	53.705
12.26	51.526
12.248	50.316
12.032	46.086
